class,method,spec,code,lines,apks,src,ev,msg
com.beemdevelopment.aegis.crypto.CryptoUtils,createCipher,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,2,1,CryptoUtils.java:66,use,v=1 code=IVCHAINJUNCTION-NOBS-01 ev=use obj=Cipher val='AES/GCM/NoPadding' exp='a GCMParameterSpec built over an observed randomized source' msg='no preparation of the AlgorithmParameterSpec given to Cipher.init was observed'
com.beemdevelopment.aegis.crypto.CryptoUtils,deriveKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-01,6,1,CryptoUtils.java:38,c2,"v=1 code=SECRETKEYSPEC-NOBS-01 ev=c2 obj=SecretKeySpec val='' exp='prepared key material' msg='the keyMaterial given to SecretKeySpec(byte[], int, int, String) was not observed to have been prepared by a Key.getEncoded()'"
com.beemdevelopment.aegis.crypto.otp.HOTP,getHash,MacSpec,MAC-NOBS-00,2,1,HOTP.java:41,i1,"v=1 code=MAC-NOBS-00 ev=i1 obj=Mac val='HmacSHA1' exp='a key observed coming from a key generator, a key store or a key specification' msg='the key given to Mac.init was not observed coming from a key generator, a key store or a key specification'"
com.beemdevelopment.aegis.crypto.otp.HOTP,getHash,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,2,1,HOTP.java:32,c1,"v=1 code=SECRETKEYSPEC-NOBS-00 ev=c1 obj=SecretKeySpec val='' exp='prepared key material' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to have been prepared by a Key.getEncoded()'"
com.craxiom.networksurvey.util.CryptoManager,decrypt,CipherSpec,CIPHER-NOBS-00,2,1,CryptoManager.kt:109,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.craxiom.networksurvey.util.CryptoManager,decrypt,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,2,1,CryptoManager.kt:108,c1,v=1 code=GCMPARAMETERSPEC-NOBS-00 ev=c1 obj=GCMParameterSpec val='' exp='a randomized byte[]' msg='the IV material was not observed to come from a randomized source'
com.craxiom.networksurvey.util.CryptoManager,decrypt,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,2,1,CryptoManager.kt:109,use,v=1 code=IVCHAINJUNCTION-NOBS-01 ev=use obj=Cipher val='AES/GCM/NoPadding' exp='a GCMParameterSpec built over an observed randomized source' msg='no preparation of the AlgorithmParameterSpec given to Cipher.init was observed'
com.craxiom.networksurvey.util.CryptoManager,encrypt,CipherSpec,CIPHER-NOBS-00,3,1,CryptoManager.kt:74,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.etesync.syncadapter.HttpClient$Builder,build,SSLContextSpec,SSLCONTEXT-NOBS-00,6,1,HttpClient.kt:233,init,v=1 code=SSLCONTEXT-NOBS-00 ev=init obj=SSLContext val='TLS' exp='a KeyManager[] an observed KeyManagerFactory returned' msg='the KeyManager[] given to SSLContext.init was not observed coming from a KeyManagerFactory'
com.etesync.syncadapter.HttpClient$Builder,build,SSLContextSpec,SSLCONTEXT-NOBS-01,6,1,HttpClient.kt:233,init,v=1 code=SSLCONTEXT-NOBS-01 ev=init obj=SSLContext val='TLS' exp='a TrustManager[] an observed TrustManagerFactory returned' msg='the TrustManager[] given to SSLContext.init was not observed coming from a TrustManagerFactory'
com.etesync.syncadapter.HttpClient$Builder,build,SSLContextSpec,SSLCONTEXT-NOBS-02,6,1,HttpClient.kt:233,init,v=1 code=SSLCONTEXT-NOBS-02 ev=init obj=SSLContext val='TLS' exp='a SecureRandom this instrumentation observed being created' msg='the SecureRandom given to SSLContext.init was not observed coming from a randomized source'
com.gelakinetic.mtgfam.helpers.tcgp.MarketPriceFetcher,decrypt,CipherSpec,CIPHER-NOBS-00,5,1,MarketPriceFetcher.java:474,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.gelakinetic.mtgfam.helpers.tcgp.MarketPriceFetcher$1,fetch,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,5,1,MarketPriceFetcher.java:126,c1,v=1 code=IVPARAMETERSPEC-NOBS-00 ev=c1 obj=IvParameterSpec val='' exp='a randomized byte[]' msg='no randomized source of the iv given to IvParameterSpec(byte[]) was observed'
com.gelakinetic.mtgfam.helpers.tcgp.MarketPriceFetcher$1,fetch,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,5,1,MarketPriceFetcher.java:125,c1,"v=1 code=SECRETKEYSPEC-NOBS-00 ev=c1 obj=SecretKeySpec val='' exp='prepared key material' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to have been prepared by a Key.getEncoded()'"
com.google.android.gms.internal.ads.zzbbe,zzb,CipherSpec,CIPHER-NOBS-00,243,1,com.google.android.gms:play-services-ads@@25.3.0:10,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.google.android.gms.internal.ads.zzbbe,zzb,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,243,1,com.google.android.gms:play-services-ads@@25.3.0:10,c1,v=1 code=IVPARAMETERSPEC-NOBS-00 ev=c1 obj=IvParameterSpec val='' exp='a randomized byte[]' msg='no randomized source of the iv given to IvParameterSpec(byte[]) was observed'
com.google.android.gms.internal.ads.zzbbe,zzb,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,244,1,com.google.android.gms:play-services-ads@@25.3.0:9,c1,"v=1 code=SECRETKEYSPEC-NOBS-00 ev=c1 obj=SecretKeySpec val='' exp='prepared key material' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to have been prepared by a Key.getEncoded()'"
com.google.android.vending.licensing.AESObfuscator,<init>,CipherSpec,CIPHER-NOBS-00,454,1,AESObfuscator.java:63,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.google.android.vending.licensing.AESObfuscator,<init>,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-00,227,1,AESObfuscator.java:63,use,v=1 code=IVCHAINJUNCTION-NOBS-00 ev=use obj=Cipher val='AES/CBC/PKCS5Padding' exp='an IvParameterSpec built over an observed randomized iv' msg='no preparation of the AlgorithmParameterSpec given to Cipher.init was observed'
com.google.android.vending.licensing.AESObfuscator,<init>,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,454,1,AESObfuscator.java:63,c1,v=1 code=IVPARAMETERSPEC-NOBS-00 ev=c1 obj=IvParameterSpec val='' exp='a randomized byte[]' msg='no randomized source of the iv given to IvParameterSpec(byte[]) was observed'
com.google.android.vending.licensing.AESObfuscator,<init>,PBEKeySpecSpec,PBEKEYSPEC-NOBS-01,227,1,AESObfuscator.java:59,c1,v=1 code=PBEKEYSPEC-NOBS-01 ev=c1 obj=PBEKeySpec val='' exp='a randomized byte[]' msg='the second argument was not observed to come from a randomized source'
com.google.android.vending.licensing.AESObfuscator,<init>,SecretKeyFactorySpec,SECRETKEYFACTORY-NOBS-00,227,1,AESObfuscator.java:60,gen,v=1 code=SECRETKEYFACTORY-NOBS-00 ev=gen obj=SecretKeyFactory val='PBEWITHSHAAND256BITAES-CBC-BC' exp='a key spec this instrumentation observed being built from key material' msg='no construction of the key spec was observed'
com.google.android.vending.licensing.AESObfuscator,<init>,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,227,1,AESObfuscator.java:61,c1,"v=1 code=SECRETKEYSPEC-NOBS-00 ev=c1 obj=SecretKeySpec val='' exp='prepared key material' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to have been prepared by a Key.getEncoded()'"
com.google.crypto.tink.aead.internal.AesGcmJceUtil,getSecretKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,264,1,AesGcmJceUtil.java:57,c1,"v=1 code=SECRETKEYSPEC-NOBS-00 ev=c1 obj=SecretKeySpec val='' exp='prepared key material' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to have been prepared by a Key.getEncoded()'"
com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,<init>,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,966,6,InsecureNonceAesGcmJce.java:66,c1,"v=1 code=SECRETKEYSPEC-NOBS-00 ev=c1 obj=SecretKeySpec val='' exp='prepared key material' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to have been prepared by a Key.getEncoded()'"
com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,CipherSpec,CIPHER-NOBS-00,463,5,InsecureNonceAesGcmJce.java:136,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,463,5,InsecureNonceAesGcmJce.java:136,use,v=1 code=IVCHAINJUNCTION-NOBS-01 ev=use obj=Cipher val='AES/GCM/NoPadding' exp='a GCMParameterSpec built over an observed randomized source' msg='no preparation of the AlgorithmParameterSpec given to Cipher.init was observed'
com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,CipherSpec,CIPHER-NOBS-00,357,5,InsecureNonceAesGcmJce.java:93,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,getParams,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-01,463,5,InsecureNonceAesGcmJce.java:159,c2,v=1 code=GCMPARAMETERSPEC-NOBS-01 ev=c2 obj=GCMParameterSpec val='' exp='a randomized byte[]' msg='the IV material was not observed to come from a randomized source'
com.google.crypto.tink.integration.android.AndroidKeystore$AeadImpl,decrypt,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-01,264,1,AndroidKeystore.java:175,c2,v=1 code=GCMPARAMETERSPEC-NOBS-01 ev=c2 obj=GCMParameterSpec val='' exp='a randomized byte[]' msg='the IV material was not observed to come from a randomized source'
com.google.crypto.tink.integration.android.AndroidKeystore$AeadImpl,decrypt,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,264,1,AndroidKeystore.java:178,use,v=1 code=IVCHAINJUNCTION-NOBS-01 ev=use obj=Cipher val='AES/GCM/NoPadding' exp='a GCMParameterSpec built over an observed randomized source' msg='no preparation of the AlgorithmParameterSpec given to Cipher.init was observed'
com.google.crypto.tink.integration.android.AndroidKeystoreAesGcm,decryptInternal,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-01,1268,8,AndroidKeystoreAesGcm.java:113,c2,v=1 code=GCMPARAMETERSPEC-NOBS-01 ev=c2 obj=GCMParameterSpec val='' exp='a randomized byte[]' msg='the IV material was not observed to come from a randomized source'
com.google.crypto.tink.integration.android.AndroidKeystoreAesGcm,decryptInternal,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,1268,8,AndroidKeystoreAesGcm.java:116,use,v=1 code=IVCHAINJUNCTION-NOBS-01 ev=use obj=Cipher val='AES/GCM/NoPadding' exp='a GCMParameterSpec built over an observed randomized source' msg='no preparation of the AlgorithmParameterSpec given to Cipher.init was observed'
com.google.crypto.tink.prf.internal.PrfAesCmac,<init>,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,264,1,PrfAesCmac.java:76,c1,"v=1 code=SECRETKEYSPEC-NOBS-00 ev=c1 obj=SecretKeySpec val='' exp='prepared key material' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to have been prepared by a Key.getEncoded()'"
com.google.crypto.tink.prf.internal.PrfAesCmac,compute,CipherSpec,CIPHER-NOBS-00,264,1,PrfAesCmac.java:106,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.google.crypto.tink.prf.internal.PrfAesCmac,generateSubKeys,CipherSpec,CIPHER-NOBS-00,264,1,PrfAesCmac.java:155,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.google.crypto.tink.subtle.AesGcmHkdfStreaming,deriveKeySpec,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,34,1,AesGcmHkdfStreaming.java:192,c1,"v=1 code=SECRETKEYSPEC-NOBS-00 ev=c1 obj=SecretKeySpec val='' exp='prepared key material' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to have been prepared by a Key.getEncoded()'"
com.google.crypto.tink.subtle.AesGcmHkdfStreaming,paramsForSegment,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,34,1,AesGcmHkdfStreaming.java:183,c1,v=1 code=GCMPARAMETERSPEC-NOBS-00 ev=c1 obj=GCMParameterSpec val='' exp='a randomized byte[]' msg='the IV material was not observed to come from a randomized source'
com.google.crypto.tink.subtle.AesGcmHkdfStreaming$AesGcmHkdfStreamDecrypter,decryptSegment,CipherSpec,CIPHER-NOBS-00,14,1,AesGcmHkdfStreaming.java:299,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.google.crypto.tink.subtle.AesGcmHkdfStreaming$AesGcmHkdfStreamDecrypter,decryptSegment,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,14,1,AesGcmHkdfStreaming.java:299,use,v=1 code=IVCHAINJUNCTION-NOBS-01 ev=use obj=Cipher val='AES/GCM/NoPadding' exp='a GCMParameterSpec built over an observed randomized source' msg='no preparation of the AlgorithmParameterSpec given to Cipher.init was observed'
com.google.crypto.tink.subtle.AesGcmHkdfStreaming$AesGcmHkdfStreamEncrypter,encryptSegment,CipherSpec,CIPHER-NOBS-00,34,1,AesGcmHkdfStreaming.java:234,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.google.crypto.tink.subtle.AesGcmHkdfStreaming$AesGcmHkdfStreamEncrypter,encryptSegment,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,34,1,AesGcmHkdfStreaming.java:234,use,v=1 code=IVCHAINJUNCTION-NOBS-01 ev=use obj=Cipher val='AES/GCM/NoPadding' exp='a GCMParameterSpec built over an observed randomized source' msg='no preparation of the AlgorithmParameterSpec given to Cipher.init was observed'
com.google.crypto.tink.subtle.AesGcmJce,<init>,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,214,1,AesGcmJce.java:54,c1,"v=1 code=SECRETKEYSPEC-NOBS-00 ev=c1 obj=SecretKeySpec val='' exp='prepared key material' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to have been prepared by a Key.getEncoded()'"
com.google.crypto.tink.subtle.AesGcmJce,encrypt,CipherSpec,CIPHER-NOBS-00,1,1,AesGcmJce.java:73,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.google.crypto.tink.subtle.AesSiv,decryptDeterministically,CipherSpec,CIPHER-NOBS-00,68,1,AesSiv.java:143,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.google.crypto.tink.subtle.AesSiv,decryptDeterministically,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,68,1,AesSiv.java:143,c1,v=1 code=IVPARAMETERSPEC-NOBS-00 ev=c1 obj=IvParameterSpec val='' exp='a randomized byte[]' msg='no randomized source of the iv given to IvParameterSpec(byte[]) was observed'
com.google.crypto.tink.subtle.AesSiv,decryptDeterministically,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,68,1,AesSiv.java:143,c1,"v=1 code=SECRETKEYSPEC-NOBS-00 ev=c1 obj=SecretKeySpec val='' exp='prepared key material' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to have been prepared by a Key.getEncoded()'"
com.google.crypto.tink.subtle.AesSiv,encryptDeterministically,CipherSpec,CIPHER-NOBS-00,966,7,AesSiv.java:119,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.google.crypto.tink.subtle.AesSiv,encryptDeterministically,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-00,966,7,AesSiv.java:119,use,v=1 code=IVCHAINJUNCTION-NOBS-00 ev=use obj=Cipher val='AES/CTR/NoPadding' exp='an IvParameterSpec built over an observed randomized iv' msg='no preparation of the AlgorithmParameterSpec given to Cipher.init was observed'
com.google.crypto.tink.subtle.AesSiv,encryptDeterministically,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,966,7,AesSiv.java:119,c1,v=1 code=IVPARAMETERSPEC-NOBS-00 ev=c1 obj=IvParameterSpec val='' exp='a randomized byte[]' msg='no randomized source of the iv given to IvParameterSpec(byte[]) was observed'
com.google.crypto.tink.subtle.AesSiv,encryptDeterministically,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,967,7,AesSiv.java:119,c1,"v=1 code=SECRETKEYSPEC-NOBS-00 ev=c1 obj=SecretKeySpec val='' exp='prepared key material' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to have been prepared by a Key.getEncoded()'"
com.google.crypto.tink.subtle.AesSiv,encryptInternal,CipherSpec,CIPHER-NOBS-00,264,1,AesSiv.java:191,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.google.crypto.tink.subtle.AesSiv,encryptInternal,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-00,264,1,AesSiv.java:191,use,v=1 code=IVCHAINJUNCTION-NOBS-00 ev=use obj=Cipher val='AES/CTR/NoPadding' exp='an IvParameterSpec built over an observed randomized iv' msg='no preparation of the AlgorithmParameterSpec given to Cipher.init was observed'
com.google.crypto.tink.subtle.AesSiv,encryptInternal,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,264,1,AesSiv.java:191,c1,v=1 code=IVPARAMETERSPEC-NOBS-00 ev=c1 obj=IvParameterSpec val='' exp='a randomized byte[]' msg='no randomized source of the iv given to IvParameterSpec(byte[]) was observed'
com.google.crypto.tink.subtle.AesSiv,encryptInternal,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,264,1,AesSiv.java:191,c1,"v=1 code=SECRETKEYSPEC-NOBS-00 ev=c1 obj=SecretKeySpec val='' exp='prepared key material' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to have been prepared by a Key.getEncoded()'"
com.google.crypto.tink.subtle.Hkdf,computeHkdf,MacSpec,MAC-NOBS-00,68,1,Hkdf.java:59,i1,"v=1 code=MAC-NOBS-00 ev=i1 obj=Mac val='HmacSha256' exp='a key observed coming from a key generator, a key store or a key specification' msg='the key given to Mac.init was not observed coming from a key generator, a key store or a key specification'"
com.google.crypto.tink.subtle.Hkdf,computeHkdf,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,68,1,Hkdf.java:59,c1,"v=1 code=SECRETKEYSPEC-NOBS-00 ev=c1 obj=SecretKeySpec val='' exp='prepared key material' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to have been prepared by a Key.getEncoded()'"
com.google.crypto.tink.subtle.PrfAesCmac,<init>,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,1180,7,PrfAesCmac.java:57,c1,"v=1 code=SECRETKEYSPEC-NOBS-00 ev=c1 obj=SecretKeySpec val='' exp='prepared key material' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to have been prepared by a Key.getEncoded()'"
com.google.crypto.tink.subtle.PrfAesCmac,compute,CipherSpec,CIPHER-NOBS-00,967,7,PrfAesCmac.java:69,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,CipherSpec,CIPHER-NOBS-00,1180,7,PrfAesCmac.java:110,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.ivanovsky.passnotes.data.repository.file.webdav.HttpClientFactory,createHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-00,1,1,HttpClientFactory.kt:38,init,v=1 code=SSLCONTEXT-NOBS-00 ev=init obj=SSLContext val='TLS' exp='a KeyManager[] an observed KeyManagerFactory returned' msg='the KeyManager[] given to SSLContext.init was not observed coming from a KeyManagerFactory'
com.ivanovsky.passnotes.data.repository.file.webdav.HttpClientFactory,createHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-01,1,1,HttpClientFactory.kt:38,init,v=1 code=SSLCONTEXT-NOBS-01 ev=init obj=SSLContext val='TLS' exp='a TrustManager[] an observed TrustManagerFactory returned' msg='the TrustManager[] given to SSLContext.init was not observed coming from a TrustManagerFactory'
com.leekleak.trafficlight.database.CryptoManager,decrypt,CipherSpec,CIPHER-NOBS-00,204,1,CryptoManager.kt:61,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.leekleak.trafficlight.database.CryptoManager,decrypt,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,298,1,CryptoManager.kt:61,c1,v=1 code=GCMPARAMETERSPEC-NOBS-00 ev=c1 obj=GCMParameterSpec val='' exp='a randomized byte[]' msg='the IV material was not observed to come from a randomized source'
com.leekleak.trafficlight.database.CryptoManager,decrypt,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,298,1,CryptoManager.kt:61,use,v=1 code=IVCHAINJUNCTION-NOBS-01 ev=use obj=Cipher val='AES/GCM/NoPadding' exp='a GCMParameterSpec built over an observed randomized source' msg='no preparation of the AlgorithmParameterSpec given to Cipher.init was observed'
com.matedroid.di.TeslamateApiFactory,configureInsecureTls,SSLContextSpec,SSLCONTEXT-NOBS-00,1,1,NetworkModule.kt:216,init,v=1 code=SSLCONTEXT-NOBS-00 ev=init obj=SSLContext val='TLS' exp='a KeyManager[] an observed KeyManagerFactory returned' msg='the KeyManager[] given to SSLContext.init was not observed coming from a KeyManagerFactory'
com.matedroid.di.TeslamateApiFactory,configureInsecureTls,SSLContextSpec,SSLCONTEXT-NOBS-01,1,1,NetworkModule.kt:216,init,v=1 code=SSLCONTEXT-NOBS-01 ev=init obj=SSLContext val='TLS' exp='a TrustManager[] an observed TrustManagerFactory returned' msg='the TrustManager[] given to SSLContext.init was not observed coming from a TrustManagerFactory'
com.nononsenseapps.feeder.crypto.AesCbcWithIntegrity,decodeKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,2,1,AesCbcWithIntegrity.kt:98,c1,"v=1 code=SECRETKEYSPEC-NOBS-00 ev=c1 obj=SecretKeySpec val='' exp='prepared key material' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to have been prepared by a Key.getEncoded()'"
