class,method,lines,apks,specs,codes,src,apklist
com.google.crypto.tink.subtle.AesGcmHkdfStreaming,paramsForSegment,34,1,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,AesGcmHkdfStreaming.java:183,org.css_apps_m3.password_manager_16.apk
org.fedorahosted.freeotp.encryptor.MasterKey,decrypt,34,1,"PBEKeySpecSpec,SecretKeyFactorySpec","PBEKEYSPEC-NOBS-01,SECRETKEYFACTORY-NOBS-00",MasterKey.java:72,org.fedorahosted.freeotp_48.apk
eu.opencloud.android.lib.common.network.AdvancedX509TrustManager,<init>,32,1,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,AdvancedX509TrustManager.java:57,eu.opencloud.android_9.apk
org.conscrypt.SSLParametersImpl,createDefaultX509TrustManager,30,2,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,SSLParametersImpl.java:606,"ch.rmy.android.http_shortcuts_1104060001.apk,com.etesync.syncadapter_20700.apk"
com.google.crypto.tink.subtle.AesGcmHkdfStreaming$AesGcmHkdfStreamDecrypter,decryptSegment,28,1,"CipherSpec,IvChainJunctionSpec","CIPHER-NOBS-00,IVCHAINJUNCTION-NOBS-01",AesGcmHkdfStreaming.java:299,org.css_apps_m3.password_manager_16.apk
com.owncloud.android.lib.common.network.AdvancedX509TrustManager,<init>,24,1,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,AdvancedX509TrustManager.java:59,com.owncloud.android_48000100.apk
com.etesync.syncadapter.HttpClient$Builder,build,18,1,SSLContextSpec,"SSLCONTEXT-NOBS-00,SSLCONTEXT-NOBS-01,SSLCONTEXT-NOBS-02",HttpClient.kt:233,com.etesync.syncadapter_20700.apk
org.fedorahosted.freeotp.encryptor.MasterKey,<init>,17,1,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,MasterKey.java:43,org.fedorahosted.freeotp_48.apk
com.gelakinetic.mtgfam.helpers.tcgp.MarketPriceFetcher$1,fetch,10,1,"IvParameterSpecSpec,SecretKeySpecSpec","IVPARAMETERSPEC-NOBS-00,SECRETKEYSPEC-NOBS-00",MarketPriceFetcher.java:125,com.gelakinetic.mtgfam_99.apk
net.osmtracker.layout.TLSSocketFactory,<init>,9,1,SSLContextSpec,"SSLCONTEXT-NOBS-00,SSLCONTEXT-NOBS-01,SSLCONTEXT-NOBS-02",TLSSocketFactory.java:23,net.osmtracker_73.apk
io.ktor.util.NonceKt$nonceGeneratorJob$1,invokeSuspend,9,1,SecureRandomSpec,SECURERANDOM-NOBS-00,Nonce.kt:43,com.serwylo.retrowars_70.apk
at.bitfire.cert4android.CertUtils,getTrustManager,6,1,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,CertUtils.kt:22,com.etesync.syncadapter_20700.apk
org.cry.otp.TOTP,hmac_sha,6,1,"MacSpec,SecretKeySpecSpec","MAC-NOBS-00,SECRETKEYSPEC-NOBS-00",TOTP.java:46,org.cry.otp_31.apk
com.beemdevelopment.aegis.crypto.CryptoUtils,createCipher,6,1,"CipherSpec,GCMParameterSpecSpec,IvChainJunctionSpec","CIPHER-NOBS-00,GCMPARAMETERSPEC-NOBS-00,IVCHAINJUNCTION-NOBS-01",CryptoUtils.java:66,com.beemdevelopment.aegis_81.apk
com.craxiom.networksurvey.util.CryptoManager,decrypt,6,1,"CipherSpec,GCMParameterSpecSpec,IvChainJunctionSpec","CIPHER-NOBS-00,GCMPARAMETERSPEC-NOBS-00,IVCHAINJUNCTION-NOBS-01",CryptoManager.kt:109,com.craxiom.networksurvey_114.apk
com.beemdevelopment.aegis.crypto.CryptoUtils,deriveKey,6,1,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-01,CryptoUtils.java:38,com.beemdevelopment.aegis_81.apk
com.gelakinetic.mtgfam.helpers.tcgp.MarketPriceFetcher,decrypt,5,1,CipherSpec,CIPHER-NOBS-00,MarketPriceFetcher.java:474,com.gelakinetic.mtgfam_99.apk
com.nononsenseapps.feeder.crypto.AesCbcWithIntegrity,decodeKey,4,1,SecretKeySpecSpec,"SECRETKEYSPEC-NOBS-00,SECRETKEYSPEC-NOBS-01",AesCbcWithIntegrity.kt:97,com.nononsenseapps.feeder.play_4025.apk
com.nononsenseapps.feeder.crypto.AesCbcWithIntegrity,decrypt,4,1,"CipherSpec,IvParameterSpecSpec","CIPHER-NOBS-00,IVPARAMETERSPEC-NOBS-00",AesCbcWithIntegrity.kt:366,com.nononsenseapps.feeder.play_4025.apk
io.treehouses.remote.ssh.Encryptor,encrypt,4,1,"CipherSpec,IvChainJunctionSpec,IvParameterSpecSpec,SecretKeySpecSpec","CIPHER-NOBS-00,IVCHAINJUNCTION-NOBS-00,IVPARAMETERSPEC-NOBS-00,SECRETKEYSPEC-NOBS-00",Encryptor.kt:81,io.treehouses.remote_6098.apk
com.beemdevelopment.aegis.crypto.otp.HOTP,getHash,4,1,"MacSpec,SecretKeySpecSpec","MAC-NOBS-00,SECRETKEYSPEC-NOBS-00",HOTP.java:32,com.beemdevelopment.aegis_81.apk
com.craxiom.networksurvey.util.CryptoManager,encrypt,3,1,CipherSpec,CIPHER-NOBS-00,CryptoManager.kt:74,com.craxiom.networksurvey_114.apk
app.michaelwuensch.bitbanana.util.UtilFunctions,encodePbkdf2,2,1,"PBEKeySpecSpec,SecretKeyFactorySpec","PBEKEYSPEC-NOBS-01,SECRETKEYFACTORY-NOBS-00",UtilFunctions.java:93,app.michaelwuensch.bitbanana_79.apk
org.cry.otp.HOTP,hmac_sha1,2,1,"MacSpec,SecretKeySpecSpec","MAC-NOBS-00,SECRETKEYSPEC-NOBS-00",HOTP.java:32,org.cry.otp_31.apk
com.matedroid.di.TeslamateApiFactory,configureInsecureTls,2,1,SSLContextSpec,"SSLCONTEXT-NOBS-00,SSLCONTEXT-NOBS-01",NetworkModule.kt:216,com.matedroid_178120864.apk
ua.com.radiokot.photoprism.features.ext.key.activation.logic.ParseEnteredKeyUseCase,getIssuerPublicKey$lambda$0,2,1,"KeyFactorySpec,X509EncodedKeySpecSpec","KEYFACTORY-NOBS-01,X509ENCODEDKEYSPEC-NOBS-00",ParseEnteredKeyUseCase.kt:97,ua.com.radiokot.photoprism_67.apk
dev.whyoleg.cryptography.providers.jdk.algorithms.JdkPbkdf2SecretDerivation,deriveSecretToByteArrayBlocking,2,1,"PBEKeySpecSpec,SecretKeyFactorySpec","PBEKEYSPEC-NOBS-01,SECRETKEYFACTORY-NOBS-00",JdkPbkdf2.kt:40,com.darkrockstudios.app.securecamera_31.apk
com.nononsenseapps.feeder.crypto.AesCbcWithIntegrity,generateMac,2,1,MacSpec,MAC-NOBS-00,AesCbcWithIntegrity.kt:395,com.nononsenseapps.feeder.play_4025.apk
com.ivanovsky.passnotes.data.repository.file.webdav.HttpClientFactory,createHttpClient,2,1,SSLContextSpec,"SSLCONTEXT-NOBS-00,SSLCONTEXT-NOBS-01",HttpClientFactory.kt:38,com.ivanovsky.passnotes_11700.apk
com.google.crypto.tink.subtle.AesGcmJce,encrypt,1,1,CipherSpec,CIPHER-NOBS-00,AesGcmJce.java:73,org.openhab.habdroid_589.apk
com.nononsenseapps.feeder.crypto.AesCbcWithIntegrity,encrypt,1,1,CipherSpec,CIPHER-NOBS-00,AesCbcWithIntegrity.kt:289,com.nononsenseapps.feeder.play_4025.apk
org.bouncycastle.operator.jcajce.JcaContentVerifierProviderBuilder$1,get,1,1,SignatureSpec,SIGNATURE-NOBS-02,Unknown Source:46,systems.sieber.droid_scep_7.apk
org.bouncycastle.operator.jcajce.JcaContentVerifierProviderBuilder,createRawSig,1,1,SignatureSpec,SIGNATURE-NOBS-02,Unknown Source:13,systems.sieber.droid_scep_7.apk
