kid,r,spec,cls,m,apk,status
522,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
523,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
527,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
529,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
541,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
542,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
546,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
548,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
560,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
561,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
573,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
574,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
578,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
580,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
592,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
593,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
597,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
599,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
611,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
612,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
624,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
625,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
629,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
637,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
638,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
642,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
650,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
651,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
663,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
664,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
668,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
676,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
677,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
681,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
683,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
695,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
696,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
708,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
709,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
713,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
721,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
722,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
726,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
728,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
740,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
741,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
753,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
754,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
758,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
760,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
769,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
770,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
774,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
776,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
785,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
786,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
790,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
798,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
799,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
803,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
805,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
814,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
815,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
819,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
821,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
830,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
831,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
835,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
843,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
844,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
846,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
848,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
857,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
858,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
862,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
864,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
873,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
874,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
886,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
887,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
891,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
899,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
900,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
904,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
906,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
915,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
916,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
928,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
929,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
933,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
941,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
942,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
946,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
948,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
957,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
958,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
970,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
971,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
975,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
983,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
984,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
988,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
990,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
999,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
1000,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
1012,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
1013,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
1017,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1019,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1031,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
1032,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
1036,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1038,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1050,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
1051,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
1055,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1057,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1069,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
1070,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
1074,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1076,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1088,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
1089,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
1093,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1095,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1107,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
1108,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
1112,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1114,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1126,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
1127,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
1131,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1133,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1145,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
1146,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
1150,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1152,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1164,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
1165,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
1169,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1171,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
1183,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
1184,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
1196,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
