kid,nobs,art,other,r,tool,timeout,apk,status,sustained,strict,sec
87,True,True,False,1.0,droidbot:dfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
88,True,False,False,1.0,droidbot:dfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
89,True,True,False,1.0,droidbot:dfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
90,True,False,False,1.0,droidbot:dfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
91,True,True,False,1.0,droidbot:dfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
92,True,False,False,1.0,droidbot:dfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
93,True,True,False,1.0,droidbot:dfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
94,True,False,False,1.0,droidbot:dfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
95,True,True,False,1.0,droidbot:dfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
96,True,False,False,1.0,droidbot:dfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
97,True,True,False,1.0,droidbot:dfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
98,True,False,False,1.0,droidbot:dfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
99,True,True,False,1.0,droidbot:dfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
100,True,False,False,1.0,droidbot:dfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
101,True,True,False,1.0,droidbot:dfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
102,True,False,False,1.0,droidbot:dfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
103,True,True,False,1.0,droidbot:dfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
104,True,False,False,1.0,droidbot:dfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
105,True,True,False,1.0,droidbot:dfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
106,True,False,False,1.0,droidbot:dfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
107,True,True,False,1.0,droidbot:dfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
108,True,False,False,1.0,droidmate,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
109,True,True,False,1.0,droidmate,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
110,True,False,False,1.0,droidmate,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
111,True,True,False,1.0,droidmate,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
112,True,False,False,1.0,droidmate,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
113,True,True,False,1.0,droidmate,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
114,True,False,False,1.0,droidmate,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
115,True,True,False,1.0,droidmate,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
116,True,False,False,1.0,droidmate,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
117,True,True,False,1.0,droidmate,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
118,True,False,False,1.0,droidmate,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
119,True,True,False,1.0,droidmate,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
120,True,False,False,1.0,droidmate,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
121,True,True,False,1.0,droidmate,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
122,True,False,False,1.0,droidmate,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
123,True,True,False,1.0,droidmate,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
124,True,False,False,1.0,droidmate,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
125,True,True,False,1.0,droidmate,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
126,True,False,False,1.0,fastbot,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
127,True,True,False,1.0,fastbot,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
128,True,False,False,1.0,fastbot,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
129,True,True,False,1.0,fastbot,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
130,True,False,False,1.0,fastbot,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
131,True,True,False,1.0,fastbot,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
132,True,False,False,1.0,fastbot,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
133,True,True,False,1.0,fastbot,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
134,True,False,False,1.0,fastbot,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
135,True,True,False,1.0,fastbot,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
136,True,False,False,1.0,fastbot,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
137,True,True,False,1.0,fastbot,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
138,True,False,False,1.0,fastbot,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
139,True,True,False,1.0,fastbot,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
140,True,False,False,1.0,fastbot,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
141,True,True,False,1.0,fastbot,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
142,True,False,False,1.0,humanoid,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
143,True,True,False,1.0,humanoid,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
144,True,False,False,1.0,humanoid,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
145,True,True,False,1.0,humanoid,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
146,True,False,False,1.0,humanoid,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
147,True,True,False,1.0,humanoid,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
148,True,False,False,1.0,humanoid,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
149,True,True,False,1.0,humanoid,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
150,True,False,False,1.0,humanoid,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
151,True,True,False,1.0,humanoid,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
152,True,False,False,1.0,humanoid,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
153,True,True,False,1.0,humanoid,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
154,True,False,False,1.0,humanoid,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
155,True,True,False,1.0,humanoid,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
156,True,False,False,1.0,humanoid,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
157,True,True,False,1.0,humanoid,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
158,True,False,False,1.0,humanoid,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
159,True,True,False,1.0,humanoid,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
160,True,False,False,1.0,monkey,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
161,True,True,False,1.0,monkey,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
162,True,False,False,1.0,monkey,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
163,True,True,False,1.0,monkey,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
164,True,False,False,1.0,monkey,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
165,True,True,False,1.0,monkey,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
166,True,False,False,1.0,monkey,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
167,True,True,False,1.0,monkey,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
168,True,False,False,1.0,monkey,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
169,True,True,False,1.0,monkey,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
170,True,False,False,1.0,monkey,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
171,True,True,False,1.0,monkey,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
172,True,False,False,1.0,monkey,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
173,True,True,False,1.0,monkey,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
174,True,False,False,1.0,qtesting,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
175,True,True,False,1.0,qtesting,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
176,True,False,False,1.0,qtesting,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
177,True,True,False,1.0,qtesting,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
178,True,False,False,1.0,qtesting,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
179,True,True,False,1.0,qtesting,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
180,True,False,False,1.0,qtesting,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
181,True,True,False,1.0,qtesting,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
182,True,False,False,1.0,qtesting,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
183,True,True,False,1.0,qtesting,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
184,True,False,False,1.0,qtesting,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
185,True,True,False,1.0,qtesting,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
186,True,False,False,1.0,qtesting,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
187,True,True,False,1.0,qtesting,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
188,True,False,False,1.0,qtesting,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
189,True,True,False,1.0,qtesting,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
190,True,False,False,1.0,qtesting,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
191,True,True,False,1.0,qtesting,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
192,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
193,True,False,True,1.0,ape,60,app.maskan.chat_90.apk,OTHER:LEGAL_REUSE_REJECTED,True,False,False
194,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
195,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
196,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
197,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
198,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
199,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
200,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
201,True,False,True,1.0,ape,60,app.maskan.chat_90.apk,OTHER:GENUINE_no,True,True,False
202,True,False,True,1.0,ape,60,app.maskan.chat_90.apk,OTHER:GENUINE_no,True,True,False
203,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
204,True,True,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
