class,method,spec,code,category,mechanism,root,confidence,batch
com.google.crypto.tink.subtle.AesSiv,encryptDeterministically,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-00,LEGIT_UNOBSERVABLE,cascade,IVPARAMETERSPEC-NOBS-00 @ AesSiv.encryptDeterministically,high,L2
com.google.crypto.tink.subtle.AesSiv,decryptDeterministically,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,LEGIT_UNOBSERVABLE,key_from_keyset,,high,L2
com.google.crypto.tink.subtle.AesSiv,decryptDeterministically,CipherSpec,CIPHER-NOBS-00,LEGIT_UNOBSERVABLE,cascade,SECRETKEYSPEC-NOBS-00 @ AesSiv.decryptDeterministically,high,L2
com.google.crypto.tink.subtle.AesSiv,decryptDeterministically,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,LEGIT_UNOBSERVABLE,iv_from_ciphertext,,high,L2
com.google.crypto.tink.integration.android.AndroidKeystore$AeadImpl,decrypt,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-01,LEGIT_UNOBSERVABLE,iv_from_ciphertext,,high,L2
com.google.crypto.tink.integration.android.AndroidKeystore$AeadImpl,decrypt,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,LEGIT_UNOBSERVABLE,cascade,GCMPARAMETERSPEC-NOBS-01 @ AndroidKeystore$AeadImpl.decrypt,high,L2
com.google.crypto.tink.prf.internal.PrfAesCmac,<init>,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,LEGIT_UNOBSERVABLE,key_from_keyset,,high,L2
com.google.crypto.tink.prf.internal.PrfAesCmac,generateSubKeys,CipherSpec,CIPHER-NOBS-00,LEGIT_UNOBSERVABLE,cascade,SECRETKEYSPEC-NOBS-00 @ prf.internal.PrfAesCmac.<init>,high,L2
com.google.crypto.tink.prf.internal.PrfAesCmac,compute,CipherSpec,CIPHER-NOBS-00,LEGIT_UNOBSERVABLE,cascade,SECRETKEYSPEC-NOBS-00 @ prf.internal.PrfAesCmac.<init>,high,L2
com.google.crypto.tink.aead.internal.AesGcmJceUtil,getSecretKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,LEGIT_UNOBSERVABLE,key_from_keyset,,high,L2
com.google.crypto.tink.subtle.AesSiv,encryptInternal,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,LEGIT_UNOBSERVABLE,key_from_keyset,,high,L2
com.google.crypto.tink.subtle.AesSiv,encryptInternal,CipherSpec,CIPHER-NOBS-00,LEGIT_UNOBSERVABLE,cascade,SECRETKEYSPEC-NOBS-00 @ AesSiv.encryptInternal,high,L2
com.google.crypto.tink.subtle.AesSiv,encryptInternal,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,LEGIT_UNOBSERVABLE,derived_iv_by_construction_siv,,high,L2
com.google.crypto.tink.subtle.AesSiv,encryptInternal,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-00,LEGIT_UNOBSERVABLE,cascade,IVPARAMETERSPEC-NOBS-00 @ AesSiv.encryptInternal,high,L2
com.google.crypto.tink.subtle.AesGcmJce,<init>,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,LEGIT_UNOBSERVABLE,key_from_keyset,,high,L2
com.google.crypto.tink.subtle.AesGcmJce,encrypt,CipherSpec,CIPHER-NOBS-00,LEGIT_UNOBSERVABLE,cascade,SECRETKEYSPEC-NOBS-00 @ AesGcmJce.<init>,high,L2
com.google.crypto.tink.subtle.Hkdf,computeHkdf,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,RULE_DECISION,random_or_derived_bytes_not_key_material_recorded_decision,,high,L2
com.google.crypto.tink.subtle.Hkdf,computeHkdf,MacSpec,MAC-NOBS-00,RULE_DECISION,cascade,SECRETKEYSPEC-NOBS-00 @ Hkdf.computeHkdf,high,L2
com.google.crypto.tink.subtle.AesGcmHkdfStreaming,deriveKeySpec,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,LEGIT_UNOBSERVABLE,key_derived_hkdf,,high,L2
com.google.crypto.tink.subtle.AesGcmHkdfStreaming,paramsForSegment,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,LEGIT_UNOBSERVABLE,derived_iv_by_construction_segment_nonce,,high,L2
com.google.crypto.tink.subtle.AesGcmHkdfStreaming$AesGcmHkdfStreamEncrypter,encryptSegment,CipherSpec,CIPHER-NOBS-00,LEGIT_UNOBSERVABLE,cascade,SECRETKEYSPEC-NOBS-00 @ AesGcmHkdfStreaming.deriveKeySpec,high,L2
com.google.crypto.tink.subtle.AesGcmHkdfStreaming$AesGcmHkdfStreamEncrypter,encryptSegment,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,LEGIT_UNOBSERVABLE,cascade,GCMPARAMETERSPEC-NOBS-00 @ AesGcmHkdfStreaming.paramsForSegment,high,L2
com.google.crypto.tink.subtle.AesGcmHkdfStreaming$AesGcmHkdfStreamDecrypter,decryptSegment,CipherSpec,CIPHER-NOBS-00,LEGIT_UNOBSERVABLE,cascade,SECRETKEYSPEC-NOBS-00 @ AesGcmHkdfStreaming.deriveKeySpec,high,L2
com.google.crypto.tink.subtle.AesGcmHkdfStreaming$AesGcmHkdfStreamDecrypter,decryptSegment,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,LEGIT_UNOBSERVABLE,cascade,GCMPARAMETERSPEC-NOBS-00 @ AesGcmHkdfStreaming.paramsForSegment,high,L2
io.ktor.network.tls.TLSConfigBuilderKt,findTrustManager,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,LEGIT_UNOBSERVABLE,null_default_truststore,,high,L3
io.ktor.network.tls.TLSClientHandshakeKt,generateECKeys,KeyFactorySpec,KEYFACTORY-NOBS-01,SPEC_DEFECT,producer_missing_in_specset_and_oracle_ECPublicKeySpec,,high,L3
io.ktor.network.tls.TLSClientHandshake,generatePreSecret,KeyAgreementSpec,KEYAGREEMENT-NOBS-08,SPEC_DEFECT,cascade,KEYFACTORY-NOBS-01 @ TLSClientHandshakeKt.generateECKeys,high,L3
io.ktor.network.tls.TLSClientHandshake,handleServerDone,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,SPEC_DEFECT,cascade,KEYAGREEMENT-NOBS-08 @ TLSClientHandshake.generatePreSecret,high,L3
io.ktor.network.tls.HashesKt,P_hash,MacSpec,MAC-NOBS-00,LEGIT_UNOBSERVABLE,tls_prf_derived_key_cascade_two_roots,SECRETKEYSPEC-NOBS-00 @ KeysKt.masterSecret,medium,L3
io.ktor.network.tls.KeysKt,masterSecret,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,LEGIT_UNOBSERVABLE,tls_prf_derived_key,,high,L3
io.ktor.network.tls.KeysKt,clientKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-01,LEGIT_UNOBSERVABLE,tls_prf_derived_key,,high,L3
io.ktor.network.tls.KeysKt,serverKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-01,LEGIT_UNOBSERVABLE,tls_prf_derived_key,,high,L3
io.ktor.network.tls.cipher.GCMCipherKt,gcmEncryptCipher,CipherSpec,CIPHER-NOBS-00,LEGIT_UNOBSERVABLE,cascade,SECRETKEYSPEC-NOBS-01 @ KeysKt.clientKey,high,L3
io.ktor.network.tls.cipher.GCMCipherKt,gcmEncryptCipher,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,LEGIT_UNOBSERVABLE,derived_iv_by_construction_tls_record_nonce,,high,L3
io.ktor.network.tls.cipher.GCMCipherKt,gcmEncryptCipher,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,LEGIT_UNOBSERVABLE,cascade,GCMPARAMETERSPEC-NOBS-00 @ GCMCipherKt.gcmEncryptCipher,high,L3
io.ktor.network.tls.cipher.GCMCipherKt,gcmDecryptCipher,CipherSpec,CIPHER-NOBS-00,LEGIT_UNOBSERVABLE,cascade,SECRETKEYSPEC-NOBS-01 @ KeysKt.serverKey,high,L3
io.ktor.network.tls.cipher.GCMCipherKt,gcmDecryptCipher,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,LEGIT_UNOBSERVABLE,iv_from_received_record,,high,L3
io.ktor.network.tls.cipher.GCMCipherKt,gcmDecryptCipher,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,LEGIT_UNOBSERVABLE,cascade,GCMPARAMETERSPEC-NOBS-00 @ GCMCipherKt.gcmDecryptCipher,high,L3
io.ktor.util.NonceKt$nonceGeneratorJob$1,invokeSuspend,SecureRandomSpec,SECURERANDOM-NOBS-00,WEAVER_ARTIFACT,producer_reset_by_g1_g2_double_match_INV-INS-122,,high,L3
ch.rmy.android.http_shortcuts.http.HttpClientFactory,configureTLS,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
ch.rmy.android.http_shortcuts.http.HttpClientFactory,configureTLS,SSLContextSpec,SSLCONTEXT-NOBS-01,LEGIT_UNOBSERVABLE,copy_loses_identity_default_config_trustall_option,,medium,L4
ch.rmy.android.http_shortcuts.http.HttpClientFactory,configureTLS,SSLContextSpec,SSLCONTEXT-NOBS-02,LEGIT_UNOBSERVABLE,null_default_securerandom,,high,L4
at.bitfire.cert4android.CertUtils,getTrustManager,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,LEGIT_UNOBSERVABLE,null_default_truststore,,high,L4
com.etesync.syncadapter.HttpClient$Builder,build,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
com.etesync.syncadapter.HttpClient$Builder,build,SSLContextSpec,SSLCONTEXT-NOBS-01,LEGIT_UNOBSERVABLE,custom_validating_trust_manager,,high,L4
com.etesync.syncadapter.HttpClient$Builder,build,SSLContextSpec,SSLCONTEXT-NOBS-02,LEGIT_UNOBSERVABLE,null_default_securerandom,,high,L4
com.nononsenseapps.jsonfeed.OkHttpBuilderExtensionsKt,trustAllCerts,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
com.nononsenseapps.jsonfeed.OkHttpBuilderExtensionsKt,trustAllCerts,SSLContextSpec,SSLCONTEXT-NOBS-01,MISUSE,trust_all_manager_default,,high,L4
com.nononsenseapps.jsonfeed.OkHttpBuilderExtensionsKt,trustAllCerts,SSLContextSpec,SSLCONTEXT-NOBS-02,LEGIT_UNOBSERVABLE,null_default_securerandom,,high,L4
eu.opencloud.android.lib.common.network.AdvancedX509TrustManager,<init>,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,LEGIT_UNOBSERVABLE,null_default_truststore,,high,L4
eu.opencloud.android.lib.common.http.HttpClient,getOkHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
eu.opencloud.android.lib.common.http.HttpClient,getOkHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-01,LEGIT_UNOBSERVABLE,custom_validating_trust_manager,,high,L4
eu.opencloud.android.lib.common.http.HttpClient,getOkHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-02,LEGIT_UNOBSERVABLE,null_default_securerandom,,high,L4
com.owncloud.android.lib.common.network.AdvancedX509TrustManager,<init>,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,LEGIT_UNOBSERVABLE,null_default_truststore,,high,L4
com.owncloud.android.lib.common.http.HttpClient,getOkHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
com.owncloud.android.lib.common.http.HttpClient,getOkHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-01,LEGIT_UNOBSERVABLE,custom_validating_trust_manager,,high,L4
com.owncloud.android.lib.common.http.HttpClient,getOkHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-02,LEGIT_UNOBSERVABLE,null_default_securerandom,,high,L4
net.osmtracker.layout.TLSSocketFactory,<init>,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
net.osmtracker.layout.TLSSocketFactory,<init>,SSLContextSpec,SSLCONTEXT-NOBS-01,LEGIT_UNOBSERVABLE,null_default_trustmanagers,,high,L4
net.osmtracker.layout.TLSSocketFactory,<init>,SSLContextSpec,SSLCONTEXT-NOBS-02,LEGIT_UNOBSERVABLE,null_default_securerandom,,high,L4
github.paroj.dsub2000.service.RESTMusicService,<init>,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
github.paroj.dsub2000.service.RESTMusicService,<init>,SSLContextSpec,SSLCONTEXT-NOBS-01,MISUSE,trust_all_manager_gated,,high,L4
com.ivanovsky.passnotes.data.repository.file.webdav.HttpClientFactory,createHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
com.ivanovsky.passnotes.data.repository.file.webdav.HttpClientFactory,createHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-01,MISUSE,trust_all_manager_debug_gated,,high,L4
com.matedroid.di.TeslamateApiFactory,configureInsecureTls,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
com.matedroid.di.TeslamateApiFactory,configureInsecureTls,SSLContextSpec,SSLCONTEXT-NOBS-01,MISUSE,trust_all_manager_gated,,high,L4
de.luhmer.owncloudnewsreader.ssl.MemorizingTrustManager,getTrustManager,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,LEGIT_UNOBSERVABLE,null_default_truststore,,high,L4
de.duenndns.ssl.MemorizingTrustManager,getTrustManager,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,LEGIT_UNOBSERVABLE,null_default_truststore,,high,L4
org.openhab.habdroid.core.connection.ConnectionFactory,updateHttpClientForClientCert,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
org.openhab.habdroid.core.connection.ConnectionFactory,updateHttpClientForClientCert,SSLContextSpec,SSLCONTEXT-NOBS-01,LEGIT_UNOBSERVABLE,custom_validating_trust_manager,,high,L4
org.openhab.habdroid.core.connection.ConnectionFactory,updateHttpClientForClientCert,SSLContextSpec,SSLCONTEXT-NOBS-02,LEGIT_UNOBSERVABLE,null_default_securerandom,,high,L4
org.openhab.habdroid.core.connection.ConnectionFactory,<init>,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
org.openhab.habdroid.core.connection.ConnectionFactory,<init>,SSLContextSpec,SSLCONTEXT-NOBS-01,LEGIT_UNOBSERVABLE,custom_validating_trust_manager,,high,L4
org.openhab.habdroid.core.connection.ConnectionFactory,<init>,SSLContextSpec,SSLCONTEXT-NOBS-02,LEGIT_UNOBSERVABLE,null_default_securerandom,,high,L4
de.lukasneugebauer.nextcloudcookbook.core.util.OkHttpClientProvider,configureTrustAllCertificates,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
de.lukasneugebauer.nextcloudcookbook.core.util.OkHttpClientProvider,configureTrustAllCertificates,SSLContextSpec,SSLCONTEXT-NOBS-01,MISUSE,trust_all_manager_gated,,high,L4
com.google.android.gms.internal.ads.zzbbe,zzb,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,MISUSE,hardcoded_key,,high,L5
com.google.android.gms.internal.ads.zzbbe,zzb,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,LEGIT_UNOBSERVABLE,iv_from_ciphertext,,high,L5
com.google.android.gms.internal.ads.zzbbe,zzb,CipherSpec,CIPHER-NOBS-00,MISUSE,cascade,SECRETKEYSPEC-NOBS-00 @ zzbbe.zzb,high,L5
org.quantumbadger.redreader.common.General,parseConfig,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,MISUSE,key_derived_from_public_data,,high,L5
org.quantumbadger.redreader.common.General,parseConfig,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,MISUSE,constant_zero_iv,,high,L5
org.quantumbadger.redreader.common.General,parseConfig,CipherSpec,CIPHER-NOBS-00,MISUSE,cascade,SECRETKEYSPEC-NOBS-00 @ General.parseConfig,high,L5
com.google.android.vending.licensing.AESObfuscator,<init>,PBEKeySpecSpec,PBEKEYSPEC-NOBS-01,MISUSE,hardcoded_salt,,high,L5
com.google.android.vending.licensing.AESObfuscator,<init>,SecretKeyFactorySpec,SECRETKEYFACTORY-NOBS-00,MISUSE,cascade,PBEKEYSPEC-NOBS-01 @ AESObfuscator.<init>,high,L5
com.google.android.vending.licensing.AESObfuscator,<init>,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,MISUSE,cascade,PBEKEYSPEC-NOBS-01 @ AESObfuscator.<init>,high,L5
com.google.android.vending.licensing.AESObfuscator,<init>,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,MISUSE,hardcoded_iv,,high,L5
com.google.android.vending.licensing.AESObfuscator,<init>,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-00,MISUSE,cascade,IVPARAMETERSPEC-NOBS-00 @ AESObfuscator.<init>,high,L5
com.google.android.vending.licensing.AESObfuscator,<init>,CipherSpec,CIPHER-NOBS-00,MISUSE,cascade,PBEKEYSPEC-NOBS-01 @ AESObfuscator.<init>,high,L5
com.leekleak.trafficlight.database.CryptoManager,decrypt,CipherSpec,CIPHER-NOBS-00,RULE_DECISION,keystore_getentry_route_not_credited_oracle_names_getKey_only,,high,L5
com.leekleak.trafficlight.database.CryptoManager,decrypt,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,LEGIT_UNOBSERVABLE,iv_from_ciphertext,,high,L5
com.leekleak.trafficlight.database.CryptoManager,decrypt,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,LEGIT_UNOBSERVABLE,cascade,GCMPARAMETERSPEC-NOBS-00 @ CryptoManager.decrypt,high,L5
me.diamondforge.tokn.security.KeystoreManager,encrypt,CipherSpec,CIPHER-NOBS-00,RULE_DECISION,keystore_getentry_route_not_credited_oracle_names_getKey_only,,high,L5
me.diamondforge.tokn.security.KeystoreManager,decrypt,CipherSpec,CIPHER-NOBS-00,RULE_DECISION,keystore_getentry_route_not_credited_oracle_names_getKey_only,,high,L5
me.diamondforge.tokn.security.KeystoreManager,decrypt,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,LEGIT_UNOBSERVABLE,iv_from_ciphertext,,high,L5
me.diamondforge.tokn.security.KeystoreManager,decrypt,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,LEGIT_UNOBSERVABLE,cascade,GCMPARAMETERSPEC-NOBS-00 @ KeystoreManager.decrypt,high,L5
rocks.poopjournal.metadataremover.viewmodel.MainViewModel,<clinit>,SecureRandomSpec,SECURERANDOM-NOBS-01,MISUSE,hardcoded_seed,,high,L5
com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography,encryptWithKeyStore,CipherSpec,CIPHER-NOBS-00,RULE_DECISION,keystore_getentry_route_not_credited_oracle_names_getKey_only,,high,L5
com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography,decryptWithKeyStore,CipherSpec,CIPHER-NOBS-00,RULE_DECISION,keystore_getentry_route_not_credited_oracle_names_getKey_only,,high,L5
com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography,decryptWithKeyStore,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,LEGIT_UNOBSERVABLE,iv_from_ciphertext,,high,L5
com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography,decryptWithKeyStore,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,LEGIT_UNOBSERVABLE,cascade,GCMPARAMETERSPEC-NOBS-00 @ Cryptography.decryptWithKeyStore,high,L5
dev.leonlatsch.photok.encryption.domain.crypto.KeyGen,generateVaultMasterKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,RULE_DECISION,random_bytes_not_credited_as_key_material,,high,L5
dev.leonlatsch.photok.encryption.domain.crypto.KeyGen,derivePasswordKeyEncryptionKey,PBEKeySpecSpec,PBEKEYSPEC-NOBS-01,LEGIT_UNOBSERVABLE,salt_from_storage_unlock_path,,high,L5
dev.leonlatsch.photok.encryption.domain.crypto.KeyGen,derivePasswordKeyEncryptionKey,SecretKeyFactorySpec,SECRETKEYFACTORY-NOBS-00,LEGIT_UNOBSERVABLE,cascade,PBEKEYSPEC-NOBS-01 @ KeyGen.derivePasswordKeyEncryptionKey,high,L5
dev.leonlatsch.photok.encryption.domain.crypto.KeyGen,derivePasswordKeyEncryptionKey,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,WEAVER_GAP,getencoded_subtype_owner_not_woven_create_path,,high,L5
dev.leonlatsch.photok.encryption.domain.handlers.PasswordVaultProtectionHandler,create,CipherSpec,CIPHER-NOBS-00,WEAVER_GAP,cascade,SECRETKEYSPEC-NOBS-00 @ KeyGen.derivePasswordKeyEncryptionKey,high,L5
dev.leonlatsch.photok.encryption.domain.handlers.PasswordVaultProtectionHandler,unlock,CipherSpec,CIPHER-NOBS-00,LEGIT_UNOBSERVABLE,cascade,PBEKEYSPEC-NOBS-01 @ KeyGen.derivePasswordKeyEncryptionKey,high,L5
dev.leonlatsch.photok.encryption.domain.handlers.PasswordVaultProtectionHandler,unlock,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,LEGIT_UNOBSERVABLE,iv_from_storage,,high,L5
dev.leonlatsch.photok.encryption.domain.handlers.PasswordVaultProtectionHandler,unlock,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,LEGIT_UNOBSERVABLE,key_from_unwrap,,high,L5
github.paroj.dsub2000.util.KeyStoreUtil,decrypt,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,LEGIT_UNOBSERVABLE,iv_from_ciphertext,,high,L5
com.gelakinetic.mtgfam.helpers.tcgp.MarketPriceFetcher$1,fetch,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,MISUSE,hardcoded_key,,high,L6
com.gelakinetic.mtgfam.helpers.tcgp.MarketPriceFetcher$1,fetch,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,MISUSE,iv_equals_hardcoded_key,,high,L6
com.gelakinetic.mtgfam.helpers.tcgp.MarketPriceFetcher,decrypt,CipherSpec,CIPHER-NOBS-00,MISUSE,cascade,SECRETKEYSPEC-NOBS-00 @ MarketPriceFetcher$1.fetch,high,L6
