service,alias,canonical,openssl_provider_line,in_api30_allowlist
KeyGenerator,1.2.840.113549.2.11,HmacSHA512,179,yes
KeyGenerator,HMAC-SHA512,HmacSHA512,180,yes
KeyGenerator,HMAC/SHA512,HmacSHA512,181,yes
KeyPairGenerator,1.2.840.113549.1.1.1,RSA,185,yes
KeyPairGenerator,1.2.840.113549.1.1.7,RSA,186,yes
KeyPairGenerator,2.5.8.1.1,RSA,187,yes
KeyPairGenerator,1.2.840.10045.2.1,EC,190,yes
KeyPairGenerator,1.3.133.16.840.63.0.2,EC,191,yes
SecretKeyFactory,TDEA,DESEDE,205,yes
Signature,MD5withRSAEncryption,MD5withRSA,212,yes
Signature,MD5/RSA,MD5withRSA,213,yes
Signature,1.2.840.113549.1.1.4,MD5withRSA,214,yes
Signature,OID.1.2.840.113549.1.1.4,MD5withRSA,215,yes
Signature,1.2.840.113549.2.5with1.2.840.113549.1.1.1,MD5withRSA,216,yes
Signature,SHA1withRSAEncryption,SHA1withRSA,219,yes
Signature,SHA1/RSA,SHA1withRSA,220,yes
Signature,SHA-1/RSA,SHA1withRSA,221,yes
Signature,1.2.840.113549.1.1.5,SHA1withRSA,222,yes
Signature,OID.1.2.840.113549.1.1.5,SHA1withRSA,223,yes
Signature,1.3.14.3.2.26with1.2.840.113549.1.1.1,SHA1withRSA,224,yes
Signature,1.3.14.3.2.26with1.2.840.113549.1.1.5,SHA1withRSA,225,yes
Signature,1.3.14.3.2.29,SHA1withRSA,226,yes
Signature,OID.1.3.14.3.2.29,SHA1withRSA,227,yes
Signature,SHA224withRSAEncryption,SHA224withRSA,230,yes
Signature,SHA224/RSA,SHA224withRSA,231,yes
Signature,1.2.840.113549.1.1.14,SHA224withRSA,232,yes
Signature,OID.1.2.840.113549.1.1.14,SHA224withRSA,233,yes
Signature,SHA256withRSAEncryption,SHA256withRSA,240,yes
Signature,SHA256/RSA,SHA256withRSA,241,yes
Signature,1.2.840.113549.1.1.11,SHA256withRSA,242,yes
Signature,OID.1.2.840.113549.1.1.11,SHA256withRSA,243,yes
Signature,SHA384withRSAEncryption,SHA384withRSA,250,yes
Signature,SHA384/RSA,SHA384withRSA,251,yes
Signature,1.2.840.113549.1.1.12,SHA384withRSA,252,yes
Signature,OID.1.2.840.113549.1.1.12,SHA384withRSA,253,yes
Signature,SHA512withRSAEncryption,SHA512withRSA,258,yes
Signature,SHA512/RSA,SHA512withRSA,259,yes
Signature,1.2.840.113549.1.1.13,SHA512withRSA,260,yes
Signature,OID.1.2.840.113549.1.1.13,SHA512withRSA,261,yes
Signature,ECDSA,SHA1withECDSA,270,no
Signature,ECDSAwithSHA1,SHA1withECDSA,271,no
Signature,1.2.840.10045.4.1,SHA1withECDSA,273,no
Signature,1.3.14.3.2.26with1.2.840.10045.2.1,SHA1withECDSA,274,no
Signature,SHA224/ECDSA,SHA224withECDSA,278,yes
Signature,1.2.840.10045.4.3.1,SHA224withECDSA,280,yes
Signature,OID.1.2.840.10045.4.3.1,SHA224withECDSA,281,yes
Signature,2.16.840.1.101.3.4.2.4with1.2.840.10045.2.1,SHA224withECDSA,282,yes
Signature,SHA256/ECDSA,SHA256withECDSA,286,no
Signature,1.2.840.10045.4.3.2,SHA256withECDSA,288,no
Signature,OID.1.2.840.10045.4.3.2,SHA256withECDSA,289,no
Signature,2.16.840.1.101.3.4.2.1with1.2.840.10045.2.1,SHA256withECDSA,290,no
Signature,SHA384/ECDSA,SHA384withECDSA,293,no
Signature,1.2.840.10045.4.3.3,SHA384withECDSA,295,no
Signature,OID.1.2.840.10045.4.3.3,SHA384withECDSA,296,no
Signature,2.16.840.1.101.3.4.2.2with1.2.840.10045.2.1,SHA384withECDSA,297,no
Signature,SHA512/ECDSA,SHA512withECDSA,300,no
Signature,1.2.840.10045.4.3.4,SHA512withECDSA,302,no
Signature,OID.1.2.840.10045.4.3.4,SHA512withECDSA,303,no
Signature,2.16.840.1.101.3.4.2.3with1.2.840.10045.2.1,SHA512withECDSA,304,no
Signature,SHA1withRSAandMGF1,SHA1withRSA/PSS,307,yes
Signature,SHA224withRSAandMGF1,SHA224withRSA/PSS,310,yes
Signature,SHA256withRSAandMGF1,SHA256withRSA/PSS,313,yes
Signature,SHA384withRSAandMGF1,SHA384withRSA/PSS,316,yes
Signature,SHA512withRSAandMGF1,SHA512withRSA/PSS,319,yes
Cipher,RSA/None/NoPadding,RSA/ECB/NoPadding,332,no
Cipher,RSA/None/PKCS1Padding,RSA/ECB/PKCS1Padding,334,no
Cipher,RSA/None/OAEPPadding,RSA/ECB/OAEPPadding,337,no
Cipher,AES/ECB/PKCS7Padding,AES/ECB/PKCS5Padding,375,no
Cipher,AES/CBC/PKCS7Padding,AES/CBC/PKCS5Padding,380,no
Cipher,AES_128/ECB/PKCS7Padding,AES_128/ECB/PKCS5Padding,387,no
Cipher,AES_128/CBC/PKCS7Padding,AES_128/CBC/PKCS5Padding,392,no
Cipher,PBEWithHmacSHA1AndAES_128,AES_128/CBC/PKCS5PADDING,394,no
Cipher,PBEWithHmacSHA224AndAES_128,AES_128/CBC/PKCS5PADDING,395,no
Cipher,PBEWithHmacSHA256AndAES_128,AES_128/CBC/PKCS5PADDING,396,no
Cipher,PBEWithHmacSHA384AndAES_128,AES_128/CBC/PKCS5PADDING,397,no
Cipher,PBEWithHmacSHA512AndAES_128,AES_128/CBC/PKCS5PADDING,398,no
Cipher,AES_256/ECB/PKCS7Padding,AES_256/ECB/PKCS5Padding,404,no
Cipher,AES_256/CBC/PKCS7Padding,AES_256/CBC/PKCS5Padding,409,no
Cipher,PBEWithHmacSHA1AndAES_256,AES_256/CBC/PKCS5PADDING,411,no
Cipher,PBEWithHmacSHA224AndAES_256,AES_256/CBC/PKCS5PADDING,412,no
Cipher,PBEWithHmacSHA256AndAES_256,AES_256/CBC/PKCS5PADDING,413,no
Cipher,PBEWithHmacSHA384AndAES_256,AES_256/CBC/PKCS5PADDING,414,no
Cipher,PBEWithHmacSHA512AndAES_256,AES_256/CBC/PKCS5PADDING,415,no
Cipher,DESEDE/CBC/PKCS7Padding,DESEDE/CBC/PKCS5Padding,421,no
Cipher,ARCFOUR,ARC4,424,yes
Cipher,RC4,ARC4,425,yes
Cipher,1.2.840.113549.3.4,ARC4,426,yes
Cipher,OID.1.2.840.113549.3.4,ARC4,427,yes
Cipher,GCM,AES/GCM/NoPadding,430,no
Cipher,2.16.840.1.101.3.4.1.6,AES/GCM/NoPadding,431,no
Cipher,2.16.840.1.101.3.4.1.26,AES/GCM/NoPadding,432,no
Cipher,2.16.840.1.101.3.4.1.46,AES/GCM/NoPadding,433,no
Cipher,ChaCha20-Poly1305,ChaCha20/Poly1305/NoPadding,449,no
Mac,1.3.6.1.5.5.8.1.1,HmacMD5,454,yes
Mac,HMAC-MD5,HmacMD5,455,yes
Mac,HMAC/MD5,HmacMD5,456,yes
Mac,1.2.840.113549.2.7,HmacSHA1,463,yes
Mac,1.3.6.1.5.5.8.1.2,HmacSHA1,464,yes
Mac,HMAC-SHA1,HmacSHA1,465,yes
Mac,HMAC/SHA1,HmacSHA1,466,yes
Mac,1.2.840.113549.2.8,HmacSHA224,470,yes
Mac,HMAC-SHA224,HmacSHA224,471,yes
Mac,HMAC/SHA224,HmacSHA224,472,yes
Mac,PBEWITHHMACSHA224,HmacSHA224,473,yes
Mac,1.2.840.113549.2.9,HmacSHA256,477,yes
Mac,2.16.840.1.101.3.4.2.1,HmacSHA256,478,yes
Mac,HMAC-SHA256,HmacSHA256,479,yes
Mac,HMAC/SHA256,HmacSHA256,480,yes
Mac,PBEWITHHMACSHA256,HmacSHA256,481,yes
Mac,1.2.840.113549.2.10,HmacSHA384,485,yes
Mac,HMAC-SHA384,HmacSHA384,486,yes
Mac,HMAC/SHA384,HmacSHA384,487,yes
Mac,PBEWITHHMACSHA384,HmacSHA384,488,yes
Mac,1.2.840.113549.2.11,HmacSHA512,492,yes
Mac,HMAC-SHA512,HmacSHA512,493,yes
Mac,HMAC/SHA512,HmacSHA512,494,yes
Mac,PBEWITHHMACSHA512,HmacSHA512,495,yes
