model,strategy,prompt_id,run_number,temperature,top_p,max_tokens,top_k,parsing_success,error_occurred,timeout_occurred,actions_count,error_type,total_duration_ms,generation_latency_ms,tokens_per_second,input_tokens,output_tokens,input_output_ratio,response_length_chars,explanation_quality_score,load_duration_ms,input_tokens_duration_ms,output_tokens_duration_ms
qwen3:0.6b,standard_modular,001,2,0.2,0.9,800,0,True,False,False,1,,1348.10978,1307.31731,200.15256726038155,286,259,0.9055944055944056,1246,1.0,32.754824,13.30443,1294.01288
qwen3:0.6b,standard_modular,001,3,0.2,0.9,800,0,True,False,False,1,,1289.163562,1251.412515,200.08067882256134,286,248,0.8671328671328671,1236,0.825,29.764327,11.912522,1239.499993
qwen3:0.6b,standard_modular,001,4,0.2,0.9,800,0,True,False,False,2,,1425.841737,1384.2287159999998,201.46191134157738,286,277,0.9685314685314685,1332,0.9125,33.836567,9.278989,1374.949727
qwen3:0.6b,standard_modular,001,5,0.2,0.9,800,0,True,False,False,1,,1363.429766,1326.131613,190.66603908456884,286,250,0.8741258741258742,1245,0.825,29.011869,14.938486,1311.193127
qwen3:0.6b,standard_modular,001,6,0.2,0.9,800,0,True,False,False,1,,1424.035084,1382.577508,193.01691092879975,286,264,0.9230769230769231,1247,1.0,33.479352,14.821705,1367.755803
qwen3:0.6b,standard_modular,001,7,0.2,0.9,800,0,True,False,False,2,,2353.1748,2312.306638,195.9366136468475,286,450,1.5734265734265733,2084,0.825,32.590062,15.645531,2296.661107
qwen3:0.6b,standard_modular,001,8,0.2,0.9,800,0,True,False,False,1,,2746.786198,2706.031712,194.57838311435816,286,522,1.8251748251748252,2388,0.825,32.404281,23.308217,2682.723495
qwen3:0.6b,standard_modular,001,9,0.2,0.9,800,0,True,False,False,2,,1696.036321,1668.655152,202.87960614913018,286,335,1.1713286713286712,1576,0.825,18.677926,17.429549,1651.225603
qwen3:0.6b,standard_modular,001,10,0.2,0.9,800,0,True,False,False,1,,1841.891691,1800.787592,193.85322561354815,286,346,1.2097902097902098,1659,0.825,32.960623,15.932071,1784.855521
qwen3:0.6b,standard_modular,001,1,0.2,0.9,800,40,True,False,False,2,,2155.61289,2113.6137510000003,200.69294793893118,286,421,1.472027972027972,2024,0.825,34.327233,15.881846,2097.731905
qwen3:0.6b,standard_modular,001,2,0.2,0.9,800,40,True,False,False,1,,1433.367923,1394.706246,194.23061174401255,286,269,0.9405594405594405,1283,1.0,33.057876,9.754628,1384.951618
qwen3:0.6b,standard_modular,001,3,0.2,0.9,800,40,True,False,False,1,,1330.119167,1292.093762,193.67155562987105,286,247,0.8636363636363636,1242,0.825,29.732267,16.738694,1275.355068
qwen3:0.6b,standard_modular,001,4,0.2,0.9,800,40,True,False,False,1,,1311.174027,1269.398029,200.2729560811341,286,251,0.8776223776223776,1231,0.825,33.391687,16.108494,1253.289535
qwen3:0.6b,standard_modular,001,5,0.2,0.9,800,40,True,False,False,1,,1318.019712,1282.389609,197.99455105585503,286,251,0.8776223776223776,1205,1.0,28.093283,14.677954,1267.711655
qwen3:0.6b,standard_modular,001,6,0.2,0.9,800,40,False,False,False,0,,4203.837873,4165.631716,192.48156062378615,286,800,2.797202797202797,3962,0.0,32.484675,9.389438,4156.242278
qwen3:0.6b,standard_modular,001,7,0.2,0.9,800,40,True,False,False,1,,1618.102008,1576.974044,198.5925633922724,286,311,1.0874125874125875,1487,0.825,32.974179,10.953672,1566.020372
qwen3:0.6b,standard_modular,001,8,0.2,0.9,800,40,True,False,False,3,,2377.925013,2336.743168,193.00838557600707,286,449,1.56993006993007,2057,0.7083333333333334,33.097291,10.419373,2326.323795
qwen3:0.6b,standard_modular,001,9,0.2,0.9,800,40,True,False,False,1,,1312.99381,1271.568565,197.8900097089726,286,247,0.8636363636363636,1198,1.0,32.955924,23.400452,1248.168113
qwen3:0.6b,standard_modular,001,10,0.2,0.9,800,40,True,False,False,1,,1234.907944,1196.235488,195.23011905701372,286,230,0.8041958041958042,1126,1.0,33.066321,18.138578,1178.09691
qwen3:0.6b,standard_modular,001,1,0.2,1.0,500,0,True,False,False,1,,1434.464698,1394.111329,200.9301411670613,286,277,0.9685314685314685,1371,0.825,32.554966,15.522739,1378.58859
qwen3:0.6b,standard_modular,001,2,0.2,1.0,500,0,True,False,False,1,,2563.38192,2523.0410340000003,198.27071458263936,286,497,1.7377622377622377,2293,1.0,32.623094,16.367262,2506.673772
qwen3:0.6b,standard_modular,001,3,0.2,1.0,500,0,True,False,False,1,,2598.429946,2557.0944600000003,196.80727857239165,286,500,1.7482517482517483,2519,0.1,33.316024,16.538015,2540.556445
qwen3:0.6b,standard_modular,001,4,0.2,1.0,500,0,True,False,False,1,,1253.449352,1212.368407,201.3763168825636,286,241,0.8426573426573427,1216,0.825,32.951656,15.604042,1196.764365
qwen3:0.6b,standard_modular,001,5,0.2,1.0,500,0,True,False,False,1,,1726.843628,1685.90356,196.41801002532853,286,328,1.1468531468531469,1615,0.825,32.55222,15.995592,1669.907968
qwen3:0.6b,standard_modular,001,6,0.2,1.0,500,0,True,False,False,2,,2091.323038,2050.160922,199.5462836526673,286,406,1.4195804195804196,1927,0.825,33.406433,15.54523,2034.615692
qwen3:0.6b,standard_modular,001,7,0.2,1.0,500,0,True,False,False,1,,2299.826143,2258.772433,199.98309648444425,286,449,1.56993006993007,2177,0.825,32.97099,13.582675,2245.189758
qwen3:0.6b,standard_modular,001,8,0.2,1.0,500,0,False,False,False,0,,2601.981708,2574.923249,195.43353679883668,286,500,1.7482517482517483,2453,0.0,18.625087,16.50872,2558.414529
qwen3:0.6b,standard_modular,001,9,0.2,1.0,500,0,True,False,False,1,,1331.802304,1291.794858,202.62252830496536,286,258,0.9020979020979021,1217,0.825,32.27186,18.491232,1273.303626
qwen3:0.6b,standard_modular,001,10,0.2,1.0,500,0,True,False,False,1,,1371.103142,1331.049577,200.68347989009683,286,264,0.9230769230769231,1309,0.825,32.174358,15.545181,1315.504396
qwen3:0.6b,standard_modular,001,1,0.2,1.0,500,40,True,False,False,1,,1289.518953,1249.5761559999999,198.17724026523402,286,242,0.8461538461538461,1224,0.825,32.13769,28.447031,1221.129125
qwen3:0.6b,standard_modular,001,2,0.2,1.0,500,40,True,False,False,1,,1486.695742,1446.748718,199.56456482431074,286,285,0.9965034965034965,1387,0.825,32.093967,18.639473,1428.109245
qwen3:0.6b,standard_modular,001,3,0.2,1.0,500,40,True,False,False,1,,2068.930129,2028.067196,200.67898304761104,286,403,1.4090909090909092,1929,1.0,32.866496,19.884805,2008.182391
qwen3:0.6b,standard_modular,001,4,0.2,1.0,500,40,True,False,False,1,,1054.431122,1014.413895,200.9046050690889,286,201,0.7027972027972028,943,0.825,32.325203,13.939068,1000.474827
qwen3:0.6b,standard_modular,001,5,0.2,1.0,500,40,True,False,False,1,,1394.034983,1353.173595,201.0502946617409,286,269,0.9405594405594405,1295,0.825,32.863137,15.199928,1337.973667
qwen3:0.6b,standard_modular,001,6,0.2,1.0,500,40,True,False,False,1,,1148.241044,1108.037646,200.80421464463504,286,219,0.7657342657342657,1085,0.825,32.822983,17.423087,1090.614559
qwen3:0.6b,standard_modular,001,7,0.2,1.0,500,40,True,False,False,3,,1858.258507,1820.607359,199.41063025000932,286,360,1.2587412587412588,1722,0.7083333333333334,32.169659,15.287354,1805.320005
qwen3:0.6b,standard_modular,001,8,0.2,1.0,500,40,True,False,False,1,,2545.385771,2519.9574399999997,199.6803752973804,286,500,1.7482517482517483,2470,0.1,17.97578,15.955736,2504.001704
qwen3:0.6b,standard_modular,001,9,0.2,1.0,500,40,True,False,False,2,,2467.812696,2427.9610610000004,195.25181949263285,286,471,1.6468531468531469,2254,0.7374999999999999,32.055876,15.691607,2412.269454
qwen3:0.6b,standard_modular,001,10,0.2,1.0,500,40,True,False,False,1,,2090.895096,2050.203887,201.01885872823775,286,409,1.43006993006993,1916,0.825,33.22922,15.568915,2034.634972
qwen3:0.6b,standard_modular,001,1,0.2,1.0,800,0,True,False,False,2,,1657.744074,1618.3535310000002,201.0725553732247,286,323,1.1293706293706294,1561,0.825,31.788931,11.968217,1606.385314
qwen3:0.6b,standard_modular,001,2,0.2,1.0,800,0,True,False,False,1,,1342.783107,1303.048945,198.76417566302052,286,256,0.8951048951048951,1307,0.825,32.262465,15.090493,1287.958452
qwen3:0.6b,standard_modular,001,3,0.2,1.0,800,0,True,False,False,2,,3023.893293,2982.7794980000003,198.08871643495246,286,589,2.0594405594405596,2738,0.7374999999999999,32.491055,9.3643,2973.415198
qwen3:0.6b,standard_modular,001,4,0.2,1.0,800,0,True,False,False,1,,1248.431149,1208.500967,198.8014408146117,286,238,0.8321678321678322,1125,1.0,32.240683,11.326545,1197.174422
qwen3:0.6b,standard_modular,001,5,0.2,1.0,800,0,True,False,False,3,,2572.075108,2531.0310729999997,197.91000752976046,286,498,1.7412587412587412,2377,0.8249999999999998,33.565375,14.735883,2516.29519
qwen3:0.6b,standard_modular,001,6,0.2,1.0,800,0,True,False,False,1,,1638.129137,1598.9384300000002,198.8047981758934,286,315,1.1013986013986015,1535,0.825,31.903407,14.46963,1584.4688
qwen3:0.6b,standard_modular,001,7,0.2,1.0,800,0,True,False,False,1,,2616.18131,2574.608037,199.26952549464838,286,511,1.7867132867132867,2477,0.825,33.779407,10.242017,2564.36602
qwen3:0.6b,standard_modular,001,8,0.2,1.0,800,0,True,False,False,1,,1284.780829,1243.4956590000002,198.68896763425568,286,245,0.8566433566433567,1248,0.825,32.741729,10.4126,1233.083059
qwen3:0.6b,standard_modular,001,9,0.2,1.0,800,0,True,False,False,1,,1233.691647,1209.8030840000001,202.30087777476726,286,243,0.8496503496503497,1202,0.825,19.59697,8.621939,1201.181145
qwen3:0.6b,standard_modular,001,10,0.2,1.0,800,0,True,False,False,1,,1394.641497,1352.776431,202.38862869251207,286,272,0.951048951048951,1322,1.0,33.731138,8.827407,1343.949024
qwen3:0.6b,standard_modular,001,1,0.2,1.0,800,40,True,False,False,1,,1537.96211,1496.213554,199.8525300334078,286,296,1.034965034965035,1442,0.825,33.595472,15.121471,1481.092083
qwen3:0.6b,standard_modular,001,2,0.2,1.0,800,40,True,False,False,2,,2797.780515,2757.0615540000003,195.10089622608893,286,535,1.8706293706293706,2584,0.7374999999999999,32.294194,14.890655,2742.170899
qwen3:0.6b,standard_modular,001,3,0.2,1.0,800,40,True,False,False,1,,1311.20533,1271.174819,199.64288678982584,286,250,0.8741258741258742,1239,0.825,32.558424,18.938869,1252.23595
qwen3:0.6b,standard_modular,001,4,0.2,1.0,800,40,True,False,False,1,,4157.329071,4117.849468,194.7232726064776,286,800,2.797202797202797,3747,0.825,32.007023,9.455082,4108.394386
qwen3:0.6b,standard_modular,001,5,0.2,1.0,800,40,True,False,False,1,,1322.88948,1283.138496,197.70812674596988,286,250,0.8741258741258742,1237,0.825,32.601404,18.648239,1264.490257
qwen3:0.6b,standard_modular,001,6,0.2,1.0,800,40,True,False,False,1,,1266.219681,1241.9088709999999,198.70839075596922,286,245,0.8566433566433567,1248,0.825,17.904134,8.946342,1232.962529
qwen3:0.6b,standard_modular,001,7,0.2,1.0,800,40,True,False,False,1,,1393.714533,1352.960937,197.235545842369,286,264,0.9230769230769231,1300,0.825,32.468914,14.459812,1338.501125
qwen3:0.6b,standard_modular,001,8,0.2,1.0,800,40,True,False,False,1,,1260.441731,1233.885802,198.52831957543972,286,242,0.8461538461538461,1163,0.825,18.260436,14.916133,1218.969669
qwen3:0.6b,standard_modular,001,9,0.2,1.0,800,40,True,False,False,1,,1766.058913,1726.024836,200.99752582972025,286,344,1.2027972027972027,1707,0.825,32.560727,14.560983,1711.463853
qwen3:0.6b,standard_modular,001,10,0.2,1.0,800,40,True,False,False,2,,3506.608442,3464.405148,197.36503817962708,286,682,2.3846153846153846,3317,0.825,34.298969,8.879254,3455.525894
qwen3:0.6b,standard_modular,001,1,0.7,0.9,500,0,True,False,False,1,,2150.220482,2123.55145,199.1873289769294,286,420,1.4685314685314685,2065,0.825,19.211502,14.98359,2108.56786
qwen3:0.6b,standard_modular,001,2,0.7,0.9,500,0,True,False,False,1,,1426.730418,1386.6987649999999,200.43719740506512,286,275,0.9615384615384616,1360,0.825,32.68915,14.697941,1372.000824
qwen3:0.6b,standard_modular,001,3,0.7,0.9,500,0,True,False,False,1,,1903.964139,1863.276417,199.65963950912086,286,369,1.2902097902097902,1867,0.825,32.411146,15.131239,1848.145178
qwen3:0.6b,standard_modular,001,4,0.7,0.9,500,0,True,False,False,1,,1377.315006,1335.668484,195.3530409024609,286,258,0.9020979020979021,1250,0.825,34.031393,14.982618,1320.685866
qwen3:0.6b,standard_modular,001,5,0.7,0.9,500,0,True,False,False,1,,1324.696818,1286.110374,200.2588704796258,286,255,0.8916083916083916,1205,0.825,33.058527,12.75854,1273.351834
qwen3:0.6b,standard_modular,001,6,0.7,0.9,500,0,True,False,False,2,,2063.096262,2022.320596,199.93758559915577,286,399,1.3951048951048952,1957,0.825,32.122719,26.697818,1995.622778
qwen3:0.6b,standard_modular,001,7,0.7,0.9,500,0,True,False,False,1,,1352.264635,1311.740783,201.15574335241743,286,259,0.9055944055944056,1187,1.0,32.846556,24.181225,1287.559558
qwen3:0.6b,standard_modular,001,8,0.7,0.9,500,0,True,False,False,1,,1797.745356,1761.974598,201.39673048485562,286,353,1.2342657342657342,1701,0.825,28.14507,9.21526,1752.759338
qwen3:0.6b,standard_modular,001,9,0.7,0.9,500,0,False,False,False,0,,2533.343882,2493.5613,202.3900627865139,286,500,1.7482517482517483,2421,0.0,32.222679,23.084276,2470.477024
qwen3:0.6b,standard_modular,001,10,0.7,0.9,500,0,True,False,False,2,,1708.111797,1668.1783,200.29112575325166,286,331,1.1573426573426573,1521,0.825,32.236234,15.583864,1652.594436
qwen3:0.6b,standard_modular,001,1,0.7,0.9,500,40,False,False,False,0,,2547.998691,2507.628678,200.2205883079624,286,500,1.7482517482517483,2460,0.0,32.681056,10.382994,2497.245684
qwen3:0.6b,standard_modular,001,2,0.7,0.9,500,40,True,False,False,1,,2513.234641,2486.627204,202.315392603036,286,500,1.7482517482517483,2417,0.1,18.770891,15.238381,2471.388823
qwen3:0.6b,standard_modular,001,3,0.7,0.9,500,40,True,False,False,1,,2184.486404,2144.13639,200.5309282215477,286,427,1.493006993006993,2015,0.825,32.819977,14.789043,2129.347347
qwen3:0.6b,standard_modular,001,4,0.7,0.9,500,40,True,False,False,1,,1298.28664,1262.924853,202.66195922720138,286,253,0.8846153846153846,1193,0.825,25.990993,14.540593,1248.38426
qwen3:0.6b,standard_modular,001,5,0.7,0.9,500,40,True,False,False,1,,1501.821632,1462.1508,197.55904799212567,286,286,1.0,1362,0.825,31.864133,14.482354,1447.668446
qwen3:0.6b,standard_modular,001,6,0.7,0.9,500,40,True,False,False,1,,1924.541397,1881.5163240000002,198.2465283172442,286,370,1.2937062937062938,1757,0.825,35.586078,15.15325,1866.363074
qwen3:0.6b,standard_modular,001,7,0.7,0.9,500,40,True,False,False,1,,1613.673738,1572.6512839999998,200.61116654837812,286,312,1.0909090909090908,1537,0.825,32.677238,17.40386,1555.247424
qwen3:0.6b,standard_modular,001,8,0.7,0.9,500,40,True,False,False,2,,1438.31771,1397.013615,199.73339369508065,286,276,0.965034965034965,1262,0.825,33.65851,15.171576,1381.842039
qwen3:0.6b,standard_modular,001,9,0.7,0.9,500,40,True,False,False,1,,1271.21768,1231.891839,200.56349052446214,286,244,0.8531468531468531,1189,0.825,31.918124,15.319474,1216.572365
qwen3:0.6b,standard_modular,001,10,0.7,0.9,500,40,True,False,False,1,,1296.560088,1255.0506349999998,198.29194846159146,286,246,0.8601398601398601,1186,0.825,33.819293,14.455634,1240.595001
qwen3:0.6b,standard_modular,001,1,0.7,0.9,800,0,True,False,False,1,,1554.742067,1514.038887,200.84751512521916,286,301,1.0524475524475525,1445,0.825,32.724245,15.389527,1498.64936
qwen3:0.6b,standard_modular,001,2,0.7,0.9,800,0,True,False,False,2,,2410.797183,2368.342506,196.11309995791623,286,461,1.6118881118881119,2194,0.9125,34.564059,17.65813,2350.684376
qwen3:0.6b,standard_modular,001,3,0.7,0.9,800,0,True,False,False,1,,1191.602898,1150.761097,199.99985374460036,286,227,0.7937062937062938,1066,0.825,32.950422,15.760267,1135.00083
qwen3:0.6b,standard_modular,001,4,0.7,0.9,800,0,True,False,False,1,,1400.42835,1365.5915850000001,202.12280759528437,286,273,0.9545454545454546,1379,0.825,26.962909,14.927584,1350.664001
qwen3:0.6b,standard_modular,001,5,0.7,0.9,800,0,True,False,False,1,,1850.296157,1815.688085,202.1000651956488,286,364,1.2727272727272727,1873,0.825,27.202179,14.600096,1801.087989
qwen3:0.6b,standard_modular,001,6,0.7,0.9,800,0,True,False,False,2,,2391.916755,2352.1462340000003,201.0526568710564,286,470,1.6433566433566433,2252,0.7374999999999999,32.091242,14.450193,2337.696041
qwen3:0.6b,standard_modular,001,7,0.7,0.9,800,0,True,False,False,1,,1444.09889,1416.791503,202.4862598100899,286,283,0.9895104895104895,1378,0.825,19.138815,19.165806,1397.625697
qwen3:0.6b,standard_modular,001,8,0.7,0.9,800,0,True,False,False,1,,1961.854206,1922.5480539999999,203.37530951848225,286,388,1.3566433566433567,1871,0.825,31.768701,14.74518,1907.802874
qwen3:0.6b,standard_modular,001,9,0.7,0.9,800,0,True,False,False,1,,1821.252013,1780.920717,201.26757823255502,286,356,1.2447552447552448,1726,0.825,32.6552,12.131113,1768.789604
qwen3:0.6b,standard_modular,001,10,0.7,0.9,800,0,True,False,False,2,,2083.398559,2042.628885,198.02890559363746,286,402,1.4055944055944056,1889,0.825,32.754246,12.622211,2030.006674
qwen3:0.6b,standard_modular,001,1,0.7,0.9,800,40,True,False,False,1,,1437.609496,1399.731184,200.84930602912632,286,278,0.972027972027972,1323,0.825,32.734956,15.608901,1384.122283
qwen3:0.6b,standard_modular,001,2,0.7,0.9,800,40,True,False,False,1,,1340.499708,1300.247545,201.47396203644647,286,259,0.9055944055944056,1255,1.0,32.330674,14.721627,1285.525918
qwen3:0.6b,standard_modular,001,3,0.7,0.9,800,40,True,False,False,1,,1482.894722,1443.024774,203.12025391359725,286,290,1.013986013986014,1360,0.825,32.113536,15.299107,1427.725667
qwen3:0.6b,standard_modular,001,4,0.7,0.9,800,40,True,False,False,1,,1785.63598,1744.29765,203.45853562392762,286,353,1.2342657342657342,1652,0.825,33.692479,9.300399,1734.997251
qwen3:0.6b,standard_modular,001,5,0.7,0.9,800,40,True,False,False,1,,1387.379048,1347.457986,202.14535896173624,286,270,0.9440559440559441,1274,0.825,32.219085,11.785471,1335.672515
qwen3:0.6b,standard_modular,001,6,0.7,0.9,800,40,True,False,False,1,,1131.12222,1088.198589,200.48523813454662,286,216,0.7552447552447552,970,1.0,34.990062,10.812533,1077.386056
qwen3:0.6b,standard_modular,001,7,0.7,0.9,800,40,True,False,False,1,,2308.984304,2268.393979,197.31582913919468,286,444,1.5524475524475525,2154,1.0,32.891574,18.194378,2250.199601
qwen3:0.6b,standard_modular,001,8,0.7,0.9,800,40,True,False,False,1,,1174.969047,1135.1110210000002,200.53542223634216,286,224,0.7832167832167832,1111,0.825,32.079773,18.10138,1117.009641
qwen3:0.6b,standard_modular,001,9,0.7,0.9,800,40,True,False,False,1,,1265.720293,1225.393714,200.8163145170507,286,243,0.8496503496503497,1155,1.0,32.674117,15.332666,1210.061048
qwen3:0.6b,standard_modular,001,10,0.7,0.9,800,40,True,False,False,2,,1979.625031,1937.883749,198.20576556131843,286,381,1.332167832167832,1719,0.825,33.0191,15.63896,1922.244789
qwen3:0.6b,standard_modular,001,1,0.7,1.0,500,0,True,False,False,1,,2573.826054,2534.373079,198.41771286923085,286,500,1.7482517482517483,2506,0.1,31.758865,14.436765,2519.936314
qwen3:0.6b,standard_modular,001,2,0.7,1.0,500,0,True,False,False,2,,1742.081207,1703.1720839999998,196.5650549430289,286,333,1.1643356643356644,1549,0.6499999999999999,32.492121,9.076457,1694.095627
qwen3:0.6b,standard_modular,001,3,0.7,1.0,500,0,True,False,False,1,,1815.779544,1775.489057,200.63135344969263,286,353,1.2342657342657342,1724,1.0,32.569396,16.043218,1759.445839
qwen3:0.6b,standard_modular,001,4,0.7,1.0,500,0,False,False,False,0,,2577.157452,2535.654184,198.35905252179953,286,500,1.7482517482517483,2475,0.0,33.418965,14.972654,2520.68153
qwen3:0.6b,standard_modular,001,5,0.7,1.0,500,0,True,False,False,1,,1639.125301,1599.230205,200.19719486848237,286,317,1.1083916083916083,1502,1.0,32.145593,15.791435,1583.43877
qwen3:0.6b,standard_modular,001,6,0.7,1.0,500,0,True,False,False,1,,1747.624736,1705.835066,200.84717825613473,286,339,1.1853146853146854,1611,0.825,33.166309,17.984617,1687.850449
qwen3:0.6b,standard_modular,001,7,0.7,1.0,500,0,True,False,False,3,,2590.996887,2550.165019,197.55173362120445,286,500,1.7482517482517483,2396,0.5833333333333334,32.837238,19.182421,2530.982598
qwen3:0.6b,standard_modular,001,8,0.7,1.0,500,0,True,False,False,1,,2375.931412,2334.081896,199.65164342366054,286,464,1.6223776223776223,2245,0.825,33.45305,10.033909,2324.047987
qwen3:0.6b,standard_modular,001,9,0.7,1.0,500,0,True,False,False,2,,2104.042266,2063.794339,201.19335946147214,286,413,1.444055944055944,1964,0.825,32.543842,11.042692,2052.751647
qwen3:0.6b,standard_modular,001,10,0.7,1.0,500,0,True,False,False,1,,1611.967977,1571.3294779999999,200.47429261922983,286,312,1.0909090909090908,1490,0.825,33.05737,15.020208,1556.30927
qwen3:0.6b,standard_modular,001,1,0.7,1.0,500,40,True,False,False,1,,2552.883353,2512.984106,199.97595521110694,286,500,1.7482517482517483,2343,0.1,32.304421,12.68351,2500.300596
qwen3:0.6b,standard_modular,001,2,0.7,1.0,500,40,True,False,False,1,,1689.555899,1650.631515,202.49611900434832,286,331,1.1573426573426573,1564,1.0,32.243362,16.032286,1634.599229
qwen3:0.6b,standard_modular,001,3,0.7,1.0,500,40,True,False,False,1,,1269.797059,1229.227839,200.97323380568824,286,244,0.8531468531468531,1148,0.825,32.507385,15.135816,1214.092023
qwen3:0.6b,standard_modular,001,4,0.7,1.0,500,40,False,False,False,0,,2552.593973,2514.0898660000003,200.2925840418529,286,500,1.7482517482517483,2447,0.0,32.083573,17.741824,2496.348042
qwen3:0.6b,standard_modular,001,5,0.7,1.0,500,40,True,False,False,2,,2545.275338,2505.965908,200.72705394383487,286,500,1.7482517482517483,2456,0.46249999999999997,31.782417,15.021164,2490.944744
qwen3:0.6b,standard_modular,001,6,0.7,1.0,500,40,True,False,False,1,,1906.332962,1866.6277690000002,200.46933534968957,286,371,1.2972027972027973,1849,0.825,32.023665,15.970663,1850.657106
qwen3:0.6b,standard_modular,001,7,0.7,1.0,500,40,True,False,False,2,,2091.555639,2050.696358,197.58039567680055,286,402,1.4055944055944056,1855,0.825,32.954448,16.081544,2034.614814
qwen3:0.6b,standard_modular,001,8,0.7,1.0,500,40,True,False,False,1,,1145.669748,1104.7741409999999,200.04010638962384,286,218,0.7622377622377622,1016,0.825,33.114641,14.992677,1089.781464
qwen3:0.6b,standard_modular,001,9,0.7,1.0,500,40,False,False,False,0,,2537.916747,2496.379046,201.49843164179327,286,500,1.7482517482517483,2378,0.0,33.049346,14.970154,2481.408892
