property,kind,file,line,spec,event,snippet
GENERATED_KEY_STORE,REMOVE,KeyStoreSpec.mop,89,KeyStoreSpec,@fail,"ExecutionContext.instance().remove(Property.GENERATED_KEY_STORE, keyStore);"
MACED,WRITE,MacSpec.mop,40,MacSpec,<spec-body>,"ExecutionContext.instance().setProperty(Property.MACED, input);"
MACED,WRITE,MacSpec.mop,44,MacSpec,<spec-body>,"ExecutionContext.instance().setProperty(Property.MACED, directInput);"
GENERATED_KEY,READ,MacSpec.mop,75,MacSpec,i1,"condition(ExecutionContext.instance().validate(Property.GENERATED_KEY, key)) {"
GENERATED_KEY,READ,MacSpec.mop,94,MacSpec,i2,"condition(ExecutionContext.instance().validate(Property.GENERATED_KEY, key))  {"
PREPARED_HMAC,READ,MacSpec.mop,99,MacSpec,i2,"if (params != null && !ExecutionContext.instance().validate(Property.PREPARED_HMAC, params)) {"
ENCRYPTED,READ,MacSpec.mop,151,MacSpec,f1,"if (output != null && ExecutionContext.instance().validate(Property.ENCRYPTED, output)) {"
GENERATED_MAC,WRITE,MacSpec.mop,157,MacSpec,f1,"ExecutionContext.instance().setProperty(Property.GENERATED_MAC, output);"
ENCRYPTED,READ,MacSpec.mop,166,MacSpec,f2,"if (output != null && ExecutionContext.instance().validate(Property.ENCRYPTED, output)) {"
GENERATED_MAC,WRITE,MacSpec.mop,172,MacSpec,f2,"ExecutionContext.instance().setProperty(Property.GENERATED_MAC, output);"
ENCRYPTED,READ,MacSpec.mop,180,MacSpec,f3,"if (output != null && ExecutionContext.instance().validate(Property.ENCRYPTED, output)) {"
GENERATED_MAC,WRITE,MacSpec.mop,186,MacSpec,f3,"ExecutionContext.instance().setProperty(Property.GENERATED_MAC, output);"
GENERATED_MAC,REMOVE,MacSpec.mop,195,MacSpec,@fail,"ExecutionContext.instance().remove(Property.GENERATED_MAC, generatedMac);"
DIGESTED,WRITE,MessageDigestSpec.mop,78,MessageDigestSpec,d1,"ExecutionContext.instance().setProperty(Property.DIGESTED, out);"
DIGESTED,WRITE,MessageDigestSpec.mop,91,MessageDigestSpec,d2,"ExecutionContext.instance().setProperty(Property.DIGESTED, out);"
DIGESTED,WRITE,MessageDigestSpec.mop,98,MessageDigestSpec,d3,"ExecutionContext.instance().setProperty(Property.DIGESTED, out);"
RANDOMIZED,READ,PBEKeySpecSpec.mop,43,PBEKeySpecSpec,c1,"ExecutionContext.instance().validate(Property.RANDOMIZED, password) &&"
RANDOMIZED,READ,PBEKeySpecSpec.mop,44,PBEKeySpecSpec,c1,"ExecutionContext.instance().validate(Property.RANDOMIZED, salt)"
SPECCED_KEY,WRITE,PBEKeySpecSpec.mop,47,PBEKeySpecSpec,c1,"ExecutionContext.instance().setProperty(Property.SPECCED_KEY, spec);"
RANDOMIZED,READ,PBEKeySpecSpec.mop,61,PBEKeySpecSpec,err2,"condition( ! ExecutionContext.instance().validate(Property.RANDOMIZED, password) ) {"
RANDOMIZED,READ,PBEKeySpecSpec.mop,69,PBEKeySpecSpec,err3,"condition( ! ExecutionContext.instance().validate(Property.RANDOMIZED, salt) ) {"
SPECCED_KEY,REMOVE,PBEKeySpecSpec.mop,77,PBEKeySpecSpec,c2,"ExecutionContext.instance().remove(Property.SPECCED_KEY, s);"
RANDOMIZED,READ,PBEParameterSpecSpec.mop,27,PBEParameterSpecSpec,c1,"ExecutionContext.instance().validate(Property.RANDOMIZED, salt)"
RANDOMIZED,READ,PBEParameterSpecSpec.mop,37,PBEParameterSpecSpec,c2,"ExecutionContext.instance().validate(Property.RANDOMIZED, salt)"
RANDOMIZED,READ,PBEParameterSpecSpec.mop,47,PBEParameterSpecSpec,c3,"!(ExecutionContext.instance().validate(Property.RANDOMIZED, salt))"
PREPARED_PBE,WRITE,PBEParameterSpecSpec.mop,66,PBEParameterSpecSpec,@match,"ExecutionContext.instance().setProperty(Property.PREPARED_PBE, spec);"
RANDOMIZED,READ,RandomStringPassword.mop,14,RandomStringPasswordSpec,vo,"condition(ExecutionContext.instance().validate(Property.RANDOMIZED, obj)) {"
RANDOMIZED,WRITE,RandomStringPassword.mop,15,RandomStringPasswordSpec,vo,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, s);"
RANDOMIZED,READ,RandomStringPassword.mop,21,RandomStringPasswordSpec,gb,"condition(ExecutionContext.instance().validate(Property.RANDOMIZED, s)) {"
RANDOMIZED,WRITE,RandomStringPassword.mop,22,RandomStringPasswordSpec,gb,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, chars);"
GENERATED_KEY_MANAGERS,READ,SSLContextSpec.mop,74,SSLContextSpec,init,"if (km != null && !ExecutionContext.instance().validate(Property.GENERATED_KEY_MANAGERS, km)) {"
GENERATED_TRUST_MANAGERS,READ,SSLContextSpec.mop,78,SSLContextSpec,init,"if (tm != null && !ExecutionContext.instance().validate(Property.GENERATED_TRUST_MANAGERS, tm)) {"
RANDOMIZED,READ,SSLContextSpec.mop,82,SSLContextSpec,init,"if (random != null && !ExecutionContext.instance().validate(Property.RANDOMIZED, random)) {"
GENERATE_SSL_CONTEXT,WRITE,SSLContextSpec.mop,86,SSLContextSpec,init,"ExecutionContext.instance().setProperty(Property.GENERATE_SSL_CONTEXT, context);"
GENERATE_SSL_ENGINE,WRITE,SSLContextSpec.mop,92,SSLContextSpec,engine,"ExecutionContext.instance().setProperty(Property.GENERATE_SSL_ENGINE, eng);"
GENERATED_KEY,READ,SecretKeySpec.mop,25,SecretKeySpec,e1,"condition(ExecutionContext.instance().validate(Property.GENERATED_KEY, secretKey)) {"
RANDOMIZED,WRITE,SecretKeySpec.mop,26,SecretKeySpec,e1,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, key);"
GENERATED_KEY,REMOVE,SecretKeySpec.mop,41,SecretKeySpec,d,"ExecutionContext.instance().remove(Property.GENERATED_KEY, secretKey);"
RANDOMIZED,READ,SecretKeySpecSpec.mop,29,SecretKeySpecSpec,c1,"ExecutionContext.instance().validate(Property.RANDOMIZED, keyMaterial))"
RANDOMIZED,READ,SecretKeySpecSpec.mop,46,SecretKeySpecSpec,c3,"ExecutionContext.instance().validate(Property.RANDOMIZED, keyMaterial))"
GENERATED_KEY,WRITE,SecretKeySpecSpec.mop,81,SecretKeySpecSpec,@match,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY, spec);"
SPECCED_KEY,WRITE,SecretKeySpecSpec.mop,82,SecretKeySpecSpec,@match,"ExecutionContext.instance().setProperty(Property.SPECCED_KEY, spec);"
RANDOMIZED,READ,SecureRandomSpec.mop,37,SecureRandomSpec,c2,"condition(ExecutionContext.instance().validate(Property.RANDOMIZED, seed)) {"
RANDOMIZED,READ,SecureRandomSpec.mop,45,SecureRandomSpec,c3,"condition(!ExecutionContext.instance().validate(Property.RANDOMIZED, seed)) {"
RANDOMIZED,READ,SecureRandomSpec.mop,92,SecureRandomSpec,setSeed2,"condition(ExecutionContext.instance().validate(Property.RANDOMIZED, seed)) {  }"
RANDOMIZED,READ,SecureRandomSpec.mop,98,SecureRandomSpec,setSeed3,"condition(!ExecutionContext.instance().validate(Property.RANDOMIZED, seed)) {"
RANDOMIZED,WRITE,SecureRandomSpec.mop,106,SecureRandomSpec,genSeed,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, seed);"
RANDOMIZED,WRITE,SecureRandomSpec.mop,114,SecureRandomSpec,next1,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, randIntInRange);"
RANDOMIZED,WRITE,SecureRandomSpec.mop,121,SecureRandomSpec,next2,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, bytes);"
RANDOMIZED,WRITE,SecureRandomSpec.mop,127,SecureRandomSpec,next3,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, randInt);"
RANDOMIZED,WRITE,SecureRandomSpec.mop,133,SecureRandomSpec,ints,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, stream);"
RANDOMIZED,WRITE,SecureRandomSpec.mop,198,SecureRandomSpec,@match1,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, sr);"
GENERATED_PRIVATE_KEY,READ,SignatureSpec.mop,69,SignatureSpec,i1,"if (privateKey != null && !ExecutionContext.instance().validate(Property.GENERATED_PRIVATE_KEY, privateKey)) {"
GENERATED_PRIVATE_KEY,READ,SignatureSpec.mop,83,SignatureSpec,i2,"if (privateKey != null && !ExecutionContext.instance().validate(Property.GENERATED_PRIVATE_KEY, privateKey)) {"
GENERATED_PUBLIC_KEY,READ,SignatureSpec.mop,107,SignatureSpec,i4,"if (key != null && !ExecutionContext.instance().validate(Property.GENERATED_PUBLIC_KEY, key)) {"
SIGNED,WRITE,SignatureSpec.mop,122,SignatureSpec,s1,"ExecutionContext.instance().setProperty(Property.SIGNED, output);"
SIGNED,WRITE,SignatureSpec.mop,130,SignatureSpec,s2,"ExecutionContext.instance().setProperty(Property.SIGNED, output);"
VERIFIED,WRITE,SignatureSpec.mop,137,SignatureSpec,v1,"ExecutionContext.instance().setProperty(Property.VERIFIED, signed);"
VERIFIED,WRITE,SignatureSpec.mop,145,SignatureSpec,v2,"ExecutionContext.instance().setProperty(Property.VERIFIED, signed);"
GENERATED_KEY_STORE,READ,TrustManagerFactorySpec.mop,79,TrustManagerFactorySpec,i1,"if (keyStore != null && !ExecutionContext.instance().validate(Property.GENERATED_KEY_STORE, keyStore)) {"
GENERATED_TRUST_MANAGER,WRITE,TrustManagerFactorySpec.mop,83,TrustManagerFactorySpec,i1,"ExecutionContext.instance().setProperty(Property.GENERATED_TRUST_MANAGER, trustManagerFactory);"
GENERATED_TRUST_MANAGER,WRITE,TrustManagerFactorySpec.mop,94,TrustManagerFactorySpec,i2,"ExecutionContext.instance().setProperty(Property.GENERATED_TRUST_MANAGER, trustManagerFactory);"
GENERATED_TRUST_MANAGERS,WRITE,TrustManagerFactorySpec.mop,109,TrustManagerFactorySpec,gtm1,"ExecutionContext.instance().setProperty(Property.GENERATED_TRUST_MANAGERS, trustManager);"
GENERATED_TRUST_MANAGER,REMOVE,TrustManagerFactorySpec.mop,144,TrustManagerFactorySpec,@fail,"ExecutionContext.instance().remove(Property.GENERATED_TRUST_MANAGER, trustManagerFactory);"
GENERATED_TRUST_MANAGERS,REMOVE,TrustManagerFactorySpec.mop,145,TrustManagerFactorySpec,@fail,"ExecutionContext.instance().remove(Property.GENERATED_TRUST_MANAGERS, trustManagers);"
