property,kind,file,line,spec,event,snippet
GENERATED_KEY_STORE,REMOVE,KeyStoreSpec.mop,80,KeyStoreSpec,@fail,"ExecutionContext.instance().remove(Property.GENERATED_KEY_STORE, keyStore);"
GENERATED_KEY,READ,MacSpec.mop,47,MacSpec,i1,"condition(ExecutionContext.instance().validate(Property.GENERATED_KEY, key)) {"
GENERATED_KEY,READ,MacSpec.mop,59,MacSpec,i2,"condition(ExecutionContext.instance().validate(Property.GENERATED_KEY, key))  {"
GENERATED_MAC,WRITE,MacSpec.mop,73,MacSpec,f1,"ExecutionContext.instance().setProperty(Property.GENERATED_MAC, output);"
GENERATED_MAC,WRITE,MacSpec.mop,80,MacSpec,f2,"ExecutionContext.instance().setProperty(Property.GENERATED_MAC, output);"
GENERATED_MAC,REMOVE,MacSpec.mop,87,MacSpec,@fail,ExecutionContext.instance().remove(Property.GENERATED_MAC);
DIGESTED,WRITE,MessageDigestSpec.mop,81,MessageDigestSpec,d1,"ExecutionContext.instance().setProperty(Property.DIGESTED, out);"
DIGESTED,WRITE,MessageDigestSpec.mop,94,MessageDigestSpec,d2,"ExecutionContext.instance().setProperty(Property.DIGESTED, out);"
DIGESTED,WRITE,MessageDigestSpec.mop,101,MessageDigestSpec,d3,"ExecutionContext.instance().setProperty(Property.DIGESTED, out);"
RANDOMIZED,READ,PBEKeySpecSpec.mop,38,PBEKeySpecSpec,c1,"ExecutionContext.instance().validate(Property.RANDOMIZED, password) &&"
RANDOMIZED,READ,PBEKeySpecSpec.mop,39,PBEKeySpecSpec,c1,"ExecutionContext.instance().validate(Property.RANDOMIZED, salt)"
SPECCED_KEY,WRITE,PBEKeySpecSpec.mop,42,PBEKeySpecSpec,c1,"ExecutionContext.instance().setProperty(Property.SPECCED_KEY, spec);"
RANDOMIZED,READ,PBEKeySpecSpec.mop,56,PBEKeySpecSpec,err2,"condition( ! ExecutionContext.instance().validate(Property.RANDOMIZED, password) ) {"
RANDOMIZED,READ,PBEKeySpecSpec.mop,64,PBEKeySpecSpec,err3,"condition( ! ExecutionContext.instance().validate(Property.RANDOMIZED, salt) ) {"
SPECCED_KEY,REMOVE,PBEKeySpecSpec.mop,72,PBEKeySpecSpec,c2,"ExecutionContext.instance().remove(Property.SPECCED_KEY, s);"
RANDOMIZED,READ,PBEParameterSpecSpec.mop,27,PBEParameterSpecSpec,c1,"ExecutionContext.instance().validate(Property.RANDOMIZED, salt)"
RANDOMIZED,READ,PBEParameterSpecSpec.mop,37,PBEParameterSpecSpec,c2,"ExecutionContext.instance().validate(Property.RANDOMIZED, salt)"
RANDOMIZED,READ,PBEParameterSpecSpec.mop,47,PBEParameterSpecSpec,c3,"!(ExecutionContext.instance().validate(Property.RANDOMIZED, salt))"
PREPARED_PBE,WRITE,PBEParameterSpecSpec.mop,61,PBEParameterSpecSpec,@match,"ExecutionContext.instance().setProperty(Property.PREPARED_PBE, spec);"
RANDOMIZED,READ,RandomStringPassword.mop,14,RandomStringPasswordSpec,vo,"condition(ExecutionContext.instance().validate(Property.RANDOMIZED, obj)) {"
RANDOMIZED,WRITE,RandomStringPassword.mop,15,RandomStringPasswordSpec,vo,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, s);"
RANDOMIZED,READ,RandomStringPassword.mop,21,RandomStringPasswordSpec,gb,"condition(ExecutionContext.instance().validate(Property.RANDOMIZED, s)) {"
RANDOMIZED,WRITE,RandomStringPassword.mop,22,RandomStringPasswordSpec,gb,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, chars);"
GENERATE_SSL_CONTEXT,WRITE,SSLContextSpec.mop,60,SSLContextSpec,init,"ExecutionContext.instance().setProperty(Property.GENERATE_SSL_CONTEXT, context);"
GENERATE_SSL_ENGINE,WRITE,SSLContextSpec.mop,66,SSLContextSpec,engine,"ExecutionContext.instance().setProperty(Property.GENERATE_SSL_ENGINE, eng);"
GENERATED_KEY,READ,SecretKeySpec.mop,25,SecretKeySpec,e1,"condition(ExecutionContext.instance().validate(Property.GENERATED_KEY, secretKey)) {"
RANDOMIZED,WRITE,SecretKeySpec.mop,26,SecretKeySpec,e1,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, key);"
RANDOMIZED,READ,SecretKeySpecSpec.mop,29,SecretKeySpecSpec,c1,"ExecutionContext.instance().validate(Property.RANDOMIZED, keyMaterial))"
RANDOMIZED,READ,SecretKeySpecSpec.mop,46,SecretKeySpecSpec,c3,"ExecutionContext.instance().validate(Property.RANDOMIZED, keyMaterial))"
GENERATED_KEY,WRITE,SecretKeySpecSpec.mop,68,SecretKeySpecSpec,@match,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY, spec);"
RANDOMIZED,READ,SecureRandomSpec.mop,38,SecureRandomSpec,c2,"condition(ExecutionContext.instance().validate(Property.RANDOMIZED, seed)) {"
RANDOMIZED,READ,SecureRandomSpec.mop,46,SecureRandomSpec,c3,"condition(!ExecutionContext.instance().validate(Property.RANDOMIZED, seed)) {"
RANDOMIZED,READ,SecureRandomSpec.mop,93,SecureRandomSpec,setSeed2,"condition(ExecutionContext.instance().validate(Property.RANDOMIZED, seed)) {  }"
RANDOMIZED,READ,SecureRandomSpec.mop,99,SecureRandomSpec,setSeed3,"condition(!ExecutionContext.instance().validate(Property.RANDOMIZED, seed)) {"
RANDOMIZED,WRITE,SecureRandomSpec.mop,107,SecureRandomSpec,genSeed,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, seed);"
RANDOMIZED,WRITE,SecureRandomSpec.mop,115,SecureRandomSpec,next1,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, randIntInRange);"
RANDOMIZED,WRITE,SecureRandomSpec.mop,122,SecureRandomSpec,next2,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, bytes);"
RANDOMIZED,WRITE,SecureRandomSpec.mop,128,SecureRandomSpec,next3,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, randInt);"
RANDOMIZED,WRITE,SecureRandomSpec.mop,134,SecureRandomSpec,ints,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, stream);"
RANDOMIZED,WRITE,SecureRandomSpec.mop,173,SecureRandomSpec,@match1,"ExecutionContext.instance().setProperty(Property.RANDOMIZED, sr);"
SIGNED,WRITE,SignatureSpec.mop,101,SignatureSpec,s1,"ExecutionContext.instance().setProperty(Property.SIGNED, output);"
SIGNED,WRITE,SignatureSpec.mop,109,SignatureSpec,s2,"ExecutionContext.instance().setProperty(Property.SIGNED, output);"
VERIFIED,WRITE,SignatureSpec.mop,116,SignatureSpec,v1,"ExecutionContext.instance().setProperty(Property.VERIFIED, signed);"
VERIFIED,WRITE,SignatureSpec.mop,124,SignatureSpec,v2,"ExecutionContext.instance().setProperty(Property.VERIFIED, signed);"
GENERATED_TRUST_MANAGER,WRITE,TrustManagerFactorySpec.mop,59,TrustManagerFactorySpec,init,"ExecutionContext.instance().setProperty(Property.GENERATED_TRUST_MANAGER, trustManagerFactory);"
GENERATED_KEY_MANAGERS,WRITE,TrustManagerFactorySpec.mop,65,TrustManagerFactorySpec,gtm1,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY_MANAGERS, trustManager);"
GENERATED_TRUST_MANAGER,REMOVE,TrustManagerFactorySpec.mop,87,TrustManagerFactorySpec,@fail,ExecutionContext.instance().remove(Property.GENERATED_TRUST_MANAGER);
GENERATED_TRUST_MANAGERS,REMOVE,TrustManagerFactorySpec.mop,88,TrustManagerFactorySpec,@fail,ExecutionContext.instance().remove(Property.GENERATED_TRUST_MANAGERS);
