apk,declared_package,classes_before,classes_after,methods_before,methods_after,activities_before,activities_after
com.dessalines.habitmaker_5501,com.dessalines.habitmaker.debug,0,682,0,2988,0,1
com.dessalines.rankmyfavs_44,com.dessalines.rankmyfavs.debug,0,670,0,2798,0,1
com.dessalines.thumbkey_179,com.dessalines.thumbkey.debug,0,1265,0,5913,0,1
com.ds.avare_404,com.ds.avare,631,631,3854,3854,18,18
com.etesync.syncadapter_20700,com.etesync.syncadapter,802,802,4324,4324,22,22
com.faltenreich.diaguard_68,com.faltenreich.diaguard.beta,0,678,0,3472,0,1
com.flauschcode.broccoli_1040400,com.flauschcode.broccoli,466,466,2056,2056,4,4
com.floflacards.app_14,com.floflacards.app,1296,1296,6186,6186,2,2
com.flxrs.dankchat_40038,com.flxrs.dankchat,5519,5519,29374,29374,2,2
com.fredhappyface.ewesticker_20250217,com.fredhappyface.ewesticker,63,63,295,295,1,1
com.gasperpintar.smokingtracker_12,com.gasperpintar.smokingtracker,395,395,1788,1788,4,4
com.gaurav.avnc_51,com.gaurav.avnc.debug,0,656,0,3678,0,6
com.gelakinetic.mtgfam_99,com.gelakinetic.mtgfam.debug,0,457,0,2496,0,2
com.github.cvzi.screenshottile_148,com.github.cvzi.screenshottile.debug,0,21,0,394,0,21
com.github.gotify_35,com.github.gotify,331,331,1824,1824,7,7
com.github.livingwithhippos.unchained_60,com.github.livingwithhippos.unchained.debug,0,2,0,45,0,2
com.hegocre.nextcloudpasswords_38,com.hegocre.nextcloudpasswords.debug,0,1164,0,4832,0,5
com.hwloc.lstopo_80283,com.hwloc.lstopo,37,37,182,182,4,4
com.ivanovsky.passnotes_11700,com.ivanovsky.passnotes,2575,2575,13818,13818,2,2
com.iyps_158,com.iyps,259,259,1220,1220,3,3
com.jerboa_87,com.jerboa.debug,0,3171,0,14156,0,1
com.js.nowakelock_87,com.js.nowakelock,1348,1348,6625,6625,1,1
com.kin.easynotes_14,com.kin.easynotes.debug,0,938,0,4126,0,2
com.kolktech.linxshare_22,com.kolktech.linxshare,137,137,638,638,2,2
com.kwasow.musekit_1721768604,com.kwasow.musekit.beta,0,525,0,2235,0,1
com.kylecorry.trail_sense_145,com.kylecorry.trail_sense,6634,6634,30841,30841,4,4
com.leekleak.trafficlight_38,com.leekleak.trafficlight.debug,0,1184,0,5200,0,2
com.luk.saucenao_27,com.luk.saucenao,154,154,655,655,2,2
com.manimarank.spell4wiki_21,com.manimarank.spell4wiki,395,395,2542,2542,16,16
com.matedroid_178120864,com.matedroid,3246,3246,17432,17432,2,2
com.mateusrodcosta.apps.share2storage_34,com.mateusrodcosta.apps.share2storage.debug,0,260,0,1279,0,2
com.mateusrodcosta.apps.vidyamusic_2200,com.mateusrodcosta.apps.vidyamusic.debug,0,309,0,1541,0,1
com.mensinator.app_24,com.mensinator.app.debug,0,586,0,2755,0,1
com.micoyc.speakthat_58,com.micoyc.speakthat,1379,1379,8234,8234,27,27
com.nononsenseapps.feeder.play_4025,com.nononsenseapps.feeder.debug,0,6,0,115,0,6
com.ominous.quickweather_112,com.ominous.quickweather.debug,0,431,0,1936,0,3
com.owncloud.android_48000100,com.owncloud.android.debug,0,2980,0,16594,0,24
com.password.monitor_102,com.password.monitor,182,182,832,832,3,3
com.quantum_prof.phantalandwaittimes_5,com.quantum_prof.phantalandwaittimes,273,273,1181,1181,1,1
com.rastislavkish.vscan_24,com.rastislavkish.vscan,314,314,2013,2013,14,14
com.rtbishop.look4sat_410,com.rtbishop.look4sat.debug,0,982,0,5173,0,1
com.sakethh.linkora_50,com.sakethh.linkora.debug,0,3958,0,20153,0,2
com.sapuseven.untis_29198884,com.sapuseven.untis.debug,0,2931,0,16500,0,4
com.schwegelbin.openbible_46,com.schwegelbin.openbible,263,263,1191,1191,1,1
com.serwylo.beatgame_35,com.serwylo.beatgame,368,368,1929,1929,1,1
com.serwylo.retrowars_70,com.serwylo.retrowars,514,514,2933,2933,1,1
com.smartpack.packagemanager_79,com.smartpack.packagemanager.debug,0,390,0,1636,0,11
com.sshborg_18,com.sshborg.debug,0,992,0,4761,0,1
com.starry.greenstash_440,com.starry.greenstash,1327,1327,5561,5561,2,2
com.starry.myne_500,com.starry.myne,1024,1024,4580,4580,2,2
com.surfaceocean.nexttraceroute_16,com.surfaceocean.nexttraceroute,258,258,1037,1037,1,1
com.tananaev.passportreader_22,com.tananaev.passportreader,18,18,77,77,2,2
com.tk.quicksearch_65,com.tk.quicksearch.debug,0,6059,0,35563,0,6
com.trianguloy.urlchecker_47,com.trianguloy.urlchecker,387,387,1629,1629,10,10
com.vermont.possin_8,com.vermont.possin,301,301,1618,1618,15,15
com.vishaltelangre.nerdcalci_490,com.vishaltelangre.nerdcalci,1459,1459,6546,6546,1,1
com.vrem.wifianalyzer_71,com.vrem.wifianalyzer.BETA,0,343,0,1876,0,1
com.yogeshpaliyal.deepr_28,com.yogeshpaliyal.deepr.debug,0,1352,0,6244,0,2
de.luhmer.owncloudnewsreader_196,de.luhmer.owncloudnewsreader,528,528,2939,2939,7,7
de.lukasneugebauer.nextcloudcookbook_62,de.lukasneugebauer.nextcloudcookbook.debug,0,1431,0,6331,0,1
de.markusfisch.android.binaryeye_174,de.markusfisch.android.binaryeye.debug,0,367,0,2103,0,13
de.markusfisch.android.shadereditor_93,de.markusfisch.android.shadereditor.debug,0,425,0,2283,0,9
de.stephanlindauer.criticalmaps_104,de.stephanlindauer.criticalmaps.debug,0,168,0,740,0,1
dev.anilbeesetti.nextplayer_42,dev.anilbeesetti.nextplayer.debug,0,2282,0,9796,0,3
dev.dettmer.simplenotes_41,dev.dettmer.simplenotes.debug,0,2131,0,10676,0,5
dev.itsvic.parceltracker_10501000,dev.itsvic.parceltracker,625,625,3939,3939,2,2
dev.leonlatsch.photok_62,dev.leonlatsch.photok,2044,2044,9436,9436,3,3
dev.patri9ck.a2ln_25,dev.patri9ck.a2ln,96,96,432,432,1,1
dev.sebaubuntu.athena_17,dev.sebaubuntu.athena.dev,0,672,0,3014,0,1
dev.spiegl.flyingcarpet_21,dev.spiegl.flyingcarpet,59,59,382,382,1,1
dev.ukanth.ufirewall_20260301,dev.ukanth.ufirewall,457,457,2661,2661,16,16
eu.darken.myperm_20101000,eu.darken.myperm,3557,3557,16031,16031,3,3
eu.darken.sdmse_10705000,eu.darken.sdmse,14860,14860,62448,62448,3,3
eu.faircode.email_2322,eu.faircode.email.debug,0,3777,0,17250,0,20
eu.opencloud.android_9,eu.opencloud.android.qa.debug,0,2644,0,14853,0,23
fr.corenting.traficparis_34,fr.corenting.traficparis,98,98,619,619,1,1
github.paroj.dsub2000_217,github.paroj.dsub2000,797,797,5176,5176,6,6
io.github.garemat.lunachron_23201,io.github.garemat.lunachron,3300,3300,17113,17113,1,1
io.github.jd1378.otphelper_52000,io.github.jd1378.otphelper,1067,1067,4748,4748,1,1
io.github.samolego.canta_225,io.github.samolego.canta,582,582,2571,2571,1,1
io.keepalive.android_133,io.keepalive.android.debug,0,203,0,949,0,3
io.treehouses.remote_6098,io.treehouses.remote,788,788,5002,5002,8,8
it.danieleverducci.nextcloudmaps_9,it.danieleverducci.nextcloudmaps,111,111,512,512,6,6
it.niedermann.owncloud.notes_340000090,it.niedermann.owncloud.notes,1318,1318,5719,5719,14,14
jwtc.android.chess_283,jwtc.android.chess,469,469,2271,2271,20,20
me.diamondforge.tokn_19,me.diamondforge.tokn.debug,0,2151,0,9174,0,1
me.hackerchick.sharetoinputstick_26,me.hackerchick.sharetoinputstick,61,61,285,285,1,1
me.mudkip.moememos_48,me.mudkip.moememos,1509,1509,6879,6879,3,3
me.rosuh.easywatermark_21000,me.rosuh.easywatermark.debug,0,780,0,3883,0,3
me.testcase.ognarviewer_25,me.testcase.ognarviewer.debug,0,134,0,716,0,2
me.timschneeberger.rootlessjamesdsp_51,me.timschneeberger.rootlessjamesdsp.debug,0,918,0,4858,0,11
me.zhanghai.android.untracker_9,me.zhanghai.android.untracker,330,330,1408,1408,2,2
net.adhikary.mrtbuddy_24,net.adhikary.mrtbuddy,461,461,2252,2252,1,1
net.christianbeier.droidvnc_ng_60,net.christianbeier.droidvnc_ng,131,131,570,570,7,7
net.gaast.giggity_769,net.gaast.giggity,147,147,780,780,4,4
net.osmtracker_73,net.osmtracker,232,232,1088,1088,19,19
net.pfiers.osmfocus_1009013,net.pfiers.osmfocus,749,749,3446,3446,2,2
net.phbwt.paperwork_1003007,net.phbwt.paperwork,791,791,3763,3763,2,2
nz.eloque.foss_wallet_111,nz.eloque.foss_wallet.dev,0,1087,0,4593,0,2
org.cry.otp_31,org.cry.otp,23,23,97,97,3,3
org.css_apps_m3.password_manager_16,org.css_apps_m3.password_manager,385,385,1788,1788,3,3
org.fedorahosted.freeotp_48,org.fedorahosted.freeotp.debug,0,149,0,602,0,4
org.fossify.calendar_20,org.fossify.calendar.debug,0,1054,0,5161,0,13
org.fossify.keyboard_14,org.fossify.keyboard.debug,0,202,0,1010,0,5
org.fossify.math_10,org.fossify.math.debug,0,272,0,1371,0,7
org.fossify.messages_20,org.fossify.messages.debug,0,704,0,3573,0,11
org.fossify.musicplayer_14,org.fossify.musicplayer.debug,0,705,0,3249,0,11
org.fossify.notes_13,org.fossify.notes.debug,0,380,0,1815,0,5
org.fossify.paint_7,org.fossify.paint.debug,0,87,0,447,0,4
org.fossify.voicerecorder_18,org.fossify.voicerecorder.debug,0,185,0,880,0,6
org.glpi.inventory.agent_39469,org.glpi.inventory.agent,179,179,814,814,10,10
org.hwyl.sexytopo_93,org.hwyl.sexytopo,462,462,3002,3002,13,13
org.isoron.uhabits_20301,org.isoron.uhabits,641,641,3991,3991,11,11
org.jellyfin.mobile_2060499,org.jellyfin.mobile.debug,0,870,0,4148,0,1
org.liberty.android.fantastischmemo_241,org.liberty.android.fantastischmemo,646,646,3446,3446,19,19
org.musicbrainz.picard.barcodescanner_38,org.musicbrainz.picard.barcodescanner.debug,0,51,0,246,0,5
org.nqmgaming.aneko_34,org.nqmgaming.aneko,589,589,2642,2642,2,2
org.nsh07.pomodoro_34,org.nsh07.pomodoro.debug,0,1265,0,5270,0,1
org.openhab.habdroid_589,org.openhab.habdroid.beta,0,965,0,5803,0,16
org.piepmeyer.gauguin_75,org.piepmeyer.gauguin.debug,0,923,0,4554,0,8
org.prauga.messages_8,org.prauga.messages.debug,0,3330,0,15957,0,12
org.quantumbadger.redreader_117,org.quantumbadger.redreader,1796,1796,9333,9333,22,22
org.tomasino.stutter_29,org.tomasino.stutter,308,308,1572,1572,2,2
org.totschnig.myexpenses_858,org.totschnig.myexpenses.debug,0,5597,0,30997,0,46
org.wikipedia_50595,org.wikipedia,7987,7987,39950,39950,73,73
rocks.poopjournal.metadataremover_20020,rocks.poopjournal.metadataremover,480,480,1900,1900,5,5
se.arctosoft.vault_41,se.arctosoft.vault.dev,0,333,0,2280,0,1
swati4star.createpdf_110,swati4star.createpdf,529,529,2447,2447,10,10
systems.sieber.droid_scep_7,systems.sieber.droid_scep,58,58,174,174,3,3
ua.acclorite.book_story_14,ua.acclorite.book_story.debug,0,3088,0,12191,0,2
ua.com.radiokot.lnaddr2invoice_8,ua.com.radiokot.lnaddr2invoice,154,154,566,566,3,3
ua.com.radiokot.photoprism_67,ua.com.radiokot.photoprism.debug,0,2991,0,12963,0,21
uk.org.ngo.squeezer_158,uk.org.ngo.squeezer,696,696,3889,3889,15,15
vadimerenkov.aucards_21,vadimerenkov.aucards,612,612,2823,2823,2,2
