Project,ErrorType,Class,Method,ViolatedRule,Object1, Object2,Statement
de.php_tech.piggybudget_25.apk,ConstraintError,okio.ByteString,okio.ByteString digest(java.lang.String),java.security.MessageDigest, (on Object #b336d574501b28a5bd90db22472c23a68acb0c1b99c4f14746fdc2a23c69a24e),"First parameter (with value ""SHA-1"") should be any of {SHA-256, SHA-384, SHA-512}",$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
de.php_tech.piggybudget_25.apk,ConstraintError,okio.ByteString,okio.ByteString digest(java.lang.String),java.security.MessageDigest, (on Object #b336d574501b28a5bd90db22472c23a68acb0c1b99c4f14746fdc2a23c69a24e),"First parameter (with value ""MD5"") should be any of {SHA-256, SHA-384, SHA-512}",$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
de.php_tech.piggybudget_25.apk,RequiredPredicateError,okhttp3.OkHttpClient,javax.net.ssl.SSLSocketFactory newSslSocketFactory(javax.net.ssl.X509TrustManager),javax.net.ssl.SSLContext ,Second parameter was not properly generated as generated Trust Managers,"virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer7697, $r7, varReplacer7697)"
de.php_tech.piggybudget_25.apk,RequiredPredicateError,okhttp3.OkHttpClient,javax.net.ssl.SSLSocketFactory newSslSocketFactory(javax.net.ssl.X509TrustManager),javax.net.ssl.SSLContext ,Third parameter was not properly generated as randomized,"virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer7697, $r7, varReplacer7697)"
de.php_tech.piggybudget_25.apk,RequiredPredicateError,okhttp3.OkHttpClient,javax.net.ssl.SSLSocketFactory newSslSocketFactory(javax.net.ssl.X509TrustManager),javax.net.ssl.SSLContext ,First parameter was not properly generated as generated Key Managers,"virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer7697, $r7, varReplacer7697)"
de.php_tech.piggybudget_25.apk,RequiredPredicateError,okhttp3.internal.Util,javax.net.ssl.X509TrustManager platformTrustManager(),javax.net.ssl.TrustManagerFactory ,First parameter was not properly generated as generated Key Store,virtualinvoke $r1.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer7702)
xyz.hisname.fireflyiii_104.apk,RequiredPredicateError,xyz.hisname.fireflyiii.util.network.CustomCa$trustManager$2,java.lang.Object invoke(),javax.net.ssl.KeyManagerFactory ,First parameter was not properly generated as generated Key Store,"virtualinvoke $r11.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r7, $r6)"
xyz.hisname.fireflyiii_104.apk,NeverTypeOfError,xyz.hisname.fireflyiii.util.network.CustomCa$trustManager$2,java.lang.Object invoke(),java.security.KeyStore, (on Object #5fef08d2d83b56b144e1f4188bf06b53d5a87d58fafc287e7a7b46dd8d078f58),Second parameter should never be of type java.lang.String.,"virtualinvoke $r7.<java.security.KeyStore: void load(java.io.InputStream,char[])>(varReplacer17691, $r6)"
xyz.hisname.fireflyiii_104.apk,HardCodedError,xyz.hisname.fireflyiii.util.network.CustomCa$trustManager$2,java.lang.Object invoke(),java.security.KeyStore, (on Object #5fef08d2d83b56b144e1f4188bf06b53d5a87d58fafc287e7a7b46dd8d078f58),Second parameter should never be hardcoded.,"virtualinvoke $r7.<java.security.KeyStore: void load(java.io.InputStream,char[])>(varReplacer17691, $r6)"
xyz.hisname.fireflyiii_104.apk,RequiredPredicateError,xyz.hisname.fireflyiii.util.network.CustomCa$trustManager$2,java.lang.Object invoke(),javax.net.ssl.TrustManagerFactory ,First parameter was not properly generated as generated Key Store,virtualinvoke $r12.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>($r7)
xyz.hisname.fireflyiii_104.apk,NeverTypeOfError,xyz.hisname.fireflyiii.util.network.CustomCa$trustManager$2,java.lang.Object invoke(),javax.net.ssl.KeyManagerFactory, (on Object #7d031289ffbcc43643ca82549b18d0378a29c26645a0a4314f52a0fcacf924bc),Second parameter should never be of type java.lang.String.,"virtualinvoke $r11.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r7, $r6)"
xyz.hisname.fireflyiii_104.apk,HardCodedError,xyz.hisname.fireflyiii.util.network.CustomCa$trustManager$2,java.lang.Object invoke(),javax.net.ssl.KeyManagerFactory, (on Object #7d031289ffbcc43643ca82549b18d0378a29c26645a0a4314f52a0fcacf924bc),Second parameter should never be hardcoded.,"virtualinvoke $r11.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r7, $r6)"
xyz.hisname.fireflyiii_104.apk,RequiredPredicateError,xyz.hisname.fireflyiii.util.network.CustomCa,javax.net.ssl.SSLSocketFactory getCustomSSL(),javax.net.ssl.SSLContext ,First parameter was not properly generated as generated Key Managers,"virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer27282, $r8, $r7)"
xyz.hisname.fireflyiii_104.apk,ConstraintError,xyz.hisname.fireflyiii.util.network.CustomCa,javax.net.ssl.SSLSocketFactory getCustomSSL(),javax.net.ssl.SSLContext, (on Object #f7747e6579558a5369bbd9e3a4c45f72185f7fec6062547965c3b631be9e60d4),"First parameter (with value ""TLS"") should be any of {TLSv1.2, TLSv1.3}",$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer27284)
xyz.hisname.fireflyiii_104.apk,RequiredPredicateError,xyz.hisname.fireflyiii.util.network.CustomCa,javax.net.ssl.SSLSocketFactory getCustomSSL(),javax.net.ssl.SSLContext ,Second parameter was not properly generated as generated Trust Managers,"virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer27282, $r8, $r7)"
xyz.hisname.fireflyiii_104.apk,ConstraintError,androidx.biometric.CryptoObjectUtils,androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject(),java.security.KeyStore, (on Object #cebda476be00badd32cfc864e7d41de57fc78e2ab18bcb797a939c480c7e9f05),"First parameter (with value ""AndroidKeyStore"") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12}",$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer28458)
xyz.hisname.fireflyiii_104.apk,RequiredPredicateError,androidx.biometric.CryptoObjectUtils,androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject(),javax.crypto.Cipher ,Second parameter was not properly generated as generated Key,"virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer28454, $r5)"
xyz.hisname.fireflyiii_104.apk,ConstraintError,androidx.biometric.CryptoObjectUtils,androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject(),javax.crypto.Cipher, (on Object #3f1f0fce2113561cdfd72c6a71f479711a6677b033d4b9f91cefeb345da0ab80),"First parameter (with value ""AES/CBC/PKCS7Padding"") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding}",$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer28457)
xyz.hisname.fireflyiii_104.apk,IncompleteOperationError,com.bumptech.glide.request.target.CustomTarget,void getSize(com.bumptech.glide.request.target.SizeReadyCallback),java.security.MessageDigest, (on Object #8253b4e2be8291e7713b8c74df98d142c5d7944f04e8863bfe7c30e2aa556675),"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","virtualinvoke $r2.<com.bumptech.glide.request.SingleRequest: void onSizeReady(int,int)>($i0, $i1)"
xyz.hisname.fireflyiii_104.apk,IncompleteOperationError,com.bumptech.glide.load.engine.EngineJob,void callCallbackOnResourceReady(com.bumptech.glide.request.ResourceCallback),java.security.MessageDigest, (on Object #8253b4e2be8291e7713b8c74df98d142c5d7944f04e8863bfe7c30e2aa556675),"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","virtualinvoke $r4.<com.bumptech.glide.request.SingleRequest: void onResourceReady(com.bumptech.glide.load.engine.Resource,com.bumptech.glide.load.DataSource,boolean)>($r3, $r1, $z0)"
xyz.hisname.fireflyiii_104.apk,IncompleteOperationError,com.bumptech.glide.load.engine.EngineJob$CallLoadFailed,void run(),java.security.MessageDigest, (on Object #8253b4e2be8291e7713b8c74df98d142c5d7944f04e8863bfe7c30e2aa556675),"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update",$r3 = virtualinvoke $r2.<com.bumptech.glide.request.SingleRequest: java.lang.Object getLock()>()
xyz.hisname.fireflyiii_104.apk,IncompleteOperationError,com.bumptech.glide.load.engine.EngineJob$CallLoadFailed,void run(),java.security.MessageDigest, (on Object #8253b4e2be8291e7713b8c74df98d142c5d7944f04e8863bfe7c30e2aa556675),"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update",virtualinvoke $r2.<com.bumptech.glide.request.SingleRequest: void onLoadFailed(com.bumptech.glide.load.engine.GlideException)>($r7)
xyz.hisname.fireflyiii_104.apk,IncompleteOperationError,com.bumptech.glide.manager.RequestTracker,void resumeRequests(),java.security.MessageDigest, (on Object #8253b4e2be8291e7713b8c74df98d142c5d7944f04e8863bfe7c30e2aa556675),"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update",$z0 = interfaceinvoke $r6.<com.bumptech.glide.request.Request: boolean isComplete()>()
xyz.hisname.fireflyiii_104.apk,IncompleteOperationError,com.bumptech.glide.manager.RequestTracker,void resumeRequests(),java.security.MessageDigest, (on Object #8253b4e2be8291e7713b8c74df98d142c5d7944f04e8863bfe7c30e2aa556675),"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update",$z0 = interfaceinvoke $r6.<com.bumptech.glide.request.Request: boolean isRunning()>()
xyz.hisname.fireflyiii_104.apk,IncompleteOperationError,com.bumptech.glide.manager.RequestTracker,void resumeRequests(),java.security.MessageDigest, (on Object #8253b4e2be8291e7713b8c74df98d142c5d7944f04e8863bfe7c30e2aa556675),"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update",interfaceinvoke $r6.<com.bumptech.glide.request.Request: void begin()>()
xyz.hisname.fireflyiii_104.apk,IncompleteOperationError,com.bumptech.glide.request.ThumbnailRequestCoordinator,void begin(),java.security.MessageDigest, (on Object #8253b4e2be8291e7713b8c74df98d142c5d7944f04e8863bfe7c30e2aa556675),"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update",interfaceinvoke $r2.<com.bumptech.glide.request.Request: void begin()>()
xyz.hisname.fireflyiii_104.apk,IncompleteOperationError,com.bumptech.glide.request.ThumbnailRequestCoordinator,void begin(),java.security.MessageDigest, (on Object #8253b4e2be8291e7713b8c74df98d142c5d7944f04e8863bfe7c30e2aa556675),"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update",interfaceinvoke $r2.<com.bumptech.glide.request.Request: void begin()>()
xyz.hisname.fireflyiii_104.apk,IncompleteOperationError,com.bumptech.glide.RequestBuilder,"com.bumptech.glide.request.target.Target into(com.bumptech.glide.request.target.Target,com.bumptech.glide.request.RequestListener,com.bumptech.glide.request.BaseRequestOptions,java.util.concurrent.Executor)",java.security.MessageDigest, (on Object #8253b4e2be8291e7713b8c74df98d142c5d7944f04e8863bfe7c30e2aa556675),"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update",interfaceinvoke $r9.<com.bumptech.glide.request.Request: void begin()>()
xyz.hisname.fireflyiii_104.apk,IncompleteOperationError,com.bumptech.glide.RequestBuilder,"com.bumptech.glide.request.target.Target into(com.bumptech.glide.request.target.Target,com.bumptech.glide.request.RequestListener,com.bumptech.glide.request.BaseRequestOptions,java.util.concurrent.Executor)",java.security.MessageDigest, (on Object #8253b4e2be8291e7713b8c74df98d142c5d7944f04e8863bfe7c30e2aa556675),"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","virtualinvoke $r10.<com.bumptech.glide.RequestManager: void track(com.bumptech.glide.request.target.Target,com.bumptech.glide.request.Request)>($r1, $r8)"
xyz.hisname.fireflyiii_104.apk,IncompleteOperationError,com.bumptech.glide.request.ErrorRequestCoordinator,void begin(),java.security.MessageDigest, (on Object #8253b4e2be8291e7713b8c74df98d142c5d7944f04e8863bfe7c30e2aa556675),"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update",interfaceinvoke $r2.<com.bumptech.glide.request.Request: void begin()>()
xyz.hisname.fireflyiii_104.apk,IncompleteOperationError,com.bumptech.glide.load.engine.Engine,"com.bumptech.glide.load.engine.Engine$LoadStatus load(com.bumptech.glide.GlideContext,java.lang.Object,com.bumptech.glide.load.Key,int,int,java.lang.Class,java.lang.Class,com.bumptech.glide.Priority,com.bumptech.glide.load.engine.DiskCacheStrategy,java.util.Map,boolean,boolean,com.bumptech.glide.load.Options,boolean,boolean,boolean,boolean,com.bumptech.glide.request.ResourceCallback,java.util.concurrent.Executor)",java.security.MessageDigest, (on Object #8253b4e2be8291e7713b8c74df98d142c5d7944f04e8863bfe7c30e2aa556675),"Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update","virtualinvoke $r17.<com.bumptech.glide.request.SingleRequest: void onResourceReady(com.bumptech.glide.load.engine.Resource,com.bumptech.glide.load.DataSource,boolean)>($r14, $r16, varReplacer56587)"
xyz.hisname.fireflyiii_104.apk,ConstraintError,okhttp3.internal.platform.AndroidPlatform,javax.net.ssl.SSLContext getSSLContext(),javax.net.ssl.SSLContext, (on Object #72c176a7816ff1a7e6233fe1049f49c86dbb7fb9c4c44063dd7f68c4789d8c90),"First parameter (with value ""TLS"") should be any of {TLSv1.2, TLSv1.3}",$r2 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer49932)
xyz.hisname.fireflyiii_104.apk,ConstraintError,okhttp3.internal.platform.Platform,javax.net.ssl.SSLContext getSSLContext(),javax.net.ssl.SSLContext, (on Object #d62cda2f76c92e45afe5abb4ccd341cf2b383c36bd5eeca6d6a4590beb4985f3),"First parameter (with value ""TLS"") should be any of {TLSv1.2, TLSv1.3}",$r2 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer49934)
xyz.hisname.fireflyiii_104.apk,ConstraintError,okhttp3.internal.platform.ConscryptPlatform,javax.net.ssl.SSLContext getSSLContext(),javax.net.ssl.SSLContext, (on Object #677a4fd8559f9312933d1b888b48c57a95ce4dd6105ea89e67436b672a241d7),"First parameter (with value ""TLS"") should be any of {TLSv1.2, TLSv1.3}","$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer49935, $r2)"
xyz.hisname.fireflyiii_104.apk,ConstraintError,okio.ByteString,okio.ByteString digest$okio(java.lang.String),java.security.MessageDigest, (on Object #ea0840b94e95f767ea25aa35611d3fdb379cdb84c49be399c4ff7525b48fb7fc),"First parameter (with value ""SHA-1"") should be any of {SHA-256, SHA-384, SHA-512}",$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
xyz.hisname.fireflyiii_104.apk,TypestateError,okio.SegmentedByteString,okio.ByteString digest$okio(java.lang.String),java.security.MessageDigest, (on Object #6c960e488f21ae2f1d37981b7f790ff5823030d9f242d798118968e0f93ba357),"Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[])",$r5 = virtualinvoke $r2.<java.security.MessageDigest: byte[] digest()>()
xyz.hisname.fireflyiii_104.apk,ConstraintError,okio.SegmentedByteString,okio.ByteString digest$okio(java.lang.String),java.security.MessageDigest, (on Object #6c960e488f21ae2f1d37981b7f790ff5823030d9f242d798118968e0f93ba357),"First parameter (with value ""SHA-1"") should be any of {SHA-256, SHA-384, SHA-512}",$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
xyz.hisname.fireflyiii_104.apk,RequiredPredicateError,okhttp3.OkHttpClient,void <init>(okhttp3.OkHttpClient$Builder),javax.net.ssl.SSLContext ,First parameter was not properly generated as generated Key Managers,"virtualinvoke $r21.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer41767, $r17, varReplacer41767)"
xyz.hisname.fireflyiii_104.apk,RequiredPredicateError,okhttp3.OkHttpClient,void <init>(okhttp3.OkHttpClient$Builder),javax.net.ssl.SSLContext ,Third parameter was not properly generated as randomized,"virtualinvoke $r21.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer41767, $r17, varReplacer41767)"
xyz.hisname.fireflyiii_104.apk,RequiredPredicateError,okhttp3.OkHttpClient,void <init>(okhttp3.OkHttpClient$Builder),javax.net.ssl.SSLContext ,Second parameter was not properly generated as generated Trust Managers,"virtualinvoke $r21.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer41767, $r17, varReplacer41767)"
xyz.hisname.fireflyiii_104.apk,RequiredPredicateError,okhttp3.OkHttpClient,void <init>(okhttp3.OkHttpClient$Builder),javax.net.ssl.TrustManagerFactory ,First parameter was not properly generated as generated Key Store,virtualinvoke $r16.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer41759)
com.marv42.ebt.newnote_5300.apk,ConstraintError,b.o.a.c,boolean d(java.lang.String),java.security.KeyStore, (on Object #a732dc5af6ddccf55a12f2fcafa4e4b2707ecb8717aed1015047758712dac474),"First parameter (with value ""AndroidKeyStore"") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12}",$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer13416)
com.marv42.ebt.newnote_5300.apk,ConstraintError,c.a.b.a.v.a.c$b,void <init>(),java.security.KeyStore, (on Object #29c4c750162a1812f30607083f4bc6eaa6954b7f3d89d1a597aa49a3797a792f),"First parameter (with value ""AndroidKeyStore"") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12}",$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer13429)
com.marv42.ebt.newnote_5300.apk,ConstraintError,c.a.b.a.v.a.c,boolean e(java.lang.String),java.security.KeyStore, (on Object #851b540ae15ac80c1245903c6b762a00cfe65db0ebba50d800d8632d328364b0),"First parameter (with value ""AndroidKeyStore"") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12}",$r4 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer13436)
com.marv42.ebt.newnote_5300.apk,ConstraintError,h.e0.d$a,void <init>(java.lang.String),java.security.MessageDigest, (on Object #4d69a1b60f1c33c9e3cba31477bd4f8febf6092b95846bd44c0c55c8143df192),"First parameter (with value ""SHA-1"") should be any of {SHA-256, SHA-384, SHA-512}",$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r2)
com.marv42.ebt.newnote_5300.apk,ConstraintError,h.e0.d$a,void <init>(java.lang.String),java.security.MessageDigest, (on Object #4d69a1b60f1c33c9e3cba31477bd4f8febf6092b95846bd44c0c55c8143df192),"First parameter (with value ""MD5"") should be any of {SHA-256, SHA-384, SHA-512}",$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r2)
com.marv42.ebt.newnote_5300.apk,TypestateError,h.e0.d$a,byte[] a(),java.security.MessageDigest, (on Object #4d69a1b60f1c33c9e3cba31477bd4f8febf6092b95846bd44c0c55c8143df192),"Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte)",$r1 = virtualinvoke $r2.<java.security.MessageDigest: byte[] digest()>()
com.marv42.ebt.newnote_5300.apk,ConstraintError,c.a.b.a.w.b$a,c.a.b.a.o c(c.a.b.a.y.v),javax.crypto.spec.SecretKeySpec, (on Object #e592ef5cf85fd170b4a8f9904ec6bd6f072581a264cb3e2853dea393860d36f5),"Second parameter (with value ""HMAC"") should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512}","specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r6, varReplacer22502)"
com.marv42.ebt.newnote_5300.apk,RequiredPredicateError,c.a.b.a.w.b$a,c.a.b.a.o c(c.a.b.a.y.v),javax.crypto.spec.SecretKeySpec ,First parameter was not properly generated as prepared Key Material,"specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r6, varReplacer22502)"
com.marv42.ebt.newnote_5300.apk,ConstraintError,c.a.b.a.a0.n$f,"java.security.MessageDigest b(java.lang.String,java.security.Provider)",java.security.MessageDigest, (on Object #39a65b2f31ec2206a49112d28b586f97fee8878a2d835f6d43a01b13d0081e98),"First parameter (with value ""AES/ECB/NoPadding"") should be any of {SHA-256, SHA-384, SHA-512}","$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String,java.security.Provider)>($r2, $r1)"
com.marv42.ebt.newnote_5300.apk,ConstraintError,c.a.b.a.a0.n$f,"java.security.MessageDigest b(java.lang.String,java.security.Provider)",java.security.MessageDigest, (on Object #ca1d39862678201296c51a955260641b41154c498e78328991560b425c11fd3),"First parameter (with value ""AES/ECB/NoPadding"") should be any of {SHA-256, SHA-384, SHA-512}",$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r2)
com.marv42.ebt.newnote_5300.apk,ConstraintError,c.a.b.a.a0.n$f,"java.security.MessageDigest b(java.lang.String,java.security.Provider)",java.security.MessageDigest, (on Object #39a65b2f31ec2206a49112d28b586f97fee8878a2d835f6d43a01b13d0081e98),"First parameter (with value ""AES/CTR/NoPadding"") should be any of {SHA-256, SHA-384, SHA-512}","$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String,java.security.Provider)>($r2, $r1)"
