apk,llm_calls,llm_matched,llm_tap,llm_no_match,llm_tap_rate
com.shub39.dharmik.online_2200.apk,355,239,79,37,0.22253521126760564
com.smartpack.packagemanager_79.apk,368,275,34,59,0.09239130434782608
com.sshborg_18.apk,306,216,65,25,0.21241830065359477
com.starry.greenstash_440.apk,302,182,86,34,0.2847682119205298
com.starry.myne_500.apk,301,201,39,61,0.12956810631229235
com.surfaceocean.nexttraceroute_16.apk,378,341,23,14,0.06084656084656084
com.tananaev.passportreader_22.apk,152,50,56,46,0.3684210526315789
com.tk.quicksearch_65.apk,181,165,5,11,0.027624309392265192
com.trianguloy.urlchecker_47.apk,334,212,60,62,0.17964071856287425
com.vermont.possin_8.apk,314,232,38,44,0.12101910828025478
com.vishaltelangre.nerdcalci_490.apk,260,198,27,35,0.10384615384615385
com.vrem.wifianalyzer_71.apk,375,196,123,56,0.328
com.yogeshpaliyal.deepr_28.apk,263,209,31,23,0.11787072243346007
de.blau.android_3404.apk,206,86,34,86,0.1650485436893204
de.grobox.liberario_131.apk,198,177,3,18,0.015151515151515152
de.kitshn.android_20100.apk,287,251,25,11,0.08710801393728224
de.luhmer.owncloudnewsreader_196.apk,226,196,20,10,0.08849557522123894
de.lukasneugebauer.nextcloudcookbook_62.apk,258,195,29,34,0.1124031007751938
de.markusfisch.android.shadereditor_93.apk,104,50,4,50,0.038461538461538464
de.saschahlusiak.freebloks_181.apk,104,87,4,13,0.038461538461538464
de.stephanlindauer.criticalmaps_104.apk,315,186,45,84,0.14285714285714285
dev.anilbeesetti.nextplayer_42.apk,358,232,78,48,0.21787709497206703
dev.dettmer.simplenotes_41.apk,312,203,67,42,0.21474358974358973
dev.itsvic.parceltracker_10501000.apk,320,168,89,63,0.278125
dev.leonlatsch.photok_62.apk,65,53,9,3,0.13846153846153847
dev.patri9ck.a2ln_25.apk,339,281,30,28,0.08849557522123894
dev.sebaubuntu.athena_17.apk,452,316,62,74,0.13716814159292035
dev.spiegl.flyingcarpet_21.apk,455,302,138,15,0.3032967032967033
dev.ukanth.ufirewall_20260301.apk,310,212,48,50,0.15483870967741936
eu.darken.myperm_20101000.apk,347,237,10,100,0.02881844380403458
eu.darken.sdmse_10705000.apk,403,309,25,69,0.062034739454094295
eu.faircode.email_2322.apk,241,205,7,29,0.029045643153526972
eu.opencloud.android_9.apk,348,27,308,13,0.8850574712643678
fr.corenting.traficparis_34.apk,382,365,1,16,0.002617801047120419
fr.gaulupeau.apps.InThePoche_234.apk,344,200,46,98,0.13372093023255813
github.paroj.dsub2000_217.apk,274,142,17,115,0.06204379562043796
inc.flide.vi8_170500.apk,473,208,264,1,0.5581395348837209
info.dvkr.screenstream_44000.apk,336,293,11,32,0.03273809523809524
info.metadude.android.bitsundbaeume.schedule_90.apk,215,167,5,43,0.023255813953488372
info.metadude.android.clt.schedule_117.apk,183,136,1,46,0.00546448087431694
info.metadude.android.datenspuren.schedule_110.apk,186,125,2,59,0.010752688172043012
info.metadude.android.divoc.schedule_88.apk,139,106,0,33,0.0
info.metadude.android.fosdem.schedule_117.apk,196,174,0,22,0.0
info.metadude.android.foss4g.schedule_109.apk,266,205,3,58,0.011278195488721804
info.metadude.android.fossgis.schedule_118.apk,218,150,14,54,0.06422018348623854
info.metadude.android.gpn.schedule_119.apk,171,114,4,53,0.023391812865497075
info.metadude.android.hope.schedule_110.apk,106,93,0,13,0.0
info.metadude.android.libreoffice.schedule_106.apk,208,179,1,28,0.004807692307692308
info.metadude.android.mrmcd.schedule_110.apk,162,121,1,40,0.006172839506172839
info.metadude.android.protocolberg.schedule_109.apk,157,108,1,48,0.006369426751592357
io.github.garemat.lunachron_23201.apk,368,277,34,57,0.09239130434782608
io.github.jd1378.otphelper_52000.apk,370,174,69,127,0.1864864864864865
io.github.jqssun.btremote_7.apk,414,263,26,125,0.06280193236714976
io.github.quillpad_54.apk,311,184,29,98,0.0932475884244373
io.github.samolego.canta_225.apk,345,260,45,40,0.13043478260869565
io.keepalive.android_133.apk,342,88,159,95,0.4649122807017544
io.treehouses.remote_6098.apk,270,195,32,43,0.11851851851851852
it.danieleverducci.nextcloudmaps_9.apk,521,336,179,6,0.3435700575815739
it.niedermann.owncloud.notes_340000090.apk,387,329,20,38,0.05167958656330749
jwtc.android.chess_283.apk,370,232,27,111,0.07297297297297298
me.diamondforge.tokn_19.apk,41,27,3,11,0.07317073170731707
me.hackerchick.sharetoinputstick_26.apk,476,398,46,32,0.09663865546218488
me.mudkip.moememos_48.apk,339,195,53,91,0.15634218289085547
me.proton.android.lumo_50.apk,501,501,0,0,0.0
me.rosuh.easywatermark_21000.apk,395,268,48,79,0.12151898734177215
me.testcase.ognarviewer_25.apk,276,164,21,91,0.07608695652173914
me.timschneeberger.rootlessjamesdsp_51.apk,288,169,15,104,0.052083333333333336
me.zhanghai.android.untracker_9.apk,364,280,15,69,0.04120879120879121
net.adhikary.mrtbuddy_24.apk,271,164,2,105,0.007380073800738007
net.christianbeier.droidvnc_ng_60.apk,340,226,29,85,0.08529411764705883
net.gaast.giggity_769.apk,351,246,12,93,0.03418803418803419
net.pfiers.osmfocus_1009013.apk,335,265,11,59,0.03283582089552239
net.phbwt.paperwork_1003007.apk,310,257,10,43,0.03225806451612903
nz.eloque.foss_wallet_111.apk,315,147,90,78,0.2857142857142857
org.blackcandy.androidApp_7.apk,335,314,19,2,0.056716417910447764
org.cry.otp_31.apk,286,242,18,26,0.06293706293706294
org.css_apps_m3.password_manager_16.apk,288,212,70,6,0.24305555555555555
org.fedorahosted.freeotp_48.apk,195,183,9,3,0.046153846153846156
org.glpi.inventory.agent_39469.apk,320,155,62,103,0.19375
org.hwyl.sexytopo_93.apk,339,159,102,78,0.3008849557522124
org.isoron.uhabits_20301.apk,303,225,23,55,0.07590759075907591
org.jellyfin.mobile_2060499.apk,416,260,47,109,0.11298076923076923
org.liberty.android.fantastischmemo_241.apk,365,216,46,103,0.12602739726027398
org.liberty.android.freeotpplus_26.apk,237,144,88,5,0.37130801687763715
org.musicbrainz.picard.barcodescanner_38.apk,227,127,89,11,0.3920704845814978
org.nqmgaming.aneko_34.apk,394,363,18,13,0.04568527918781726
org.nsh07.pomodoro_34.apk,333,290,24,19,0.07207207207207207
org.openhab.habdroid_589.apk,323,189,91,43,0.28173374613003094
org.piepmeyer.gauguin_75.apk,375,186,157,32,0.4186666666666667
org.prauga.messages_8.apk,355,162,98,95,0.27605633802816903
org.quantumbadger.redreader_117.apk,354,229,20,105,0.05649717514124294
org.tomasino.stutter_29.apk,310,244,17,49,0.054838709677419356
org.totschnig.myexpenses_858.apk,349,261,28,60,0.08022922636103152
rocks.poopjournal.metadataremover_20020.apk,321,130,43,148,0.13395638629283488
se.arctosoft.vault_41.apk,108,95,8,5,0.07407407407407407
se.bitcraze.crazyfliecontrol2_22.apk,342,194,41,107,0.11988304093567251
systems.sieber.droid_scep_7.apk,368,261,40,67,0.10869565217391304
ua.acclorite.book_story_14.apk,426,93,23,310,0.0539906103286385
ua.com.radiokot.lnaddr2invoice_8.apk,389,376,0,13,0.0
uk.org.ngo.squeezer_158.apk,338,105,137,96,0.40532544378698226
vadimerenkov.aucards_21.apk,394,312,36,46,0.09137055837563451
