apk,tool,rep,timeout,vm,container,logcat_bytes,reason
ua.com.radiokot.lnaddr2invoice_8.apk,qtesting,1,300,m4,exp_03,88,no_launchable_activity
ua.com.radiokot.lnaddr2invoice_8.apk,qtesting,2,300,m4,exp_03,88,no_launchable_activity
ua.com.radiokot.lnaddr2invoice_8.apk,qtesting,3,300,m4,exp_03,88,no_launchable_activity
com.celzero.bravedns_619.apk,droidbot:dfs_naive,3,60,m1,exp_01,88,transient_infra
com.dede.android_eggs_76.apk,ares,3,300,m1,exp_02,88,transient_infra
com.flxrs.dankchat_40038.apk,humanoid,3,60,m1,exp_03,88,transient_infra
com.github.cvzi.screenshottile_148.apk,ares,1,300,m1,exp_03,88,transient_infra
com.github.cvzi.screenshottile_148.apk,ares,3,300,m1,exp_03,88,transient_infra
com.google.android.stardroid_1678.apk,qtesting,3,300,m1,exp_03,88,transient_infra
com.infomaniak.mail_12900101.apk,droidmate,1,60,m2,exp_00,88,transient_infra
com.infomaniak.mail_12900101.apk,droidmate,2,60,m2,exp_00,88,transient_infra
com.js.nowakelock_87.apk,ares,2,180,m2,exp_00,117,transient_infra
com.kwasow.musekit_1721768604.apk,ares,3,180,m2,exp_00,88,transient_infra
com.kwasow.musekit_1721768604.apk,droidmate,1,60,m2,exp_00,117,transient_infra
com.learntube.app_1009.apk,droidmate,1,60,m2,exp_00,88,transient_infra
com.leekleak.trafficlight_38.apk,droidmate,3,60,m2,exp_01,117,transient_infra
com.mateusrodcosta.apps.vidyamusic_2200.apk,droidbot:bfs_naive,3,60,m2,exp_01,88,transient_infra
com.owncloud.android_48000100.apk,ares,3,180,m2,exp_01,88,transient_infra
com.phpbg.easysync_25.apk,droidmate,2,60,m2,exp_02,117,transient_infra
com.sakethh.linkora_50.apk,droidmate,1,60,m2,exp_02,88,transient_infra
com.sakethh.linkora_50.apk,droidmate,2,60,m2,exp_02,88,transient_infra
com.sakethh.linkora_50.apk,droidmate,3,60,m2,exp_02,88,transient_infra
com.shub39.dharmik.online_2200.apk,droidbot:dfs_greedy,2,180,m2,exp_02,88,transient_infra
com.vermont.possin_8.apk,ares,3,300,m2,exp_03,88,transient_infra
com.yogeshpaliyal.deepr_28.apk,droidmate,3,60,m2,exp_03,117,transient_infra
com.yogeshpaliyal.keypass_1442.apk,humanoid,1,60,m2,exp_03,88,transient_infra
de.grobox.liberario_131.apk,droidmate,1,60,m3,exp_00,117,transient_infra
de.kitshn.android_20100.apk,ares,3,60,m3,exp_00,88,transient_infra
de.kitshn.android_20100.apk,droidmate,3,60,m3,exp_00,117,transient_infra
de.lukasneugebauer.nextcloudcookbook_62.apk,droidbot:dfs_naive,1,300,m3,exp_00,88,transient_infra
de.stephanlindauer.criticalmaps_104.apk,droidbot:dfs_naive,1,300,m3,exp_00,88,transient_infra
dev.leonlatsch.photok_62.apk,droidmate,2,60,m3,exp_00,117,transient_infra
eu.darken.sdmse_10705000.apk,droidbot:dfs_greedy,3,300,m3,exp_01,88,transient_infra
fr.corenting.traficparis_34.apk,ares,1,300,m3,exp_01,88,transient_infra
info.metadude.android.clt.schedule_117.apk,ares,3,60,m3,exp_02,88,transient_infra
info.metadude.android.datenspuren.schedule_110.apk,ares,1,180,m3,exp_02,88,transient_infra
info.metadude.android.divoc.schedule_88.apk,ares,3,300,m3,exp_02,88,transient_infra
info.metadude.android.hope.schedule_110.apk,ares,1,300,m3,exp_02,88,transient_infra
info.metadude.android.hope.schedule_110.apk,ares,2,300,m3,exp_02,88,transient_infra
info.metadude.android.hope.schedule_110.apk,ares,3,300,m3,exp_02,88,transient_infra
io.github.jqssun.btremote_7.apk,droidbot:bfs_naive,3,180,m3,exp_03,88,transient_infra
me.mudkip.moememos_48.apk,droidmate,1,180,m3,exp_03,88,transient_infra
me.zhanghai.android.untracker_9.apk,droidmate,1,60,m4,exp_00,88,transient_infra
net.pfiers.osmfocus_1009013.apk,ares,1,300,m4,exp_00,88,transient_infra
org.blackcandy.androidApp_7.apk,droidmate,1,60,m4,exp_00,117,transient_infra
org.hwyl.sexytopo_93.apk,droidmate,3,60,m4,exp_02,117,transient_infra
org.liberty.android.freeotpplus_26.apk,ares,2,60,m4,exp_02,117,transient_infra
org.piepmeyer.gauguin_75.apk,droidmate,1,300,m4,exp_02,88,transient_infra
se.bitcraze.crazyfliecontrol2_22.apk,droidmate,3,300,m4,exp_03,88,transient_infra
