kid,nobs,art,other,r,tool,timeout,apk,status,sustained
23,True,True,False,1.0,ares,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
24,True,False,False,1.0,ares,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
25,True,True,False,1.0,ares,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
26,True,False,False,1.0,ares,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
27,True,True,False,1.0,ares,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
28,True,False,False,1.0,ares,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
29,True,True,False,1.0,ares,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
30,True,False,False,1.0,ares,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
31,True,True,False,1.0,ares,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
32,True,False,False,1.0,ares,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
33,True,True,False,1.0,ares,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
34,True,False,False,1.0,ares,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
35,True,True,False,1.0,ares,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
36,True,False,False,1.0,droidbot:bfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
37,True,True,False,1.0,droidbot:bfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
38,True,False,False,1.0,droidbot:bfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
39,True,True,False,1.0,droidbot:bfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
40,True,False,False,1.0,droidbot:bfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
41,True,True,False,1.0,droidbot:bfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
42,True,False,False,1.0,droidbot:bfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
43,True,True,False,1.0,droidbot:bfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
44,True,False,False,1.0,droidbot:bfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
45,True,True,False,1.0,droidbot:bfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
46,True,False,False,1.0,droidbot:bfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
47,True,True,False,1.0,droidbot:bfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
48,True,False,False,1.0,droidbot:bfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
49,True,True,False,1.0,droidbot:bfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
50,True,False,False,1.0,droidbot:bfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
51,True,True,False,1.0,droidbot:bfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
52,True,False,False,1.0,droidbot:bfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
53,True,True,False,1.0,droidbot:bfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
54,True,False,False,1.0,droidbot:bfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
55,True,True,False,1.0,droidbot:bfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
56,True,False,False,1.0,droidbot:bfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
57,True,True,False,1.0,droidbot:bfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
58,True,False,False,1.0,droidbot:bfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
59,True,True,False,1.0,droidbot:bfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
60,True,False,False,1.0,droidbot:bfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
61,True,True,False,1.0,droidbot:bfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
62,True,False,False,1.0,droidbot:bfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
63,True,True,False,1.0,droidbot:bfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
64,True,False,False,1.0,droidbot:bfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
65,True,True,False,1.0,droidbot:bfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
66,True,False,False,1.0,droidbot:bfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
67,True,True,False,1.0,droidbot:bfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
68,True,False,False,1.0,droidbot:bfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
69,True,True,False,1.0,droidbot:bfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
70,True,False,False,1.0,droidbot:bfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
71,True,True,False,1.0,droidbot:bfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
72,True,False,False,1.0,droidbot:dfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
73,True,True,False,1.0,droidbot:dfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
74,True,False,False,1.0,droidbot:dfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
75,True,True,False,1.0,droidbot:dfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
76,True,False,False,1.0,droidbot:dfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
77,True,True,False,1.0,droidbot:dfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
78,True,False,False,1.0,droidbot:dfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
79,True,True,False,1.0,droidbot:dfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
80,True,False,False,1.0,droidbot:dfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
81,True,True,False,1.0,droidbot:dfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
82,True,False,False,1.0,droidbot:dfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
83,True,True,False,1.0,droidbot:dfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
84,True,False,False,1.0,droidbot:dfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
85,True,True,False,1.0,droidbot:dfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
86,True,False,False,1.0,droidbot:dfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
87,True,True,False,1.0,droidbot:dfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
88,True,False,False,1.0,droidbot:dfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
89,True,True,False,1.0,droidbot:dfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
90,True,False,False,1.0,droidbot:dfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
91,True,True,False,1.0,droidbot:dfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
92,True,False,False,1.0,droidbot:dfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
93,True,True,False,1.0,droidbot:dfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
94,True,False,False,1.0,droidbot:dfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
95,True,True,False,1.0,droidbot:dfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
96,True,False,False,1.0,droidbot:dfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
97,True,True,False,1.0,droidbot:dfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
98,True,False,False,1.0,droidbot:dfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
99,True,True,False,1.0,droidbot:dfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
100,True,False,False,1.0,droidbot:dfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
101,True,True,False,1.0,droidbot:dfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
102,True,False,False,1.0,droidbot:dfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
103,True,True,False,1.0,droidbot:dfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
104,True,False,False,1.0,droidbot:dfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
105,True,True,False,1.0,droidbot:dfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
106,True,False,False,1.0,droidbot:dfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
107,True,True,False,1.0,droidbot:dfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
108,True,False,False,1.0,droidmate,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
109,True,True,False,1.0,droidmate,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
110,True,False,False,1.0,droidmate,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
111,True,True,False,1.0,droidmate,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
112,True,False,False,1.0,droidmate,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
113,True,True,False,1.0,droidmate,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
114,True,False,False,1.0,droidmate,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
115,True,True,False,1.0,droidmate,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
116,True,False,False,1.0,droidmate,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
117,True,True,False,1.0,droidmate,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
118,True,False,False,1.0,droidmate,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
119,True,True,False,1.0,droidmate,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
120,True,False,False,1.0,droidmate,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
121,True,True,False,1.0,droidmate,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
122,True,False,False,1.0,droidmate,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
123,True,True,False,1.0,droidmate,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
124,True,False,False,1.0,droidmate,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
125,True,True,False,1.0,droidmate,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
126,True,False,False,1.0,fastbot,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
127,True,True,False,1.0,fastbot,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
128,True,False,False,1.0,fastbot,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
129,True,True,False,1.0,fastbot,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
130,True,False,False,1.0,fastbot,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
131,True,True,False,1.0,fastbot,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
132,True,False,False,1.0,fastbot,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
133,True,True,False,1.0,fastbot,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
134,True,False,False,1.0,fastbot,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
135,True,True,False,1.0,fastbot,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
136,True,False,False,1.0,fastbot,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
137,True,True,False,1.0,fastbot,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
138,True,False,False,1.0,fastbot,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
139,True,True,False,1.0,fastbot,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
140,True,False,False,1.0,fastbot,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
141,True,True,False,1.0,fastbot,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
142,True,False,False,1.0,humanoid,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
143,True,True,False,1.0,humanoid,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
144,True,False,False,1.0,humanoid,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
145,True,True,False,1.0,humanoid,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
146,True,False,False,1.0,humanoid,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
147,True,True,False,1.0,humanoid,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
148,True,False,False,1.0,humanoid,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
149,True,True,False,1.0,humanoid,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
150,True,False,False,1.0,humanoid,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
151,True,True,False,1.0,humanoid,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
152,True,False,False,1.0,humanoid,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
153,True,True,False,1.0,humanoid,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
154,True,False,False,1.0,humanoid,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
155,True,True,False,1.0,humanoid,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
156,True,False,False,1.0,humanoid,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
157,True,True,False,1.0,humanoid,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
158,True,False,False,1.0,humanoid,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
159,True,True,False,1.0,humanoid,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
160,True,False,False,1.0,monkey,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
161,True,True,False,1.0,monkey,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
162,True,False,False,1.0,monkey,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
163,True,True,False,1.0,monkey,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
164,True,False,False,1.0,monkey,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
165,True,True,False,1.0,monkey,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
166,True,False,False,1.0,monkey,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
167,True,True,False,1.0,monkey,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
168,True,False,False,1.0,monkey,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
169,True,True,False,1.0,monkey,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
170,True,False,False,1.0,monkey,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
171,True,True,False,1.0,monkey,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
172,True,False,False,1.0,monkey,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
173,True,True,False,1.0,monkey,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
174,True,False,False,1.0,qtesting,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
175,True,True,False,1.0,qtesting,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
176,True,False,False,1.0,qtesting,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
177,True,True,False,1.0,qtesting,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
178,True,False,False,1.0,qtesting,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
179,True,True,False,1.0,qtesting,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
180,True,False,False,1.0,qtesting,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
181,True,True,False,1.0,qtesting,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
182,True,False,False,1.0,qtesting,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
183,True,True,False,1.0,qtesting,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
184,True,False,False,1.0,qtesting,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
185,True,True,False,1.0,qtesting,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
186,True,False,False,1.0,qtesting,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
187,True,True,False,1.0,qtesting,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
188,True,False,False,1.0,qtesting,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
189,True,True,False,1.0,qtesting,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
190,True,False,False,1.0,qtesting,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
191,True,True,False,1.0,qtesting,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
192,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
193,True,False,True,1.0,ape,60,app.maskan.chat_90.apk,sustained_other,True
194,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
195,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
196,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
197,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
198,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
199,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
200,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
201,True,False,True,1.0,ape,60,app.maskan.chat_90.apk,sustained_other,True
202,True,False,True,1.0,ape,60,app.maskan.chat_90.apk,sustained_other,True
203,True,False,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
204,True,True,False,1.0,ape,60,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
205,True,False,False,1.0,ape,180,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
206,True,False,True,1.0,ape,180,app.maskan.chat_90.apk,sustained_other,True
207,True,False,False,1.0,ape,180,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
208,True,False,True,1.0,ape,180,app.maskan.chat_90.apk,sustained_other,True
209,True,False,False,1.0,ape,180,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
210,True,False,False,1.0,ape,180,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
211,True,False,False,1.0,ape,180,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
212,True,False,False,1.0,ape,180,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
213,True,False,False,1.0,ape,180,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
214,True,False,False,1.0,ape,180,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
215,True,False,False,1.0,ape,180,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
216,True,False,False,1.0,ape,180,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
217,True,False,False,1.0,ape,180,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
218,True,False,False,1.0,ape,180,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
219,True,False,False,1.0,ape,180,app.maskan.chat_90.apk,NOBS:LEGIT_UNOBSERVABLE,False
220,True,False,True,1.0,ape,180,app.maskan.chat_90.apk,sustained_other,True
221,True,False,True,1.0,ape,180,app.maskan.chat_90.apk,sustained_other,True
