arm,apk,rep,calls,time_ms,tokens_in,tokens_out,matched,llm_tap,no_match,no_match_degenerate,no_match_boundary,no_match_other,mode_new_state,mode_stagnation,mode_random
aperv:mop_on_llm_70,com.hegocre.nextcloudpasswords_38.apk,2,687,648477,817118,16985,136,175,512,0,0,512,8,5,674
aperv:mop_on_llm_70,com.hegocre.nextcloudpasswords_38.apk,3,738,673143,872105,18395,149,179,559,0,0,559,6,5,727
aperv:mop_on_llm_70,com.kin.easynotes_14.apk,1,486,577570,633623,12687,308,369,117,0,8,109,13,0,473
aperv:mop_on_llm_70,com.kin.easynotes_14.apk,2,644,724351,821779,16841,378,452,192,0,9,183,40,0,604
aperv:mop_on_llm_70,com.kin.easynotes_14.apk,3,369,421562,461096,9767,243,294,75,0,3,72,27,0,342
aperv:mop_on_llm_70,com.manimarank.spell4wiki_21.apk,1,209,265397,295205,5498,177,178,31,0,11,20,54,0,155
aperv:mop_on_llm_70,com.manimarank.spell4wiki_21.apk,2,305,384731,437407,7981,253,260,45,0,21,24,71,0,234
aperv:mop_on_llm_70,com.manimarank.spell4wiki_21.apk,3,210,240663,293493,5527,185,189,21,0,3,18,46,0,164
aperv:mop_on_llm_70,com.ominous.quickweather_112.apk,1,589,666250,830804,15376,428,459,130,0,8,122,75,0,514
aperv:mop_on_llm_70,com.ominous.quickweather_112.apk,2,538,766150,751007,14135,367,392,146,0,16,130,78,0,460
aperv:mop_on_llm_70,com.ominous.quickweather_112.apk,3,488,650381,672006,12827,358,394,94,0,12,82,72,0,416
aperv:mop_on_llm_70,com.owncloud.android_48000100.apk,1,473,408495,662980,12295,407,410,63,0,0,63,26,0,447
aperv:mop_on_llm_70,com.owncloud.android_48000100.apk,2,440,475006,615605,11425,385,389,51,0,0,51,29,1,410
aperv:mop_on_llm_70,com.owncloud.android_48000100.apk,3,542,660268,748779,14049,387,391,151,0,0,151,33,2,507
aperv:mop_on_llm_70,com.rastislavkish.vscan_24.apk,1,511,589267,669550,13223,487,490,21,0,14,7,23,3,485
aperv:mop_on_llm_70,com.rastislavkish.vscan_24.apk,2,491,575807,643253,12508,446,454,37,0,10,27,22,4,465
aperv:mop_on_llm_70,com.rastislavkish.vscan_24.apk,3,530,707449,711023,13601,389,398,132,0,21,111,21,5,504
aperv:mop_on_llm_70,com.smartpack.packagemanager_79.apk,1,622,710644,855189,16161,409,463,159,0,0,159,88,0,534
aperv:mop_on_llm_70,com.smartpack.packagemanager_79.apk,2,318,381969,428019,8336,213,226,92,0,2,90,47,0,271
aperv:mop_on_llm_70,com.smartpack.packagemanager_79.apk,3,700,691106,944049,18159,464,506,194,0,0,194,95,1,604
aperv:mop_on_llm_70,com.starry.greenstash_440.apk,1,645,656596,822626,16915,271,295,350,0,34,316,26,7,612
aperv:mop_on_llm_70,com.starry.greenstash_440.apk,2,634,776881,809135,16671,294,341,293,0,33,260,36,5,593
aperv:mop_on_llm_70,com.starry.greenstash_440.apk,3,509,636043,657487,13323,299,378,131,0,36,95,41,0,468
aperv:mop_on_llm_70,de.blau.android_3404.apk,1,516,551350,741459,13486,339,438,78,0,16,62,102,0,414
aperv:mop_on_llm_70,de.blau.android_3404.apk,2,492,638613,691557,12978,349,389,103,0,20,83,100,0,392
aperv:mop_on_llm_70,de.blau.android_3404.apk,3,507,568957,714554,13328,349,403,104,0,15,89,90,0,417
aperv:mop_on_llm_70,de.lukasneugebauer.nextcloudcookbook_62.apk,1,530,739016,700483,15270,381,396,134,0,19,115,12,3,515
aperv:mop_on_llm_70,de.lukasneugebauer.nextcloudcookbook_62.apk,2,598,727981,743263,17393,284,302,296,0,214,82,12,5,581
aperv:mop_on_llm_70,de.lukasneugebauer.nextcloudcookbook_62.apk,3,569,768199,732298,16609,337,352,217,0,80,137,15,2,552
aperv:mop_on_llm_70,de.saschahlusiak.freebloks_181.apk,1,385,707370,456438,9781,120,130,255,0,7,248,22,2,361
aperv:mop_on_llm_70,de.saschahlusiak.freebloks_181.apk,2,347,681717,416838,8772,101,111,236,0,14,222,26,2,319
aperv:mop_on_llm_70,de.saschahlusiak.freebloks_181.apk,3,351,1019180,414102,8889,82,94,257,0,11,246,18,1,332
aperv:mop_on_llm_70,fr.gaulupeau.apps.InThePoche_234.apk,1,708,869545,915552,18536,194,294,414,0,76,338,35,1,672
aperv:mop_on_llm_70,fr.gaulupeau.apps.InThePoche_234.apk,2,674,822839,873962,17621,244,352,322,0,57,265,33,0,641
aperv:mop_on_llm_70,fr.gaulupeau.apps.InThePoche_234.apk,3,735,825100,941404,19222,168,318,417,0,87,330,27,1,707
aperv:mop_on_llm_70,info.metadude.android.clt.schedule_117.apk,1,280,327759,352217,7309,145,158,122,0,17,105,40,1,239
aperv:mop_on_llm_70,info.metadude.android.clt.schedule_117.apk,2,311,331619,412052,8064,236,247,64,0,14,50,52,0,259
aperv:mop_on_llm_70,info.metadude.android.clt.schedule_117.apk,3,208,221505,275049,5438,167,176,32,0,22,10,46,0,162
aperv:mop_on_llm_70,info.metadude.android.datenspuren.schedule_110.apk,1,207,260883,265238,5424,150,152,55,0,4,51,47,0,160
aperv:mop_on_llm_70,info.metadude.android.datenspuren.schedule_110.apk,2,238,286207,302898,6282,155,163,75,0,5,70,38,0,200
aperv:mop_on_llm_70,info.metadude.android.datenspuren.schedule_110.apk,3,276,329908,354427,7167,184,200,76,0,16,60,46,0,230
aperv:mop_on_llm_70,info.metadude.android.fosdem.schedule_117.apk,1,219,284984,287344,5736,170,183,36,0,12,24,44,0,175
aperv:mop_on_llm_70,info.metadude.android.fosdem.schedule_117.apk,2,363,398221,472464,9371,209,224,139,0,41,98,51,0,312
aperv:mop_on_llm_70,info.metadude.android.fosdem.schedule_117.apk,3,321,353823,412626,8318,206,217,104,0,21,83,53,0,268
aperv:mop_on_llm_70,info.metadude.android.fossgis.schedule_118.apk,1,267,338808,342407,6977,179,190,77,0,15,62,54,0,213
aperv:mop_on_llm_70,info.metadude.android.fossgis.schedule_118.apk,2,250,301470,317808,6553,158,167,83,0,15,68,43,0,207
aperv:mop_on_llm_70,info.metadude.android.fossgis.schedule_118.apk,3,330,311961,428562,8518,199,216,114,0,10,104,53,0,277
aperv:mop_on_llm_70,info.metadude.android.gpn.schedule_119.apk,1,299,313431,399490,7786,236,244,55,0,24,31,48,0,251
aperv:mop_on_llm_70,info.metadude.android.gpn.schedule_119.apk,2,347,427047,471261,8978,238,250,97,0,19,78,41,0,306
aperv:mop_on_llm_70,info.metadude.android.gpn.schedule_119.apk,3,219,235459,288798,5749,163,176,43,0,2,41,42,0,177
aperv:mop_on_llm_70,info.metadude.android.protocolberg.schedule_109.apk,1,320,391160,405259,8365,171,192,128,0,23,105,36,2,282
aperv:mop_on_llm_70,info.metadude.android.protocolberg.schedule_109.apk,2,326,371651,412870,8436,192,200,126,0,20,106,48,1,277
aperv:mop_on_llm_70,info.metadude.android.protocolberg.schedule_109.apk,3,257,298822,344239,6722,164,180,77,0,23,54,53,0,204
aperv:mop_on_llm_70,io.github.samolego.canta_225.apk,1,811,887018,967301,21075,175,363,448,0,6,442,29,1,781
aperv:mop_on_llm_70,io.github.samolego.canta_225.apk,2,921,960858,1080954,23934,186,327,594,0,15,579,29,3,889
aperv:mop_on_llm_70,io.github.samolego.canta_225.apk,3,724,714975,899220,18738,249,384,340,0,11,329,34,0,690
aperv:mop_on_llm_70,jwtc.android.chess_283.apk,1,637,656836,900355,16748,432,466,171,0,12,159,81,0,556
aperv:mop_on_llm_70,jwtc.android.chess_283.apk,2,576,705923,807429,15088,316,368,208,0,13,195,57,0,519
aperv:mop_on_llm_70,jwtc.android.chess_283.apk,3,658,762856,884950,17387,436,469,189,0,12,177,66,0,592
aperv:mop_on_llm_70,net.pfiers.osmfocus_1009013.apk,1,674,696331,817624,17562,206,227,447,0,3,444,23,4,647
aperv:mop_on_llm_70,net.pfiers.osmfocus_1009013.apk,2,666,765888,868476,17512,302,326,340,0,99,241,20,3,643
aperv:mop_on_llm_70,net.pfiers.osmfocus_1009013.apk,3,717,775149,940766,18788,325,367,350,0,101,249,18,5,694
aperv:mop_on_llm_70,net.phbwt.paperwork_1003007.apk,1,576,643883,742467,14973,399,416,160,0,25,135,25,2,549
aperv:mop_on_llm_70,net.phbwt.paperwork_1003007.apk,2,559,623044,731062,14519,392,408,151,0,18,133,30,3,526
aperv:mop_on_llm_70,net.phbwt.paperwork_1003007.apk,3,625,684818,786998,16620,317,368,257,0,7,250,23,4,598
aperv:mop_on_llm_70,org.cry.otp_31.apk,1,602,681870,829860,15789,370,436,166,0,4,162,40,0,562
aperv:mop_on_llm_70,org.cry.otp_31.apk,2,650,702892,905658,16968,386,432,218,0,1,217,38,1,611
aperv:mop_on_llm_70,org.cry.otp_31.apk,3,572,617792,810596,15013,429,467,105,0,3,102,25,1,546
aperv:mop_on_llm_70,org.liberty.android.fantastischmemo_241.apk,1,598,750938,905319,15723,399,469,129,0,5,124,101,0,497
aperv:mop_on_llm_70,org.liberty.android.fantastischmemo_241.apk,2,615,733895,918974,16100,394,468,147,0,18,129,109,0,506
aperv:mop_on_llm_70,org.liberty.android.fantastischmemo_241.apk,3,647,655638,1045163,16938,476,533,114,0,10,104,115,0,532
aperv:mop_on_llm_70,org.liberty.android.freeotpplus_26.apk,1,133,172430,254901,3469,81,81,52,0,10,42,3,0,130
aperv:mop_on_llm_70,org.liberty.android.freeotpplus_26.apk,2,594,619806,1196691,15447,229,229,365,0,22,343,3,3,588
aperv:mop_on_llm_70,org.liberty.android.freeotpplus_26.apk,3,435,461290,883839,11309,217,217,218,0,19,199,8,3,424
aperv:mop_on_llm_70,org.prauga.messages_8.apk,1,556,616948,711626,14725,405,438,111,0,17,94,74,0,475
aperv:mop_on_llm_70,org.prauga.messages_8.apk,2,604,651972,778004,15986,346,370,230,1,11,218,68,2,530
aperv:mop_on_llm_70,org.prauga.messages_8.apk,3,646,669728,817968,17007,362,384,261,0,11,250,56,2,587
aperv:mop_on_llm_70,rocks.poopjournal.metadataremover_20020.apk,1,607,670383,728497,15904,71,76,531,0,50,481,8,0,599
aperv:mop_on_llm_70,rocks.poopjournal.metadataremover_20020.apk,2,623,623289,747318,16521,75,87,536,0,46,490,9,1,613
aperv:mop_on_llm_70,rocks.poopjournal.metadataremover_20020.apk,3,775,745163,928081,20506,75,80,695,0,122,573,10,1,764
aperv:mop_on_llm_70,ua.acclorite.book_story_14.apk,1,702,841979,872884,18248,212,295,407,0,291,116,39,0,663
aperv:mop_on_llm_70,ua.acclorite.book_story_14.apk,2,760,861058,933139,19810,238,302,458,0,339,119,40,1,719
aperv:mop_on_llm_70,ua.acclorite.book_story_14.apk,3,770,711138,960492,19864,240,351,419,0,222,197,43,0,727
aperv:mop_on_llm_70,ua.com.radiokot.lnaddr2invoice_8.apk,1,606,735170,719757,15279,146,155,451,0,0,451,7,0,599
aperv:mop_on_llm_70,ua.com.radiokot.lnaddr2invoice_8.apk,2,647,681249,769289,16332,150,161,486,0,7,479,11,0,636
aperv:mop_on_llm_70,ua.com.radiokot.lnaddr2invoice_8.apk,3,600,610243,715227,15176,173,184,416,0,0,416,12,0,588
