id,spec_clausula,dimensao,fenomeno_id,posicao,classificacao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca,resolucao_juiz,classificacao_final,severidade_final,fenomeno_id_final
EXEC-SET-12,set/jar default android-37.0 captura membros pos-api30,captura_eventos,FEN-SET-VARARGS,FAIL,INCORRETA (SRD g2 args(alg;*) sobre (String;..) alcanca overloads SecureRandomParameters inexistentes no oraculo api30),MEDIDO,"WrapperEmitter sob android-37.0 gera 86 wrappers vs 83 sob android-30; os 3 extras sao SecureRandom.getInstance(String,SecureRandomParameters[,String|Provider]) (set_exec_weave_jar_diff.txt); SecureRandomParameters.class presente no jar 37.0 (unzip -l: 1 entrada) e ausente do android-30 (0)","producao (ConfigResolver lexicographic max, sem --android-jar em nenhum call-site) tece com 37.0: apps em devices API33+ disparariam g2 para membros que o oraculo api30 nao modela",procurado o tipo no android-30: ausente (nao e trap de host-JDK; indice le bytes do jar),efeito so em devices API>=33; JVM host,FP direcional: eventos para membros fora do oraculo,major,0.85,FAIL,INCORRETA (SRD g2 args(alg;*) sobre (String;..) alcanca overloads SecureRandomParameters inexistentes no oraculo api30),major,FEN-SET-VARARGS-ARGS-IGNORED
EXEC-SET-13,set/instabilidade de nomes de wrapper entre jars,toolchain_android,FEN-SET-WRAPPER-NAME-ORDER,FAIL,INCORRETA (permutacao update_1/update_2 de MessageDigest.update entre jars; captura identica),MEDIDO,"set_exec_weave_jar_diff.txt: java_security_MessageDigest_update_1 = update(byte[],int,int) sob android-30 mas = update(byte[]) sob android-37.0 (enumeracao de membros do jar muda a ordem); sites mdg_up_arr/arr3 WRAPPED em ambos, via nomes trocados",sem efeito de captura; afeta apenas diffs de artefatos e atribuicao por nome de wrapper entre ambientes,procurado efeito semantico: nenhum (ambos os overloads capturados nos dois jars),nenhuma,nenhum (diagnostico de artefato apenas),minor,0.9,FAIL,INCORRETA (permutacao update_1/update_2 de MessageDigest.update entre jars; captura identica),minor,FEN-SET-WRAPPER-NAME-ORDER
EXEC-SET-14,set/KGN nao compila standalone; -merge mascara,toolchain_android,FEN-KGN-NAOCOMPILA,FAIL,INCORRETA (fail-open: gerador exit 0 p/ artefato incompilavel; uniao de imports do -merge mascara),MEDIDO,javac por spec (classpath rv-monitor-rt+rvsec-core+logger-csv+aspectjrt): 22/23 exit 0; KeyGeneratorSpecRuntimeMonitor.java:259 error: cannot find symbol Key (KeyGeneratorSpec.mop nao importa java.security.Key); merged compila: import java.security.Key na linha 11 vem de CipherSpec.mop/KeyStoreSpec.mop (set_exec_standalone_compile.txt),verificacao pedida do mascaramento KGN: confirmado; NENHUM novo caso (os outros 22 compilam standalone),procurado 2o monitor so-compilavel-no-merge: nenhum,classpath JVM host (nao ART/dex),fail-open a exit 0 (D-batchC-1),critica,0.95,FAIL,INCORRETA (fail-open: gerador exit 0 p/ artefato incompilavel; uniao de imports do -merge mascara),critica,FEN-KGN-NAOCOMPILA
EXEC-SET-15,set/varredura fail-crash nos 23 monitores merged,bindings_clausulas,FEN-KPG-NPE,FAIL,INCORRETA (1 caminho de crash nao guardado: KPG validate switch(algorithm); NPE demonstrado no monitor merged),MEDIDO,"set_exec_failcrash_sweep.py sobre MultiSpec_1RuntimeMonitor.java: unico switch sobre campo possivelmente null na linha 5489 (validate), alcancavel de event_init1/init2/initError (:5607/:5626/:5670) com algorithm escrito so em g1/g2/g3; drive S5: init1Event e initErrorEvent como 1o evento lancam java.lang.NullPointerException ao caller; demais 12 derefs flagados sao null-guardados (Ref_* if!=null; helpers reportUnrandomized/reportUnpreparedParams/reportMacedPlainText/isValid/markAsMaced com guardas citadas)",a classe de crash do batch D sobrevive intacta ao -merge e e a UNICA da familia nos 23 monitores,procurado 2o caminho throw-to-caller nao guardado: nenhum (13 sites inspecionados um a um),varredura sintatica + inspecao manual; reachability dinamica demonstrada so p/ KPG,crash-to-app no APK tecido,critica,0.95,FAIL,INCORRETA (1 caminho de crash nao guardado: KPG validate switch(algorithm); NPE demonstrado no monitor merged),critica,FEN-KPG-NPE
EXEC-SET-16,set/edge RANDOMIZED material aceita aleatoriedade rejeitada (fim a fim),predicados_composicao,FEN-D-RANDOMIZED-WRITER,FAIL,INCORRETA (leitor real SecretKeySpecSpec satisfeito por bytes de instancia rejeitada),MEDIDO,"drive S1c/S1c2 (3 reps byte-identicos): getInstance NativePRNG -> UnsafeAlgorithm (whitelist SHA1PRNG) e RANDOMIZED[r2]=false, mas next2 escreve RANDOMIZED[km2]=true; SecretKeySpecSpec c1/c3 sobre km2: 0 erros, SPECCED_KEY+GENERATED_KEY escritos, sks2 accepting",fecha fim a fim (escritor->leitor de producao) o split objeto/material que o batch D mediu so do lado escritor; controle negativo S1d (material nao monitorado) erra corretamente,procurado rejeicao do material no leitor: nenhuma,JVM host; objetos JDK reais,FN executado: chave de aleatoriedade rejeitada aceita como valida,critica,0.95,FAIL,INCORRETA (leitor real SecretKeySpecSpec satisfeito por bytes de instancia rejeitada),critica,FEN-D-RANDOMIZED-WRITER
EXEC-SET-17,set/segundo escritor de GENERATED_KEY abre o gate do MAC,predicados_composicao,FEN-SET-GENERATEDKEY-2A-CASA,FAIL,INCORRETA (SecretKeySpecSpec escreve GENERATED_KEY; gate do MacSpec satisfeito por escritor nao-KGN),MEDIDO,"drive S1b: apos c1/c3 GENERATED_KEY[sks1]=true (alem de SPECCED_KEY); S2c: MacSpec i1(sks1) nao suprimido, doFinal sem acusacao, acc(mac2)=true",a 2a casa do GENERATED_KEY (registrada no batch C) medida viva no conjunto: o gate extra-oraculo do MAC (FEN-MAC-KEYGATE-EXTRA) e alcancavel por chave SKSS,procurado supressao do i1 com chave SKSS: nao ocorreu,JVM host,direcao dupla: gate mais permissivo que o desenho KGN-only,major,0.9,FAIL,INCORRETA (SecretKeySpecSpec escreve GENERATED_KEY; gate do MacSpec satisfeito por escritor nao-KGN),major,FEN-SET-GENERATEDKEY-2A-CASA
EXEC-SET-18,set/SecretKeySpec.getEncoded como 2o produtor de RANDOMIZED,predicados_composicao,FEN-D-RANDOMIZED-WRITER,FAIL,INCORRETA (bytes de getEncoded marcados RANDOMIZED),MEDIDO,"drive S2d/S2d2: apos SecretKeySpec_e1Event, RANDOMIZED contem enc1(skH bytes) e enc2(sks1 bytes) no STORE dump",confirma vivo o 2o produtor anotado no batch D (SecretKeySpec.mop:26): encoding de chave passa a satisfazer qualquer leitor material de RANDOMIZED,procurado condicao restritiva no e1: marca escrita incondicionalmente nos 2 casos testados,JVM host,FN direcional: material nao aleatorio qualifica-se como randomized,major,0.9,FAIL,INCORRETA (bytes de getEncoded marcados RANDOMIZED),major,FEN-D-RANDOMIZED-WRITER
EXEC-SET-19,set/pedagio KPR: 1 FP por acesso entrega as marcas,predicados_composicao,FEN-D-KEYPAIR-EDGE,FAIL,INCORRETA (cada getPrivate/getPublic emite InvalidSequenceOfMethodCalls/KeyPairSpec e ainda escreve a marca),MEDIDO,drive S3b/S3c: DELTA = InvalidSequenceOfMethodCalls/KeyPairSpec expecting=unknown em cada acesso; GENERATED_PRIVATE_KEY[priv]=true e GENERATED_PUBLIC_KEY[pub]=true; SIG initSign(priv) em S3d sem erro de requires,"a forma medida no batch B/D (sem starvation, com pedagio) confirmada fim a fim ate o SIG",procurado starvation do SIG: nao ha (marca entregue),JVM host,FP executado: 2 FPs por par usado,critica,0.95,FAIL,INCORRETA (cada getPrivate/getPublic emite InvalidSequenceOfMethodCalls/KeyPairSpec e ainda escreve a marca),critica,FEN-D-KEYPAIR-EDGE
EXEC-SET-20,set/starvation de SIGNED via s1 morto (consequencia composicional),predicados_composicao,FEN-SIG-SIGN-VOID,FAIL,INCORRETA (sequencia de assinatura correta termina nao-aceita; SIGNED jamais escrito; 0 erros),MEDIDO,"drive S3d: apos g1,g3,i1,update e sign() real SEM evento (pointcut morto - EXEC-SET-08): acc(sig)=false, SIGNED[sigBytes]=false, DELTA=0 (silencio total)",consequencia do pointcut morto no grafo: nenhum leitor de SIGNED pode ser satisfeito; falha silenciosa (nem erro nem aceitacao),procurado escrita de SIGNED por outra via: nenhuma no STORE,JVM host,FN + diagnostico nulo,critica,0.9,FAIL,INCORRETA (sequencia de assinatura correta termina nao-aceita; SIGNED jamais escrito; 0 erros),critica,FEN-SIG-SIGN-VOID
EXEC-SET-21,set/VERIFIED escrito no Boolean boxed e nao nos bytes,bindings_clausulas,FEN-SIG-VERIFIED-WRONGSLOT,FAIL,INCORRETA (marca no slot errado sobrevive ao -merge),MEDIDO,"drive S3e: verify retorna true; VERIFIED[sigBytes]=false, VERIFIED[Boolean.TRUE]=true (STORE mostra VERIFIED=[?Boolean])","identico ao batch D, agora no monitor MERGED e com verificacao criptografica real bem-sucedida",procurado marca nos bytes: ausente,JVM host; cache de boxing de Boolean e global,FN p/ leitores de verified[sign],critica,0.9,FAIL,INCORRETA (marca no slot errado sobrevive ao -merge),critica,FEN-SIG-VERIFIED-WRONGSLOT
EXEC-SET-22,set/cascata KMF->SSL: escritor insatisfeito propaga FP e mesmo assim marca e aceita,predicados_composicao,FEN-SET-KMF-CASCADE,FAIL,INCORRETA (GENERATED_KEY_MANAGERS nao escrito apos gkm1; SSL init acusa e AINDA escreve GENERATE_SSL_CONTEXT e aceita),MEDIDO,drive S4b: KMF SunX509 -> UnsafeAlgorithm (whitelist PKIX) + 2x InvalidSequenceOfMethodCalls; gkm1 dispara mas GENERATED_KEY_MANAGERS[kms]=false; S4d: SSL init emite requires-key-managers e mesmo assim GENERATE_SSL_CONTEXT[ctx1]=true e acc(ctx1)=true,padrao fail-then-proceed no grafo: erro+marca+aceitacao coexistem no mesmo evento (tambem em S4a/KST o g1+g2 duplo nao impede aceitacao),procurado supressao da marca apos erro: nao ha,JVM: alg default SunX509 e do JDK; em Android o default e PKIX (cascata pode nao ocorrer em device) - ameaca declarada,FP em cadeia + marca inconsistente com o erro,major,0.85,FAIL,INCORRETA (GENERATED_KEY_MANAGERS nao escrito apos gkm1; SSL init acusa e AINDA escreve GENERATE_SSL_CONTEXT e aceita),major,FEN-SET-KMF-CASCADE
EXEC-SET-23,set/leitura extra-oraculo RANDOMIZED no SSL init (viva),predicados_composicao,FEN-SSL-RANDOMIZED-EXTRA,FAIL,INCORRETA (SSL init exige RANDOMIZED[random] - leitura alem do oraculo api30 - e erra com SecureRandom nao monitorado),MEDIDO,"dedupe probe X1 (3 reps byte-identicos): com km/tm marcados sinteticamente e SecureRandom fresco, DELTA = UnsatisfiedConstraint/SSLContextSpec requires a SecureRandom established...; corpo do evento em MultiSpec_1RuntimeMonitor (Prop_1_event_init, 4 checks independentes)",a leitura registrada no batch C esta viva no conjunto merged; no drive S4e ela foi engolida pelo dedupe (EXEC-SET-24),procurado curto-circuito que impedisse o check: nao ha (checks independentes),km/tm marcados via setProperty sintetico p/ isolar o check,FP: todo init com SecureRandom nao monitorado acusa,major,0.9,FAIL,INCORRETA (SSL init exige RANDOMIZED[random] - leitura alem do oraculo api30 - e erra com SecureRandom nao monitorado),critica,FEN-SSL-RANDOMIZED-EXTRA
EXEC-SET-24,set/colapso de dedupe: violacoes distintas no mesmo site viram 1 registro,diagnostico,FEN-SET-DEDUPE,FAIL,INCORRETA (identidade do ErrorDescription exclui expecting; 2 violacoes distintas no mesmo call site = 1 registro; qual sobrevive e ordem de chegada),MEDIDO,dedupe probe X2: km e random ambos insatisfeitos em UM call site -> DELTA=1 (so key managers); ErrorDescription.java:109-139 (equals/hashCode = ErrorSummary; comentario declara expecting fora da identidade); ErrorCollector csv addError/getErrors (:40-48),"perda de emissao real: a violacao do SecureRandom foi detectada (X1) e nao registrada (X2); vale para qualquer par de constraints no mesmo (spec,type,site)",procurado registro da 2a violacao em X2: ausente,JVM logger-csv; logcat ErrorCollector partilha a mesma identidade (mesma classe ErrorDescription),perda de emissao de violacao detectada,critica,0.9,FAIL,INCORRETA (identidade do ErrorDescription exclui expecting; 2 violacoes distintas no mesmo call site = 1 registro; qual sobrevive e ordem de chegada),critica,FEN-SET-DEDUPE
EXEC-SET-25,set/expecting=unknown vivo na composicao,diagnostico,FEN-SET-FAIL-UNKNOWN,FAIL,INCORRETA (handlers @fail emitem expecting=unknown em 5 dos 14 erros do drive),MEDIDO,drive: S1a InvalidSequenceOfMethodCalls/SecureRandomSpec expecting=unknown; S3b/S3c KeyPairSpec expecting=unknown; S4b 2x KeyManagerFactorySpec expecting=unknown,"gate G9 do pre-registro exige nenhum unknown; no conjunto os unknown acompanham exatamente os FPs executados (SRD canonico, pedagio KPR, cascata KMF)",procurado unknown em outros handlers exercitados: os demais 8 erros trazem expecting especifico,JVM host,diagnostico inatribuivel nos FPs mais frequentes,major,0.9,FAIL,INCORRETA (handlers @fail emitem expecting=unknown em 5 dos 14 erros do drive),major,FEN-SET-FAIL-UNKNOWN
EXEC-SET-26,set/FP no uso canonico do SecureRandom (novo+nextBytes),linguagem_formal,FEN-SRD-NEXTBYTES-FP,FAIL,INCORRETA (uso canonico creation+nextBytes acusa InvalidSequenceOfMethodCalls no conjunto),MEDIDO,drive S1a: c1 + next2(salt) + next2(km1) em linhas distintas -> DELTA=1 InvalidSequenceOfMethodCalls/SecureRandomSpec expecting=unknown; r1 permanece accepting e RANDOMIZED[r1/salt/km1]=true,reproduz no MERGED a forma do batch D (D2: FP a partir da 2a nextBytes em site distinto) - a forma que casa com as 12400 linhas historicas (H-SRD-1),procurado FP com uma unica nextBytes: nao emitido na 1a chamada,JVM host,FP executado no uso mais comum da API,critica,0.9,FAIL,INCORRETA (uso canonico creation+nextBytes acusa InvalidSequenceOfMethodCalls no conjunto),critica,FEN-SRD-NEXTBYTES-FP
EXEC-SET-27,set/selecao jca_android no rv-experiment (codigo atual),toolchain_android,,PASS,FIDELIDADE_DEMONSTRADA (mapeamento explicito sem fallback silencioso - inalterado),PROVADO,rv_experiment/config.py:688-693 (jca_android -> resources/jca_android explicito); custom sem dir e valor desconhecido levantam ConfigurationError (:695-712); RVGeneratorConfig recebe bins e mop_specs_dir explicitos (:735-743); DEFAULT_SPEC_SET=jca por declaracao (constants.py:100),confirma no codigo de hoje o registro da fase 0 (toolchain_ambiente.md par.5): sem regressao,procurado call-site que omita mop_specs_dir: nenhum,leitura de codigo (nao executado fim a fim nesta fase),n/a,n/a,0.9,PASS,FIDELIDADE_DEMONSTRADA (mapeamento explicito sem fallback silencioso - inalterado),n/a,
EXEC-SET-28,set/defaults do caminho estatico inalterados (GAMA-SET-01/03),toolchain_android,FEN-SET-STATIC-JCA-DEFAULT,FAIL,INCORRETA (visao estatica default continua jca literal e sem android-30 na sonda),PROVADO,"rv_static_analysis/config.py:199-208 (mop_dir default literal .../resources/jca quando targets_file ausente); :186 sonda android_jar [33,29,28,27,26] sem 30; rv_experiment/config.py:892-953 get_static_analysis_config nao passa mop_dir/targets_file/android_jar -> defaults aplicam","registros GAMA-SET-01 (pilot) e GAMA-SET-03 confirmados INALTERADOS no codigo atual, como pedido pela consolidacao G12",procurado caller que passe mop_dir: nenhum (grep no modulo rv-experiment),leitura de codigo; magnitude por lote ja quantificada nas rodadas (destroy no B; reset no D),estatica de runs jca_android computada contra jca; jar do oraculo nunca sondado,major,0.9,FAIL,INCORRETA (visao estatica default continua jca literal e sem android-30 na sonda),major,FEN-SET-STATIC-JCA-DEFAULT
EXEC-SET-29,set/edges escritor->leitor que FUNCIONAM (controles positivos),predicados_composicao,,PASS,FIDELIDADE_DEMONSTRADA (marcas entregues e lidas nos edges bons),MEDIDO,"drive: S1b SRD->SKSS material randomizado aceito (0 erros; marcas escritas); S1e PBK com salt randomizado suprime o erro de salt (so o de password resta) vs S1f 3 erros; S2a/S2b KGN gk1 escreve GENERATED_KEY[skH] e MacSpec i1 nao suprime, mac1 aceita, GENERATED_MAC/MACED escritos; S3a KPG gen escreve GENERATED_KEY_PAIR[kp] e aceita; S4a KST load escreve GENERATED_KEY_STORE[ks] e aceita (apesar do g1+g2 duplo); S4c TMF PKIX 0 erros, GENERATED_TRUST_MANAGER(S) escritos","o grafo nao esta globalmente quebrado: os FAILs acima sao localizados nos mecanismos nomeados, nao um colapso total - contexto necessario ao juiz global",procurado erro espurio nesses edges: nenhum alem dos ja classificados,JVM host,n/a,n/a,0.9,PASS,FIDELIDADE_DEMONSTRADA (marcas entregues e lidas nos edges bons),n/a,
EXEC-SET-30,set/admissibilidade D-batchD-1 das evidencias desta fase,reprodutibilidade,,PASS,FIDELIDADE_DEMONSTRADA (zero marcadores de trap nas evidencias android-30; javap nao utilizado),MEDIDO,"grep SecureRandomParameters|sun.security|jdk.internal sobre todos os outputs decisivos: 0 hits nos artefatos rotulados android-30/drive/lint/sweep; 3 hits SO no output android-37.0, e SecureRandomParameters.class existe no jar 37.0 (unzip -l: 1 entrada) e nao no 30 (0) - membro genuino do jar congelado, lido pelo AndroidClassIndex a partir dos bytes do jar, nao do JDK host",nenhum javap executado nesta fase; toda evidencia de membro de plataforma veio do indice dexlib2 de producao sobre os jars congelados,procurado marcador em evidencia rotulada api30: zero,nenhuma,n/a,n/a,0.95,PASS,FIDELIDADE_DEMONSTRADA (zero marcadores de trap nas evidencias android-30; javap nao utilizado),n/a,
