ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC5;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer7, r2)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC1;void go(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #606880adb77107637f599eddea5d1aedd77c4a4a9400942172d6b94d5d2cdac1);First parameter (with value "DES") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r1 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC1;void go(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #95f6f5b441ca16634e76c0fd11e6c62ce17e5d87548ef79803ddc8d24d007f67);First parameter (with value "DES/ECB/PKCS5Padding") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r4 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r3)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC1;void go(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r4.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer9, r2)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase13;void method1(java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #e857a5609d1d3f2a986974179aafdba353cc6e373b2b18a3596912947224e6e8);First parameter (with value "RC4") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r1 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(r0)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase13;void method1(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer10, r2)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase13;void method1(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #165e5e74c3a780737221b2e5efad079f03d56e4586891fe960582ef8f8493c9e);First parameter (with value "RC4") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase2;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #51206dea74bdd68ee3cdd67442401e3598a5288f785a8ecff9ef4919b21f5d00);First parameter (with value "Blowfish") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase2;void go(java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #17d27c6aa797d12ceea2bf521099599b3ce83b718284598502a9dd8a8795debc);First parameter (with value "Blowfish") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r1 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(r0)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase2;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer11, r2)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase4;void go(int);violating CrySL rule for javax.crypto.Cipher (on Object #ed423149faf02604da9b50d0622ea94002c36e13e81004bd3a9842d0178f88bd);First parameter (with value "RC2") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer12)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase4;void go(int);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer14, r1)
TypestateError;org.cryptoapi.bench.brokencrypto.Crypto5;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #45b333b920d08ad63612e84e327d84952aac634bdecc319a831dfabdce4b862f);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r8 = virtualinvoke r5.<javax.crypto.Cipher: byte[] doFinal(byte[])>(r7)
ConstraintError;org.cryptoapi.bench.brokencrypto.Crypto5;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #45b333b920d08ad63612e84e327d84952aac634bdecc319a831dfabdce4b862f);First parameter (with value "RC2") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r5 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>($r4)
ConstraintError;org.cryptoapi.bench.brokencrypto.Crypto5;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #9624d4dfdf158afe9c7439258dff46553b79f0afe0ae2523cf2c21b39a6280ac);First parameter (with value "RC2") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r2 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>($r1)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.Crypto5;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r5.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer16, r3)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase11;void method1(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #653811659ba0e52bc6141b1c635f1185c3cfa9362d658832778da19b9935e29);First parameter (with value "DES/ECB/PKCS5Padding") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r4 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r3)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase11;void method1(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #9bcdbf5ea927aa331cd8a0edf8e0a312a6e459069e5f5c81fc163ba7d3aaa847);First parameter (with value "DES") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r1 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(r0)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase11;void method1(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r4.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer17, r2)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC3;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer18, r2)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC3;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #c04f748fafa620a63bae3a3b879f730f5345144ddfc5bbf406fc32673b5dd987);First parameter (with value "RC4") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC3;void go(java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #41539bca8a3374f86cad160628c51fb975d2b98cacf358021f80dc4c6a34ae02);First parameter (with value "RC4") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r1 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase3;void go(int);violating CrySL rule for javax.crypto.Cipher (on Object #9d0bf83c90071d04103d8aa87d014bdf196cfc02f2fd7403c9ebbedd5390aaaa);First parameter (with value "RC4") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer20)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase3;void go(int);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer22, r1)
ConstraintError;org.cryptoapi.bench.brokencrypto.Crypto2;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #5947f2072a35350384d4f463b3550a7291a2606cba2720b36ac98965f9976a77);First parameter (with value "DES/ECB/PKCS5Padding") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r5 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>($r4)
ConstraintError;org.cryptoapi.bench.brokencrypto.Crypto2;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #bad07cf4b2f3d91fbf657e30a6b950b7c6d8832b0b7975a3e0b615c15f4dd762);First parameter (with value "DES/ECB/PKCS5Padding") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r2 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>($r1)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.Crypto2;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r5.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer26, r3)
TypestateError;org.cryptoapi.bench.brokencrypto.Crypto2;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #5947f2072a35350384d4f463b3550a7291a2606cba2720b36ac98965f9976a77);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r8 = virtualinvoke r5.<javax.crypto.Cipher: byte[] doFinal(byte[])>(r7)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC4;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #ef9ba1d7974fb8093cb6a30f0548e500ea9ab1c28e4910a6a4868acc637eb70);First parameter (with value "RC2") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r0)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC4;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer28, r2)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC4;void go(java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #9e3e4011df5d016a6a8e87f2d7813575bfa9bb05222d6e31016893d8c2733f1b);First parameter (with value "RC2") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r1 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase14;void method1(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #1a06fdae3c5e34581f287856170543a8f13bafb8fb4cc6880004bd801479294c);First parameter (with value "RC2") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase14;void method1(java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #e151465ac7a8adf2d9c3f2afac7bd662c4518bfacb4f2a685f35f0f5952b4c8);First parameter (with value "RC2") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r1 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(r0)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase14;void method1(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer29, r2)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase1;void go(int);violating CrySL rule for javax.crypto.Cipher (on Object #c87edcd915da4d91d20d862f1dd3808f38dbfed754e01ba4fbff4e2588bcdfb4);First parameter (with value "DES/ECB/PKCS5Padding") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer32)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase1;void go(int);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer33, r1)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase5;void go(int);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer38, r1)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase5;void go(int);violating CrySL rule for javax.crypto.Cipher (on Object #691f060e3e0a4442f527d52b5520784df9a26f7f72f83a6427ac1d40ee14dd18);First parameter (with value "IDEA") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer37)
ConstraintError;org.cryptoapi.bench.brokencrypto.Crypto4;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #9840fbb3d6a3459ecf76ca920c4260210a69455f8c36cb1cd06f0c40309fdc44);First parameter (with value "RC4") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r5 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>($r4)
ConstraintError;org.cryptoapi.bench.brokencrypto.Crypto4;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #961a4148064e0de1223d0b41b6da5cd637e347dbc14f1965a09bbcb0fa635122);First parameter (with value "RC4") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r2 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>($r1)
TypestateError;org.cryptoapi.bench.brokencrypto.Crypto4;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #9840fbb3d6a3459ecf76ca920c4260210a69455f8c36cb1cd06f0c40309fdc44);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r8 = virtualinvoke r5.<javax.crypto.Cipher: byte[] doFinal(byte[])>(r7)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.Crypto4;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r5.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer39, r3)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC2;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #a87e4e013d32f9a70d2175e984a70a4c172cd9ab3a82709d2d8aeb6651af1cad);First parameter (with value "Blowfish") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC2;void go(java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #40761566930ef3e55493dc764c8793da94343a5c1b934d45c559a2427d05d1a4);First parameter (with value "Blowfish") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r1 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(r0)
