"round","claim_id","spec","dimension","resolution","classification","severity_resolved","severity_kind","severity_s4_letter","fen_source","fen_canonical","pilot_join_source"
"pilot","ALFA-CIP-17","CipherSpec","bindings_clausulas","FAIL","OMITIDA","critica","derived-parsed","critica","","",""
"pilot","ALFA-CIP-18","CipherSpec","bindings_clausulas","FAIL","OMITIDA","major","derived-parsed","major","","",""
"pilot","ALFA-CIP-19","CipherSpec","predicados_composicao","PASS","DIVERGENCIA_EQUIVALENTE_COMPROVADA","none","derived-parsed","none","","",""
"pilot","ALFA-CIP-20","CipherSpec","predicados_composicao","FAIL","INCORRETA","minor","derived-parsed","minor","","",""
"pilot","ALFA-CIP-21","CipherSpec","predicados_composicao","PASS","LIMITACAO_INEVITAVEL_DOCUMENTADA","none","derived-parsed","none","","",""
"pilot","ALFA-CIP-22","CipherSpec","diagnostico","FAIL","INCORRETA","major","derived-parsed","major","","",""
"pilot","ALFA-CIP-23","CipherSpec","diagnostico","FAIL","INCORRETA","minor","derived-parsed","minor","","",""
"pilot","ALFA-CIP-24","CipherSpec","toolchain_android","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","ALFA-GCM-01","GCMParameterSpecSpec","linguagem_formal","PASS","DIVERGENCIA_EQUIVALENTE_COMPROVADA","none","derived-parsed","none","","",""
"pilot","ALFA-GCM-02","GCMParameterSpecSpec","linguagem_formal","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","ALFA-GCM-03","GCMParameterSpecSpec","bindings_clausulas","FAIL","INCORRETA","critica","derived-parsed","critica","","",""
"pilot","ALFA-GCM-04","GCMParameterSpecSpec","predicados_composicao","FAIL","INCORRETA","critica","derived-parsed","critica","","",""
"pilot","ALFA-GCM-05","GCMParameterSpecSpec","bindings_clausulas","INCONCLUSIVE","INCONCLUSIVA","none","derived-parsed","none","","",""
"pilot","ALFA-GCM-06","GCMParameterSpecSpec","predicados_composicao","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","ALFA-GCM-07","GCMParameterSpecSpec","reprodutibilidade","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","ALFA-GCM-08","GCMParameterSpecSpec","toolchain_android","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","BETA-CIP-01","CipherSpec","toolchain_android","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","BETA-CIP-02","CipherSpec","toolchain_android","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","BETA-CIP-03","CipherSpec","toolchain_android","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","BETA-CIP-04","CipherSpec","captura_eventos","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","BETA-CIP-05","CipherSpec","captura_eventos","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","BETA-CIP-06","CipherSpec","toolchain_android","FAIL","INCORRETA","minor","derived-parsed","minor","","FEN-SET-FLAGS-OBSOLETAS","batchA FEN-SET-flags-obsoletas names the pilot pair"
"pilot","BETA-CIP-07","CipherSpec","diagnostico","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","BETA-CIP-08","CipherSpec","toolchain_android","INCONCLUSIVE","INCONCLUSIVA","none","derived-parsed","none","","",""
"pilot","BETA-CIP-09","CipherSpec","linguagem_formal","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","BETA-CIP-10","CipherSpec","captura_eventos","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","BETA-GCM-01","GCMParameterSpecSpec","toolchain_android","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","BETA-GCM-02","GCMParameterSpecSpec","linguagem_formal","PASS","DIVERGENCIA_EQUIVALENTE_COMPROVADA","none","derived-parsed","none","","",""
"pilot","BETA-GCM-03","GCMParameterSpecSpec","captura_eventos","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","BETA-GCM-04","GCMParameterSpecSpec","diagnostico","FAIL","INCORRETA","critica","derived-parsed","critica","","",""
"pilot","BETA-GCM-05","GCMParameterSpecSpec","bindings_clausulas","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","BETA-SET-01","SET","toolchain_android","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","BETA-SET-02","SET","reprodutibilidade","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","BETA-SET-03","SET","toolchain_android","INCONCLUSIVE","INCONCLUSIVA","none","derived-parsed","none","","",""
"pilot","BETA-SET-04","SET","toolchain_android","FAIL","INCORRETA","minor","derived-parsed","critica(D-batchC-1)","","FEN-SET-FAIL-OPEN","exit 0 com erro; D-batchC-1 family"
"pilot","BETA-SET-05","SET","toolchain_android","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","GAMA-CIP-01","CipherSpec","diagnostico","FAIL","INCORRETA","major","derived-parsed","major","","FEN-SET-FAIL-UNKNOWN","todo @fail = unknown; batchB FEN-SET-FAIL-UNKNOWN same mechanism"
"pilot","GAMA-CIP-02","CipherSpec","diagnostico","FAIL","INCORRETA","major","derived-parsed","major","","",""
"pilot","GAMA-CIP-03","CipherSpec","diagnostico","FAIL","INCORRETA","major","derived-parsed","major","","",""
"pilot","GAMA-CIP-04","CipherSpec","diagnostico","FAIL","INCORRETA","major","derived-parsed","major","","FEN-SET-DEDUPE","batchB/C/D FEN-SET-DEDUPE same mechanism (dedupe colide cláusulas)"
"pilot","GAMA-CIP-05","CipherSpec","diagnostico","FAIL","INCORRETA","major","derived-parsed","major","","",""
"pilot","GAMA-CIP-06","CipherSpec","diagnostico","FAIL","INCORRETA","minor","derived-parsed","minor","","",""
"pilot","GAMA-CIP-07","CipherSpec","diagnostico","INCONCLUSIVE","INCONCLUSIVA","none","derived-parsed","none","","",""
"pilot","GAMA-CIP-08","CipherSpec","toolchain_android","FAIL","INCORRETA","none","derived-parsed","none","","FEN-SET-FLAGS-OBSOLETAS","idem"
"pilot","GAMA-GCM-01","GCMParameterSpecSpec","toolchain_android","FAIL","INCORRETA","minor","derived-parsed","critica(D-batchC-1)","","FEN-SET-FAIL-OPEN","fail-open de símbolo; same family as batchA FEN-SET-failopen-simbolo; D-batchC-1"
"pilot","GAMA-GCM-02","GCMParameterSpecSpec","diagnostico","FAIL","INCORRETA","major","derived-parsed","major","","",""
"pilot","GAMA-GCM-03","GCMParameterSpecSpec","predicados_composicao","FAIL","INCORRETA","critica","derived-parsed","critica","","",""
"pilot","GAMA-SET-01","SET","toolchain_android","FAIL","INCORRETA","major","derived-parsed","major","","FEN-SET-STATIC-JCA-DEFAULT","static path literal jca / no api30; batchB FEN-SET-JCA-DIR-DEFAULT, batchD FEN-SET-STATIC-JCA-DEFAULT"
"pilot","GAMA-SET-02","SET","reprodutibilidade","FAIL","INCORRETA","major","derived-parsed","major","","",""
"pilot","GAMA-SET-03","SET","toolchain_android","FAIL","INCORRETA","minor","derived-parsed","minor","","FEN-SET-STATIC-JCA-DEFAULT","idem"
"pilot","GAMA-SET-04","SET","diagnostico","INCONCLUSIVE","INCONCLUSIVA","none","derived-parsed","none","","",""
"pilot","GAMA-SET-05","SET","reprodutibilidade","INCONCLUSIVE","INCONCLUSIVA","none","derived-parsed","none","","",""
"pilot","GAMA-SET-06","SET","reprodutibilidade","FAIL","INCORRETA","major","derived-parsed","major","","",""
"pilot","GAMA-SET-07","SET","reprodutibilidade","INCONCLUSIVE","INCONCLUSIVA","none","derived-parsed","none","","",""
"batchA","ALFA-DHG-01","DHGenParameterSpecSpec","linguagem_formal","PASS","FIDELIDADE_DEMONSTRADA","minor","of-record","minor","FEN-DHG-linguagem","FEN-DHG-linguagem",""
"batchA","ALFA-DHG-02","DHGenParameterSpecSpec","bindings_clausulas","FAIL","INCORRETA (constraint extra-oraculo; supressao silenciosa sem carrier; sem registro)","critica","of-record","critica","FEN-DHG-supressao-condition","FEN-DHG-SUPRESSAO",""
"batchA","ALFA-DHG-03","DHGenParameterSpecSpec","predicados_composicao","FAIL","INCORRETA (ENSURES perdido gera FP inter-spec realizavel)","critica","of-record","critica","FEN-DHG-supressao-condition","FEN-DHG-SUPRESSAO",""
"batchA","ALFA-DHG-04","DHGenParameterSpecSpec","predicados_composicao","PASS","FIDELIDADE_DEMONSTRADA","minor","of-record","minor","FEN-DHG-lifecycle","FEN-DHG-lifecycle",""
"batchA","ALFA-DHG-05","DHGenParameterSpecSpec","diagnostico","FAIL","INCORRETA (acusacao deslocada e enganosa no leitor)","major","of-record","major","FEN-DHG-supressao-condition","FEN-DHG-SUPRESSAO",""
"batchA","ALFA-DHG-06","DHGenParameterSpecSpec","reprodutibilidade","FAIL","INCORRETA (registro descreve regra inexistente)","minor","of-record","minor","FEN-DHG-registro-impreciso","FEN-DHG-registro-impreciso",""
"batchA","ALFA-HMC-01","HMACParameterSpecSpec","linguagem_formal","FAIL","INCORRETA (inclusao L(CrySL) em alfa(L(MOP)) falha no artefato efetivo: monitor global)","critica","of-record","critica","FEN-HMC-linguagem","FEN-HMC-MONITOR-GLOBAL",""
"batchA","ALFA-HMC-02","HMACParameterSpecSpec","captura_eventos","FAIL","LIMITACAO_INEVITAVEL_DOCUMENTADA (documentada NESTA RODADA: registro de vies do oraculo criado pela auditoria, a referendar pelo pesquisador; nenhum registro pre-existente em gh101/frozen_set_debt)","major","of-record","major","FEN-HMC-classe-ausente-api30","FEN-HMC-CLASSE-AUSENTE",""
"batchA","ALFA-HMC-03","HMACParameterSpecSpec","bindings_clausulas","PASS","FIDELIDADE_DEMONSTRADA","minor","of-record","minor","FEN-HMC-binding","FEN-HMC-binding",""
"batchA","ALFA-HMC-04","HMACParameterSpecSpec","predicados_composicao","PASS","FIDELIDADE_DEMONSTRADA","minor","of-record","minor","FEN-HMC-predicado","FEN-HMC-predicado",""
"batchA","ALFA-HMC-05","HMACParameterSpecSpec","predicados_composicao","FAIL","INCORRETA (ciclo de vida por processo, nao por objeto)","critica","of-record","critica","FEN-HMC-lifecycle","FEN-HMC-MONITOR-GLOBAL",""
"batchA","ALFA-PBE-01","PBEParameterSpecSpec","linguagem_formal","PASS","DIVERGENCIA_EQUIVALENTE_COMPROVADA (prefixo Kleene c3* registrado)","minor","of-record","minor","FEN-PBE-linguagem-carrier","FEN-PBE-linguagem-carrier",""
"batchA","ALFA-PBE-02","PBEParameterSpecSpec","bindings_clausulas","PASS","FIDELIDADE_DEMONSTRADA","minor","of-record","minor","FEN-PBE-constraint-transcricao","FEN-PBE-constraint-transcricao",""
"batchA","ALFA-PBE-03","PBEParameterSpecSpec","bindings_clausulas","FAIL","INCORRETA (misuse 3-args sem carrier: FN terminal silencioso; sem registro)","critica","of-record","critica","FEN-PBE-supressao-c2","FEN-PBE-C2-GAP",""
"batchA","ALFA-PBE-04","PBEParameterSpecSpec","diagnostico","FAIL","INCORRETA (mensagem contradiz o limiar implementado 10x)","minor","of-record","minor","FEN-PBE-msg-1000","FEN-PBE-MSG-1000",""
"batchA","ALFA-PBE-05","PBEParameterSpecSpec","diagnostico","FAIL","INCORRETA (categoria UnsafeAlgorithm inconsistente com irmas)","minor","of-record","minor","FEN-PBE-errortype","FEN-PBE-MSG-1000",""
"batchA","ALFA-PBE-06","PBEParameterSpecSpec","predicados_composicao","PASS","FIDELIDADE_DEMONSTRADA (write-no-read registrado espelha o oraculo)","minor","of-record","minor","FEN-PBE-grafo","FEN-PBE-grafo",""
"batchA","ALFA-PBE-07","PBEParameterSpecSpec","predicados_composicao","PASS","FIDELIDADE_DEMONSTRADA","minor","of-record","minor","FEN-PBE-lifecycle","FEN-PBE-lifecycle",""
"batchA","ALFA-IVP-01","IvParameterSpecSpec","linguagem_formal","PASS","DIVERGENCIA_EQUIVALENTE_COMPROVADA (prefixo Kleene registrado)","minor","of-record","minor","FEN-IVP-linguagem-carrier","FEN-IVP-linguagem-carrier",""
"batchA","ALFA-IVP-02","IvParameterSpecSpec","bindings_clausulas","PASS","DIVERGENCIA_EQUIVALENTE_COMPROVADA (conjuntos vacuos no join point after-returning)","minor","of-record","minor","FEN-IVP-envelope-api","FEN-IVP-envelope-api",""
"batchA","ALFA-IVP-03","IvParameterSpecSpec","predicados_composicao","PASS","FIDELIDADE_DEMONSTRADA","minor","of-record","minor","FEN-IVP-grafo","FEN-IVP-grafo",""
"batchA","ALFA-IVP-04","IvParameterSpecSpec","predicados_composicao","PASS","FIDELIDADE_DEMONSTRADA","minor","of-record","minor","FEN-IVP-lifecycle","FEN-IVP-lifecycle",""
"batchA","ALFA-SKS-01","SecretKeySpecSpec","linguagem_formal","PASS","DIVERGENCIA_EQUIVALENTE_COMPROVADA (prefixo Kleene registrado)","minor","of-record","minor","FEN-SKS-linguagem-carrier","FEN-SKS-linguagem-carrier",""
"batchA","ALFA-SKS-02","SecretKeySpecSpec","bindings_clausulas","FAIL","INCORRETA (whitelist extra-oraculo; FP realizavel; registrado nao e aprovado)","critica","of-record","critica","FEN-SKS-whitelist-extra-oraculo","FEN-SKS-WHITELIST",""
"batchA","ALFA-SKS-03","SecretKeySpecSpec","predicados_composicao","FAIL","INCORRETA (surrogate RANDOMIZED nao equivalente: produtores divergem do oraculo)","critica","of-record","critica","FEN-SKS-surrogate-preparedkeymaterial","FEN-SKS-SURROGATE",""
"batchA","ALFA-SKS-04","SecretKeySpecSpec","predicados_composicao","FAIL","INCORRETA (REQUIRES nao lido no caminho 4-args; FN realizavel; sem registro)","critica","of-record","critica","FEN-SKS-requires-4arg","FEN-SKS-REQUIRES-4ARG",""
"batchA","ALFA-SKS-05","SecretKeySpecSpec","predicados_composicao","FAIL","OMITIDA (2a casa alg descartada na escrita; sem registro)","critica","of-record","critica","FEN-SET-generatedkey-2a-casa","FEN-SET-GENERATEDKEY-2A-CASA",""
"batchA","ALFA-SKS-06","SecretKeySpecSpec","predicados_composicao","PASS","LIMITACAO_INEVITAVEL_DOCUMENTADA (segue bloqueando aderencia total)","minor","of-record","minor","FEN-SKS-speccedkey","FEN-SKS-speccedkey",""
"batchA","ALFA-SKS-07","SecretKeySpecSpec","bindings_clausulas","PASS","FIDELIDADE_DEMONSTRADA","minor","of-record","minor","FEN-SKS-length-envelope","FEN-SKS-length-envelope",""
"batchA","ALFA-SKS-08","SecretKeySpecSpec","predicados_composicao","PASS","FIDELIDADE_DEMONSTRADA","minor","of-record","minor","FEN-SKS-lifecycle","FEN-SKS-lifecycle",""
"batchA","ALFA-SET-01","SET","toolchain_android","FAIL","INCORRETA (defeito de mecanismo do gerador; benigno no lote por idempotencia)","major","of-record","major","FEN-SET-flags-obsoletas","FEN-SET-FLAGS-OBSOLETAS",""
"batchA","ALFA-SET-02","SET","toolchain_android","FAIL","INCORRETA (parser fail-open a parentese desbalanceado; exit 0)","major","of-record","critica(D-batchC-1)","FEN-SET-failopen-parser","FEN-SET-FAIL-OPEN",""
"batchA","ALFA-SET-03","SET","toolchain_android","FAIL","INCORRETA (oraculo derivado emite regra de classe ausente da API 30)","major","of-record","major","FEN-HMC-classe-ausente-api30","FEN-HMC-CLASSE-AUSENTE",""
"batchA","ALFA-SET-04","SET","diagnostico","FAIL","INCORRETA (propriedade set-wide refutada: HMC emite InvalidSequenceOfMethodCalls espurio)","critica","of-record","critica","FEN-BATCHA-fail-morto","FEN-HMC-MONITOR-GLOBAL",""
"batchA","BETA-DHG-01","DHGenParameterSpecSpec","toolchain_android","PASS","FIDELIDADE_DEMONSTRADA (medicao da cadeia)","none","of-record","none","","",""
"batchA","BETA-DHG-02","DHGenParameterSpecSpec","captura_eventos","PASS","FIDELIDADE_DEMONSTRADA","none","of-record","none","","",""
"batchA","BETA-DHG-03","DHGenParameterSpecSpec","linguagem_formal","PASS","FIDELIDADE_DEMONSTRADA (artefato fiel ao .mop)","none","of-record","none","","",""
"batchA","BETA-DHG-04","DHGenParameterSpecSpec","diagnostico","FAIL","INCORRETA (canal @fail morto - higiene)","minor","of-record","minor","FEN-SET-fail-morto","FEN-SET-FAIL-MORTO",""
"batchA","BETA-DHG-05","DHGenParameterSpecSpec","bindings_clausulas","FAIL","INCORRETA (constraint extra-oraculo via supressao silenciosa)","critica","of-record","critica","FEN-DHG-condicao-extra","FEN-DHG-SUPRESSAO",""
"batchA","BETA-HMC-01","HMACParameterSpecSpec","toolchain_android","PASS","FIDELIDADE_DEMONSTRADA (medicao da cadeia)","none","of-record","none","","",""
"batchA","BETA-HMC-02","HMACParameterSpecSpec","captura_eventos","FAIL","INCORRETA (regra api30 modela classe inexistente na plataforma declarada)","major","of-record","major","FEN-HMC-classe-ausente","FEN-HMC-CLASSE-AUSENTE",""
"batchA","BETA-HMC-03","HMACParameterSpecSpec","bindings_clausulas","FAIL","INCORRETA (monitor global; FP em trace legal)","critica","of-record","critica","FEN-HMC-monitor-global","FEN-HMC-MONITOR-GLOBAL",""
"batchA","BETA-HMC-04","HMACParameterSpecSpec","linguagem_formal","PASS","FIDELIDADE_DEMONSTRADA (tabela fiel ao ere; escopo do monitor no claim irmao)","none","of-record","none","FEN-HMC-monitor-global","FEN-HMC-MONITOR-GLOBAL",""
"batchA","BETA-PBE-01","PBEParameterSpecSpec","toolchain_android","PASS","FIDELIDADE_DEMONSTRADA (medicao da cadeia)","none","of-record","none","","",""
"batchA","BETA-PBE-02","PBEParameterSpecSpec","captura_eventos","PASS","FIDELIDADE_DEMONSTRADA","none","of-record","none","","",""
"batchA","BETA-PBE-03","PBEParameterSpecSpec","linguagem_formal","PASS","FIDELIDADE_DEMONSTRADA (artefato fiel ao .mop)","none","of-record","none","","",""
"batchA","BETA-PBE-04","PBEParameterSpecSpec","bindings_clausulas","FAIL","INCORRETA (FN terminal realizavel: violacao 3-args invisivel ponta a ponta)","critica","of-record","critica","FEN-PBE-supressao-c2","FEN-PBE-C2-GAP",""
"batchA","BETA-PBE-05","PBEParameterSpecSpec","diagnostico","FAIL","INCORRETA (canal @fail morto - higiene)","minor","of-record","minor","FEN-SET-fail-morto","FEN-SET-FAIL-MORTO",""
"batchA","BETA-PBE-06","PBEParameterSpecSpec","predicados_composicao","PASS","LIMITACAO_INEVITAVEL_DOCUMENTADA (write-no-read D-S14 registrado)","minor","of-record","minor","","",""
"batchA","BETA-PBE-07","PBEParameterSpecSpec","diagnostico","FAIL","INCORRETA (mensagem contradiz o limiar)","minor","of-record","minor","","",""
"batchA","BETA-IVP-01","IvParameterSpecSpec","toolchain_android","PASS","FIDELIDADE_DEMONSTRADA (medicao da cadeia)","none","of-record","none","","",""
"batchA","BETA-IVP-02","IvParameterSpecSpec","captura_eventos","PASS","FIDELIDADE_DEMONSTRADA","none","of-record","none","","",""
"batchA","BETA-IVP-03","IvParameterSpecSpec","linguagem_formal","PASS","FIDELIDADE_DEMONSTRADA (artefato fiel ao .mop)","none","of-record","none","","",""
"batchA","BETA-IVP-04","IvParameterSpecSpec","bindings_clausulas","PASS","DIVERGENCIA_EQUIVALENTE_COMPROVADA (lacuna inalcancavel via after-returning)","minor","of-record","minor","","",""
"batchA","BETA-IVP-05","IvParameterSpecSpec","diagnostico","FAIL","INCORRETA (canal @fail morto - higiene)","minor","of-record","minor","FEN-SET-fail-morto","FEN-SET-FAIL-MORTO",""
"batchA","BETA-IVP-06","IvParameterSpecSpec","toolchain_android","PASS","FIDELIDADE_DEMONSTRADA (cadeia consistente apesar da dupla origem de nomes)","minor","of-record","minor","","",""
"batchA","BETA-SKS-01","SecretKeySpecSpec","toolchain_android","PASS","FIDELIDADE_DEMONSTRADA (medicao da cadeia)","none","of-record","none","","",""
"batchA","BETA-SKS-02","SecretKeySpecSpec","captura_eventos","PASS","FIDELIDADE_DEMONSTRADA","none","of-record","none","","",""
"batchA","BETA-SKS-03","SecretKeySpecSpec","linguagem_formal","PASS","FIDELIDADE_DEMONSTRADA (artefato fiel ao .mop)","none","of-record","none","","",""
"batchA","BETA-SKS-04","SecretKeySpecSpec","toolchain_android","PASS","FIDELIDADE_DEMONSTRADA (condicao efetiva integra apesar da anomalia textual)","minor","of-record","minor","FEN-SET-parenteses-tolerados","FEN-SET-FAIL-OPEN",""
"batchA","BETA-SKS-05","SecretKeySpecSpec","bindings_clausulas","FAIL","INCORRETA (REQUIRES abandonado no overload 4-args; FN realizavel)","critica","of-record","critica","FEN-SKS-requires-c2","FEN-SKS-REQUIRES-4ARG",""
"batchA","BETA-SKS-06","SecretKeySpecSpec","diagnostico","FAIL","INCORRETA (canal @fail morto - higiene)","minor","of-record","minor","FEN-SET-fail-morto","FEN-SET-FAIL-MORTO",""
"batchA","BETA-SKS-07","SecretKeySpecSpec","bindings_clausulas","FAIL","INCORRETA (whitelist extra-oraculo; FP realizavel vs oraculo cru)","critica","of-record","critica","FEN-SKS-whitelist-extra","FEN-SKS-WHITELIST",""
"batchA","BETA-SKS-08","SecretKeySpecSpec","predicados_composicao","PASS","LIMITACAO_INEVITAVEL_DOCUMENTADA (write-no-read D-S14 registrado)","minor","of-record","minor","","",""
"batchA","BETA-SET-01","SET","reprodutibilidade","PASS","FIDELIDADE_DEMONSTRADA","none","of-record","none","","",""
"batchA","BETA-SET-02","SET","toolchain_android","FAIL","INCORRETA (gerador aceita spec com parametro nao ligado sem warning -> monitor global)","major","of-record","major","FEN-HMC-monitor-global","FEN-HMC-MONITOR-GLOBAL",""
"batchA","BETA-SET-03","SET","toolchain_android","FAIL","INCORRETA (exit 0 com MOPException e zero artefatos)","minor","of-record","critica(D-batchC-1)","FEN-SET-exit0-erro","FEN-SET-FAIL-OPEN",""
"batchA","BETA-SET-04","SET","toolchain_android","FAIL","INCORRETA (fail-open de simbolo indefinido no ERE)","major","of-record","critica(D-batchC-1)","FEN-SET-failopen-simbolo","FEN-SET-FAIL-OPEN",""
"batchA","BETA-SET-05","SET","toolchain_android","FAIL","INCORRETA (parse tolerante a ')' excedente sem diagnostico)","major","of-record","critica(D-batchC-1)","FEN-SET-parenteses-tolerados","FEN-SET-FAIL-OPEN",""
"batchA","BETA-SET-06","SET","toolchain_android","FAIL","INCORRETA (flags obsoletas re-executam handler; exercitado a cada construcao)","major","of-record","major","FEN-SET-flags-obsoletas","FEN-SET-FLAGS-OBSOLETAS",""
"batchA","BETA-SET-07","SET","reprodutibilidade","PASS","FIDELIDADE_DEMONSTRADA (registro coerente sob a semantica declarada de baseline)","minor","of-record","minor","","",""
"batchA","BETA-SET-08","SET","captura_eventos","PASS","FIDELIDADE_DEMONSTRADA (matching insensivel a anomalia de resolucao do jar p/ este lote)","minor","of-record","minor","","",""
"batchA","BETA-SET-09","SET","toolchain_android","INCONCLUSIVE","INCONCLUSIVA (exige weave+device; fase G6/G10)","none","of-record","none","","",""
"batchA","GAMA-DHG-01","DHGenParameterSpecSpec","predicados_composicao","FAIL","INCORRETA (supressao de trace oracle-conforme; FP deslocado no leitor KPG)","critica","of-record","critica","FEN-DHG-SUPRESSAO-CONFORME","FEN-DHG-SUPRESSAO",""
"batchA","GAMA-DHG-02","DHGenParameterSpecSpec","reprodutibilidade","FAIL","OMITIDA (divergencia critica sem registro em nenhum artefato gh101)","major","of-record","major","FEN-DHG-SUPRESSAO-CONFORME","FEN-DHG-SUPRESSAO",""
"batchA","GAMA-DHG-03","DHGenParameterSpecSpec","diagnostico","PASS","FIDELIDADE_DEMONSTRADA (nenhum unknown emissivel; sem cascata __RESET)","minor","of-record","minor","FEN-GCM-SUPRESSAO","FEN-GCM-SUPRESSAO",""
"batchA","GAMA-HMC-01","HMACParameterSpecSpec","toolchain_android","FAIL","INCORRETA (spec vacua na plataforma; leitor MacSpec vira acusacao garantida)","major","of-record","major","FEN-HMC-CLASSE-AUSENTE","FEN-HMC-CLASSE-AUSENTE",""
"batchA","GAMA-HMC-02","HMACParameterSpecSpec","diagnostico","FAIL","INCORRETA (@fail NAO e morto no HMC: monitor global dispara espurio com expecting=unknown em trace legal)","major","of-record","major","FEN-GCM-SUPRESSAO","FEN-GCM-SUPRESSAO",""
"batchA","GAMA-PBE-01","PBEParameterSpecSpec","captura_eventos","FAIL","OMITIDA (construtor 3-args sem ramo violador: silencio total)","critica","of-record","critica","FEN-PBE-C2-GAP","FEN-PBE-C2-GAP",""
"batchA","GAMA-PBE-02","PBEParameterSpecSpec","diagnostico","FAIL","INCORRETA (mensagem falsa 10x + categoria trocada + clausulas confladas)","major","of-record","major","FEN-PBE-MSG-1000","FEN-PBE-MSG-1000",""
"batchA","GAMA-PBE-03","PBEParameterSpecSpec","diagnostico","PASS","FIDELIDADE_DEMONSTRADA (reparo layer-2 efetivo)","minor","of-record","minor","FEN-SET-LAYER2-REPARO","FEN-SET-LAYER2-REPARO",""
"batchA","GAMA-PBE-04","PBEParameterSpecSpec","reprodutibilidade","PASS","LIMITACAO_INEVITAVEL_DOCUMENTADA (registro exato)","minor","of-record","minor","FEN-PBE-WRITER-SEM-READER","FEN-PBE-WRITER-SEM-READER",""
