"constant","spec_file","line","context","op","argument","arg_kind","api30_status","liveness","adjudication"
"ENCRYPTED","CipherSpec.mop","280","event f7","write","cipherTextBuffer","material(byte[]/ByteBuffer ciphertext)","rule-grounded (ENSURES encrypted[...])","live (read by MacSpec)","projection registered (pilot ALFA-CIP-19: 2nd-slot FN latent)"
"ENCRYPTED","MacSpec.mop","151","event f1","read","output","material(byte[] output)","rule-grounded (REQUIRES !encrypted[output1/2,_])","live (negated reads in f1/f2/f3 bodies)","second slot of encrypted[_,_] dropped (unary store)"
"ENCRYPTED","MacSpec.mop","166","event f2","read","output","material(byte[] output)","rule-grounded (REQUIRES !encrypted[output1/2,_])","live (negated reads in f1/f2/f3 bodies)","second slot of encrypted[_,_] dropped (unary store)"
"ENCRYPTED","MacSpec.mop","180","event f3","read","output","material(byte[] output)","rule-grounded (REQUIRES !encrypted[output1/2,_])","live (negated reads in f1/f2/f3 bodies)","second slot of encrypted[_,_] dropped (unary store)"
"GENERATED_CIPHER","CipherInputStreamSpec.mop","22","event c1","read","ciph","object(Cipher)","extra-oracle (api30 CipherInputStream.cryptsl has no REQUIRES; ENSURES cipheredInputStream only)","live (body-report)","FEN-SET-GENCIPHER-EXTRA critical, executed J2b (batchB); gh101-introduced"
"GENERATED_CIPHER","CipherOutputStreamSpec.mop","21","event c1","read","ciph","object(Cipher)","extra-oracle (same)","live","FEN-SET-GENCIPHER-EXTRA critical (batchB)"
"GENERATED_CIPHER","CipherSpec.mop","161","event init2","write","c","object(Cipher)","extra-oracle predicate (no api30 rule names generatedCipher); write itself conditional on key-mark disjunction","live","feeds the CIS/COS gate; pilot ALFA-CIP-20 (extra-oráculo, minor) + batchB FEN-SET-GENCIPHER-EXTRA"
"GENERATED_CIPHER","CipherSpec.mop","188","event init3","write","c","object(Cipher)","extra-oracle predicate (no api30 rule names generatedCipher); write itself conditional on key-mark disjunction","live","feeds the CIS/COS gate; pilot ALFA-CIP-20 (extra-oráculo, minor) + batchB FEN-SET-GENCIPHER-EXTRA"
"GENERATED_CIPHER","CipherSpec.mop","207","event init4","write","c","object(Cipher)","extra-oracle predicate (no api30 rule names generatedCipher); write itself conditional on key-mark disjunction","live","feeds the CIS/COS gate; pilot ALFA-CIP-20 (extra-oráculo, minor) + batchB FEN-SET-GENCIPHER-EXTRA"
"GENERATED_KEY","CipherSpec.mop","156","event init2","read","keyOrCert","object(Key)","rule-grounded (REQUIRES generatedKey[key])","live (init4 disjunct under condition — pilot suppression INCORRETA)","pilot ALFA-CIP-08 critical (condition suppression); second-slot omission ALFA-CIP-07"
"GENERATED_KEY","CipherSpec.mop","177","event init3","read","keyOrCert","object(Key)","rule-grounded (REQUIRES generatedKey[key])","live (init4 disjunct under condition — pilot suppression INCORRETA)","pilot ALFA-CIP-08 critical (condition suppression); second-slot omission ALFA-CIP-07"
"GENERATED_KEY","CipherSpec.mop","198","event init4","read","key","object(Key)","rule-grounded (REQUIRES generatedKey[key])","live (init4 disjunct under condition — pilot suppression INCORRETA)","pilot ALFA-CIP-08 critical (condition suppression); second-slot omission ALFA-CIP-07"
"GENERATED_KEY","KeyGeneratorSpec.mop","114","event gk1","write","generatedKey","object(SecretKey)","rule-grounded (ENSURES generatedKey[key]); second CrySL slot dropped (store unary)","live","FEN-SET-GENERATEDKEY-2A-CASA family"
"GENERATED_KEY","KeyGeneratorSpec.mop","124","@fail","remove","generatedKey","object(SecretKey)","extra-oracle revocation (rule has zero NEGATES)","live (@fail)","FEN-C-REMOVE-CASCADE pattern (batchC)"
"GENERATED_KEY","KeyStoreSpec.mop","71","event gk1","write","generatedKey","object(Key)","rule-grounded (three-key write — batchC FIDELIDADE highlight)","live","gk1 body"
"GENERATED_KEY","KeyStoreSpec.mop","86","@fail","remove","generatedKey","object(Key)","extra-oracle revocation (@fail; rule has zero NEGATES)","live (@fail)","FEN-C-REMOVE-CASCADE pattern + FEN-KST-ERASURE composition (S7)"
"GENERATED_KEY","MacSpec.mop","75","event i1","read","key","object(Key)","extra-oracle (api30 Mac.cryptsl REQUIRES has no generatedKey clause — judge-read)","live (condition-gate — suppressing)","FEN-MAC-KEYGATE-EXTRA critical, executed D4 (batchD)"
"GENERATED_KEY","MacSpec.mop","94","event i2","read","key","object(Key)","extra-oracle (api30 Mac.cryptsl REQUIRES has no generatedKey clause — judge-read)","live (condition-gate — suppressing)","FEN-MAC-KEYGATE-EXTRA critical, executed D4 (batchD)"
"GENERATED_KEY","SecretKeySpec.mop","25","event e1","read","secretKey","object(SecretKey)","extra-oracle (SecretKey rule has no REQUIRES)","live (condition-gate)","FEN-SKY-GATE-SUPRESSAO critical (batchB)"
"GENERATED_KEY","SecretKeySpec.mop","41","event d","remove","secretKey","object(SecretKey)","rule-grounded (NEGATES generatedKey[this], per-object)","live (d event body)","batchB PASS (SKY NEGATES per-object)"
"GENERATED_KEY","SecretKeySpecSpec.mop","81","@match","write","spec","object(SecretKeySpec)","rule-grounded (ENSURES generatedKey[this]); second slot dropped","live","FEN-SET-GENERATEDKEY-2A-CASA (ALFA-SKS-05, batchA)"
"GENERATED_KEY_MANAGERS","KeyManagerFactorySpec.mop","80","event i1","write","keyManagerFactory","object(KMF/KeyManager)","rule-grounded (ENSURES generatedKeyManager[this] + generatedKeyManagers[keyManager])","live","read by SSL:74"
"GENERATED_KEY_MANAGERS","KeyManagerFactorySpec.mop","91","event i2","write","keyManagerFactory","object(KMF/KeyManager)","rule-grounded (ENSURES generatedKeyManager[this] + generatedKeyManagers[keyManager])","live","read by SSL:74"
"GENERATED_KEY_MANAGERS","KeyManagerFactorySpec.mop","98","event gkm1","write","keyManager","object(KMF/KeyManager)","rule-grounded (ENSURES generatedKeyManager[this] + generatedKeyManagers[keyManager])","live","read by SSL:74"
"GENERATED_KEY_MANAGERS","KeyManagerFactorySpec.mop","127","event gkm1","remove","keyManagerFactory","object","extra-oracle revocation","live (@fail)","FEN-C-REMOVE-CASCADE executed S10 (batchC)"
"GENERATED_KEY_MANAGERS","KeyManagerFactorySpec.mop","128","event gkm1","remove","keyManagers","object","extra-oracle revocation","live (@fail)","FEN-C-REMOVE-CASCADE executed S10 (batchC)"
"GENERATED_KEY_MANAGERS","SSLContextSpec.mop","74","event init","read","km","object(KeyManager[])","rule-grounded (REQUIRES generatedKeyManager[kms])","live",""
"GENERATED_KEY_PAIR","KeyPairGeneratorSpec.mop","126","event gen","write","kp","object(KeyPair)","rule-grounded (ENSURES generatedKeypair[keyPair])","writer-only (no reader in set; terminal by design, registered)","batchD ALFA-KPG-09 LIMITAÇÃO PASS; D7b delivery measured"
"GENERATED_KEY_PAIR","KeyPairGeneratorSpec.mop","139","@fail","remove","kp","object(KeyPair)","extra-oracle revocation","inert (writer-only constant)","batchD G7 note"
"GENERATED_KEY_PAIR","KeyPairSpec.mop","41","event c1","write","kp","object(KeyPair)","rule-grounded (ENSURES generatedKeypair[this])","writer-only","baseline said missing — repaired"
"GENERATED_KEY_STORE","KeyManagerFactorySpec.mop","76","event i1","read","keyStore","object(KeyStore)","rule-grounded (REQUIRES generatedKeyStore[keyStore])","live","chain FP when KST erases (S10/S11)"
"GENERATED_KEY_STORE","KeyStoreSpec.mop","48","event load","write","keyStore","object(KeyStore)","rule-grounded (ENSURES generatedKeyStore[this])","live","read by KMF:76/TMF:79"
"GENERATED_KEY_STORE","KeyStoreSpec.mop","89","@fail","remove","keyStore","object(KeyStore)","extra-oracle revocation","live (@fail)","FEN-KST-ERASURE chain into KMF/TMF/SSL"
"GENERATED_KEY_STORE","TrustManagerFactorySpec.mop","79","event i1","read","keyStore","object(KeyStore)","rule-grounded","live","same"
"GENERATED_MAC","MacSpec.mop","157","event f1","write","output","material(byte[] output)","rule-grounded (ENSURES macced[output])","writer-no-reader (no spec reads GENERATED_MAC)","D-S13 residues measured/registered (batchD G7 row)"
"GENERATED_MAC","MacSpec.mop","172","event f2","write","output","material(byte[] output)","rule-grounded (ENSURES macced[output])","writer-no-reader (no spec reads GENERATED_MAC)","D-S13 residues measured/registered (batchD G7 row)"
"GENERATED_MAC","MacSpec.mop","186","event f3","write","output","material(byte[] output)","rule-grounded (ENSURES macced[output])","writer-no-reader (no spec reads GENERATED_MAC)","D-S13 residues measured/registered (batchD G7 row)"
"GENERATED_MAC","MacSpec.mop","195","@fail","remove","generatedMac","material","extra-oracle revocation","live (@fail)",""
"GENERATED_PRIVATE_KEY","CipherSpec.mop","158","event init2","read","keyOrCert","object(Key)","rule-grounded","live","init disjunction"
"GENERATED_PRIVATE_KEY","CipherSpec.mop","179","event init3","read","keyOrCert","object(Key)","rule-grounded","live","init disjunction"
"GENERATED_PRIVATE_KEY","CipherSpec.mop","200","event init4","read","key","object(Key)","rule-grounded","live","init disjunction"
"GENERATED_PRIVATE_KEY","KeyPairSpec.mop","36","event c1","read","privateKey","object(PrivateKey)","rule-grounded","live (null-guarded)","same"
"GENERATED_PRIVATE_KEY","KeyPairSpec.mop","58","event gpr","write","privateKey","object(PrivateKey)","rule-grounded","live","delivery costs 1 KeyPairSpec FP per pair access (FEN-D-KEYPAIR-EDGE, CHAIN-T1)"
"GENERATED_PRIVATE_KEY","KeyStoreSpec.mop","77","event gk1","write","generatedKey","object(Key)","rule-grounded","live","three-key write"
"GENERATED_PRIVATE_KEY","KeyStoreSpec.mop","87","@fail","remove","generatedKey","object(Key)","extra-oracle revocation","live (@fail)","FEN-KST-ERASURE"
"GENERATED_PRIVATE_KEY","SignatureSpec.mop","69","event i1","read","privateKey","object(PrivateKey)","rule-grounded (REQUIRES generatedPrivkey[privateKey])","live (body-report — the G9-clean design)","batchD SIG G4 PASS (SIG-T4: 1 specific, 0 spurious)"
"GENERATED_PRIVATE_KEY","SignatureSpec.mop","83","event i2","read","privateKey","object(PrivateKey)","rule-grounded (REQUIRES generatedPrivkey[privateKey])","live (body-report — the G9-clean design)","batchD SIG G4 PASS (SIG-T4: 1 specific, 0 spurious)"
"GENERATED_PUBLIC_KEY","CipherSpec.mop","157","event init2","read","keyOrCert","object(Key)","rule-grounded (key-kind union)","live","init disjunction"
"GENERATED_PUBLIC_KEY","CipherSpec.mop","178","event init3","read","keyOrCert","object(Key)","rule-grounded (key-kind union)","live","init disjunction"
"GENERATED_PUBLIC_KEY","CipherSpec.mop","199","event init4","read","key","object(Key)","rule-grounded (key-kind union)","live","init disjunction"
"GENERATED_PUBLIC_KEY","KeyPairSpec.mop","32","event c1","read","publicKey","object(PublicKey)","rule-grounded (REQUIRES generatedPubkey)","live (null-guarded, minor FN)","empty-slice broadcast context (FEN-KPR-C1-SLICE-VAZIO)"
"GENERATED_PUBLIC_KEY","KeyPairSpec.mop","47","event gpu","write","publicKey","object(PublicKey)","rule-grounded (ENSURES generatedPubkey[retPublicKey])","live","wrong-constant of the baseline (:38 GENERATED_PUBLIC_KEY over private key) REPAIRED in the frozen spec (:58 writes GENERATED_PRIVATE_KEY) — baseline drift example"
"GENERATED_PUBLIC_KEY","KeyStoreSpec.mop","78","event gk1","write","generatedKey","object(Key)","rule-grounded","live","three-key write"
"GENERATED_PUBLIC_KEY","KeyStoreSpec.mop","88","@fail","remove","generatedKey","object(Key)","extra-oracle revocation","live (@fail)","FEN-KST-ERASURE"
"GENERATED_PUBLIC_KEY","SignatureSpec.mop","107","event i4","read","key","object(PublicKey)","rule-grounded","live","same"
"GENERATED_TRUST_MANAGER","TrustManagerFactorySpec.mop","83","event i1","write","trustManagerFactory","object(TMF)","rule-grounded (ENSURES generatedTrustManager[this]) under a two-constant split","writer-no-reader (singular constant; SSL reads the plural)","ALFA-TMF-06 DIVERGÊNCIA PASS; singular is dead-write"
"GENERATED_TRUST_MANAGER","TrustManagerFactorySpec.mop","94","event i2","write","trustManagerFactory","object(TMF)","same","writer-no-reader","same"
"GENERATED_TRUST_MANAGER","TrustManagerFactorySpec.mop","144","event gtm1","remove","trustManagerFactory","object","extra-oracle revocation","live (@fail)","FEN-C-REMOVE-CASCADE executed S11"
"GENERATED_TRUST_MANAGERS","SSLContextSpec.mop","78","event init","read","tm","object(TrustManager[])","rule-grounded (REQUIRES generatedTrustManager[tms])","live","reader-side correct (ALFA-TMF-06 PASS)"
"GENERATED_TRUST_MANAGERS","TrustManagerFactorySpec.mop","109","event gtm1","write","trustManager","object(TrustManager)","rule-grounded (ENSURES generatedTrustManagers[trustManager])","live (read by SSL:78); gtm1 platform-masked FN (minor)","FEN-TMF-GTM-INVISIVEL; baseline wrong-constant row (:65 GENERATED_KEY_MANAGERS) REPAIRED — baseline drift example"
"GENERATED_TRUST_MANAGERS","TrustManagerFactorySpec.mop","145","event gtm1","remove","trustManagers","object","extra-oracle revocation","live (@fail)","same"
"GENERATE_SSL_CONTEXT","SSLContextSpec.mop","86","event init","write","context","object(SSLContext)","rule-grounded (ENSURES generatedSSLContext[this] after Init)","writer-only (terminal in both anchors, registered)",""
"GENERATE_SSL_ENGINE","SSLContextSpec.mop","92","event engine","write","eng","object(SSLEngine)","rule-grounded (ENSURES generatedSSLEngine[eng])","DEAD write — engine events dead on both weave halves","FEN-SSL-ENGINE-VOID critical (batchC)"
"MACED","CipherSpec.mop","102","helper","read","plainText","material(plainText)","rule-grounded (REQUIRES !macced[_])","live (negated read)",""
"MACED","MacSpec.mop","40","helper","write","input","material(input slices + direct doFinal input)","rule-grounded (macced[_, D] second place; deferred marking at doFinal — faithful design)","live (helper markAsMaced, called from doFinal events)","batchD PASS highlight (!macced projection)"
"MACED","MacSpec.mop","44","helper","write","directInput","material(input slices + direct doFinal input)","rule-grounded (macced[_, D] second place; deferred marking at doFinal — faithful design)","live (helper markAsMaced, called from doFinal events)","batchD PASS highlight (!macced projection)"
"PREPARED_DH","DHGenParameterSpecSpec.mop","36","@match","write","spec","object(DHGenParameterSpec)","rule-grounded (ENSURES preparedDH[this])","write suppressed on the extra-oracle condition path","FEN-DHG-SUPRESSAO critical (batchA J2: downstream KPG FP)"
"PREPARED_DH","KeyPairGeneratorSpec.mop","96","event init3","read","params","object(AlgorithmParameterSpec)","rule-grounded (REQUIRES preparedDH[params])","live (body-report)","downstream FP when DHG suppresses (J2); preparedRSA/DSA/EC capability-absent (registered, D-S14)"
"PREPARED_DH","KeyPairGeneratorSpec.mop","107","event init4","read","params","object","rule-grounded","live","same"
"PREPARED_GCM","CipherSpec.mop","89","helper","read","params","object","rule-grounded (REQUIRES preparedGCM[paramSpec])","live",""
"PREPARED_GCM","GCMParameterSpecSpec.mop","56","@match","write","spec","object(GCMParameterSpec)","rule-grounded (ENSURES preparedGCM[this])","live (@match)","read by CipherSpec:89"
"PREPARED_HMAC","HMACParameterSpecSpec.mop","35","@match","write","spec","object(HMACParameterSpec)","rule-grounded (ENSURES preparedHMAC[this])","unwritable on android-30 (class not published; monitor-global defect besides)","FEN-HMC-CLASSE-AUSENTE (oracle bias) + FEN-HMC-MONITOR-GLOBAL (batchA)"
"PREPARED_HMAC","MacSpec.mop","99","event i2","read","params","object(AlgorithmParameterSpec)","rule-grounded (REQUIRES preparedHMAC[params])","guaranteed-fire (writer platform-vacuous on android-30)","FEN-D-PREPAREDHMAC-GUARANTEED-FIRE critical, executed MAC-T8 (batchD)"
"PREPARED_IV","CipherSpec.mop","84","helper","read","params","object(AlgorithmParameterSpec)","rule-grounded (REQUIRES preparedIV[paramSpec])","live",""
"PREPARED_IV","IvParameterSpec.mop","74","@match","write","spec","object(IvParameterSpec)","rule-grounded (ENSURES preparedIV[this])","live (@match)","read by CipherSpec:84"
"PREPARED_PBE","PBEParameterSpecSpec.mop","66","@match","write","spec","object(PBEParameterSpec)","rule-grounded (ENSURES preparedPBE[this])","writer-no-reader (registered LIMITAÇÃO — blocks total adherence)","batchA G7 PASS with LIMITAÇÃO"
"RANDOMIZED","CipherSpec.mop","64","helper","read","ranGen","object(SecureRandom)","rule-grounded (Cipher REQUIRES randomized[random])","live (body-report, helper)","sound side of the D3 split (object-level); pilot G7 'randomized fiel'"
"RANDOMIZED","GCMParameterSpecSpec.mop","28","event c1","read","src","material(byte[] src)","rule-grounded (GCMParameterSpec REQUIRES randomized[src])","live (suppression mechanics INCORRETA — pilot ALFA-GCM-03/04)","pilot critical (suppressed report) + overgrant FN direction (D3)"
"RANDOMIZED","GCMParameterSpecSpec.mop","39","event c1","read","src","material(byte[] src)","rule-grounded (GCMParameterSpec REQUIRES randomized[src])","live (suppression mechanics INCORRETA — pilot ALFA-GCM-03/04)","pilot critical (suppressed report) + overgrant FN direction (D3)"
"RANDOMIZED","IvParameterSpec.mop","25","event c1","read","iv","material(byte[] iv)","rule-grounded (IvParameterSpec REQUIRES randomized[iv])","live (condition-split c1/c2 safe vs c3/c4 violating)","unsound producer side (FEN-SRD-RANDOMIZED-OVERGRANT, D3): satisfiable by rejected randomness — FN direction; batchA bounds equivalence PASS unaffected"
"RANDOMIZED","IvParameterSpec.mop","34","event c2","read","iv","material(byte[] iv)","rule-grounded (IvParameterSpec REQUIRES randomized[iv])","live (condition-split c1/c2 safe vs c3/c4 violating)","unsound producer side (FEN-SRD-RANDOMIZED-OVERGRANT, D3): satisfiable by rejected randomness — FN direction; batchA bounds equivalence PASS unaffected"
"RANDOMIZED","IvParameterSpec.mop","46","event c3","read","iv","material(byte[] iv)","rule-grounded (IvParameterSpec REQUIRES randomized[iv])","live (condition-split c1/c2 safe vs c3/c4 violating)","unsound producer side (FEN-SRD-RANDOMIZED-OVERGRANT, D3): satisfiable by rejected randomness — FN direction; batchA bounds equivalence PASS unaffected"
"RANDOMIZED","IvParameterSpec.mop","54","event c4","read","iv","material(byte[] iv)","rule-grounded (IvParameterSpec REQUIRES randomized[iv])","live (condition-split c1/c2 safe vs c3/c4 violating)","unsound producer side (FEN-SRD-RANDOMIZED-OVERGRANT, D3): satisfiable by rejected randomness — FN direction; batchA bounds equivalence PASS unaffected"
"RANDOMIZED","KeyGeneratorSpec.mop","34","helper","read","random","object(SecureRandom)","rule-grounded (KeyGenerator REQUIRES randomized[random])","live (helper validate)","sound side of the D3 split"
"RANDOMIZED","PBEKeySpecSpec.mop","43","event c1","read","password","material(char[] password)","extra-oracle (rule REQUIRES randomized[salt] only)","live (c1 body + err2 condition)","FEN-PBK-SENHA-EXTRA critical, executed J2h (batchB)"
"RANDOMIZED","PBEKeySpecSpec.mop","44","event c1","read","salt","material(byte[] salt)","rule-grounded","live","randomized[salt] read + NEGATES scope correct (ALFA-PBK-10 PASS); overgrant FN direction (D3)"
"RANDOMIZED","PBEKeySpecSpec.mop","61","event err2","read","password","material(char[] password)","extra-oracle (same)","live (condition-gate)","FEN-PBK-SENHA-EXTRA"
"RANDOMIZED","PBEKeySpecSpec.mop","69","event err3","read","salt","material(byte[] salt)","rule-grounded","live (condition-gate)","see :44"
"RANDOMIZED","PBEParameterSpecSpec.mop","27","event c1","read","salt","material(byte[] salt)","rule-grounded (REQUIRES randomized[salt])","live; c2-gap: 3-arg ctor has no violating carrier","FEN-PBE-C2-GAP critical (batchA) + overgrant FN direction (D3)"
"RANDOMIZED","PBEParameterSpecSpec.mop","37","event c2","read","salt","material(byte[] salt)","rule-grounded (REQUIRES randomized[salt])","live; c2-gap: 3-arg ctor has no violating carrier","FEN-PBE-C2-GAP critical (batchA) + overgrant FN direction (D3)"
"RANDOMIZED","PBEParameterSpecSpec.mop","47","event c3","read","salt","material(byte[] salt)","rule-grounded (REQUIRES randomized[salt])","live; c2-gap: 3-arg ctor has no violating carrier","FEN-PBE-C2-GAP critical (batchA) + overgrant FN direction (D3)"
"RANDOMIZED","RandomStringPassword.mop","14","event vo","read","obj","material(String/char[] taint chain)","no oracle (spec has no CrySL counterpart; researcher-excluded from audit scope)","live","propagation chain only"
"RANDOMIZED","RandomStringPassword.mop","15","event vo","write","s","material(String/char[])","no oracle","live","taint propagation"
"RANDOMIZED","RandomStringPassword.mop","21","event gb","read","s","material(String/char[] taint chain)","no oracle (spec has no CrySL counterpart; researcher-excluded from audit scope)","live","propagation chain only"
"RANDOMIZED","RandomStringPassword.mop","22","event gb","write","chars","material(String/char[])","no oracle","live","taint propagation"
"RANDOMIZED","SSLContextSpec.mop","82","event init","read","random","object(SecureRandom)","extra-oracle vs api30 (SSLContext.cryptsl Init binds 3rd arg as _; REQUIRES randomized[sr] with sr unbound — oracle oddity)","live (body-report)","FEN-SSL-RANDOMIZED-EXTRA critical, executed S12 (batchC); gh101-introduced"
"RANDOMIZED","SecretKeySpec.mop","26","event e1","write","key","material(byte[] key)","surrogate write (ENSURES preparedKeyMaterial carried as RANDOMIZED)","starved (gated by extra-oracle GENERATED_KEY condition at :25)","FEN-SKY-GATE-SUPRESSAO critical, executed J2g (batchB)"
"RANDOMIZED","SecretKeySpecSpec.mop","29","event c1","read","keyMaterial","material(byte[] keyMaterial)","surrogate (preparedKeyMaterial carried as RANDOMIZED; no equivalence proof)","live","FEN-SKS-SURROGATE critical (batchA reader side; batchB writer side); overgrant FN direction (D3)"
"RANDOMIZED","SecretKeySpecSpec.mop","46","event c3","read","keyMaterial","material(byte[] keyMaterial)","surrogate (preparedKeyMaterial carried as RANDOMIZED; no equivalence proof)","live","FEN-SKS-SURROGATE critical (batchA reader side; batchB writer side); overgrant FN direction (D3)"
"RANDOMIZED","SecureRandomSpec.mop","37","event c2","read","seed","material(byte[] seed)","rule-grounded (REQUIRES randomized[seed]); randomized[lSeed] inexpressible (registered)","live (condition-splits)","material side of the split; setSeed2/c2 instances"
"RANDOMIZED","SecureRandomSpec.mop","45","event c3","read","seed","material(byte[] seed)","rule-grounded (REQUIRES randomized[seed]); randomized[lSeed] inexpressible (registered)","live (condition-splits)","material side of the split; setSeed2/c2 instances"
"RANDOMIZED","SecureRandomSpec.mop","92","event setSeed2","read","seed","material(byte[] seed)","rule-grounded (REQUIRES randomized[seed]); randomized[lSeed] inexpressible (registered)","live (condition-splits)","material side of the split; setSeed2/c2 instances"
"RANDOMIZED","SecureRandomSpec.mop","98","event setSeed3","read","seed","material(byte[] seed)","rule-grounded (REQUIRES randomized[seed]); randomized[lSeed] inexpressible (registered)","live (condition-splits)","material side of the split; setSeed2/c2 instances"
"RANDOMIZED","SecureRandomSpec.mop","106","event genSeed","write","seed","material(byte[] seed)","rule-grounded (ENSURES randomized[genSeed])","live","unconditional — overgrant family (D3)"
"RANDOMIZED","SecureRandomSpec.mop","114","event next1","write","randIntInRange","material(int randIntInRange)","register row 'present' is 1.5.2-anchored; api30 ne is protected next(int) — anchor drift","live","FEN-D-REGISTER-ANCHOR-DRIFT + FEN-SRD-EXTRA-ALPHABET; Integer-cache marks (FEN-D-CACHE-BOXING)"
"RANDOMIZED","SecureRandomSpec.mop","121","event next2","write","bytes","material(byte[] bytes)","rule-grounded (ENSURES randomized of nB)","live","FEN-SRD-RANDOMIZED-OVERGRANT critical: mark granted from violating/unsafe instances (D3)"
"RANDOMIZED","SecureRandomSpec.mop","127","event next3","write","randInt","material(int randInt)","extra-alphabet (see :114)","live","FEN-SRD-EXTRA-ALPHABET; cache marks"
"RANDOMIZED","SecureRandomSpec.mop","133","event ints","write","stream","material(IntStream)","extra-alphabet","dead on device path (declared-only)","FEN-SET-DECLARED-ONLY (batchD)"
"RANDOMIZED","SecureRandomSpec.mop","198","event ints","write","sr","object(SecureRandom sr)","rule-grounded (ENSURES randomized[this])","live (@match1 — constraint-coupled)","sound object-level writer (batchD PASS half; decides pilot/A/B residuals)"
"SIGNED","SignatureSpec.mop","122","event s1","write","output","material(byte[] output)","rule-grounded (ENSURES signed[out,...] — second slot dropped besides)","DEAD — event s1 can never match (byte-typed sign pointcut vs byte[] member); no reader either","FEN-SIG-SIGN-VOID critical (batchD, javap + capture matrix)"
"SIGNED","SignatureSpec.mop","130","event s2","write","output","material","rule-grounded","DEAD (same; int member)","FEN-SIG-SIGN-VOID"
"SPECCED_KEY","PBEKeySpecSpec.mop","47","event c1","write","spec","object(PBEKeySpec)","rule-grounded (ENSURES speccedKey[this, keylength]); second slot OMITIDA (major)","writer-no-reader (registered)","FEN-SET-GENERATEDKEY-2A-CASA family (batchB)"
"SPECCED_KEY","PBEKeySpecSpec.mop","77","event c2","remove","s","object(PBEKeySpec)","rule-grounded (NEGATES speccedKey[this], per-object)","live (c2 body)","batchB PASS"
"SPECCED_KEY","SecretKeySpecSpec.mop","82","@match","write","spec","object(SecretKeySpec)","rule-grounded (ENSURES speccedKey[this])","writer-no-reader (registered)",""
"VERIFIED","SignatureSpec.mop","137","event v1","write","signed","WRONG OBJECT (boxed Boolean return; rule says verified[sign] = the signature bytes)","rule-grounded predicate, wrong slot","latent (no reader in set)","FEN-SIG-VERIFIED-WRONGSLOT major, executed D8 (batchD)"
"VERIFIED","SignatureSpec.mop","145","event v2","write","signed","WRONG OBJECT (same)","same","latent","FEN-SIG-VERIFIED-WRONGSLOT"
"WRAPPED_KEY","CipherSpec.mop","238","event wkb1","write","wrappedKeyBytes","material(byte[] wrappedKeyBytes)","rule-grounded (ENSURES wrappedKey)","writer-no-reader (dead effect)","pilot ALFA-CIP-21 LIMITAÇÃO (registered)"
