"fen_canonical","family","aliases","rounds","specs","claims_total","claims_fail","claims_critical","provenance","executed_evidence","open_pendencies","notes"
"FEN-SKY-SEM-CANAL","missing diagnostic channel","FEN-SET-escritas-sem-estado; FEN-SKY-VIOLACAO-SILENCIOSA","batchB","SecretKeySpec(SecretKey)","4","4","3","jca-inherited (twin also channel-less)","batchB J2g executed: two realizable violations, zero records","",""
"FEN-C-REMOVE-CASCADE","extra-oracle revocation (@fail removes; zero NEGATES in rules)","","batchC","KeyManagerFactorySpec SET TrustManagerFactorySpec","3","3","3","revocation semantics inherited; 2-arg remove form is gh101 (replacing whole-set remove — precision verified)","batchC S10/S11 executed chain FP (KMF/TMF; pattern KGN/KST)","researcher scope reduction",""
"FEN-COS-FLUSH","event outside the rule's alphabet","FEN-COS-FLUSH-ALFABETO; FEN-COS-flush-alfabeto","batchB","CipherOutputStreamSpec","3","3","3","jca-inherited (jca:19,23)","batchB J2c executed FN and FP","",""
"FEN-KGN-KEYSIZE-OMITIDA","constraint omission","","batchC","KeyGeneratorSpec","3","3","3","jca-inherited, unregistered","batchC S16 executed FN","",""
"FEN-KST-G2-OMITIDA","capture-omission","","batchC","KeyStoreSpec","3","3","3","jca-inherited, unregistered","batchC S8 executed chain FP","",""
"FEN-KST-MONITOR-GLOBAL","monitor-global (parameter declared, never bound)","","batchC","KeyStoreSpec","3","3","3","jca-inherited (twin binds k too); new sub-shape: census-invisible","batchC S6 executed: 5 spurious + wrong-object identity","",""
"FEN-MAC-KEYGATE-EXTRA","extra-oracle condition gate (suppression)","","batchD","MacSpec","3","3","3","jca-inherited; register row 'present' is 1.5.2-anchored (falsified premise, FEN-D-REGISTER-ANCHOR-DRIFT)","batchD D4 executed the displaced FP; raw Mac.cryptsl REQUIRES has no generatedKey clause (judge-read)","1.5.2-vs-api30 anchor decision (researcher countersignature)",""
"FEN-PBK-RESIDUO","pairing (delayed residue, D-S10 class)","FEN-PBK-CP-FAIL-ESPURIO","batchB","PBEKeySpecSpec","3","3","3","structural (conditions gate transitions in both sets); delayed form exposed by the gh101 star-prefix repair","batchB J2h executed spurious fail at the rule's own mandatory cP","",""
"FEN-SIG-SIGN-VOID","dead pointcut (wrong return type)","","batchD","SignatureSpec","3","3","3","jca-inherited, unregistered; generator fail-open note (D-batchC-1)","batchD judge javap over extracted bytes; W sign-truncation walk; Beta capture matrix NEITHER on both halves","","third instance of the dead-return-type class (batch C TMF gtm1, SSL engine)"
"FEN-SKS-REQUIRES-4ARG","REQUIRES dropped on a whole path (predicate laundering)","FEN-SKS-C2-RANDOMIZED-DROP; FEN-SKS-requires-4arg; FEN-SKS-requires-c2","batchA","SecretKeySpecSpec","3","3","3","unregistered","batchA executed FN + predicate laundering","",""
"FEN-SRD-RANDOMIZED-OVERGRANT","predicate overgrant (material marks)","","batchD","SET SecureRandomSpec","3","3","3","jca-inherited (body-write shape)","batchD D3 executed the object/material split (RANDOMIZED[material]=true from unsafe instance; RANDOMIZED[sr]=false)","CrySL predicate-semantics footnote (declared)","set-level consequence: material-level randomized[] reads unsound; object-level sound (decides pilot/A/B residuals)"
"FEN-SET-FAIL-OPEN","fail-open (exit 0 masking generator/pipeline defects)","FEN-SET-PARSER-FAILOPEN; FEN-SET-exit0-erro; FEN-SET-failopen; FEN-SET-failopen-parser; FEN-SET-failopen-simbolo; FEN-SET-parenteses-tolerados","batchA batchB batchC batchD pilot","GCMParameterSpecSpec SET SecretKeySpecSpec","11","10","2","toolchain (generators); shapes: parser tolerance (pilot/A), symbol fail-open (pilot GCM), exit-0-with-error, stray paren (C p1), non-compiling artifact (KGN), probes P1/P2/P3 (D)","pilot GAMA-GCM-01/BETA-SET-04; batchA parser/symbol claims; batchC KGN compile probe (exit 1 vs generator exit 0); batchD P1/P2/P3 all exit 0","gate the pipeline on artifact inspection, not exit codes (batchD §6.4)","D-batchC-1: counted at §4's letter (critica) at set level; pilot/A/B round records stand at their resolved severities"
"FEN-C-WHITELIST-EXTRA","whitelist folding/aliases vs raw literal sets","","batchC batchD","KeyGeneratorSpec MacSpec MessageDigestSpec SSLContextSpec","5","5","2","aliases/folding jca-inherited; base lists gh99; registered as aliases/variants — registered != approved","batchC S15a/S17 executed FNs; batchD MDG 6 resolvable FN witnesses (critical) + MAC monitor-level FN executed D5 (major-pending)","Android-BC probe (decides MAC/KGN return to critica)",""
"FEN-SET-GENERATEDKEY-2A-CASA","second predicate slot dropped (unary store)","FEN-SET-generatedkey-2a-casa","batchA batchB batchC pilot","CipherSpec KeyGeneratorSpec PBEKeySpecSpec SET SecretKeySpecSpec","5","5","2","unregistered; store unary, readers pair-blind","pilot ALFA-CIP-07; batchA ALFA-SKS-05; batchB PBK speccedKey slot; batchC writer side","","cross-round family: generatedKey[key, alg]-style second slots"
"FEN-KGN-NAOCOMPILA","fail-open (artifact does not compile standalone)","","batchC","KeyGeneratorSpec","2","2","2","jca-inherited missing import, fail-open, unregistered","batchC compile probe (javac exit 1; generators exit 0); masked by the 23-spec merge route","","critica per D-batchC-1 (REF-D-01)"
"FEN-KPG-INIT2-SUPPRESSED","missing channel (bad keySize via initialize(int,SecureRandom))","","batchD","KeyPairGeneratorSpec","2","2","2","jca-inherited, unregistered","batchD executed FN+FP pair","",""
"FEN-KPG-NPE","fail-crash (spec-authored switch on uninitialized field)","","batchD","KeyPairGeneratorSpec","2","2","2","jca-inherited (twin mechanism-identical: switch on creation-initialized field; twin has extra literal cases), unregistered","batchD D1 executed: NPE to caller from init1Event and initErrorEvent; §2.4 classification (G4, G5 enabling route)","woven-APK replay G10-KPG-1","the audit's first fail-crash class"
"FEN-SET-NESTED-TYPE-DESCRIPTOR","toolchain: nested-type descriptor unweaving","","batchC","KeyStoreSpec SET","2","2","2","toolchain (dexlib2)","batchC measured (KST)","ART half",""
"FEN-SKS-SURROGATE","surrogate constant without equivalence proof","FEN-SKS-surrogate-preparedkeymaterial","batchA batchB","SecretKeySpec(SecretKey) SecretKeySpecSpec","2","2","2","constant predates the change (registered surrogate preparedKeyMaterial->RANDOMIZED)","batchA ALFA-SKS-03 (reader side); batchB writer side (SKY)","researcher scope reduction",""
"FEN-SKS-WHITELIST","extra-oracle whitelist","FEN-SKS-whitelist-extra; FEN-SKS-whitelist-extra-oraculo","batchA","SecretKeySpecSpec","2","2","2","registered != approved; no scope reduction on file","batchA executed FP against the raw oracle","researcher scope reduction",""
"FEN-SKY-ZERO-CAPTURA","toolchain: whole spec inert on production dexlib2","FEN-SKY-zero-captura","batchB","SET SecretKeySpec(SecretKey)","2","2","2","toolchain (dexlib2, interface-with-no-declared-methods)","batchB measured on the production pipeline; three mechanisms judge-verified","ajc half INCONCLUSIVE (ALFA-SKY-07)",""
"FEN-SRD-C3-SILENT","silent violating branch + false register comment","","batchD","SecureRandomSpec","2","2","2","body jca-inherited; false gh101 comment (:136-139) gh101-authored — comment/code divergence judge-confirmed","batchD judge source read (c3 body 'sr = r;' only); D3/J1-D","",""
"FEN-SRD-NEXTBYTES-FP","automaton omission (next2 missing from end state)","","batchD","SecureRandomSpec","3","2","2","jca-inherited (twin end block identical minus setSeed3), unregistered, live both campaigns","batchD D2 executed (canonical trace FP); spec text SecureRandomSpec.mop:169-177 + effective table + W minimal trace","H-SRD-1 attribution -> G10-SRD-1","the batch D headline FP"
"FEN-SSL-ENGINE-LOOP","over-acceptance FN","","batchC","SSLContextSpec","2","2","2","jca-inherited","batchC S15b executed FN","",""
"FEN-SSL-GETDEFAULT-OMITIDA","FORBIDDEN clause omitted","","batchC","SSLContextSpec","2","2","2","jca-inherited","batchC record (no register)","",""
"FEN-A-STALE-FLAGS","generated-code shape (stale category flags re-fire)","FEN-SET-STALE-FLAGS","batchA batchD","KeyPairGeneratorSpec SET","2","2","1","generated-code shape; cross-round batch A phenomenon, first instantiated in KPG (batch D)","batchD executed (suppressed-event re-fire); batchA FEN-SET-STALE-FLAGS record","",""
"FEN-C-DELAYED","pairing (delayed via reset semantics)","","batchC","TrustManagerFactorySpec","1","1","1","structural, inherited","batchC S1b/S2b executed","",""
"FEN-D-KEYPAIR-EDGE","FP-toll delivery edge (KPG->KeyPairSpec->SIG)","","batchD","KeyPairGeneratorSpec","1","1","1","inherited (KeyPairSpec c1 — batch B REPROVADA shape, writer side)","batchD CHAIN-T1 executed: private-key mark delivered at 1 KeyPairSpec FP per pair access (no starvation)","",""
"FEN-D-PREPAREDHMAC-GUARANTEED-FIRE","guaranteed-fire predicate edge","","batchD","SET","1","1","1","composition: faithful batch D read (MacSpec.mop:99) x batch A unwritable writer (HMC platform-vacuous on android-30)","batchD MAC-T8 executed (every parameterized Mac.init FPs)","","set-level edge; blocks G7 at set level"
"FEN-KPG-FAILSINK","absorbing fail state (only spec without __RESET)","","batchD","KeyPairGeneratorSpec","1","1","1","jca-inherited (@fail identical)","batchD __RESET census + executed cascade","",""
"FEN-KPG-INITERROR-PLACEMENT","repair residual (immediate->delayed conversion)","","batchD","KeyPairGeneratorSpec","1","1","1","gh101 form (repair residual); gen-unreachability consequence unregistered","batchD D7a (FP at gen) + D7b (accepted double-Inits FN + GENERATED_KEY_PAIR granted)","","Beta PASS stands scoped to the correction route (§2.3)"
"FEN-KST-ERASURE","composition (global monitor x remove semantics)","","batchC","KeyStoreSpec","1","1","1","composition, inherited mechanism (chains into KMF/TMF/SSL)","batchC S7 executed","",""
"FEN-SRD-SEED-AFTER-END","over-acceptance FN","","batchD","SecureRandomSpec","1","1","1","jca-inherited","batchD W walk (FN executed on realizable trace)","",""
"FEN-SSL-RANDOMIZED-EXTRA","extra-oracle read (rule binds _)","","batchC","SSLContextSpec","1","1","1","gh101-introduced (task 3.2 read)","batchC S12 executed FP; api30 SSLContext.cryptsl Init binds third arg as _ and REQUIRES randomized[sr] with sr unbound (oracle oddity)","researcher scope reduction",""
"FEN-SET-FAIL-UNKNOWN","diagnostics (expecting=unknown on every sequencing record)","FEN-SET-UNKNOWN-EXPECTING","batchB batchC pilot","CipherInputStreamSpec CipherOutputStreamSpec CipherSpec KeyPairSpec SET","9","9","0","generator (@fail handlers built without expected-set)","pilot GAMA-CIP-01; batchB executed throughout; batchC S1-S11; batchD everywhere","","G9-decisive in every round"
"FEN-SET-DEDUPE","diagnostics (dedupe collides clauses / masks multiplicity)","FEN-PBK-ERR-DEDUPE-COLAPSO; FEN-SET-DEDUPE-EXPECTING; FEN-SET-dedupe-resumo","batchB batchC batchD pilot","CipherSpec KeyPairSpec PBEKeySpecSpec SET SSLContextSpec","7","7","0","pipeline (ErrorCollector/dedupe key)","pilot GAMA-CIP-04; batchB J2f; batchC 3-clause worst case executed; batchD re-executed (per-site amplification / per-line masking)","",""
"FEN-CIS-LENOFF","","FEN-CIS-CONSTRAINT-OMITIDA","batchB","CipherInputStreamSpec CipherOutputStreamSpec","6","6","0","not curated at set level (see round record)","","",""
"FEN-PBE-MSG-1000","diagnostics (false '1000' message, off by 10x; miscategorized)","FEN-PBE-MSG; FEN-PBE-errortype; FEN-PBE-msg-1000; FEN-SET-mensagem-fator10","batchA batchB","PBEKeySpecSpec PBEParameterSpecSpec","6","6","0","jca-inherited","batchA GAMA-PBE-02 + batchB measured twin","",""
"FEN-C-ACCEPT-END","complete rule words end outside match (table-level)","","batchC batchD","KeyManagerFactorySpec MessageDigestSpec SecureRandomSpec TrustManagerFactorySpec","4","4","0","structural","batchC/batchD table-level; no realizable FP/FN found","","minor"
"FEN-CIS-CTOR1-OMITIDA","","FEN-CIS-CTOR-1ARG","batchB","CipherInputStreamSpec CipherOutputStreamSpec","5","4","0","not curated at set level (see round record)","","",""
"FEN-HMC-CLASSE-AUSENTE","oracle bias (rule models class android-30 does not publish)","FEN-HMC-classe-ausente; FEN-HMC-classe-ausente-api30","batchA","HMACParameterSpecSpec SET","4","4","0","oracle-inherited (api30 generation models availability, not recommendation)","batchA ALFA-HMC-02/BETA-HMC-02; oracle-bias register created by the round","researcher countersignature of the register (REF-B-08)",""
"FEN-SET-FAIL-MORTO","dead @fail handlers","FEN-BATCHA-fail-morto; FEN-SET-fail-morto","batchA","DHGenParameterSpecSpec IvParameterSpecSpec PBEParameterSpecSpec SecretKeySpecSpec","4","4","0","spec/generator","pilot GCM (@fail unreachable); batchA x4+ALFA-SET-04 (HMC)","","distinct from fail-open (dead code, not masked failure)"
"FEN-SET-FLAGS-OBSOLETAS","toolchain flags obsolete","FEN-SET-flags-obsoletas","batchA pilot","CipherSpec SET","4","4","0","toolchain","pilot BETA-CIP-06/GAMA-CIP-08; batchA x3","",""
"FEN-SET-STATIC-JCA-DEFAULT","static path resolves jca/no api30 silently","FEN-SET-JCA-DIR-DEFAULT","batchB batchD pilot","SET","4","4","0","pipeline (static analysis wiring)","pilot GAMA-SET-01/03; batchB FEN-SET-JCA-DIR-DEFAULT; batchD FEN-SET-STATIC-JCA-DEFAULT","G12: verify nominal jca_android resolves to the right directory",""
"FEN-D-CACHE-BOXING","boxed-primitive cache marks","","batchD","MacSpec SecureRandomSpec","3","3","0","registered (D-S13 family)","batchD measured","",""
"FEN-SET-EOT","","","batchB","CipherInputStreamSpec CipherOutputStreamSpec PBEKeySpecSpec","3","3","0","not curated at set level (see round record)","","",""
"FEN-D-ARITH-OMITIDA","arithmetic constraints untranslated","","batchD","MacSpec MessageDigestSpec","2","2","0","unregistered (MAC offset<len, length(output1)>outOffset; MDG pre_len>pre_off, len>off)","batchD source reads (rule :73-75 vs spec)","",""
"FEN-D-REGISTER-ANCHOR-DRIFT","register anchor (1.5.2 invariance premise falsified)","","batchD","MacSpec SET","2","2","0","gh101 register premise ('REQUIRES/ENSURES do not vary') falsified by >=3 api30 rows: Mac generatedKey; SecureRandom randInt/randIntInRange; Signature verified","batchD judge re-read README:148-153 + row checks against raw rules","researcher: anchor column or api30 re-derivation","the set phase must not consume 'present' verdicts without an anchor check"
"FEN-D-S13-BYTEBUFFER","registered limitation with measured witness","","batchD","MacSpec","2","2","0","registered (D-S13)","batchD measured ByteBuffer FN","","FAIL/LIMITAÇÃO per §2.1 rule"
"FEN-KPR-MATCH-NULL","@match marks null (generator-mechanism half)","FEN-KPR-var-sombreada","batchB","KeyPairSpec","2","2","0","generator shape","batchB executed","",""
"FEN-MDG-LABEL-STALE","diagnostics (message names 3-entry set while enforcing 9)","","batchD","MessageDigestSpec","2","2","0","spec (label built from a stale set)","batchD D6 output literal","",""
"FEN-PBK-FORBIDDEN-MAP","","FEN-PBK-FORBIDDEN-UNKNOWN","batchB","PBEKeySpecSpec","2","2","0","not curated at set level (see round record)","","",""
"FEN-SET-CTOR-INVISIVEL-ESTATICA","static path blind to constructors","","batchA batchB","SET","2","2","0","pipeline","batchA GAMA-SET-09; batchB GAMA claim","G12",""
"FEN-SIG-VERIFIED-WRONGSLOT","wrong-slot predicate write","","batchD","SignatureSpec","2","2","0","jca-inherited; rule says verified[sign]","batchD D8 executed (VERIFIED[Boolean.TRUE]=true; VERIFIED[signBytes]=false)","reader-appearance watch","latent (no reader in the set) — major per GENERATEDKEY-2A-CASA precedent"
"FEN-C-NULL-POLLUTION","","","batchC","SSLContextSpec","1","1","0","not curated at set level (see round record)","","",""
"FEN-DHG-registro-impreciso","","","batchA","DHGenParameterSpecSpec","1","1","0","not curated at set level (see round record)","","",""
"FEN-GCM-SUPRESSAO","","","batchA","DHGenParameterSpecSpec HMACParameterSpecSpec","2","1","0","not curated at set level (see round record)","","",""
"FEN-IVP-BOUNDS-EXTRA","","","batchA","IvParameterSpecSpec","2","1","0","not curated at set level (see round record)","","",""
"FEN-IVP-UNKNOWN","diagnostics (unknown on the only violation channel)","FEN-IVP-UNKNOWN-EXPECTING","batchA","IvParameterSpecSpec","1","1","0","generator","batchA GAMA-IVP-02 (judge-verified)","","G9-decisive for IVP"
"FEN-KPR-NULL-LENIENTE","","","batchB","KeyPairSpec","1","1","0","not curated at set level (see round record)","","",""
"FEN-KST-LOAD-TIMING","","","batchC","KeyStoreSpec","1","1","0","not curated at set level (see round record)","","",""
"FEN-KST-NULL-KEY-MARK","","","batchC","KeyStoreSpec","1","1","0","not curated at set level (see round record)","","",""
"FEN-MAC-G2-EXTRA","extra-oracle 2-arg capture (oracle's own g1=g2 anomaly)","","batchD","MacSpec","1","1","0","oracle-authoring anomaly (byte-duplicate 1-arg Gets)","batchD record","researcher countersignature (Mac g1=g2)",""
"FEN-SET-DECLARED-ONLY","toolchain: declared-only member index (inherited members unwoven)","","batchD","SecureRandomSpec","1","1","0","toolchain (dexlib2)","batchD measured (SRD next3/ints dead on device path)","ART half",""
"FEN-SET-DESIGN-SPLIT","register-internal false ground","","batchC","SET","1","1","0","gh101 register ('two philosophies' ground factually false — GAMA-SET-22)","batchC record","",""
"FEN-SET-GERADOR-SILENCIO","silent generator acceptances (census blind spots)","","batchB","SET","1","1","0","toolchain (generators)","batchB BETA-SET-05/06 + ALFA-SET-05/07","","family-adjacent to FEN-SET-FAIL-OPEN; NOT counted in the D-batchC-1 reconciliation (documented)"
"FEN-SET-INTERFACE-RECEIVER","","","batchB","SET","1","1","0","not curated at set level (see round record)","","",""
"FEN-SET-STATIC-DEAD-TARGETS","static/dynamic contradiction (6 static-listed dynamically-dead rows)","","batchD","SET","1","1","0","pipeline","batchD measured","G12 must-close",""
"FEN-SET-TIPO-ESTATICO","unregistered scope reduction (static type filter)","FEN-SET-tipo-estatico","batchB","SET","1","1","0","pipeline","batchB record","G12",""
"FEN-SET-advice-kind","","","batchB","SET","1","1","0","not curated at set level (see round record)","","",""
"FEN-SKS-MSG-CONFLADA","","","batchA","SecretKeySpecSpec","1","1","0","not curated at set level (see round record)","","",""
"FEN-SRD-EXTRA-ALPHABET","extra-oracle events occupy automaton positions","","batchD","SecureRandomSpec","1","1","0","jca-inherited (nextInt/ints as events; api30 ne is protected next(int), uncallable)","batchD ALFA-SRD-06; boxed-Integer cache marks (D-S13 family)","researcher: protected-ne unimplementability countersignature",""
"FEN-TMF-GTM-INVISIVEL","platform-masked FN","","batchC","TrustManagerFactorySpec","1","1","0","platform","batchC record (register the limitation)","","minor"
"FEN-CIS-ENSURES-SEM-CONSTANTE","","","batchB","CipherInputStreamSpec CipherOutputStreamSpec","2","0","0","not curated at set level (see round record)","","",""
"FEN-D-CONDVAR-LATENTE","","","batchD","MessageDigestSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-DHG-lifecycle","","","batchA","DHGenParameterSpecSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-DHG-linguagem","","","batchA","DHGenParameterSpecSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-HMC-binding","","","batchA","HMACParameterSpecSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-HMC-predicado","","","batchA","HMACParameterSpecSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-IVP-envelope-api","","","batchA","IvParameterSpecSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-IVP-grafo","","","batchA","IvParameterSpecSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-IVP-lifecycle","","","batchA","IvParameterSpecSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-IVP-linguagem-carrier","","","batchA","IvParameterSpecSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-KGN-G3-STATE-COND","","","batchC","KeyGeneratorSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-KGN-GETS-REPETIDO","","","batchC","KeyGeneratorSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-KST-ENTRIES-OMITIDAS","oracle-reading pendency","","batchC","KeyStoreSpec","2","0","0","oracle semantics of declared-but-unordered events","batchC REF-D-03: ALFA-KST-04/GAMA-KST-05 INCONCLUSIVE","CogniCrypt typestate construction at source, or researcher ruling",""
"FEN-PBE-WRITER-SEM-READER","","","batchA","PBEParameterSpecSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-PBE-constraint-transcricao","","","batchA","PBEParameterSpecSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-PBE-grafo","","","batchA","PBEParameterSpecSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-PBE-lifecycle","","","batchA","PBEParameterSpecSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-PBE-linguagem-carrier","","","batchA","PBEParameterSpecSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-SET-LAYER2-REPARO","","","batchA batchB","CipherInputStreamSpec CipherOutputStreamSpec IvParameterSpecSpec PBEKeySpecSpec PBEParameterSpecSpec SecretKeySpecSpec","6","0","0","not curated at set level (see round record)","","",""
"FEN-SET-NEWLINE-ESCAPE","","","batchA batchB","SET","2","0","0","not curated at set level (see round record)","","",""
"FEN-SET-REGISTRO-ESTALE","","","batchC","SET","1","0","0","not curated at set level (see round record)","","",""
"FEN-SET-ZERO-EMISSAO-PARAMSPECS","","","batchA batchB","SET","2","0","0","not curated at set level (see round record)","","",""
"FEN-SKS-REGISTROS","","","batchA","SecretKeySpecSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-SKS-length-envelope","","","batchA","SecretKeySpecSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-SKS-lifecycle","","","batchA","SecretKeySpecSpec","1","0","0","not curated at set level (see round record)","","",""
"FEN-SKS-linguagem-carrier","","","batchA","SecretKeySpecSpec","1","0","0","not curated at set level (see round record)","","",""
