spec,code,error_type,site_kind,event,file_line,label
CipherOutputStreamSpec,CIPHEROUTPUTSTREAM-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,CipherOutputStreamSpec.mop:86,sequence
DHGenParameterSpecSpec,DHGENPARAMETERSPEC-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,DHGenParameterSpecSpec.mop:49,violation
DHGenParameterSpecSpec,DHGENPARAMETERSPEC-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,DHGenParameterSpecSpec.mop:61,creation-unobserved
DHGenParameterSpecSpec,DHGENPARAMETERSPEC-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,DHGenParameterSpecSpec.mop:65,sequence
DHParameterSpecSpec,DHPARAMETERSPEC-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,DHParameterSpecSpec.mop:52,violation
DHParameterSpecSpec,DHPARAMETERSPEC-CONSTR-01,UnsatisfiedConstraint,CONSTR,c1,DHParameterSpecSpec.mop:57,violation
DHParameterSpecSpec,DHPARAMETERSPEC-CONSTR-02,UnsatisfiedConstraint,CONSTR,c2,DHParameterSpecSpec.mop:77,violation
DHParameterSpecSpec,DHPARAMETERSPEC-CONSTR-03,UnsatisfiedConstraint,CONSTR,c2,DHParameterSpecSpec.mop:82,violation
DHParameterSpecSpec,DHPARAMETERSPEC-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,DHParameterSpecSpec.mop:100,creation-unobserved
DHParameterSpecSpec,DHPARAMETERSPEC-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,DHParameterSpecSpec.mop:104,sequence
DigestInputStreamSpec,DIGESTINPUTSTREAM-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,DigestInputStreamSpec.mop:61,violation
DigestInputStreamSpec,DIGESTINPUTSTREAM-NOBS-00,UnsatisfiedConstraint,NOBS,c1,DigestInputStreamSpec.mop:65,not-observed
DigestInputStreamSpec,DIGESTINPUTSTREAM-CONSTR-01,UnsatisfiedConstraint,CONSTR,r2,DigestInputStreamSpec.mop:99,violation
DigestInputStreamSpec,DIGESTINPUTSTREAM-FORB-00,ForbiddenMethod,FORB,on,DigestInputStreamSpec.mop:127,violation
DigestInputStreamSpec,DIGESTINPUTSTREAM-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,DigestInputStreamSpec.mop:159,creation-unobserved
DigestInputStreamSpec,DIGESTINPUTSTREAM-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,DigestInputStreamSpec.mop:163,sequence
DigestOutputStreamSpec,DIGESTOUTPUTSTREAM-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,DigestOutputStreamSpec.mop:61,violation
DigestOutputStreamSpec,DIGESTOUTPUTSTREAM-NOBS-00,UnsatisfiedConstraint,NOBS,c1,DigestOutputStreamSpec.mop:65,not-observed
DigestOutputStreamSpec,DIGESTOUTPUTSTREAM-CONSTR-01,UnsatisfiedConstraint,CONSTR,w2,DigestOutputStreamSpec.mop:98,violation
DigestOutputStreamSpec,DIGESTOUTPUTSTREAM-FORB-00,ForbiddenMethod,FORB,on,DigestOutputStreamSpec.mop:126,violation
DigestOutputStreamSpec,DIGESTOUTPUTSTREAM-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,DigestOutputStreamSpec.mop:158,creation-unobserved
DigestOutputStreamSpec,DIGESTOUTPUTSTREAM-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,DigestOutputStreamSpec.mop:162,sequence
DSAParameterSpecSpec,DSAPARAMETERSPEC-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,DSAParameterSpecSpec.mop:62,violation
DSAParameterSpecSpec,DSAPARAMETERSPEC-CONSTR-01,UnsatisfiedConstraint,CONSTR,c1,DSAParameterSpecSpec.mop:67,violation
DSAParameterSpecSpec,DSAPARAMETERSPEC-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,DSAParameterSpecSpec.mop:84,creation-unobserved
DSAParameterSpecSpec,DSAPARAMETERSPEC-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,DSAParameterSpecSpec.mop:88,sequence
ECGenParameterSpecSpec,ECGENPARAMETERSPEC-ALG-00,UnsafeAlgorithm,ALG,c1,ECGenParameterSpecSpec.mop:81,violation
ECGenParameterSpecSpec,ECGENPARAMETERSPEC-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,ECGenParameterSpecSpec.mop:97,creation-unobserved
ECGenParameterSpecSpec,ECGENPARAMETERSPEC-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,ECGenParameterSpecSpec.mop:101,sequence
ECParameterSpecSpec,ECPARAMETERSPEC-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,ECParameterSpecSpec.mop:59,creation-unobserved
ECParameterSpecSpec,ECPARAMETERSPEC-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,ECParameterSpecSpec.mop:63,sequence
HMACParameterSpecSpec,HMACPARAMETERSPEC-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,HMACParameterSpecSpec.mop:35,creation-unobserved
HMACParameterSpecSpec,HMACPARAMETERSPEC-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,HMACParameterSpecSpec.mop:39,sequence
