id,spec_clausula,posicao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca
BETA-GCM-01,GCMParameterSpecSpec/geracao,PASS,MEDIDO,"mesmos comandos de producao; 0,41s/87MB + 0,91s/86MB; exit 0 stderr vazio; hashes em beta_gcm.md","geracao limpa; .rvm e5e50fbc… identico em individual/par/conjunto","stderr inspecionado nas duas fases","nenhuma relevante","nenhum","-",0.98
BETA-GCM-02,GCMParameterSpecSpec/eventos c1 c1 + ere c1|c2,FAIL(texto)/PASS(linguagem),OBSERVADO_EM_ARTEFATO,".mop linhas 23/34/48; artefato: uma tabela Prop_1_transition_c1={1,2,2} (RuntimeMonitor:93), dois carriers (:135/:152), c2 sem tabela/advice; toolchain exit 0 sem warning (medido)","c2 e simbolo morto eliminado; linguagem efetiva = exatamente um c1 = intencao; DIVERGENCIA_EQUIVALENTE_COMPROVADA + fail-open do gerador (simbolo indefinido aceito em silencio)","procurado warning nos logs de javamop e rv-monitor: nenhum; CoenableProbe com {c1,c2} confirma custo trivial","equivalencia vale por estrutura desta spec (disjuncao 1-de-2); nao generaliza","nenhum FP/FN nesta spec; risco latente de mudanca silenciosa de linguagem",minor(padrao major),0.95
BETA-GCM-03,GCMParameterSpecSpec/pointcuts ctor,PASS,MEDIDO,"PointcutBudgetCtor (mesmo PointcutMatcher de producao, call-site new-instance+invoke-direct; gate PointcutMatcher.java:433-438) vs android-30: c1_3→ctor/2, c1_4→ctor/4, DISJOINT, UNMATCHED=[getTLen,getIV]; scratch budget_gcm.out","cobertura 2/2, sem vazamento, disjuncao","harness stock (invoke-virtual) reproduziu o resultado — match nao depende de opcode; android-37.0 tem os mesmos 2 ctors (G10 sem efeito)","mesa de ctors escrita a mao a partir de javap (api_members.py:94-97 pula ctors por construcao)","nenhum","-",0.95
BETA-GCM-04,GCMParameterSpecSpec/@fail e diagnostico,FAIL(diagnostico local),OBSERVADO_EM_ARTEFATO,"tabela {1,2,2} + monitor indexado pelo objeto retornado (novo por construcao) + condition(false) sem transicao (:137-143) ⇒ estado 2 inalcancavel em execucao real","@fail e dead code; InvalidSequenceOfMethodCalls do GCM nunca observavel; violacao emerge so via D-S9 no CipherSpec.init (CipherSpec.mop:88-92)","procurado caminho para 2o c1 no mesmo monitor: inexistente (returning cria objeto novo; nenhum outro evento)","sem execucao dinamica; prova por alcancabilidade no artefato","FN local de diagnostico; GCM malformado que nunca chega a Cipher.init passa em silencio",major(registrar como limitacao),0.9
BETA-GCM-05,GCMParameterSpecSpec/cadeia advice,PASS,OBSERVADO_EM_ARTEFATO,"2 advices after-returning, 1 monitorCall cada, bindings tagLen,src[,offset,len],s em ordem; descriptor==aj 1:1 (uniqueIds c1_3/c1_4)","cardinalidade/ordem/binding corretos; __LOC so no @fail via getLineOfCode()","procurada divergencia descriptor×aj campo a campo: nenhuma","mesma ameaca A2 do __LOC sob DEX","nenhum","-",0.97
BETA-SET-01,conjunto/modo producao,PASS,MEDIDO,"geracao conjunta das 23 specs em scratch (comandos identicos aos de producao): javamop 0,67s/170MB; rv-monitor 28,09s/1,71GB; exit 0 limpo; 119 advices/140 monitorCalls; histograma N:{1:100,2:18,4:1}","conjunto completo gera limpo dentro de recursos modestos","stderr inspecionado; contagens extraidas do descriptor por script","versao de JVM difere do Docker","nenhum","-",0.97
BETA-SET-02,conjunto/determinismo e composicao,PASS,MEDIDO,"sha256: CipherSpec.rvm e GCM…rvm identicos em individual/par/conjunto; conteudo dos advices Cipher+GCM no descriptor do conjunto == par (script em beta_cipher.md §0)","-merge nao perturba os artefatos por spec","diff estrutural do descriptor e do .aj (so renomes MultiSpec_1)","apenas 2 specs comparadas em profundidade","nenhum","-",0.95
BETA-SET-03,conjunto/hipoteses gh100,PASS(codigo)/NAO_VERIFICADO(DEX),OBSERVADO_EM_ARTEFATO,"MonitorInvokeBuilder.java:69-78 (itera todos os monitorCalls); WrapperEmitter.java:243 (merge); DexWeaver.java:172-173 (registry fail-loud); DexWeaver.java:876-880 (commonPointcut fail-loud); BaksmaliDiffer.java:235 (validador itera)","modos de falha corrigidos ausentes no codigo vigente; descriptor de hoje contem as formas N>1 que os exercitam","procurado caminho de emissao que leia so o 1o monitorCall: nenhum encontrado","sem weaving de APK nesta rodada — nivel DEX permanece alegacao da evidencia V0/V2 da gh100","perda de emissao (se presente) seria FN",major(se falhasse),0.85
BETA-SET-04,toolchain/javamop exit code,FAIL(fail-open do binario),MEDIDO,"javamop com outdir inexistente: erro em stderr e exit 0 (medido em scratch); producao compensa criando o dir e tratando stderr como falha (utils.py:42-47)","fora do pipeline o erro passa em silencio","exit status capturado por /usr/bin/time","so afeta usos manuais/futuros do binario","nenhum no pipeline atual",minor,0.95
BETA-SET-05,toolchain/G10 android.jar lexicografico,PASS(sem efeito no piloto),MEDIDO,"api_members de Cipher em android-30 vs android-37.0: conjunto de membros identico; PointcutBudget identico; GCM: mesmos 2 ctors via javap","o defeito congelado na fase 0 nao altera matching destas 2 specs","diff das mesas membro a membro","especifico destas classes; outras specs podem ter membros novos em API>30","nenhum aqui",minor,0.95
