"id","spec_clausula","dimensao","fenomeno_id","posicao","classificacao","tipo","evidencia_primaria","resultado","contraevidencia_procurada","ameaca_validade","impacto_fp_fn","severidade","confianca","resolucao_juiz","classificacao_final","severidade_final","fenomeno_id_final","justificativa_curta"
"ALFA-MAC-11","CONSTRAINTS offset<len and length(output1)>outOffset","bindings/cláusulas","FEN-D-ARITH-OMITIDA","FAIL","OMITIDA","unregistered-constraint-omission","Mac.cryptsl:73-75; grep of MacSpec.mop for any offset/len check: none; searched data/gh101/*.csv, data/gh101/*.md, openspec/changes/gh101-jca-spec-conformance/ for a registration: none found","two arithmetic constraints of the raw rule have no translation and no omission record","conformance_record.csv covers only the algorithm list ('anchored'); divergence_record has no Mac hunk about them","low semantic weight (arith bounds)","FN (bounds violations unobserved)","major","0.85","FAIL","OMITIDA","major","FEN-D-ARITH-OMITIDA","CONFIRMADO: SRC Mac.cryptsl:73-75 declares offset<len and length(output1)>outOffset; no translation in the spec (judge grep); 0-hit register greps re-run (REG)."
"ALFA-MAC-12","safeAlgorithms 18 entries vs rule's 12 (6 extra HMAC-*/HMAC/* spellings)","bindings/cláusulas","FEN-C-WHITELIST-EXTRA","FAIL","INCORRETA","extra-oracle-whitelist","conformance_record.csv MacSpec row (registers the 6 as spelling variants); folding probe: all 6 unresolvable on host JDK; raw list Mac.cryptsl:71","6 spec-safe strings are raw-violating; unresolvable on the host, so the FN is an Android-provider threat (BC/Conscrypt aliases), same status as batch C KGN aliases","host resolution probe executed (alfa_foldingD_rep1.txt): no resolvable divergence witness on JDK","Android-side realizability pending","latent FN on Android providers","minor","0.8","FAIL","INCORRETA","major-pending","FEN-C-WHITELIST-EXTRA","CONFIRMADO com ajuste REF-D-02: minor->major-pending. Judge D5 EXECUTED the monitor-level FN (g1 accepts 'HMAC-SHA256', acceptance granted, 0 errors — raw 12-literal list rejects it), but the enabling getInstance throws on every measured platform (folding probe); Android-BC probe named. Same standard as batch C rev.2 KGN aliases."
"ALFA-MAC-13","lifecycle/interleaving (dimension 5)","equivalência paramétrica/ciclo de vida","","PASS","FIDELIDADE_DEMONSTRADA","parametric-isolation","harness MAC-T9 setup: mA and mB evolve independently through g1/i1 until the unbound f3; weak-ref identity map (RuntimeMonitor indexing); 10 of 11 events bind m","per-object isolation holds for all bound events; the single breach is f3 (ALFA-MAC-03)","two equals-but-distinct SecretKeySpec keys used across scenarios: store is identity-based (ExecutionContext.java:18-27), no cross-marking observed","","none (except via f3)","minor","0.85","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: per-object isolation on bound events verified in D9 setup (mX/mY independent until f3); the sole breach is the unbound f3 (filed)."
"ALFA-MDG-01","MessageDigestSpec EVENTS g1/g2/g3/update/d1/d2/d3 vs rule Gets/Updates/Digests","captura de eventos","","PASS","FIDELIDADE_DEMONSTRADA","capture-partition","alfa_javap_android30_batchD.txt (3 getInstance incl. (String,Provider); 4 updates; 3 digests); harness MDG-T5: Provider-overload safe usage -> 0 errors","g1/g2/g3 partition the three getInstance overloads - the only spec of batch D that captures (String,Provider); update(..) covers all 4 overloads = rule u1-u4 (ByteBuffer IS a rule event here); d1/d2/d3 exact","neighbor check: isEqual/reset/getDigestLength not matched by update(..) (void return required... update(..) is void-typed: reset() is void 0-arg - '(..)'-includes-zero-arity threat checked: pointcut is update(..) name-anchored, reset does not match","","none","minor","0.9","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: JAVAP partition re-derived; the ONLY batch D spec capturing (String,Provider); Beta capture matrix mdg_gi2p both halves (conferred)."
"ALFA-MDG-02","ORDER Gets,(DWOU|(Updates+,Digests))+ safe-path equivalence incl. reuse cycles","linguagem formal","","PASS","FIDELIDADE_DEMONSTRADA","language-inclusion-partial","product (alfa_language_results.txt MDG): no FP/FN on captured-safe routes; harness MDG-T1 (two full cycles, 0 errors), MDG-T2 (one-shot d2, 0 errors); acceptance agrees on safe path (d1/d2/d3 -> state 1 = match)","cycle structure (repetition, DWOU shortcut, updates+ requirement d1-after-gets fails both oracles) preserved modulo α","exhaustive product BFS to length 7 found no safe-path divergence","","none","minor","0.9","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: judge W safe-reuse walk (g1 update d1 update d1 -> match) and d1-without-update fails both oracles; product results accepted after walk verification."
"ALFA-MDG-03","unsafe 1-arg carrier (g4* prefix)","linguagem formal","FEN-C-CARRIER-SEQFAIL","FAIL","INCORRETA","carrier-FP+G9-breach","harness MDG-T3: getInstance(MD2);update;digest -> UnsafeAlgorithm + 2x InvalidSequenceOfMethodCalls (first paired to the same update call)","raw oracle flags only the digestAlg constraint; monitor adds spurious sequence errors on the mandatory successors","","none","FP 2x per unsafe usage","crítica","0.95","FAIL","INCORRETA","crítica","FEN-C-CARRIER-SEQFAIL","CONFIRMADO: judge D6 executed the carrier (UnsafeAlgorithm + InvalidSeq pair at EACH consuming site, 3 sites = 6 records); W walk agrees."
"ALFA-MDG-04","unsafe 2-arg and unsafe (String,Provider): condition-suppressed with no counterpart","linguagem formal","FEN-C-GETS-INVISIVEL","FAIL","INCORRETA","invisible-creation-FP+empty-label","harness MDG-T4: monitor born at update -> UnsafeAlgorithm 'but found .' (empty currentAlgorithmInstance) + 2x InvalidSequenceOfMethodCalls","the H4 empty-label shape is live in this spec: the accusation names no algorithm and rides with sequence FPs; rule-side the 2-arg getInstance IS a Gets (g2=(digestAlg,_)) so the unsafe constraint violation is real but the monitor reports it blind and with FP companions","g2/g3 safe branches exist; only the unsafe halves lack counterparts","","FP (sequence) + degraded specific report","crítica","0.9","FAIL","INCORRETA","crítica","FEN-C-GETS-INVISIVEL","CONFIRMADO: g2/g3 conditions are safe-only with no unsafe twin and g4 is 1-arg (SRC); born-at-update FP + empty label executed (MDG-T4/mdg_a)."
"ALFA-MDG-05","CONSTRAINT digestAlg in {6 literals} -> 9-entry list + toUpperCase folding","bindings/cláusulas","FEN-C-WHITELIST-EXTRA","FAIL","INCORRETA","case-folded-superset","folding probe (alfa_foldingD_rep1.txt): 6 measured FN witnesses resolvable on host JDK: 'sha-256','md5','sha256','SHA256','SHA384','SHA512' all spec-safe and raw-violating","the guard accepts strings the raw literal constraint rejects; conformance_record registers the 3 no-hyphen aliases as spelling variants but the case folding (.toUpperCase, MessageDigestSpec.mop:30) is over and above even that","exact-match specs of the same batch (KPG/SRD/SIG) show zero divergence in the same probe","register acknowledges variants; raw oracle governs (pre_registro §1)","FN measured (6 witnesses)","crítica","0.9","FAIL","INCORRETA","crítica","FEN-C-WHITELIST-EXTRA","CONFIRMADO: crítica stands under REF-D-02 — the 6 witnesses ('sha-256','md5','sha256','SHA256','SHA384','SHA512') RESOLVE on the measured host JDK (folding probe, 3 reps), so the FN trace is realizable; raw 6-literal list verified (SRC MessageDigest.cryptsl:63)."
"ALFA-MDG-06","removal of the reset event (§8 adversarial target, gh101 D-S12)","linguagem formal","","PASS","FIDELIDADE_DEMONSTRADA","removal-vs-raw-oracle","MessageDigest.cryptsl EVENTS (:27-55) declares no reset; jca twin diff: jca declared 'event reset' (jca/MessageDigestSpec.mop:73-76) absent from its own ere -> all-fail row -> every reset() call was an InvalidSequence FP; jca_android removes the event; divergence_record.csv row ff425611fcba","the removal aligns the spec with the raw oracle and deletes an inherited all-fail-row FP source; residual: after reset() the true digest state and the monitor state diverge, but BOTH oracles are blind to reset - no spec-vs-rule divergence exists","searched for a trace where reset-blindness separates spec from rule: none exists (both automata ignore the call); the divergence is oracle-vs-reality, out of scope","oracle blind spot recorded (not a spec defect)","none vs raw oracle","minor","0.9","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: §8 target closed — judge verified NO reset in the api30 rule and NO reset event in the spec (SRC/grep); jca twin declared it outside its ere (all-fail row); removal = fidelity to the raw oracle; oracle blind spot recorded."
"ALFA-MDG-07","g4 guard over the monitor FIELD (currentAlgorithmInstance) instead of the argument","bindings/cláusulas","","PASS","DIVERGÊNCIA_EQUIVALENTE_COMPROVADA","advice-order-equivalence","MessageDigestSpecMonitorAspect.aj:41-46 (g1Event before g4Event in the merged advice); harness MDG-T1: safe first call -> 0 errors (g1 sets the field before g4's guard reads it); per-object monitors make one getInstance per monitor","equivalent only by (a) advice emission order and (b) per-object parameterization; both hold in the artifact","constructed the double-fire scenario (g4-before-g1): impossible under the generated advice order; fragility recorded (batch C ALFA-KGN-08 family)","fragile invariant - future regeneration could reorder","none today","minor","0.8","PASS","DIVERGÊNCIA_EQUIVALENTE_COMPROVADA","minor","","CONFIRMADO: same grounds as the GAMA-MDG-03 overturn (advice order judge-verified in the .aj; WrapperEmitter descriptor-order from batch C); fragility recorded."
"ALFA-MDG-08","CONSTRAINTS pre_len>pre_off and len>off","bindings/cláusulas","FEN-D-ARITH-OMITIDA","FAIL","OMITIDA","unregistered-constraint-omission","MessageDigest.cryptsl:65-67; no translation in MessageDigestSpec.mop; searched data/gh101/*.csv, data/gh101/*.md, openspec/changes/gh101-jca-spec-conformance/: no registration","two arithmetic constraints untranslated and unregistered","conformance_record covers only the algorithm list","low semantic weight","FN (bounds violations unobserved)","major","0.85","FAIL","OMITIDA","major","FEN-D-ARITH-OMITIDA","CONFIRMADO: SRC MessageDigest.cryptsl:65-67 (pre_len>pre_off, len>off); no translation; 0-hit register greps (REG)."
"ALFA-MDG-09","ENSURES digested[out,_]/digested[out,inbytearr] -> DIGESTED single slot; no reader","predicados/composição","","PASS","LIMITAÇÃO_INEVITÁVEL_DOCUMENTADA","registered-terminal-write","predicate_omissions.csv row DIGESTED ('terminal... never consulted'); grep all 23 .mop: 3 writers (MessageDigestSpec:78,91,98), zero readers; @fail does NOT revoke DIGESTED - faithful non-revocation (zero NEGATES in the rule)","the second slot (inbytearr) is dropped by the one-place store, consequence-free absent any reader; the non-revoking @fail is the faithful contrast to Mac/KPG removes","tried to find a reader that would need the slot: none in either set per the register and per grep","registered limitation blocks full-adherence claims","none","minor","0.85","PASS","LIMITAÇÃO_INEVITÁVEL_DOCUMENTADA","minor","","CONFIRMADO: DIGESTED registered terminal (predicate_omissions conferred); non-revoking @fail faithful (zero NEGATES); consequence-free — PASS/LIMITACAO."
"ALFA-MDG-10","diagnostic label: 'expecting one of {SHA-256, SHA-384, SHA-512}' vs actual 9-entry list","diagnóstico","FEN-MDG-LABEL-STALE","FAIL","INCORRETA","misleading-expected-set","harness MDG-T3 output: UnsafeAlgorithm message names 3 algorithms while the guard accepts 9 (MessageDigestSpec.mop:70-71,88-89)","the accusation misstates the oracle it enforces; an MD5 user is told MD5 is rejected by a list that in fact accepts MD5 - the message can only arise for algorithms outside the real list, naming a subset","","message inherited from jca-era list","diagnostic misattribution","minor","0.85","FAIL","INCORRETA","minor","FEN-MDG-LABEL-STALE","CONFIRMADO: judge D6 output carries the literal 'expecting one of {SHA-256, SHA-384, SHA-512}' against the 9-entry enforced list — message misstates the enforced oracle."
"ALFA-MDG-11","acceptance-set at end of trace (unsafe/invisible routes)","linguagem formal","FEN-C-ACCEPT-END","FAIL","INCORRETA","acceptance-divergence","product accdiv rows (G1u D2 -> CrySL accepts in A, monitor state 0 after resets)","CrySL-complete unsafe-path words end outside match; accepting-store impact nil (19 writers, 0 readers per gh101 register)","","table-level only","none realizable today","minor","0.8","FAIL","INCORRETA","minor","FEN-C-ACCEPT-END","CONFIRMADO: table-level acceptance divergence; accepting-store reader-less (REG); minor stands."
"ALFA-KPG-01","EVENTS g1/g2/g3/init1-4/initError/gen vs rule g1,g2,i1-i4,k1,k2","captura de eventos","","PASS","FIDELIDADE_DEMONSTRADA","capture-partition","alfa_javap_android30_batchD.txt (KeyPairGenerator: exactly 4 initialize overloads, 3 getInstance, genKeyPair+generateKeyPair); KeyPairGeneratorSpecMonitorAspect.aj:41-79; harness KPG-T1 (0 errors, mark written, accepting)","the four initialize overloads map 1:1 (init1=i3, init2=i4, init3=i1, init4=i2), all bound; gen merges k1/k2 (same rule aggregate Generators, discrimination unnecessary)","dexlib2 first-call-disjunct caveat applies to gen's two call() disjuncts (genKeyPair is the second) - NAO_VERIFICADO here, flagged for Beta","","none on AJC-path capture","minor","0.85","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: JAVAP 4-initialize/3-getInstance/genKeyPair+generateKeyPair re-derived; dexlib2 disjunct caveat correctly flagged and now MEASURED by Beta (KPG-02)."
"ALFA-KPG-02","init1/init2/initError conditions call validate(keySize) -> switch(algorithm) with algorithm null on invisible creation","bindings/cláusulas","FEN-KPG-NPE","FAIL","INCORRETA","guard-NPE-crash","harness KPG-T5: initialize(2048) on a monitor with no captured creation -> java.lang.NullPointerException thrown TO THE CALLER from mop.KeyPairGeneratorSpecMonitor.validate(KeyPairGeneratorSpecRuntimeMonitor.java:262); no try/catch in the dispatch chain (RuntimeMonitor event methods, aspect advice)","reachable via every invisible-creation route: unsafe 2-arg getInstance, ANY (String,Provider) getInstance (a safe, rule-conformant Gets: rule g2=(alg,_) covers it, spec has no pointcut) -> the app's own initialize() call site throws NPE","checked whether rv-monitor wraps handlers in try/catch: it does not (event dispatch code, :101-123); crash-in-woven-APK step is INFERIDO (advice propagates exceptions), monitor-level propagation MEDIDO","end-to-end APK reproduction not run (Beta); severity kept crítica: a crash outranks an FP","app crash on rule-conformant usage","crítica","0.9","FAIL","INCORRETA","crítica","FEN-KPG-NPE","CONFIRMADO: judge D1 EXECUTED the NPE from BOTH init1Event and initErrorEvent to the caller on an unseen generator; switch(algorithm) on uninitialized field verified (SRC .mop:26-35); no try/catch in dispatch (SRC artifact). Classified spec-INCORRETA (fail-crash), not toolchain: the switch is spec-authored code; monitor-creation-at-first-event is standard parametric semantics."
"ALFA-KPG-03","@fail without __RESET (only spec of the five)","linguagem formal","FEN-KPG-FAILSINK","FAIL","INCORRETA","fail-sink-cascade","KeyPairGeneratorSpecRuntimeMonitor.java:471-477 (handler lacks this.reset(); other four monitors have it); harness KPG-T2/T6: one more InvalidSequenceOfMethodCalls per subsequent event, plus a remove(GENERATED_KEY_PAIR, kp) re-executed each time","after any violation the monitor accuses every later event forever; jca twin has the same @fail (inherited)","compared the other four batch D handlers: all reset; the sink is specific to KPG","ErrorCollector set-dedup can mask cascade counts at one call site (distinct sites shown)","FP cascade + repeated mark-removal","crítica","0.9","FAIL","INCORRETA","crítica","FEN-KPG-FAILSINK","CONFIRMADO: judge verified KPG is the ONLY batch D monitor without this.reset() in @fail (0 vs 1 in the other four, W); cascade walked (W fail-sink walk) and executed (D7a follow-on records; kpg_b)."
"ALFA-KPG-04","initialize(int,SecureRandom) with invalid keySize: init2 suppressed, no initError counterpart","bindings/cláusulas","FEN-KPG-INIT2-SUPPRESSED","FAIL","INCORRETA","suppressed-violating-branch","harness KPG-T4: g1(RSA); initialize(1024, sr); gen -> ZERO InvalidKeySize + spurious InvalidSequenceOfMethodCalls at gen (initError pointcut is initialize(int) only, KeyPairGeneratorSpec.mop:113-120)","the rule's keySize constraint violation on the 2-arg overload is never reported as such (FN) and surfaces as a sequence FP one call later; the same misuse via the 1-arg overload IS reported (KPG-T3)","initError's own placement admits the 1-arg case cleanly at the init position (measured, no pairing at initError itself)","","FN (specific error) + FP (sequence) on the same trace","crítica","0.95","FAIL","INCORRETA","crítica","FEN-KPG-INIT2-SUPPRESSED","CONFIRMADO: initError pointcut covers initialize(int) only (SRC .mop:113-120); kpg_f/KPG-T4 executed the FN+FP pair; the 1-arg route reports correctly (D7a InvalidKeySize)."
"ALFA-KPG-05","g3* carrier + pilot H2 (KPG named)","linguagem formal","FEN-C-CARRIER-SEQFAIL","FAIL","INCORRETA","carrier-FP+G9-breach","harness KPG-T6: getInstance(EC); initialize(256) -> UnsafeAlgorithm + InvalidSequence on the SAME call (H2 confirmed for KPG with executed trace) + second InvalidSequence (initError branch also fails) + sink cascade at gen","raw oracle flags only the alg constraint (EC outside {DH,DSA,RSA}); monitor pairs it with 2 sequence FPs and then cascades","initError fired too (initError guard uses the EC case of validate: 256 valid -> initError suppressed... measured output shows both init1-row fail and initError-row fail lines - see harness note in report §3","","FP 3+ per unsafe usage + pairing breach","crítica","0.95","FAIL","INCORRETA","crítica","FEN-C-CARRIER-SEQFAIL","CONFIRMADO: carrier + H2 confirmed for the pilot's named KPG; sticky-category amplification filed under FEN-KPG-FAILSINK/FEN-A-STALE-FLAGS."
