apk,rep,timeout,tool,time,class,method,signature,cov_class,cov_act,cov_method,cov_rv_method,cov_reachable,cov_reaches_target,cov_directly_reaches_target
cryptoapp.apk,1,300,aperv:sata_mop,204,br.unb.cic.cryptoapp.messagedigest.MessageDigestActivity,generateHash,<br.unb.cic.cryptoapp.messagedigest.MessageDigestActivity: void generateHash(android.view.View)>,68.75,75.0,38.68,21.88,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,247,br.unb.cic.cryptoapp.messagedigest.MessageDigestUtil,hash,"<br.unb.cic.cryptoapp.messagedigest.MessageDigestUtil: java.lang.String hash(java.lang.String,java.lang.String)>",68.75,75.0,39.62,25.0,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,247,br.unb.cic.cryptoapp.messagedigest.MessageDigestUtil,<init>,<br.unb.cic.cryptoapp.messagedigest.MessageDigestUtil: void <init>()>,68.75,75.0,40.57,25.0,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,247,br.unb.cic.cryptoapp.messagedigest.MessageDigestUtil,hash,"<br.unb.cic.cryptoapp.messagedigest.MessageDigestUtil: java.lang.String hash(byte[],java.lang.String)>",68.75,75.0,41.51,28.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,247,br.unb.cic.cryptoapp.messagedigest.MessageDigestActivity,showErrorDialog,<br.unb.cic.cryptoapp.messagedigest.MessageDigestActivity: void showErrorDialog(java.lang.String)>,68.75,75.0,42.45,28.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,247,br.unb.cic.cryptoapp.messagedigest.MessageDigestActivity,clearErrors,<br.unb.cic.cryptoapp.messagedigest.MessageDigestActivity: void clearErrors()>,68.75,75.0,43.4,28.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,268,br.unb.cic.cryptoapp.util.Utils,bytesToHex,<br.unb.cic.cryptoapp.util.Utils: java.lang.String bytesToHex(byte[])>,68.75,75.0,44.34,28.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,296,br.unb.cic.cryptoapp.cipher.CipherActivity,<init>,<br.unb.cic.cryptoapp.cipher.CipherActivity: void <init>()>,68.75,100.0,45.28,28.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,296,br.unb.cic.cryptoapp.cipher.CipherActivity,onCreate,<br.unb.cic.cryptoapp.cipher.CipherActivity: void onCreate(android.os.Bundle)>,68.75,100.0,46.23,28.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,296,br.unb.cic.cryptoapp.cipher.CipherActivity$1,<init>,<br.unb.cic.cryptoapp.cipher.CipherActivity$1: void <init>(br.unb.cic.cryptoapp.cipher.CipherActivity)>,68.75,100.0,47.17,28.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,296,br.unb.cic.cryptoapp.MainActivity,showScreenCipher,<br.unb.cic.cryptoapp.MainActivity: void showScreenCipher(android.view.View)>,68.75,100.0,48.11,28.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,297,br.unb.cic.cryptoapp.cipher.CipherActivity,access$000,<br.unb.cic.cryptoapp.cipher.CipherActivity: void access$000(br.unb.cic.cryptoapp.cipher.CipherActivity)>,68.75,100.0,49.06,31.25,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,297,br.unb.cic.cryptoapp.cipher.CipherActivity,encrypt,<br.unb.cic.cryptoapp.cipher.CipherActivity: void encrypt()>,68.75,100.0,50.0,34.38,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,297,br.unb.cic.cryptoapp.cipher.CipherActivity$1,onClick,<br.unb.cic.cryptoapp.cipher.CipherActivity$1: void onClick(android.view.View)>,68.75,100.0,50.94,37.5,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,297,br.unb.cic.cryptoapp.cipher.CipherUtil,des,<br.unb.cic.cryptoapp.cipher.CipherUtil: byte[] des(java.lang.String)>,68.75,100.0,51.89,40.62,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,297,br.unb.cic.cryptoapp.cipher.CipherUtil,encrypt,<br.unb.cic.cryptoapp.cipher.CipherUtil: java.lang.String encrypt(java.lang.String)>,68.75,100.0,52.83,43.75,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,297,br.unb.cic.cryptoapp.cipher.CipherUtil,<init>,<br.unb.cic.cryptoapp.cipher.CipherUtil: void <init>()>,68.75,100.0,53.77,43.75,85.45,43.75,23.81
