AlgorithmParametersSpec | ALGORITHMPARAMETERS-ALG-00 | get | org.fedorahosted.freeotp.encryptor.EncryptedKey.decrypt | lines=17 runkeys=17 | src={'EncryptedKey.java:54': 17} | apks=['org.fedorahosted.freeotp_48.apk']
CipherSpec | CIPHER-ORDER-00 | i2 | com.google.crypto.tink.subtle.PrfAesCmac.generateSubKeys | lines=1180 runkeys=546 | src={'PrfAesCmac.java:110': 966, 'PrfAesCmac.java:103': 214} | apks=['app.maskan.chat_90.apk', 'app.michaelwuensch.bitbanana_79.apk', 'com.afkanerd.deku_83.apk', 'com.tk.quicksearch_65.apk', 'dev.dettmer.simplenotes_41.apk', 'org.css_apps_m3.password_manager_16.apk', 'org.openhab.habdroid_589.apk']
CipherSpec | CIPHER-ORDER-00 | i2 | org.flyve.inventory.CryptoUtil.encrypt | lines=92 runkeys=80 | src={'CryptoUtil.java:83': 92} | apks=['org.glpi.inventory.agent_39469.apk']
KeyPairSpec | KEYPAIR-ORDER-00 | gpr | io.ktor.network.tls.TLSClientHandshakeKt.generateECKeys | lines=228 runkeys=184 | src={'TLSClientHandshake.kt:525': 139, 'TLSClientHandshake.kt:524': 80, 'TLSClientHandshake.kt:498': 9} | apks=['com.mateusrodcosta.apps.vidyamusic_2200.apk', 'com.sapuseven.untis_29198884.apk', 'com.serwylo.beatgame_35.apk', 'com.serwylo.retrowars_70.apk']
KeyPairSpec | KEYPAIR-ORDER-00 | gpr | io.treehouses.remote.bases.BaseSSHKeyGen.generateKey | lines=1 runkeys=1 | src={'BaseSSHKeyGen.kt:115': 1} | apks=['io.treehouses.remote_6098.apk']
KeyPairSpec | KEYPAIR-ORDER-00 | gpr | org.flyve.inventory.CryptoUtil.generateKeyPair | lines=92 runkeys=80 | src={'CryptoUtil.java:66': 92} | apks=['org.glpi.inventory.agent_39469.apk']
KeyPairSpec | KEYPAIR-ORDER-00 | gpr | systems.sieber.droid_scep.ScepClient.CertReq | lines=2 runkeys=1 | src={'ScepClient.java:139': 1, 'ScepClient.java:168': 1} | apks=['systems.sieber.droid_scep_7.apk']
KeyPairSpec | KEYPAIR-ORDER-00 | gpu | io.ktor.network.tls.TLSClientHandshakeKt.generateECKeys | lines=457 runkeys=185 | src={'TLSClientHandshake.kt:521': 139, 'TLSClientHandshake.kt:525': 139, 'TLSClientHandshake.kt:520': 81, 'TLSClientHandshake.kt:524': 80, 'TLSClientHandshake.kt:494': 9, 'TLSClientHandshake.kt:498': 9} | apks=['com.mateusrodcosta.apps.vidyamusic_2200.apk', 'com.sapuseven.untis_29198884.apk', 'com.serwylo.beatgame_35.apk', 'com.serwylo.retrowars_70.apk']
KeyPairSpec | KEYPAIR-ORDER-00 | gpu | io.treehouses.remote.bases.BaseSSHKeyGen.generateKey | lines=1 runkeys=1 | src={'BaseSSHKeyGen.kt:115': 1} | apks=['io.treehouses.remote_6098.apk']
KeyPairSpec | KEYPAIR-ORDER-00 | gpu | org.flyve.inventory.CryptoUtil.generateKeyPair | lines=92 runkeys=80 | src={'CryptoUtil.java:65': 92} | apks=['org.glpi.inventory.agent_39469.apk']
KeyPairSpec | KEYPAIR-ORDER-00 | gpu | systems.sieber.droid_scep.ScepClient.CertReq | lines=2 runkeys=1 | src={'ScepClient.java:135': 1, 'ScepClient.java:155': 1} | apks=['systems.sieber.droid_scep_7.apk']
MacSpec | MAC-ALG-00 | i1 | com.beemdevelopment.aegis.crypto.otp.HOTP.getHash | lines=2 runkeys=2 | src={'HOTP.java:41': 2} | apks=['com.beemdevelopment.aegis_81.apk']
MacSpec | MAC-ALG-00 | i1 | org.cry.otp.HOTP.hmac_sha1 | lines=1 runkeys=1 | src={'HOTP.java:32': 1} | apks=['org.cry.otp_31.apk']
MacSpec | MAC-ALG-00 | i1 | org.cry.otp.TOTP.hmac_sha | lines=3 runkeys=3 | src={'TOTP.java:46': 3} | apks=['org.cry.otp_31.apk']
MacSpec | MAC-ORDER-00 | f1 | com.google.crypto.tink.subtle.Hkdf.computeHkdf | lines=34 runkeys=34 | src={'Hkdf.java:71': 34} | apks=['org.css_apps_m3.password_manager_16.apk']
MacSpec | MAC-ORDER-00 | f1 | io.ktor.network.tls.HashesKt.P_hash | lines=456 runkeys=184 | src={'Hashes.kt:35': 219, 'Hashes.kt:28': 219, 'Hashes.kt:33': 9, 'Hashes.kt:26': 9} | apks=['com.mateusrodcosta.apps.vidyamusic_2200.apk', 'com.sapuseven.untis_29198884.apk', 'com.serwylo.beatgame_35.apk', 'com.serwylo.retrowars_70.apk']
MacSpec | MAC-ORDER-00 | f1Input | com.beemdevelopment.aegis.crypto.otp.HOTP.getHash | lines=2 runkeys=2 | src={'HOTP.java:43': 2} | apks=['com.beemdevelopment.aegis_81.apk']
MacSpec | MAC-ORDER-00 | f1Input | org.cry.otp.HOTP.hmac_sha1 | lines=1 runkeys=1 | src={'HOTP.java:34': 1} | apks=['org.cry.otp_31.apk']
MacSpec | MAC-ORDER-00 | f1Input | org.cry.otp.TOTP.hmac_sha | lines=3 runkeys=3 | src={'TOTP.java:48': 3} | apks=['org.cry.otp_31.apk']
MacSpec | MAC-ORDER-00 | i1 | com.beemdevelopment.aegis.crypto.otp.HOTP.getHash | lines=2 runkeys=2 | src={'HOTP.java:41': 2} | apks=['com.beemdevelopment.aegis_81.apk']
MacSpec | MAC-ORDER-00 | i1 | com.google.crypto.tink.subtle.Hkdf.computeHkdf | lines=34 runkeys=34 | src={'Hkdf.java:65': 34} | apks=['org.css_apps_m3.password_manager_16.apk']
MacSpec | MAC-ORDER-00 | i1 | io.ktor.network.tls.HashesKt.P_hash | lines=456 runkeys=184 | src={'Hashes.kt:31': 219, 'Hashes.kt:26': 219, 'Hashes.kt:28': 6, 'Hashes.kt:23': 6, 'Hashes.kt:29': 3, 'Hashes.kt:24': 3} | apks=['com.mateusrodcosta.apps.vidyamusic_2200.apk', 'com.sapuseven.untis_29198884.apk', 'com.serwylo.beatgame_35.apk', 'com.serwylo.retrowars_70.apk']
MacSpec | MAC-ORDER-00 | i1 | org.cry.otp.HOTP.hmac_sha1 | lines=1 runkeys=1 | src={'HOTP.java:32': 1} | apks=['org.cry.otp_31.apk']
MacSpec | MAC-ORDER-00 | i1 | org.cry.otp.TOTP.hmac_sha | lines=3 runkeys=3 | src={'TOTP.java:46': 3} | apks=['org.cry.otp_31.apk']
MacSpec | MAC-ORDER-00 | update | com.google.crypto.tink.subtle.Hkdf.computeHkdf | lines=34 runkeys=34 | src={'Hkdf.java:70': 34} | apks=['org.css_apps_m3.password_manager_16.apk']
MacSpec | MAC-ORDER-00 | updateBytes | com.google.crypto.tink.subtle.Hkdf.computeHkdf | lines=68 runkeys=34 | src={'Hkdf.java:68': 34, 'Hkdf.java:69': 34} | apks=['org.css_apps_m3.password_manager_16.apk']
MacSpec | MAC-ORDER-00 | updateBytes | io.ktor.network.tls.HashesKt.P_hash | lines=684 runkeys=184 | src={'Hashes.kt:32': 219, 'Hashes.kt:33': 219, 'Hashes.kt:27': 219, 'Hashes.kt:30': 9, 'Hashes.kt:31': 9, 'Hashes.kt:25': 9} | apks=['com.mateusrodcosta.apps.vidyamusic_2200.apk', 'com.sapuseven.untis_29198884.apk', 'com.serwylo.beatgame_35.apk', 'com.serwylo.retrowars_70.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-00 | update | com.absinthe.rulesbundle.utils.HashUtils.digest | lines=162 runkeys=98 | src={'HashUtils.kt:18': 162} | apks=['com.absinthe.libchecker_2671.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-00 | update | com.andrognito.patternlockview.utils.PatternLockUtils.patternToSha1 | lines=5 runkeys=5 | src={'PatternLockUtils.java:91': 5} | apks=['org.fossify.notes_13.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-00 | update | com.crazylegend.crashyreporter.extensions.ExtensionFunctionsKt.getCurrentSignatures | lines=1 runkeys=1 | src={'ExtensionFunctions.kt:298': 1} | apks=['com.jerboa_87.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-00 | update | com.google.android.gms.ads.internal.util.client.zzf.zzG | lines=244 runkeys=99 | src={'com.google.android.gms:play-services-ads-api@@25.3.0:2': 244} | apks=['com.tananaev.passportreader_22.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-00 | update | com.google.android.gms.ads.internal.util.client.zzf.zzj | lines=490 runkeys=99 | src={'com.google.android.gms:play-services-ads-api@@25.3.0:6': 245, 'com.google.android.gms:play-services-ads-api@@25.3.0:7': 245} | apks=['com.tananaev.passportreader_22.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-00 | update | com.google.android.gms.internal.ads.zzazv.zze | lines=244 runkeys=99 | src={'com.google.android.gms:play-services-ads@@25.3.0:5': 244} | apks=['com.tananaev.passportreader_22.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-00 | update | com.google.firebase.crashlytics.internal.common.CommonUtils.hash | lines=702 runkeys=297 | src={'CommonUtils.java:169': 538, 'CommonUtils.java:164': 164} | apks=['com.ds.avare_404.apk', 'com.tananaev.passportreader_22.apk', 'org.glpi.inventory.agent_39469.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-00 | update | com.schwegelbin.openbible.logic.GettersKt.getChecksum | lines=156 runkeys=64 | src={'Getters.kt:135': 156} | apks=['com.schwegelbin.openbible_46.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-00 | update | com.vrem.wifianalyzer.wifi.accesspoint.AccessPointsAdapterData.calculateChildType | lines=180 runkeys=99 | src={'AccessPointsAdapterData.kt:68': 180} | apks=['com.vrem.wifianalyzer_71.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-00 | update | com.vrem.wifianalyzer.wifi.graphutils.GraphWrapper.calculateGraphType | lines=107 runkeys=54 | src={'GraphWrapper.kt:168': 107} | apks=['com.vrem.wifianalyzer_71.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-00 | update | de.stephanlindauer.criticalmaps.utils.AeSimpleSHA1.SHA1 | lines=172 runkeys=98 | src={'AeSimpleSHA1.java:16': 172} | apks=['de.stephanlindauer.criticalmaps_104.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-00 | update | io.ktor.util.DigestImpl.plusAssign-impl | lines=1 runkeys=1 | src={'CryptoJvm.kt:51': 1} | apks=['com.serwylo.retrowars_70.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-00 | update | net.gaast.giggity.Schedule$Item.hashCode | lines=117 runkeys=86 | src={'Schedule.java:1152': 117} | apks=['net.gaast.giggity_769.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-00 | update | okio.ByteString.digest$okio | lines=1504 runkeys=699 | src={'ByteString.kt:83': 1504} | apks=['app.pachli_50.apk', 'com.absinthe.libchecker_2671.apk', 'com.cointrend_10304.apk', 'com.flxrs.dankchat_40038.apk', 'com.nononsenseapps.feeder.play_4025.apk', 'com.starry.myne_500.apk', 'eu.darken.sdmse_10705000.apk', 'me.timschneeberger.rootlessjamesdsp_51.apk', 'net.phbwt.paperwork_1003007.apk', 'org.nqmgaming.aneko_34.apk', 'org.openhab.habdroid_589.apk', 'org.wikipedia_50595.apk', 'ua.com.radiokot.photoprism_67.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-00 | update | org.fossify.commons.views.PinTab.getHashedPin | lines=4 runkeys=4 | src={'PinTab.kt:135': 4} | apks=['org.fossify.notes_13.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-01 | d2 | com.apk.axml.APKParser.getCertificateFingerprint | lines=106 runkeys=73 | src={'APKParser.java:124': 106} | apks=['com.smartpack.packagemanager_79.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-01 | d2 | com.google.android.gms.common.util.AndroidUtilsLight.getPackageCertificateHashBytes | lines=257 runkeys=198 | src={'com.google.android.gms:play-services-basement@@18.9.0:4': 133, 'com.google.android.gms:play-services-basement@@18.3.0:4': 124} | apks=['com.tananaev.passportreader_22.apk', 'org.glpi.inventory.agent_39469.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-01 | d2 | com.google.android.gms.measurement.internal.zzgi.zzh | lines=551 runkeys=212 | src={'com.google.android.gms:play-services-measurement-impl@@23.2.0:29': 306, 'com.google.android.gms:play-services-measurement-impl@@23.0.0:29': 245} | apks=['com.craxiom.networksurvey_114.apk', 'com.ds.avare_404.apk', 'com.tananaev.passportreader_22.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-01 | d2 | com.google.android.gms.measurement.internal.zzop.zza | lines=164 runkeys=99 | src={'com.google.android.gms:play-services-measurement-impl@@22.1.0:176': 164} | apks=['org.glpi.inventory.agent_39469.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-01 | d2 | com.password.monitor.utils.HashUtils$Companion$getHashPrefixAndSuffix$2.invokeSuspend | lines=63 runkeys=48 | src={'HashUtils.kt:34': 63} | apks=['com.password.monitor_102.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-01 | d2 | com.sapuseven.untis.data.cache.DiskCache.getCacheFile | lines=56 runkeys=55 | src={'DiskCache.kt:63': 56} | apks=['com.sapuseven.untis_29198884.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-01 | d2 | eu.faircode.email.Helper.getFingerprint | lines=47 runkeys=43 | src={'Helper.java:3308': 47} | apks=['eu.faircode.email_2322.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-01 | d2 | github.paroj.dsub2000.util.Util.md5Hex | lines=282 runkeys=99 | src={'Util.java:1007': 282} | apks=['github.paroj.dsub2000_217.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-01 | d2 | io.sentry.util.StringUtils.calculateStringHash | lines=125 runkeys=101 | src={'StringUtils.java:132': 125} | apks=['com.sapuseven.untis_29198884.apk', 'rocks.poopjournal.metadataremover_20020.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-01 | d2 | me.timschneeberger.rootlessjamesdsp.utils.extensions.MiscUtilsKt.getMd5 | lines=1 runkeys=1 | src={'MiscUtils.kt:71': 1} | apks=['me.timschneeberger.rootlessjamesdsp_51.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-01 | d2 | okio.ByteString.digest$jvm | lines=3 runkeys=3 | src={'ByteString.kt:103': 3} | apks=['me.testcase.ognarviewer_25.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-01 | d2 | org.eclipse.jgit.storage.file.FileBasedConfig.hash | lines=5 runkeys=5 | src={'FileBasedConfig.java:208': 5} | apks=['com.ivanovsky.passnotes_11700.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-01 | d2 | org.quantumbadger.redreader.common.General.sha1 | lines=86 runkeys=69 | src={'General.kt:540': 86} | apks=['org.quantumbadger.redreader_117.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.absinthe.rulesbundle.utils.HashUtils.digest | lines=162 runkeys=98 | src={'HashUtils.kt:15': 162} | apks=['com.absinthe.libchecker_2671.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.andrognito.patternlockview.utils.PatternLockUtils.patternToSha1 | lines=5 runkeys=5 | src={'PatternLockUtils.java:90': 5} | apks=['org.fossify.notes_13.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.apk.axml.APKParser.getCertificateFingerprint | lines=106 runkeys=73 | src={'APKParser.java:122': 106} | apks=['com.smartpack.packagemanager_79.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.crazylegend.crashyreporter.extensions.ExtensionFunctionsKt.getCurrentSignatures | lines=1 runkeys=1 | src={'ExtensionFunctions.kt:297': 1} | apks=['com.jerboa_87.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.google.android.gms.ads.internal.util.client.zzf.zzG | lines=244 runkeys=99 | src={'com.google.android.gms:play-services-ads-api@@25.3.0:1': 244} | apks=['com.tananaev.passportreader_22.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.google.android.gms.ads.internal.util.client.zzf.zzj | lines=245 runkeys=99 | src={'com.google.android.gms:play-services-ads-api@@25.3.0:5': 245} | apks=['com.tananaev.passportreader_22.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.google.android.gms.common.util.AndroidUtilsLight.zza | lines=257 runkeys=198 | src={'com.google.android.gms:play-services-basement@@18.9.0:1': 133, 'com.google.android.gms:play-services-basement@@18.3.0:1': 124} | apks=['com.tananaev.passportreader_22.apk', 'org.glpi.inventory.agent_39469.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.google.android.gms.internal.ads.zzazu.run | lines=244 runkeys=99 | src={'com.google.android.gms:play-services-ads@@25.3.0:1': 244} | apks=['com.tananaev.passportreader_22.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.google.android.gms.measurement.internal.zzop.zzu | lines=164 runkeys=99 | src={'com.google.android.gms:play-services-measurement-impl@@22.1.0:492': 164} | apks=['org.glpi.inventory.agent_39469.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.google.android.gms.measurement.internal.zzpp.zzO | lines=245 runkeys=99 | src={'com.google.android.gms:play-services-measurement-impl@@23.0.0:1': 245} | apks=['com.tananaev.passportreader_22.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.google.android.gms.measurement.internal.zzpp.zzQ | lines=306 runkeys=113 | src={'com.google.android.gms:play-services-measurement-impl@@23.2.0:1': 306} | apks=['com.craxiom.networksurvey_114.apk', 'com.ds.avare_404.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.google.firebase.crashlytics.internal.common.CommonUtils.hash | lines=702 runkeys=297 | src={'CommonUtils.java:159': 538, 'CommonUtils.java:154': 164} | apks=['com.ds.avare_404.apk', 'com.tananaev.passportreader_22.apk', 'org.glpi.inventory.agent_39469.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.password.monitor.koin_di.AppModuleKt.appModule$lambda$0$3 | lines=63 runkeys=48 | src={'AppModule.kt:32': 63} | apks=['com.password.monitor_102.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.sapuseven.untis.data.cache.DiskCache.getCacheFile | lines=56 runkeys=55 | src={'DiskCache.kt:62': 56} | apks=['com.sapuseven.untis_29198884.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.schwegelbin.openbible.logic.GettersKt.getChecksum | lines=156 runkeys=64 | src={'Getters.kt:130': 156} | apks=['com.schwegelbin.openbible_46.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.vrem.wifianalyzer.wifi.accesspoint.AccessPointsAdapterData.calculateChildType | lines=180 runkeys=99 | src={'AccessPointsAdapterData.kt:67': 180} | apks=['com.vrem.wifianalyzer_71.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | com.vrem.wifianalyzer.wifi.graphutils.GraphWrapper.calculateGraphType | lines=106 runkeys=53 | src={'GraphWrapper.kt:167': 106} | apks=['com.vrem.wifianalyzer_71.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | de.stephanlindauer.criticalmaps.utils.AeSimpleSHA1.SHA1 | lines=172 runkeys=98 | src={'AeSimpleSHA1.java:14': 172} | apks=['de.stephanlindauer.criticalmaps_104.apk']
MessageDigestSpec | MESSAGEDIGEST-ALG-02 | g4 | eu.faircode.email.Helper.getFingerprint | lines=47 runkeys=43 | src={'Helper.java:3307': 47} | apks=['eu.faircode.email_2322.apk']
