spec,code,site,cls,method,category,sec,runkeys,lines,apks,src,conf,why
MessageDigestSpec,MESSAGEDIGEST-ALG-01,HashUtils$Companion$getHashPrefixAndSuffix$2.invokeSuspend,com.password.monitor.utils.HashUtils$Companion$getHashPrefixAndSuffix$2,invokeSuspend,GENUINE_PER_RULE,no,48,63,1,HashUtils.kt:34,high,HIBP Pwned Passwords range API is defined on SHA-1 (k-anonymity prefix)
MessageDigestSpec,MESSAGEDIGEST-ALG-01,DiskCache.getCacheFile,com.sapuseven.untis.data.cache.DiskCache,getCacheFile,GENUINE_PER_RULE,no,55,56,1,DiskCache.kt:63,high,MD5 of the cache key as a file name
MessageDigestSpec,MESSAGEDIGEST-ALG-01,Helper.getFingerprint,eu.faircode.email.Helper,getFingerprint,GENUINE_PER_RULE,no,43,47,1,Helper.java:3308,high,SHA-1 of the signing certificate for official-build detection and display
MessageDigestSpec,MESSAGEDIGEST-ALG-01,Util.md5Hex,github.paroj.dsub2000.util.Util,md5Hex,GENUINE_PER_RULE,debatable,99,282,1,Util.java:1007,high,Subsonic API token MD5(password+salt) is protocol-mandated; also album-art cache file names
MessageDigestSpec,MESSAGEDIGEST-ALG-01,StringUtils.calculateStringHash,io.sentry.util.StringUtils,calculateStringHash,GENUINE_PER_RULE,no,101,125,2,StringUtils.java:132,high,SHA-1 of the Sentry DSN used as a cache directory name
MessageDigestSpec,MESSAGEDIGEST-ALG-01,MiscUtilsKt.getMd5,me.timschneeberger.rootlessjamesdsp.utils.extensions.MiscUtilsKt,getMd5,GENUINE_PER_RULE,no,1,1,1,MiscUtils.kt:71,high,MD5 change detection of an EEL script
MessageDigestSpec,MESSAGEDIGEST-ALG-01,ByteString.digest$jvm,okio.ByteString,digest$jvm,GENUINE_PER_RULE,no,3,3,1,ByteString.kt:103,high,LeakCanary leak-trace signature SHA-1 (debug build)
MessageDigestSpec,MESSAGEDIGEST-ALG-01,FileBasedConfig.hash,org.eclipse.jgit.storage.file.FileBasedConfig,hash,GENUINE_PER_RULE,no,5,5,1,FileBasedConfig.java:208,high,SHA-1 content hash of a git config file for change detection
MessageDigestSpec,MESSAGEDIGEST-ALG-01,General.sha1,org.quantumbadger.redreader.common.General,sha1,GENUINE_PER_RULE,no,69,86,1,General.kt:540,high,SHA-1 of the username as a database file name
MessageDigestSpec,MESSAGEDIGEST-ALG-02,HashUtils.digest,com.absinthe.rulesbundle.utils.HashUtils,digest,GENUINE_PER_RULE,no,98,162,1,HashUtils.kt:15,high,MD5 equality check of the bundled rules DB against the asset copy
MessageDigestSpec,MESSAGEDIGEST-ALG-02,PatternLockUtils.patternToSha1,com.andrognito.patternlockview.utils.PatternLockUtils,patternToSha1,GENUINE_PER_RULE,yes,5,5,1,PatternLockUtils.java:90,high,unsalted SHA-1 of the unlock pattern is the stored/compared secret (Fossify Commons PatternTab)
MessageDigestSpec,MESSAGEDIGEST-ALG-02,APKParser.getCertificateFingerprint,com.apk.axml.APKParser,getCertificateFingerprint,GENUINE_PER_RULE,no,73,106,1,APKParser.java:122,high,certificate fingerprints displayed to the user
MessageDigestSpec,MESSAGEDIGEST-ALG-02,ExtensionFunctionsKt.getCurrentSignatures,com.crazylegend.crashyreporter.extensions.ExtensionFunctionsKt,getCurrentSignatures,GENUINE_PER_RULE,no,1,1,1,ExtensionFunctions.kt:297,high,SHA-1 of the signing certificate printed in a crash report
MessageDigestSpec,MESSAGEDIGEST-ALG-02,zzf.zzG,com.google.android.gms.ads.internal.util.client.zzf,zzG,GENUINE_PER_RULE,no,99,244,1,com.google.android.gms:play-services-ads-api@@25.3.0:1,high,MD5 of ANDROID_ID for the AdMob test-device id and of request bodies/cache keys
MessageDigestSpec,MESSAGEDIGEST-ALG-02,zzf.zzj,com.google.android.gms.ads.internal.util.client.zzf,zzj,GENUINE_PER_RULE,no,99,245,1,com.google.android.gms:play-services-ads-api@@25.3.0:5,high,MD5 of a random UUID for a per-process id
MessageDigestSpec,MESSAGEDIGEST-ALG-02,AndroidUtilsLight.zza,com.google.android.gms.common.util.AndroidUtilsLight,zza,GENUINE_PER_RULE,no,198,257,2,com.google.android.gms:play-services-basement@@18.9.0:1,high,SHA-1 fingerprint of the app signing certificate for the X-Android-Cert header
MessageDigestSpec,MESSAGEDIGEST-ALG-02,zzazu.run,com.google.android.gms.internal.ads.zzazu,run,GENUINE_PER_RULE,no,99,244,1,com.google.android.gms:play-services-ads@@25.3.0:1,high,MD5 integrity hash of SDK payloads/cache records
MessageDigestSpec,MESSAGEDIGEST-ALG-02,zzop.zzu,com.google.android.gms.measurement.internal.zzop,zzu,GENUINE_PER_RULE,no,99,164,1,com.google.android.gms:play-services-measurement-impl@@22.1.0:492,high,MD5 of the app signing certificate (Firebase Analytics)
MessageDigestSpec,MESSAGEDIGEST-ALG-02,zzpp.zzO,com.google.android.gms.measurement.internal.zzpp,zzO,GENUINE_PER_RULE,no,99,245,1,com.google.android.gms:play-services-measurement-impl@@23.0.0:1,high,MD5 of the app signing certificate (Firebase Analytics)
MessageDigestSpec,MESSAGEDIGEST-ALG-02,zzpp.zzQ,com.google.android.gms.measurement.internal.zzpp,zzQ,GENUINE_PER_RULE,no,113,306,2,com.google.android.gms:play-services-measurement-impl@@23.2.0:1,high,MD5 of the app signing certificate (Firebase Analytics)
MessageDigestSpec,MESSAGEDIGEST-ALG-02,CommonUtils.hash,com.google.firebase.crashlytics.internal.common.CommonUtils,hash,GENUINE_PER_RULE,no,297,702,3,CommonUtils.java:159,high,Crashlytics session/instance ids and report file names
MessageDigestSpec,MESSAGEDIGEST-ALG-02,AppModuleKt.appModule$lambda$0$3,com.password.monitor.koin_di.AppModuleKt,appModule$lambda$0$3,GENUINE_PER_RULE,no,48,63,1,AppModule.kt:32,high,HIBP Pwned Passwords range API is defined on SHA-1 (k-anonymity prefix)
MessageDigestSpec,MESSAGEDIGEST-ALG-02,DiskCache.getCacheFile,com.sapuseven.untis.data.cache.DiskCache,getCacheFile,GENUINE_PER_RULE,no,55,56,1,DiskCache.kt:62,high,MD5 of the cache key as a file name
MessageDigestSpec,MESSAGEDIGEST-ALG-02,GettersKt.getChecksum,com.schwegelbin.openbible.logic.GettersKt,getChecksum,GENUINE_PER_RULE,no,64,156,1,Getters.kt:130,high,SHA-1 of a downloaded translation file compared with the index to decide updates
MessageDigestSpec,MESSAGEDIGEST-ALG-02,AccessPointsAdapterData.calculateChildType,com.vrem.wifianalyzer.wifi.accesspoint.AccessPointsAdapterData,calculateChildType,GENUINE_PER_RULE,no,99,180,1,AccessPointsAdapterData.kt:67,high,MD5 of own package name compared with constants (anti-repackaging switch)
MessageDigestSpec,MESSAGEDIGEST-ALG-02,GraphWrapper.calculateGraphType,com.vrem.wifianalyzer.wifi.graphutils.GraphWrapper,calculateGraphType,GENUINE_PER_RULE,no,53,106,1,GraphWrapper.kt:167,high,MD5 of own package name compared with constants (anti-repackaging switch)
MessageDigestSpec,MESSAGEDIGEST-ALG-02,AeSimpleSHA1.SHA1,de.stephanlindauer.criticalmaps.utils.AeSimpleSHA1,SHA1,GENUINE_PER_RULE,no,98,172,1,AeSimpleSHA1.java:14,high,SHA-1(ANDROID_ID+date) as a daily pseudonymous device token; SHA-1(message+random) as a message id
MessageDigestSpec,MESSAGEDIGEST-ALG-02,Helper.getFingerprint,eu.faircode.email.Helper,getFingerprint,GENUINE_PER_RULE,no,43,47,1,Helper.java:3307,high,SHA-1 of the signing certificate for official-build detection and display
MessageDigestSpec,MESSAGEDIGEST-ALG-02,Util.md5Hex,github.paroj.dsub2000.util.Util,md5Hex,GENUINE_PER_RULE,debatable,99,282,1,Util.java:1006,high,Subsonic API token MD5(password+salt) is protocol-mandated; also album-art cache file names
MessageDigestSpec,MESSAGEDIGEST-ALG-02,CryptoKt__CryptoJvmKt.Digest,io.ktor.util.CryptoKt__CryptoJvmKt,Digest,GENUINE_PER_RULE,no,1,1,1,CryptoJvm.kt:47,high,SHA-1 of the WebSocket key (RFC 6455 Sec-WebSocket-Accept)
MessageDigestSpec,MESSAGEDIGEST-ALG-02,StringUtils.calculateStringHash,io.sentry.util.StringUtils,calculateStringHash,GENUINE_PER_RULE,no,101,125,2,StringUtils.java:127,high,SHA-1 of the Sentry DSN used as a cache directory name
MessageDigestSpec,MESSAGEDIGEST-ALG-02,MiscUtilsKt.getMd5,me.timschneeberger.rootlessjamesdsp.utils.extensions.MiscUtilsKt,getMd5,GENUINE_PER_RULE,no,1,1,1,MiscUtils.kt:71,high,MD5 change detection of an EEL script
MessageDigestSpec,MESSAGEDIGEST-ALG-02,Schedule$Item.hashCode,net.gaast.giggity.Schedule$Item,hashCode,GENUINE_PER_RULE,no,86,117,1,Schedule.java:1151,high,MD5 of the item URL as Object.hashCode / notification id
MessageDigestSpec,MESSAGEDIGEST-ALG-02,ByteString.digest$jvm,okio.ByteString,digest$jvm,GENUINE_PER_RULE,no,3,3,1,ByteString.kt:103,high,LeakCanary leak-trace signature SHA-1 (debug build)
MessageDigestSpec,MESSAGEDIGEST-ALG-02,ByteString.digest$okio,okio.ByteString,digest$okio,GENUINE_PER_RULE,no,698,1503,13,ByteString.kt:82,high,OkHttp disk-cache key MD5(url) / websocket accept SHA-1; libchecker and wikipedia call md5()/sha1() directly for fingerprints and cache names
MessageDigestSpec,MESSAGEDIGEST-ALG-02,Constants.newMessageDigest,org.eclipse.jgit.lib.Constants,newMessageDigest,GENUINE_PER_RULE,no,5,5,1,Constants.java:501,high,SHA-1 is the Git object hash; here used for config-file change detection
MessageDigestSpec,MESSAGEDIGEST-ALG-02,PinTab.getHashedPin,org.fossify.commons.views.PinTab,getHashedPin,GENUINE_PER_RULE,yes,4,4,1,PinTab.kt:134,high,unsalted SHA-1 of the PIN is the stored/compared secret
MessageDigestSpec,MESSAGEDIGEST-ALG-02,General.sha1,org.quantumbadger.redreader.common.General,sha1,GENUINE_PER_RULE,no,69,86,1,General.kt:536,high,SHA-1 of the username as a database file name
MessageDigestSpec,MESSAGEDIGEST-ALG-03,HashUtils.digest,com.absinthe.rulesbundle.utils.HashUtils,digest,GENUINE_PER_RULE,no,98,162,1,HashUtils.kt:19,high,MD5 equality check of the bundled rules DB against the asset copy
MessageDigestSpec,MESSAGEDIGEST-ALG-03,PatternLockUtils.patternToSha1,com.andrognito.patternlockview.utils.PatternLockUtils,patternToSha1,GENUINE_PER_RULE,yes,5,5,1,PatternLockUtils.java:93,high,unsalted SHA-1 of the unlock pattern is the stored/compared secret (Fossify Commons PatternTab)
MessageDigestSpec,MESSAGEDIGEST-ALG-03,ExtensionFunctionsKt.getCurrentSignatures,com.crazylegend.crashyreporter.extensions.ExtensionFunctionsKt,getCurrentSignatures,GENUINE_PER_RULE,no,1,1,1,ExtensionFunctions.kt:299,high,SHA-1 of the signing certificate printed in a crash report
MessageDigestSpec,MESSAGEDIGEST-ALG-03,zzf.zzG,com.google.android.gms.ads.internal.util.client.zzf,zzG,GENUINE_PER_RULE,no,99,244,1,com.google.android.gms:play-services-ads-api@@25.3.0:3,high,MD5 of ANDROID_ID for the AdMob test-device id and of request bodies/cache keys
MessageDigestSpec,MESSAGEDIGEST-ALG-03,zzf.zzj,com.google.android.gms.ads.internal.util.client.zzf,zzj,GENUINE_PER_RULE,no,99,245,1,com.google.android.gms:play-services-ads-api@@25.3.0:8,high,MD5 of a random UUID for a per-process id
MessageDigestSpec,MESSAGEDIGEST-ALG-03,zzazv.zze,com.google.android.gms.internal.ads.zzazv,zze,GENUINE_PER_RULE,no,99,244,1,com.google.android.gms:play-services-ads@@25.3.0:6,high,MD5 integrity hash of SDK payloads/cache records
MessageDigestSpec,MESSAGEDIGEST-ALG-03,CommonUtils.hash,com.google.firebase.crashlytics.internal.common.CommonUtils,hash,GENUINE_PER_RULE,no,297,702,3,CommonUtils.java:171,high,Crashlytics session/instance ids and report file names
MessageDigestSpec,MESSAGEDIGEST-ALG-03,GettersKt.getChecksum,com.schwegelbin.openbible.logic.GettersKt,getChecksum,GENUINE_PER_RULE,no,62,121,1,Getters.kt:138,high,SHA-1 of a downloaded translation file compared with the index to decide updates
MessageDigestSpec,MESSAGEDIGEST-ALG-03,AccessPointsAdapterData.calculateChildType,com.vrem.wifianalyzer.wifi.accesspoint.AccessPointsAdapterData,calculateChildType,GENUINE_PER_RULE,no,99,180,1,AccessPointsAdapterData.kt:72,high,MD5 of own package name compared with constants (anti-repackaging switch)
MessageDigestSpec,MESSAGEDIGEST-ALG-03,GraphWrapper.calculateGraphType,com.vrem.wifianalyzer.wifi.graphutils.GraphWrapper,calculateGraphType,GENUINE_PER_RULE,no,54,107,1,GraphWrapper.kt:172,high,MD5 of own package name compared with constants (anti-repackaging switch)
MessageDigestSpec,MESSAGEDIGEST-ALG-03,AeSimpleSHA1.SHA1,de.stephanlindauer.criticalmaps.utils.AeSimpleSHA1,SHA1,GENUINE_PER_RULE,no,98,172,1,AeSimpleSHA1.java:17,high,SHA-1(ANDROID_ID+date) as a daily pseudonymous device token; SHA-1(message+random) as a message id
MessageDigestSpec,MESSAGEDIGEST-ALG-03,DigestImpl.build-impl,io.ktor.util.DigestImpl,build-impl,GENUINE_PER_RULE,no,1,1,1,CryptoJvm.kt:58,high,SHA-1 of the WebSocket key (RFC 6455 Sec-WebSocket-Accept)
MessageDigestSpec,MESSAGEDIGEST-ALG-03,Schedule$Item.hashCode,net.gaast.giggity.Schedule$Item,hashCode,GENUINE_PER_RULE,no,86,117,1,Schedule.java:1153,high,MD5 of the item URL as Object.hashCode / notification id
MessageDigestSpec,MESSAGEDIGEST-ALG-03,ByteString.digest$okio,okio.ByteString,digest$okio,GENUINE_PER_RULE,no,699,1504,13,ByteString.kt:84,high,OkHttp disk-cache key MD5(url) / websocket accept SHA-1; libchecker and wikipedia call md5()/sha1() directly for fingerprints and cache names
MessageDigestSpec,MESSAGEDIGEST-ALG-03,PinTab.getHashedPin,org.fossify.commons.views.PinTab,getHashedPin,GENUINE_PER_RULE,yes,4,4,1,PinTab.kt:136,high,unsalted SHA-1 of the PIN is the stored/compared secret
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,HashUtils.digest,com.absinthe.rulesbundle.utils.HashUtils,digest,CASCADE_OF_VALUE_FAILURE,,98,324,1,HashUtils.kt:18,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,PatternLockUtils.patternToSha1,com.andrognito.patternlockview.utils.PatternLockUtils,patternToSha1,CASCADE_OF_VALUE_FAILURE,,5,10,1,PatternLockUtils.java:91,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,APKParser.getCertificateFingerprint,com.apk.axml.APKParser,getCertificateFingerprint,CASCADE_OF_VALUE_FAILURE,,73,106,1,APKParser.java:124,high,
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,ExtensionFunctionsKt.getCurrentSignatures,com.crazylegend.crashyreporter.extensions.ExtensionFunctionsKt,getCurrentSignatures,CASCADE_OF_VALUE_FAILURE,,1,2,1,ExtensionFunctions.kt:298,high,
