                           spec                               code        event                                                                                                    cls                          method  lines  runkeys  apks                                                                src                                  vals                                                                                         msg
12                   CipherSpec                    CIPHER-ORDER-00           f2                                                               com.google.crypto.tink.subtle.PrfAesCmac                         compute   1934      448     7                                                PrfAesCmac.java:103                                    []                                    the observed call sequence is not one CipherSpec accepts
26                   CipherSpec                    CIPHER-ORDER-00           i2                                                               com.google.crypto.tink.subtle.PrfAesCmac                         compute    967      448     7                                                 PrfAesCmac.java:69                                    []                                    the observed call sequence is not one CipherSpec accepts
16                   CipherSpec                    CIPHER-ORDER-00           f6                                            com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce                         encrypt    121      112     4                                    InsecureNonceAesGcmJce.java:101                                    []                                    the observed call sequence is not one CipherSpec accepts
21                   CipherSpec                    CIPHER-ORDER-00           i2                                            com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce                         encrypt    121      112     4                                     InsecureNonceAesGcmJce.java:93                                    []                                    the observed call sequence is not one CipherSpec accepts
11                   CipherSpec                    CIPHER-ORDER-00           f2                                                         com.google.crypto.tink.prf.internal.PrfAesCmac                 generateSubKeys    264       99     1                                                PrfAesCmac.java:157                                    []                                    the observed call sequence is not one CipherSpec accepts
15                   CipherSpec                    CIPHER-ORDER-00           f5                                                         com.google.crypto.tink.prf.internal.PrfAesCmac                         compute    528       99     1                                                PrfAesCmac.java:142                                    []                                    the observed call sequence is not one CipherSpec accepts
22                   CipherSpec                    CIPHER-ORDER-00           i2                                                         com.google.crypto.tink.prf.internal.PrfAesCmac                         compute    264       99     1                                                PrfAesCmac.java:106                                    []                                    the observed call sequence is not one CipherSpec accepts
23                   CipherSpec                    CIPHER-ORDER-00           i2                                                         com.google.crypto.tink.prf.internal.PrfAesCmac                 generateSubKeys    264       99     1                                                PrfAesCmac.java:155                                    []                                    the observed call sequence is not one CipherSpec accepts
9                    CipherSpec                    CIPHER-ORDER-00           f2                                                              com.google.android.gms.internal.ads.zzbbe                             zzb    243       98     1                com.google.android.gms:play-services-ads@@25.3.0:11                                    []                                    the observed call sequence is not one CipherSpec accepts
19                   CipherSpec                    CIPHER-ORDER-00           i2                                                              com.google.android.gms.internal.ads.zzbbe                             zzb    243       98     1                com.google.android.gms:play-services-ads@@25.3.0:10                                    []                                    the observed call sequence is not one CipherSpec accepts
10                   CipherSpec                    CIPHER-ORDER-00           f2                                            com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce                         decrypt    138       86     4                                    InsecureNonceAesGcmJce.java:142                                    []                                    the observed call sequence is not one CipherSpec accepts
20                   CipherSpec                    CIPHER-ORDER-00           i2                                            com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce                         decrypt    138       86     4                                    InsecureNonceAesGcmJce.java:136                                    []                                    the observed call sequence is not one CipherSpec accepts
14                   CipherSpec                    CIPHER-ORDER-00           f2                                                                         org.flyve.inventory.CryptoUtil                         encrypt     92       80     1                                                 CryptoUtil.java:84                                    []                                    the observed call sequence is not one CipherSpec accepts
28                   CipherSpec                    CIPHER-ORDER-00           i2                                                                         org.flyve.inventory.CryptoUtil                         encrypt     92       80     1                                                 CryptoUtil.java:83                                    []                                    the observed call sequence is not one CipherSpec accepts
18                   CipherSpec                    CIPHER-ORDER-00           f6                                                                   com.google.crypto.tink.subtle.AesSiv                 encryptInternal     62       57     1                                                    AesSiv.java:205                                    []                                    the observed call sequence is not one CipherSpec accepts
25                   CipherSpec                    CIPHER-ORDER-00           i2                                                                   com.google.crypto.tink.subtle.AesSiv                 encryptInternal     62       57     1                                                    AesSiv.java:191                                    []                                    the observed call sequence is not one CipherSpec accepts
8                    CipherSpec                    CIPHER-ORDER-00           f2                                                           com.beemdevelopment.aegis.crypto.CryptoUtils                         encrypt      6        6     1                                                CryptoUtils.java:78                                    []                                    the observed call sequence is not one CipherSpec accepts
17                   CipherSpec                    CIPHER-ORDER-00           f6                                                                com.google.crypto.tink.subtle.AesGcmJce                         encrypt      1        1     1                                                  AesGcmJce.java:78                                    []                                    the observed call sequence is not one CipherSpec accepts
24                   CipherSpec                    CIPHER-ORDER-00           i2                                                                com.google.crypto.tink.subtle.AesGcmJce                         encrypt      1        1     1                                                  AesGcmJce.java:73                                    []                                    the observed call sequence is not one CipherSpec accepts
29        KeyManagerFactorySpec         KEYMANAGERFACTORY-ORDER-00           g2                                                                           okhttp3.tls.internal.TlsUtil                   newKeyManager    633      198     2                                                      TlsUtil.kt:98                                    []                         the observed call sequence is not one KeyManagerFactorySpec accepts
31        KeyManagerFactorySpec         KEYMANAGERFACTORY-ORDER-00         gkm1                                                                           okhttp3.tls.internal.TlsUtil                   newKeyManager    633      198     2                                                     TlsUtil.kt:100                                    []                         the observed call sequence is not one KeyManagerFactorySpec accepts
33        KeyManagerFactorySpec         KEYMANAGERFACTORY-ORDER-00         init                                                                           okhttp3.tls.internal.TlsUtil                   newKeyManager    633      198     2                                                      TlsUtil.kt:99                                    []                         the observed call sequence is not one KeyManagerFactorySpec accepts
30        KeyManagerFactorySpec         KEYMANAGERFACTORY-ORDER-00           g2                                                                        org.conscrypt.SSLParametersImpl     createDefaultX509KeyManager    278      125     3                                         SSLParametersImpl.java:535                                    []                         the observed call sequence is not one KeyManagerFactorySpec accepts
32        KeyManagerFactorySpec         KEYMANAGERFACTORY-ORDER-00         gkm1                                                                        org.conscrypt.SSLParametersImpl     createDefaultX509KeyManager    279      125     3                                         SSLParametersImpl.java:537                                    []                         the observed call sequence is not one KeyManagerFactorySpec accepts
34        KeyManagerFactorySpec         KEYMANAGERFACTORY-ORDER-00         init                                                                        org.conscrypt.SSLParametersImpl     createDefaultX509KeyManager    278      125     3                                         SSLParametersImpl.java:536                                    []                         the observed call sequence is not one KeyManagerFactorySpec accepts
39                  KeyPairSpec                   KEYPAIR-ORDER-00          gpu                                                               io.ktor.network.tls.TLSClientHandshakeKt                  generateECKeys    457      185     4                                          TLSClientHandshake.kt:521                                    []                                   the observed call sequence is not one KeyPairSpec accepts
35                  KeyPairSpec                   KEYPAIR-ORDER-00          gpr                                                               io.ktor.network.tls.TLSClientHandshakeKt                  generateECKeys    228      184     4                                          TLSClientHandshake.kt:525                                    []                                   the observed call sequence is not one KeyPairSpec accepts
37                  KeyPairSpec                   KEYPAIR-ORDER-00          gpr                                                                         org.flyve.inventory.CryptoUtil                 generateKeyPair     92       80     1                                                 CryptoUtil.java:66                                    []                                   the observed call sequence is not one KeyPairSpec accepts
41                  KeyPairSpec                   KEYPAIR-ORDER-00          gpu                                                                         org.flyve.inventory.CryptoUtil                 generateKeyPair     92       80     1                                                 CryptoUtil.java:65                                    []                                   the observed call sequence is not one KeyPairSpec accepts
36                  KeyPairSpec                   KEYPAIR-ORDER-00          gpr                                                               io.treehouses.remote.bases.BaseSSHKeyGen                     generateKey      1        1     1                                               BaseSSHKeyGen.kt:115                                    []                                   the observed call sequence is not one KeyPairSpec accepts
38                  KeyPairSpec                   KEYPAIR-ORDER-00          gpr                                                                   systems.sieber.droid_scep.ScepClient                         CertReq      2        1     1                                                ScepClient.java:139                                    []                                   the observed call sequence is not one KeyPairSpec accepts
40                  KeyPairSpec                   KEYPAIR-ORDER-00          gpu                                                               io.treehouses.remote.bases.BaseSSHKeyGen                     generateKey      1        1     1                                               BaseSSHKeyGen.kt:115                                    []                                   the observed call sequence is not one KeyPairSpec accepts
42                  KeyPairSpec                   KEYPAIR-ORDER-00          gpu                                                                   systems.sieber.droid_scep.ScepClient                         CertReq      2        1     1                                                ScepClient.java:135                                    []                                   the observed call sequence is not one KeyPairSpec accepts
45                      MacSpec                         MAC-ALG-00           i1                                                                                       org.cry.otp.TOTP                        hmac_sha      3        3     1                                                       TOTP.java:46                            [HmacSHA1]  expecting one of HmacSHA256,HmacSHA384,HmacSHA512,HmacPBESHA1,PBEWithHmacSHA1,PBEWithHmacS
43                      MacSpec                         MAC-ALG-00           i1                                                              com.beemdevelopment.aegis.crypto.otp.HOTP                         getHash      2        2     1                                                       HOTP.java:41                            [HmacSHA1]  expecting one of HmacSHA256,HmacSHA384,HmacSHA512,HmacPBESHA1,PBEWithHmacSHA1,PBEWithHmacS
44                      MacSpec                         MAC-ALG-00           i1                                                                                       org.cry.otp.HOTP                       hmac_sha1      1        1     1                                                       HOTP.java:32                            [HmacSHA1]  expecting one of HmacSHA256,HmacSHA384,HmacSHA512,HmacPBESHA1,PBEWithHmacSHA1,PBEWithHmacS
47                      MacSpec                       MAC-ORDER-00           f1                                                                           io.ktor.network.tls.HashesKt                          P_hash    456      184     4                                                       Hashes.kt:35                                    []                                       the observed call sequence is not one MacSpec accepts
53                      MacSpec                       MAC-ORDER-00           i1                                                                           io.ktor.network.tls.HashesKt                          P_hash    456      184     4                                                       Hashes.kt:31                                    []                                       the observed call sequence is not one MacSpec accepts
58                      MacSpec                       MAC-ORDER-00  updateBytes                                                                           io.ktor.network.tls.HashesKt                          P_hash    684      184     4                                                       Hashes.kt:32                                    []                                       the observed call sequence is not one MacSpec accepts
46                      MacSpec                       MAC-ORDER-00           f1                                                                     com.google.crypto.tink.subtle.Hkdf                     computeHkdf     34       34     1                                                       Hkdf.java:71                                    []                                       the observed call sequence is not one MacSpec accepts
52                      MacSpec                       MAC-ORDER-00           i1                                                                     com.google.crypto.tink.subtle.Hkdf                     computeHkdf     34       34     1                                                       Hkdf.java:65                                    []                                       the observed call sequence is not one MacSpec accepts
56                      MacSpec                       MAC-ORDER-00       update                                                                     com.google.crypto.tink.subtle.Hkdf                     computeHkdf     34       34     1                                                       Hkdf.java:70                                    []                                       the observed call sequence is not one MacSpec accepts
57                      MacSpec                       MAC-ORDER-00  updateBytes                                                                     com.google.crypto.tink.subtle.Hkdf                     computeHkdf     68       34     1                                                       Hkdf.java:68                                    []                                       the observed call sequence is not one MacSpec accepts
50                      MacSpec                       MAC-ORDER-00      f1Input                                                                                       org.cry.otp.TOTP                        hmac_sha      3        3     1                                                       TOTP.java:48                                    []                                       the observed call sequence is not one MacSpec accepts
55                      MacSpec                       MAC-ORDER-00           i1                                                                                       org.cry.otp.TOTP                        hmac_sha      3        3     1                                                       TOTP.java:46                                    []                                       the observed call sequence is not one MacSpec accepts
48                      MacSpec                       MAC-ORDER-00      f1Input                                                              com.beemdevelopment.aegis.crypto.otp.HOTP                         getHash      2        2     1                                                       HOTP.java:43                                    []                                       the observed call sequence is not one MacSpec accepts
51                      MacSpec                       MAC-ORDER-00           i1                                                              com.beemdevelopment.aegis.crypto.otp.HOTP                         getHash      2        2     1                                                       HOTP.java:41                                    []                                       the observed call sequence is not one MacSpec accepts
49                      MacSpec                       MAC-ORDER-00      f1Input                                                                                       org.cry.otp.HOTP                       hmac_sha1      1        1     1                                                       HOTP.java:34                                    []                                       the observed call sequence is not one MacSpec accepts
54                      MacSpec                       MAC-ORDER-00           i1                                                                                       org.cry.otp.HOTP                       hmac_sha1      1        1     1                                                       HOTP.java:32                                    []                                       the observed call sequence is not one MacSpec accepts
72            MessageDigestSpec               MESSAGEDIGEST-ALG-00       update                                                                                        okio.ByteString                     digest$okio   1504      699    13                                                   ByteString.kt:83                          [MD5, SHA-1]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
65            MessageDigestSpec               MESSAGEDIGEST-ALG-00       update                                            com.google.firebase.crashlytics.internal.common.CommonUtils                            hash    702      297     3                                               CommonUtils.java:169                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
62            MessageDigestSpec               MESSAGEDIGEST-ALG-00       update                                                    com.google.android.gms.ads.internal.util.client.zzf                             zzG    244       99     1             com.google.android.gms:play-services-ads-api@@25.3.0:2                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
63            MessageDigestSpec               MESSAGEDIGEST-ALG-00       update                                                    com.google.android.gms.ads.internal.util.client.zzf                             zzj    490       99     1             com.google.android.gms:play-services-ads-api@@25.3.0:6                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
64            MessageDigestSpec               MESSAGEDIGEST-ALG-00       update                                                              com.google.android.gms.internal.ads.zzazv                             zze    244       99     1                 com.google.android.gms:play-services-ads@@25.3.0:5                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
67            MessageDigestSpec               MESSAGEDIGEST-ALG-00       update                                         com.vrem.wifianalyzer.wifi.accesspoint.AccessPointsAdapterData              calculateChildType    180       99     1                                      AccessPointsAdapterData.kt:68                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
59            MessageDigestSpec               MESSAGEDIGEST-ALG-00       update                                                               com.absinthe.rulesbundle.utils.HashUtils                          digest    162       98     1                                                    HashUtils.kt:18                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
69            MessageDigestSpec               MESSAGEDIGEST-ALG-00       update                                                     de.stephanlindauer.criticalmaps.utils.AeSimpleSHA1                            SHA1    172       98     1                                               AeSimpleSHA1.java:16                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
71            MessageDigestSpec               MESSAGEDIGEST-ALG-00       update                                                                        net.gaast.giggity.Schedule$Item                        hashCode    117       86     1                                                 Schedule.java:1152                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
66            MessageDigestSpec               MESSAGEDIGEST-ALG-00       update                                                              com.schwegelbin.openbible.logic.GettersKt                     getChecksum    156       64     1                                                     Getters.kt:135                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
68            MessageDigestSpec               MESSAGEDIGEST-ALG-00       update                                                     com.vrem.wifianalyzer.wifi.graphutils.GraphWrapper              calculateGraphType    107       54     1                                                GraphWrapper.kt:168                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
60            MessageDigestSpec               MESSAGEDIGEST-ALG-00       update                                                  com.andrognito.patternlockview.utils.PatternLockUtils                   patternToSha1      5        5     1                                           PatternLockUtils.java:91                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
73            MessageDigestSpec               MESSAGEDIGEST-ALG-00       update                                                                       org.fossify.commons.views.PinTab                    getHashedPin      4        4     1                                                      PinTab.kt:135                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
61            MessageDigestSpec               MESSAGEDIGEST-ALG-00       update                                         com.crazylegend.crashyreporter.extensions.ExtensionFunctionsKt            getCurrentSignatures      1        1     1                                          ExtensionFunctions.kt:298                                 [SHA]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA
70            MessageDigestSpec               MESSAGEDIGEST-ALG-00       update                                                                                io.ktor.util.DigestImpl                 plusAssign-impl      1        1     1                                                    CryptoJvm.kt:51                                [SHA1]                expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA1
76            MessageDigestSpec               MESSAGEDIGEST-ALG-01           d2                                                       com.google.android.gms.measurement.internal.zzgi                             zzh    551      212     3   com.google.android.gms:play-services-measurement-impl@@23.2.0:29                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
75            MessageDigestSpec               MESSAGEDIGEST-ALG-01           d2                                                   com.google.android.gms.common.util.AndroidUtilsLight  getPackageCertificateHashBytes    257      198     2            com.google.android.gms:play-services-basement@@18.9.0:4                         [SHA-1, SHA1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
82            MessageDigestSpec               MESSAGEDIGEST-ALG-01           d2                                                                             io.sentry.util.StringUtils             calculateStringHash    125      101     2                                               StringUtils.java:132                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
77            MessageDigestSpec               MESSAGEDIGEST-ALG-01           d2                                                       com.google.android.gms.measurement.internal.zzop                             zza    164       99     1  com.google.android.gms:play-services-measurement-impl@@22.1.0:176                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
81            MessageDigestSpec               MESSAGEDIGEST-ALG-01           d2                                                                        github.paroj.dsub2000.util.Util                          md5Hex    282       99     1                                                     Util.java:1007                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
74            MessageDigestSpec               MESSAGEDIGEST-ALG-01           d2                                                                                 com.apk.axml.APKParser       getCertificateFingerprint    106       73     1                                                 APKParser.java:124                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
86            MessageDigestSpec               MESSAGEDIGEST-ALG-01           d2                                                             org.quantumbadger.redreader.common.General                            sha1     86       69     1                                                     General.kt:540                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
79            MessageDigestSpec               MESSAGEDIGEST-ALG-01           d2                                                               com.sapuseven.untis.data.cache.DiskCache                    getCacheFile     56       55     1                                                    DiskCache.kt:63                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
78            MessageDigestSpec               MESSAGEDIGEST-ALG-01           d2                                com.password.monitor.utils.HashUtils$Companion$getHashPrefixAndSuffix$2                   invokeSuspend     63       48     1                                                    HashUtils.kt:34                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
80            MessageDigestSpec               MESSAGEDIGEST-ALG-01           d2                                                                               eu.faircode.email.Helper                  getFingerprint     47       43     1                                                   Helper.java:3308                                [SHA1]                expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA1
85            MessageDigestSpec               MESSAGEDIGEST-ALG-01           d2                                                          org.eclipse.jgit.storage.file.FileBasedConfig                            hash      5        5     1                                           FileBasedConfig.java:208                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
84            MessageDigestSpec               MESSAGEDIGEST-ALG-01           d2                                                                                        okio.ByteString                      digest$jvm      3        3     1                                                  ByteString.kt:103                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
83            MessageDigestSpec               MESSAGEDIGEST-ALG-01           d2                                       me.timschneeberger.rootlessjamesdsp.utils.extensions.MiscUtilsKt                          getMd5      1        1     1                                                    MiscUtils.kt:71                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
112           MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                                                        okio.ByteString                     digest$okio   1503      698    13                                                   ByteString.kt:82                          [MD5, SHA-1]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
98            MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                            com.google.firebase.crashlytics.internal.common.CommonUtils                            hash    702      297     3                                               CommonUtils.java:159                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
93            MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                   com.google.android.gms.common.util.AndroidUtilsLight                             zza    257      198     2            com.google.android.gms:play-services-basement@@18.9.0:1                                [SHA1]                expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA1
97            MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                       com.google.android.gms.measurement.internal.zzpp                             zzQ    306      113     2    com.google.android.gms:play-services-measurement-impl@@23.2.0:1                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
108           MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                                             io.sentry.util.StringUtils             calculateStringHash    125      101     2                                               StringUtils.java:127                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
91            MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                    com.google.android.gms.ads.internal.util.client.zzf                             zzG    244       99     1             com.google.android.gms:play-services-ads-api@@25.3.0:1                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
92            MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                    com.google.android.gms.ads.internal.util.client.zzf                             zzj    245       99     1             com.google.android.gms:play-services-ads-api@@25.3.0:5                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
94            MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                              com.google.android.gms.internal.ads.zzazu                             run    244       99     1                 com.google.android.gms:play-services-ads@@25.3.0:1                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
95            MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                       com.google.android.gms.measurement.internal.zzop                             zzu    164       99     1  com.google.android.gms:play-services-measurement-impl@@22.1.0:492                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
96            MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                       com.google.android.gms.measurement.internal.zzpp                             zzO    245       99     1    com.google.android.gms:play-services-measurement-impl@@23.0.0:1                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
102           MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                         com.vrem.wifianalyzer.wifi.accesspoint.AccessPointsAdapterData              calculateChildType    180       99     1                                      AccessPointsAdapterData.kt:67                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
106           MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                                        github.paroj.dsub2000.util.Util                          md5Hex    282       99     1                                                     Util.java:1006                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
87            MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                               com.absinthe.rulesbundle.utils.HashUtils                          digest    162       98     1                                                    HashUtils.kt:15                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
104           MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                     de.stephanlindauer.criticalmaps.utils.AeSimpleSHA1                            SHA1    172       98     1                                               AeSimpleSHA1.java:14                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
110           MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                                        net.gaast.giggity.Schedule$Item                        hashCode    117       86     1                                                 Schedule.java:1151                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
89            MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                                                 com.apk.axml.APKParser       getCertificateFingerprint    106       73     1                                                 APKParser.java:122                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
115           MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                             org.quantumbadger.redreader.common.General                            sha1     86       69     1                                                     General.kt:536                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
101           MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                              com.schwegelbin.openbible.logic.GettersKt                     getChecksum    156       64     1                                                     Getters.kt:130                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
100           MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                               com.sapuseven.untis.data.cache.DiskCache                    getCacheFile     56       55     1                                                    DiskCache.kt:62                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
103           MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                     com.vrem.wifianalyzer.wifi.graphutils.GraphWrapper              calculateGraphType    106       53     1                                                GraphWrapper.kt:167                                 [MD5]                 expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found MD5
99            MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                               com.password.monitor.koin_di.AppModuleKt            appModule$lambda$0$3     63       48     1                                                    AppModule.kt:32                               [SHA-1]               expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA-1
105           MessageDigestSpec               MESSAGEDIGEST-ALG-02           g4                                                                               eu.faircode.email.Helper                  getFingerprint     47       43     1                                                   Helper.java:3307                                [SHA1]                expecting one of SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512 but found SHA1
