file,line,spec,event,class,lost_accusation,reason
TrustManagerFactorySpec.mop,88,TrustManagerFactorySpec,@fail,remove,,"deprecated one-argument remove(Property) of GENERATED_TRUST_MANAGERS; no NEGATES clause asks for it. Retires the deprecated one-argument API from this set."
CipherSpec.mop,217,CipherSpec,@match1,accepting-state,,"setObjectAsInAcceptingState(cipher): predicate-machinery bookkeeping with no reader left once the propagators are gone."
DHGenParameterSpecSpec.mop,37,DHGenParameterSpecSpec,@match,accepting-state,,"setObjectAsInAcceptingState(spec): predicate-machinery bookkeeping with no reader left once the propagators are gone."
GCMParameterSpecSpec.mop,57,GCMParameterSpecSpec,@match,accepting-state,,"setObjectAsInAcceptingState(spec): predicate-machinery bookkeeping with no reader left once the propagators are gone."
HMACParameterSpecSpec.mop,34,HMACParameterSpecSpec,@match,accepting-state,,"setObjectAsInAcceptingState(spec): predicate-machinery bookkeeping with no reader left once the propagators are gone."
IvParameterSpec.mop,67,IvParameterSpecSpec,@match,accepting-state,,"setObjectAsInAcceptingState(spec): predicate-machinery bookkeeping with no reader left once the propagators are gone."
KeyGeneratorSpec.mop,74,KeyGeneratorSpec,@fail,accepting-state,,"unsetObjectAsInAcceptingState(keyGenerator): predicate-machinery bookkeeping with no reader left once the propagators are gone."
KeyGeneratorSpec.mop,81,KeyGeneratorSpec,@match,accepting-state,,"setObjectAsInAcceptingState(keyGenerator): predicate-machinery bookkeeping with no reader left once the propagators are gone."
KeyManagerFactorySpec.mop,90,KeyManagerFactorySpec,@fail,accepting-state,,"unsetObjectAsInAcceptingState(keyManagerFactory): predicate-machinery bookkeeping with no reader left once the propagators are gone."
KeyManagerFactorySpec.mop,97,KeyManagerFactorySpec,@match1,accepting-state,,"setObjectAsInAcceptingState(keyManagerFactory): predicate-machinery bookkeeping with no reader left once the propagators are gone."
KeyPairGeneratorSpec.mop,116,KeyPairGeneratorSpec,@match,accepting-state,,"setObjectAsInAcceptingState(kpg): predicate-machinery bookkeeping with no reader left once the propagators are gone."
KeyPairSpec.mop,49,KeyPairSpec,@match,accepting-state,,"setObjectAsInAcceptingState(keyPair): predicate-machinery bookkeeping with no reader left once the propagators are gone."
KeyStoreSpec.mop,78,KeyStoreSpec,@fail,accepting-state,,"unsetObjectAsInAcceptingState(keyStore): predicate-machinery bookkeeping with no reader left once the propagators are gone."
KeyStoreSpec.mop,86,KeyStoreSpec,@match,accepting-state,,"setObjectAsInAcceptingState(keyStore): predicate-machinery bookkeeping with no reader left once the propagators are gone."
MacSpec.mop,92,MacSpec,@match,accepting-state,,"setObjectAsInAcceptingState(mac): predicate-machinery bookkeeping with no reader left once the propagators are gone."
MessageDigestSpec.mop,112,MessageDigestSpec,@fail,accepting-state,,"unsetObjectAsInAcceptingState(md): predicate-machinery bookkeeping with no reader left once the propagators are gone."
MessageDigestSpec.mop,117,MessageDigestSpec,@match,accepting-state,,"setObjectAsInAcceptingState(md): predicate-machinery bookkeeping with no reader left once the propagators are gone."
PBEKeySpecSpec.mop,84,PBEKeySpecSpec,@match,accepting-state,,"setObjectAsInAcceptingState(spec): predicate-machinery bookkeeping with no reader left once the propagators are gone."
PBEParameterSpecSpec.mop,62,PBEParameterSpecSpec,@match,accepting-state,,"setObjectAsInAcceptingState(spec): predicate-machinery bookkeeping with no reader left once the propagators are gone."
SSLContextSpec.mop,85,SSLContextSpec,@fail,accepting-state,,"unsetObjectAsInAcceptingState(context): predicate-machinery bookkeeping with no reader left once the propagators are gone."
SSLContextSpec.mop,90,SSLContextSpec,@match1,accepting-state,,"setObjectAsInAcceptingState(context): predicate-machinery bookkeeping with no reader left once the propagators are gone."
SecretKeySpecSpec.mop,67,SecretKeySpecSpec,@match,accepting-state,,"setObjectAsInAcceptingState(spec): predicate-machinery bookkeeping with no reader left once the propagators are gone."
SecureRandomSpec.mop,172,SecureRandomSpec,@match1,accepting-state,,"setObjectAsInAcceptingState(sr): predicate-machinery bookkeeping with no reader left once the propagators are gone."
SignatureSpec.mop,135,SignatureSpec,@match,accepting-state,,"setObjectAsInAcceptingState(signature): predicate-machinery bookkeeping with no reader left once the propagators are gone."
TrustManagerFactorySpec.mop,86,TrustManagerFactorySpec,@fail,accepting-state,,"unsetObjectAsInAcceptingState(trustManagerFactory): predicate-machinery bookkeeping with no reader left once the propagators are gone."
TrustManagerFactorySpec.mop,94,TrustManagerFactorySpec,@match1,accepting-state,,"setObjectAsInAcceptingState(trustManagerFactory): predicate-machinery bookkeeping with no reader left once the propagators are gone."
