n,section,rule,predicate,arity,negated,guarded,bindable,counterparts,counterparts_with_mop,disposition,reason,rule_line,clause
14,REQUIRES,Cipher,preparedOAEP,1,no,yes,yes,OAEPParameterSpec,OAEPParameterSpec,wireable,consumer and producer both specified (OAEPParameterSpec),Cipher.crysl:140,"mode(transformation) in {""OAEPWithMD5AndMGF1Padding"", ""OAEPWithSHA-224AndMGF1Padding"", ""OAEPWithSHA-256AndMGF1Padding"", ""OAEPWithSHA-384AndMGF1Padding"", ""OAEPWithSHA-512AndMGF1Padding""} => preparedOAEP[paramSpec]"
15,REQUIRES,CipherInputStream,generatedCipher,1,no,no,yes,Cipher,Cipher,wireable,consumer and producer both specified (Cipher),CipherInputStream.crysl:31,generatedCipher[cipher]
16,REQUIRES,CipherOutputStream,generatedCipher,1,no,no,yes,Cipher,Cipher,wireable,consumer and producer both specified (Cipher),CipherOutputStream.crysl:32,generatedCipher[cipher]
17,REQUIRES,DigestInputStream,generatedMessageDigest,1,no,no,yes,MessageDigest,MessageDigest,wireable,consumer and producer both specified (MessageDigest),DigestInputStream.crysl:33,generatedMessageDigest[digest]
18,REQUIRES,DigestOutputStream,generatedMessageDigest,1,no,no,yes,MessageDigest,MessageDigest,wireable,consumer and producer both specified (MessageDigest),DigestOutputStream.crysl:34,generatedMessageDigest[digest]
19,REQUIRES,GCMParameterSpec,randomized,1,no,no,yes,SecureRandom,SecureRandom,wireable,consumer and producer both specified (SecureRandom),GCMParameterSpec.crysl:24,randomized[src]
20,REQUIRES,IvParameterSpec,randomized,1,no,no,yes,SecureRandom,SecureRandom,wireable,consumer and producer both specified (SecureRandom),IvParameterSpec.crysl:22,randomized[iv]
21,REQUIRES,KeyAgreement,randomized,1,no,no,yes,SecureRandom,SecureRandom,wireable,consumer and producer both specified (SecureRandom),KeyAgreement.crysl:44,randomized[random]
22,REQUIRES,KeyAgreement,generatedPrivkey,1,no,no,yes,KeyFactory|KeyPair|KeyStore,KeyFactory|KeyPair|KeyStore,wireable,"consumer and producer both specified (KeyFactory, KeyPair, KeyStore)",KeyAgreement.crysl:45,generatedPrivkey[privKey]
23,REQUIRES,KeyAgreement,generatedPubkey,1,no,no,yes,KeyFactory|KeyPair|KeyStore,KeyFactory|KeyPair|KeyStore,wireable,"consumer and producer both specified (KeyFactory, KeyPair, KeyStore)",KeyAgreement.crysl:46,generatedPubkey[pubKey]
24,REQUIRES,KeyAgreement,preparedDH,1,no,yes,yes,DHGenParameterSpec|DHParameterSpec,DHGenParameterSpec|DHParameterSpec,wireable,"consumer and producer both specified (DHGenParameterSpec, DHParameterSpec)",KeyAgreement.crysl:47,"algorithm in {""DiffieHellman"", ""DH""} => preparedDH[params]"
25,REQUIRES,KeyAgreement,preparedEC,1,no,yes,yes,ECGenParameterSpec|ECParameterSpec,ECGenParameterSpec|ECParameterSpec,wireable,"consumer and producer both specified (ECGenParameterSpec, ECParameterSpec)",KeyAgreement.crysl:48,"algorithm in {""ECDH""} => preparedEC[params]"
26,REQUIRES,KeyFactory,speccedKey,2,no,no,yes,PBEKeySpec|SecretKeySpec|X509EncodedKeySpec,PBEKeySpec|SecretKeySpec|X509EncodedKeySpec,wireable,"consumer and producer both specified (PBEKeySpec, SecretKeySpec, X509EncodedKeySpec)",KeyFactory.crysl:27,"speccedKey[keySpec, _]"
27,REQUIRES,KeyGenerator,randomized,1,no,no,yes,SecureRandom,SecureRandom,wireable,consumer and producer both specified (SecureRandom),KeyGenerator.crysl:33,randomized[random]
28,REQUIRES,KeyManagerFactory,generatedKeyStore,1,no,no,yes,KeyStore,KeyStore,wireable,consumer and producer both specified (KeyStore),KeyManagerFactory.crysl:31,generatedKeyStore[keyStore]
29,REQUIRES,KeyManagerFactory,generatedManagerFactoryParameters,1,no,no,yes,CertPathTrustManagerParameters|KeyStoreBuilderParameters,CertPathTrustManagerParameters|KeyStoreBuilderParameters,wireable,"consumer and producer both specified (CertPathTrustManagerParameters, KeyStoreBuilderParameters)",KeyManagerFactory.crysl:32,generatedManagerFactoryParameters[params]
30,REQUIRES,KeyPair,generatedPrivkey,1,no,no,yes,KeyFactory|KeyPair|KeyStore,KeyFactory|KeyPair|KeyStore,wireable,"consumer and producer both specified (KeyFactory, KeyPair, KeyStore)",KeyPair.crysl:23,generatedPrivkey[privateKey]
31,REQUIRES,KeyPair,generatedPubkey,1,no,no,yes,KeyFactory|KeyPair|KeyStore,KeyFactory|KeyPair|KeyStore,wireable,"consumer and producer both specified (KeyFactory, KeyPair, KeyStore)",KeyPair.crysl:24,generatedPubkey[publicKey]
32,REQUIRES,KeyPairGenerator,preparedRSA,1,no,yes,yes,RSAKeyGenParameterSpec,RSAKeyGenParameterSpec,wireable,consumer and producer both specified (RSAKeyGenParameterSpec),KeyPairGenerator.crysl:35,"algorithm in {""RSA""} => preparedRSA[params]"
33,REQUIRES,KeyPairGenerator,preparedDSA,1,no,yes,yes,DSAGenParameterSpec|DSAParameterSpec,DSAParameterSpec,wireable,consumer and producer both specified (DSAParameterSpec),KeyPairGenerator.crysl:36,"algorithm in {""DSA""} => preparedDSA[params]"
34,REQUIRES,KeyPairGenerator,preparedDH,1,no,yes,yes,DHGenParameterSpec|DHParameterSpec,DHGenParameterSpec|DHParameterSpec,wireable,"consumer and producer both specified (DHGenParameterSpec, DHParameterSpec)",KeyPairGenerator.crysl:37,"algorithm in {""DiffieHellman"", ""DH""} => preparedDH[params]"
35,REQUIRES,KeyPairGenerator,preparedEC,1,no,yes,yes,ECGenParameterSpec|ECParameterSpec,ECGenParameterSpec|ECParameterSpec,wireable,"consumer and producer both specified (ECGenParameterSpec, ECParameterSpec)",KeyPairGenerator.crysl:38,"algorithm in {""EC""} => preparedEC[params]"
36,REQUIRES,Mac,encrypted,2,yes,no,yes,Cipher,Cipher,wireable,consumer and producer both specified (Cipher),Mac.crysl:51,"!encrypted[output1, _]"
37,REQUIRES,Mac,encrypted,2,yes,no,yes,Cipher,Cipher,vacuous,"the negated clause over `output2`, which `f2: output2 = doFinal(input)` binds only as a returned array; the JCA allocates it fresh on every call, so no `encrypted` can be standing on it; measured, ledger clause #23 of the api30 derivation. The sibling clause over `output1` is wired and is not this row. [runtime measurement, D-16 carry-over]",Mac.crysl:52,"!encrypted[output2,_]"
38,REQUIRES,Mac,preparedHMAC,1,no,no,yes,HMACParameterSpec,HMACParameterSpec,unreachable-composition,"the producer is javax.xml.crypto.dsig.spec.HMACParameterSpec (HMACParameterSpec.crysl:14), of the java.xml.crypto module, and the android-30 android.jar carries no entry whatever under javax/xml/crypto, so the producing class cannot be loaded on the platform this set targets -- a fact about the platform and not about a catalogue. On a JVM, where it loads, no Mac the rule admits accepts it: measured on Temurin 21 over the nine algorithms of Mac.crysl:44, HmacSHA256/384/512 answer ""HMAC does not use parameters"" and HmacPBESHA1 with the five PBEWithHmac* answer ""PBEParameterSpec type required"" [platform measurement re-derived at task 11.9; disposition unchanged]",Mac.crysl:53,preparedHMAC[params]
39,REQUIRES,Mac,generatedKey,2,no,no,yes,KeyGenerator|KeyStore|SecretKeyFactory|SecretKeySpec,KeyGenerator|KeyStore|SecretKeyFactory|SecretKeySpec,wireable,"consumer and producer both specified (KeyGenerator, KeyStore, SecretKeyFactory, SecretKeySpec)",Mac.crysl:54,"generatedKey[key,_]"
40,REQUIRES,OAEPParameterSpec,preparedMGF1,2,no,no,yes,MGF1ParameterSpec,MGF1ParameterSpec,wireable,consumer and producer both specified (MGF1ParameterSpec),OAEPParameterSpec.crysl:22,"preparedMGF1[mgfSpec, mdName]"
41,REQUIRES,PBEKeySpec,randomized,1,no,no,yes,SecureRandom,SecureRandom,wireable,consumer and producer both specified (SecureRandom),PBEKeySpec.crysl:29,randomized[salt]
42,REQUIRES,PBEParameterSpec,randomized,1,no,no,yes,SecureRandom,SecureRandom,wireable,consumer and producer both specified (SecureRandom),PBEParameterSpec.crysl:20,randomized[salt]
43,REQUIRES,PKIXBuilderParameters,generatedKeyStore,1,no,no,yes,KeyStore,KeyStore,wireable,consumer and producer both specified (KeyStore),PKIXBuilderParameters.crysl:17,generatedKeyStore[keystore]
44,REQUIRES,PKIXParameters,generatedKeyStore,1,no,no,yes,KeyStore,KeyStore,wireable,consumer and producer both specified (KeyStore),PKIXParameters.crysl:15,generatedKeyStore[keyStore]
45,REQUIRES,SSLContext,generatedKeyManagers,1,no,no,yes,KeyManagerFactory,KeyManagerFactory,wireable,consumer and producer both specified (KeyManagerFactory),SSLContext.crysl:32,generatedKeyManagers[km]
46,REQUIRES,SSLContext,generatedTrustManagers,1,no,no,yes,TrustManagerFactory,TrustManagerFactory,wireable,consumer and producer both specified (TrustManagerFactory),SSLContext.crysl:33,generatedTrustManagers[tm]
47,REQUIRES,SSLContext,randomized,1,no,no,yes,SecureRandom,SecureRandom,wireable,consumer and producer both specified (SecureRandom),SSLContext.crysl:34,randomized[random]
48,REQUIRES,SecretKeyFactory,speccedKey,2,no,no,yes,PBEKeySpec|SecretKeySpec|X509EncodedKeySpec,PBEKeySpec|SecretKeySpec|X509EncodedKeySpec,wireable,"consumer and producer both specified (PBEKeySpec, SecretKeySpec, X509EncodedKeySpec)",SecretKeyFactory.crysl:28,"speccedKey[keySpec, _]"
49,REQUIRES,SecretKeySpec,preparedKeyMaterial,1,no,no,yes,Key|KeyAgreement|SecretKey,Key|KeyAgreement,wireable,"consumer and producer both specified (Key, KeyAgreement)",SecretKeySpec.crysl:23,preparedKeyMaterial[keyMaterial]
50,REQUIRES,SecureRandom,randomized,1,no,no,yes,SecureRandom,SecureRandom,wireable,consumer and producer both specified (SecureRandom),SecureRandom.crysl:45,randomized[seed]
51,REQUIRES,SecureRandom,randomized,1,no,no,yes,SecureRandom,SecureRandom,vacuous,"the clause over `lSeed`, the `long` seed of `s2: setSeed(lSeed)` (SecureRandom.crysl:26,46). Two independent grounds, either of which empties it. By type: swept over the 49 rules, `randomized` is ENSURED five times and never on a `long` -- SecureRandom carries it on `this`, on the `byte[]` of generateSeed and of nextBytes, and on the `int` of nextInt and nextInt(range) -- so no producer of the catalogue could mark one. By substrate: PredicateStore keys the bound object by identity, and a `long` reaches an advice boxed. Measured on Temurin 21, the Long cache spans -128..127 exactly as Integer's does, so the boxing is wrong in both directions -- outside the range every call boxes a fresh object no write can have named, and inside it two unrelated setSeed(5L) calls share one object, so a mark made for either would answer for the other. A read placed here could therefore answer NOT_OBSERVED and nothing else, which is the shape of the orphan accusers group 3 removed. Recorded, not wired. [type and substrate measurement, derived at task 11.5(d)]",SecureRandom.crysl:46,randomized[lSeed]
52,REQUIRES,Signature,generatedPrivkey,1,no,no,yes,KeyFactory|KeyPair|KeyStore,KeyFactory|KeyPair|KeyStore,wireable,"consumer and producer both specified (KeyFactory, KeyPair, KeyStore)",Signature.crysl:54,generatedPrivkey[privateKey]
53,REQUIRES,Signature,generatedPubkey,1,no,no,yes,KeyFactory|KeyPair|KeyStore,KeyFactory|KeyPair|KeyStore,wireable,"consumer and producer both specified (KeyFactory, KeyPair, KeyStore)",Signature.crysl:55,generatedPubkey[publicKey]
54,REQUIRES,TrustAnchor,generatedPubkey,1,no,no,yes,KeyFactory|KeyPair|KeyStore,KeyFactory|KeyPair|KeyStore,wireable,"consumer and producer both specified (KeyFactory, KeyPair, KeyStore)",TrustAnchor.crysl:18,generatedPubkey[publicKey]
55,REQUIRES,TrustManagerFactory,generatedKeyStore,1,no,no,yes,KeyStore,KeyStore,wireable,consumer and producer both specified (KeyStore),TrustManagerFactory.crysl:28,generatedKeyStore[keyStore]
56,REQUIRES,TrustManagerFactory,generatedManagerFactoryParameters,1,no,no,yes,CertPathTrustManagerParameters|KeyStoreBuilderParameters,CertPathTrustManagerParameters|KeyStoreBuilderParameters,wireable,"consumer and producer both specified (CertPathTrustManagerParameters, KeyStoreBuilderParameters)",TrustManagerFactory.crysl:29,generatedManagerFactoryParameters[params]
57,REQUIRES,X509EncodedKeySpec,preparedKeyMaterial,1,no,no,yes,Key|KeyAgreement|SecretKey,Key|KeyAgreement,wireable,"consumer and producer both specified (Key, KeyAgreement)",X509EncodedKeySpec.crysl:14,preparedKeyMaterial[encodedKey]
58,ENSURES,AlgorithmParameterGenerator,preparedAlg,2,no,no,yes,AlgorithmParameters|Cipher,AlgorithmParameters|Cipher,producible,"read by AlgorithmParameters, Cipher",AlgorithmParameterGenerator.crysl:35,"preparedAlg[algParams, algorithm] after GenParam"
59,ENSURES,AlgorithmParameters,preparedAlg,2,no,no,yes,AlgorithmParameters|Cipher,AlgorithmParameters|Cipher,producible,"read by AlgorithmParameters, Cipher",AlgorithmParameters.crysl:43,"preparedAlg[this, algorithm] after Init"
60,ENSURES,AlgorithmParameters,preparedAlg,2,no,no,yes,AlgorithmParameters|Cipher,AlgorithmParameters|Cipher,producible,"read by AlgorithmParameters, Cipher",AlgorithmParameters.crysl:44,"preparedAlg[encParams, algorithm] after GetEncoded"
61,ENSURES,CertPathTrustManagerParameters,generatedManagerFactoryParameters,1,no,no,yes,KeyManagerFactory|TrustManagerFactory,KeyManagerFactory|TrustManagerFactory,producible,"read by KeyManagerFactory, TrustManagerFactory",CertPathTrustManagerParameters.crysl:17,generatedManagerFactoryParameters[this]
62,ENSURES,CertificateFactory,generatedCert,1,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES generatedCert,CertificateFactory.crysl:31,generatedCert[type]
63,ENSURES,Cipher,generatedCipher,1,no,no,yes,CipherInputStream|CipherOutputStream,CipherInputStream|CipherOutputStream,producible,"read by CipherInputStream, CipherOutputStream",Cipher.crysl:144,generatedCipher[this] after Init
64,ENSURES,Cipher,encrypted,2,no,no,yes,Mac,Mac,producible,read by Mac,Cipher.crysl:145,"encrypted[preCipherText, prePlainText] after Update"
65,ENSURES,Cipher,encrypted,2,no,no,yes,Mac,Mac,producible,read by Mac,Cipher.crysl:146,"encrypted[cipherText, plainText]"
66,ENSURES,Cipher,encrypted,2,no,no,yes,Mac,Mac,producible,read by Mac,Cipher.crysl:147,"encrypted[cipherTextByteBuffer, plainTextByteBuffer]"
67,ENSURES,Cipher,wrappedKey,2,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES wrappedKey,Cipher.crysl:148,"wrappedKey[wrappedKeyBytes, wrappedKey]"
68,ENSURES,CipherInputStream,cipheredInputStream,2,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES cipheredInputStream,CipherInputStream.crysl:34,"cipheredInputStream[inputStream, cipher]"
69,ENSURES,CipherOutputStream,cipheredOutputStream,2,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES cipheredOutputStream,CipherOutputStream.crysl:35,"cipheredOutputStream[outputStream, cipher]"
70,ENSURES,Cookie,generatedCookie,1,no,no,yes,-,-,unmonitored-producer-side,no .mop specifies the producing rule,Cookie.crysl:22,generatedCookie[this]
71,ENSURES,DHGenParameterSpec,preparedDH,1,no,no,yes,AlgorithmParameters|KeyAgreement|KeyPairGenerator,AlgorithmParameters|KeyAgreement|KeyPairGenerator,producible,"read by AlgorithmParameters, KeyAgreement, KeyPairGenerator",DHGenParameterSpec.crysl:18,preparedDH[this]
72,ENSURES,DHParameterSpec,preparedDH,1,no,no,yes,AlgorithmParameters|KeyAgreement|KeyPairGenerator,AlgorithmParameters|KeyAgreement|KeyPairGenerator,producible,"read by AlgorithmParameters, KeyAgreement, KeyPairGenerator",DHParameterSpec.crysl:21,preparedDH[this]
73,ENSURES,DSAGenParameterSpec,preparedDSA,1,no,no,yes,KeyPairGenerator,KeyPairGenerator,unmonitored-producer-side,no .mop specifies the producing rule,DSAGenParameterSpec.crysl:25,preparedDSA[this]
74,ENSURES,DSAParameterSpec,preparedDSA,1,no,no,yes,KeyPairGenerator,KeyPairGenerator,producible,read by KeyPairGenerator,DSAParameterSpec.crysl:20,preparedDSA[this]
75,ENSURES,DigestInputStream,digestedInputStream,2,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES digestedInputStream,DigestInputStream.crysl:36,"digestedInputStream[stream, digest]"
76,ENSURES,DigestOutputStream,digestedOutputStream,2,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES digestedOutputStream,DigestOutputStream.crysl:37,"digestedOutputStream[stream, digest]"
77,ENSURES,ECGenParameterSpec,preparedEC,1,no,no,yes,KeyAgreement|KeyPairGenerator,KeyAgreement|KeyPairGenerator,producible,"read by KeyAgreement, KeyPairGenerator",ECGenParameterSpec.crysl:25,preparedEC[this]
78,ENSURES,ECParameterSpec,preparedEC,1,no,no,yes,KeyAgreement|KeyPairGenerator,KeyAgreement|KeyPairGenerator,producible,"read by KeyAgreement, KeyPairGenerator",ECParameterSpec.crysl:17,preparedEC[this]
79,ENSURES,GCMParameterSpec,preparedGCM,1,no,no,yes,Cipher,Cipher,producible,read by Cipher,GCMParameterSpec.crysl:27,preparedGCM[this]
80,ENSURES,HMACParameterSpec,preparedHMAC,1,no,no,yes,Mac,Mac,producible,read by Mac,HMACParameterSpec.crysl:14,preparedHMAC[this]
81,ENSURES,IvParameterSpec,preparedIV,1,no,no,yes,AlgorithmParameters|Cipher,AlgorithmParameters|Cipher,producible,"read by AlgorithmParameters, Cipher",IvParameterSpec.crysl:25,preparedIV[this]
82,ENSURES,Key,preparedKeyMaterial,1,no,no,yes,SecretKeySpec|X509EncodedKeySpec,SecretKeySpec|X509EncodedKeySpec,producible,"read by SecretKeySpec, X509EncodedKeySpec",Key.crysl:14,preparedKeyMaterial[keyMaterial] after GetEnc
83,ENSURES,KeyAgreement,preparedKeyMaterial,1,no,no,yes,SecretKeySpec|X509EncodedKeySpec,SecretKeySpec|X509EncodedKeySpec,producible,"read by SecretKeySpec, X509EncodedKeySpec",KeyAgreement.crysl:51,preparedKeyMaterial[sharedSecretBuffer] after GenSecretBuffer
84,ENSURES,KeyFactory,generatedKeyFactory,2,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES generatedKeyFactory,KeyFactory.crysl:30,"generatedKeyFactory[this, algorithm] after Get"
85,ENSURES,KeyFactory,generatedPrivkey,1,no,no,yes,KeyAgreement|KeyPair|Signature,KeyAgreement|KeyPair|Signature,producible,"read by KeyAgreement, KeyPair, Signature",KeyFactory.crysl:31,generatedPrivkey[privateKey] after GenPriv
86,ENSURES,KeyFactory,generatedPubkey,1,no,no,yes,KeyAgreement|KeyPair|Signature|TrustAnchor,KeyAgreement|KeyPair|Signature|TrustAnchor,producible,"read by KeyAgreement, KeyPair, Signature, TrustAnchor",KeyFactory.crysl:32,generatedPubkey[publicKey] after GenPubl
87,ENSURES,KeyGenerator,generatedKey,2,no,no,yes,Cipher|Mac,Cipher|Mac,producible,"read by Cipher, Mac",KeyGenerator.crysl:36,"generatedKey[key, algorithm]"
88,ENSURES,KeyManagerFactory,generatedKeyManager,1,no,no,yes,SSLContext,SSLContext,producible,read by SSLContext,KeyManagerFactory.crysl:35,generatedKeyManager[this] after Init
89,ENSURES,KeyManagerFactory,generatedKeyManagers,1,no,no,yes,SSLContext,SSLContext,producible,read by SSLContext,KeyManagerFactory.crysl:36,generatedKeyManagers[keyManager] after GetKeyMng
90,ENSURES,KeyPair,generatedKeypair,2,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES generatedKeypair,KeyPair.crysl:27,"generatedKeypair[this, _] after Con"
91,ENSURES,KeyPair,generatedPubkey,1,no,no,yes,KeyAgreement|KeyPair|Signature|TrustAnchor,KeyAgreement|KeyPair|Signature|TrustAnchor,producible,"read by KeyAgreement, KeyPair, Signature, TrustAnchor",KeyPair.crysl:28,generatedPubkey[retPublicKey] after GetPubl
92,ENSURES,KeyPair,generatedPrivkey,1,no,no,yes,KeyAgreement|KeyPair|Signature,KeyAgreement|KeyPair|Signature,producible,"read by KeyAgreement, KeyPair, Signature",KeyPair.crysl:29,generatedPrivkey[retPrivateKey] after GetPriv
93,ENSURES,KeyPairGenerator,generatedKeypair,2,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES generatedKeypair,KeyPairGenerator.crysl:41,"generatedKeypair[keyPair, algorithm]"
94,ENSURES,KeyStore,generatedKeyStore,1,no,no,yes,KeyManagerFactory|PKIXBuilderParameters|PKIXParameters|TrustManagerFactory,KeyManagerFactory|PKIXBuilderParameters|PKIXParameters|TrustManagerFactory,producible,"read by KeyManagerFactory, PKIXBuilderParameters, PKIXParameters, TrustManagerFactory",KeyStore.crysl:59,generatedKeyStore[this] after Load
95,ENSURES,KeyStore,generatedKey,2,no,no,yes,Cipher|Mac,Cipher|Mac,producible,"read by Cipher, Mac",KeyStore.crysl:60,"generatedKey[key, _]"
96,ENSURES,KeyStore,generatedPrivkey,1,no,no,yes,KeyAgreement|KeyPair|Signature,KeyAgreement|KeyPair|Signature,producible,"read by KeyAgreement, KeyPair, Signature",KeyStore.crysl:61,generatedPrivkey[key]
97,ENSURES,KeyStore,generatedPubkey,1,no,no,yes,KeyAgreement|KeyPair|Signature|TrustAnchor,KeyAgreement|KeyPair|Signature|TrustAnchor,producible,"read by KeyAgreement, KeyPair, Signature, TrustAnchor",KeyStore.crysl:62,generatedPubkey[key]
98,ENSURES,KeyStoreBuilderParameters,generatedManagerFactoryParameters,1,no,no,yes,KeyManagerFactory|TrustManagerFactory,KeyManagerFactory|TrustManagerFactory,producible,"read by KeyManagerFactory, TrustManagerFactory",KeyStoreBuilderParameters.crysl:14,generatedManagerFactoryParameters[this]
99,ENSURES,MGF1ParameterSpec,preparedMGF1,2,no,no,yes,OAEPParameterSpec,OAEPParameterSpec,producible,read by OAEPParameterSpec,MGF1ParameterSpec.crysl:17,"preparedMGF1[this, mdName]"
100,ENSURES,Mac,macced,2,no,no,yes,Cipher,Cipher,producible,read by Cipher,Mac.crysl:57,"macced[output1, inputByte]"
101,ENSURES,Mac,macced,2,no,no,yes,Cipher,Cipher,producible,read by Cipher,Mac.crysl:58,"macced[output1, preInput]"
102,ENSURES,Mac,macced,2,no,no,yes,Cipher,Cipher,producible,read by Cipher,Mac.crysl:59,"macced[output2, input]"
103,ENSURES,MessageDigest,generatedMessageDigest,1,no,no,yes,DigestInputStream|DigestOutputStream,DigestInputStream|DigestOutputStream,producible,"read by DigestInputStream, DigestOutputStream",MessageDigest.crysl:46,generatedMessageDigest[this] after Get
104,ENSURES,MessageDigest,digested,2,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES digested,MessageDigest.crysl:47,"digested[output, _]"
105,ENSURES,MessageDigest,digested,2,no,no,yes,-,-,unread,no rule of the catalogue REQUIRES digested,MessageDigest.crysl:48,"digested[output, input]"
106,ENSURES,OAEPParameterSpec,preparedOAEP,1,no,no,yes,AlgorithmParameters|Cipher,AlgorithmParameters|Cipher,producible,"read by AlgorithmParameters, Cipher",OAEPParameterSpec.crysl:25,preparedOAEP[this]
107,ENSURES,PBEKeySpec,speccedKey,2,no,no,yes,KeyFactory|SecretKeyFactory,KeyFactory|SecretKeyFactory,producible,"read by KeyFactory, SecretKeyFactory",PBEKeySpec.crysl:32,"speccedKey[this, keyLength] after Con"
108,NEGATES,PBEKeySpec,speccedKey,2,no,no,yes,KeyFactory|SecretKeyFactory,KeyFactory|SecretKeyFactory,producible,"read by KeyFactory, SecretKeyFactory",PBEKeySpec.crysl:35,"speccedKey[this, _] after ClearPass"
109,ENSURES,PBEParameterSpec,preparedPBE,1,no,no,yes,AlgorithmParameters,AlgorithmParameters,producible,read by AlgorithmParameters,PBEParameterSpec.crysl:23,preparedPBE[this]
110,ENSURES,PKIXBuilderParameters,generatedCertPathParameters,1,no,no,yes,CertPathTrustManagerParameters,CertPathTrustManagerParameters,producible,read by CertPathTrustManagerParameters,PKIXBuilderParameters.crysl:21,generatedCertPathParameters[this]
111,ENSURES,PKIXParameters,generatedCertPathParameters,1,no,no,yes,CertPathTrustManagerParameters,CertPathTrustManagerParameters,producible,read by CertPathTrustManagerParameters,PKIXParameters.crysl:18,generatedCertPathParameters[this]
