spec,cryptsl_line,mop_line,verdict
KeyPairGeneratorSpec,KeyPairGenerator.cryptsl:45,KeyPairGeneratorSpec.mop:20,MOP-MAIS-PERMISSIVO
KeyPairGeneratorSpec,KeyPairGenerator.cryptsl:47,KeyPairGeneratorSpec.mop:33,IGUAL
KeyPairGeneratorSpec,KeyPairGenerator.cryptsl:49,KeyPairGeneratorSpec.mop:31,IGUAL
KeyPairGeneratorSpec,KeyPairGenerator.cryptsl:51,KeyPairGeneratorSpec.mop:30,MOP-MAIS-PERMISSIVO
KeyPairGeneratorSpec,KeyPairGenerator.cryptsl:53,KeyPairGeneratorSpec.mop:34,IGUAL
KeyStoreSpec,KeyStore.cryptsl:83,,CRYSL-NAO-IMPLEMENTADO
KeyStoreSpec,KeyStore.cryptsl:85,,CRYSL-NAO-IMPLEMENTADO
KeyStoreSpec,KeyStore.cryptsl:87,,CRYSL-NAO-IMPLEMENTADO
KeyStoreSpec,KeyStore.cryptsl:89,KeyStoreSpec.mop:21,MOP-MAIS-PERMISSIVO
MacSpec,Mac.cryptsl:71,MacSpec.mop:10-13,MOP-MAIS-PERMISSIVO
MacSpec,Mac.cryptsl:73,,CRYSL-NAO-IMPLEMENTADO
MacSpec,Mac.cryptsl:75,,CRYSL-NAO-IMPLEMENTADO
MessageDigestSpec,MessageDigest.cryptsl:63,MessageDigestSpec.mop:14,DIVERGENTE
MessageDigestSpec,MessageDigest.cryptsl:65,,CRYSL-NAO-IMPLEMENTADO
MessageDigestSpec,MessageDigest.cryptsl:67,,CRYSL-NAO-IMPLEMENTADO
PBEKeySpecSpec,PBEKeySpec.cryptsl:33,PBEKeySpecSpec.mop:37,IGUAL
PBEKeySpecSpec,PBEKeySpec.cryptsl:35,,CRYSL-NAO-IMPLEMENTADO
PBEParameterSpecSpec,PBEParameterSpec.cryptsl:27,PBEParameterSpecSpec.mop:26,IGUAL
SSLContextSpec,SSLContext.cryptsl:43,SSLContextSpec.mop:21,MOP-MAIS-RESTRITIVO
SecretKeySpecSpec,SecretKeySpec.cryptsl:29,SecretKeySpecSpec.mop:37,IGUAL
SecretKeySpecSpec,,SecretKeySpecSpec.mop:19-20,MOP-SEM-BASE
SecureRandomSpec,SecureRandom.cryptsl:61,SecureRandomSpec.mop:23-24,MOP-MAIS-PERMISSIVO
SignatureSpec,Signature.cryptsl:75,SignatureSpec.mop:21-22,DIVERGENTE
TrustManagerFactorySpec,TrustManagerFactory.cryptsl:37,TrustManagerFactorySpec.mop:21,MOP-MAIS-PERMISSIVO
