set,gate,spec,event_or_state,reason,task,verdict,clause,witness
jca_android,G-2a,IvChainJunctionSpec,finalRange,"IvChainJunction.mop is a predicate-only consumer specification, and this is one of the two events that carry the oracle's negated `!macced[_, plainText]` clause (Cipher.crysl:137, ledger #8) -- one per `doFinal` overload the rule binds `plainText` in and `CipherSpec` does not: its `f2` is declared `call(public byte[] Cipher.doFinal(..))` and stands for the rule's f2 and f4 at once, narrowing it would drop `doFinal()` out of the automaton, and adding an event is not available at 17 of 17 (INV-INS-145). `CipherSpec` carries the clause itself at `f5` and `f6`, which do bind the argument. The file states no ORDER of its own -- the ordering of Cipher is CipherSpec's -- so the `ere` accepts every sequence and the accusation lives in the event body, where `plainText` is in scope. The transition row is the identity ([0, 1]) because the automaton is not what accuses; a row that stopped being the identity here would mean a typestate claim had been added by accident. Same disposition as the `use` and `useRandom*` rows above, which tasks 5.1 and 5.5 wrote for the same reason. D-16 (2026-08-25), task 11.4: before the substitution of oracle this reason cited `Cipher.cryptsl:180`, which states the clause identically. The decision the row records does not move; the anchor does, matched by shape and never by name.",5.7,,,
jca_android,G-2c,IvChainJunctionSpec,[1],"IvChainJunction.mop is a predicate-only consumer specification: it exists so that the oracle's guarded `preparedIV[paramSpec]` clause (Cipher.crysl:138) has a site that binds the third argument of `init`, which `CipherSpec.i2` does not and `CipherSpec` cannot gain an event for at 17 of 17 (INV-INS-145). It states no ORDER of its own -- the ordering of Cipher is CipherSpec's -- so `ere : use*` accepts every sequence and the accusation lives in the event body, where `params` is in scope. This is the state side of the same fact: rv-monitor emits the implicit violation state anyway, and nothing reaches it -- read off the generated monitor, whose `Prop_1_transition_use` sends state 0 to state 0. Its unreachability is the claim, not a defect: a file with no `@fail` and no ordering claim cannot have a reachable violation state. D-16 (2026-08-25), task 11.4: before the substitution of oracle this reason cited `Cipher.cryptsl:182`, the same clause over an object the generated rule spelled `params`. The decision the row records does not move; the anchor does, matched by shape and never by name.",5.1,,,
jca_android,G-2d,IvChainJunctionSpec,1,"IvChainJunction.mop is a predicate-only consumer specification: it exists so that the oracle's guarded `preparedIV[paramSpec]` clause (Cipher.crysl:138) has a site that binds the third argument of `init`, which `CipherSpec.i2` does not and `CipherSpec` cannot gain an event for at 17 of 17 (INV-INS-145). It states no ORDER of its own -- the ordering of Cipher is CipherSpec's -- so `ere : use*` accepts every sequence and the accusation lives in the event body, where `params` is in scope. The gate reads `sink = highest index` as a violation state; this file declares no `fail` category, so its highest-index state names no violation and the reading does not apply. Identical in kind to the SecretKeySpec and RandomStringPasswordSpec rows above. D-16 (2026-08-25), task 11.4: before the substitution of oracle this reason cited `Cipher.cryptsl:182`, the same clause over an object the generated rule spelled `params`. The decision the row records does not move; the anchor does, matched by shape and never by name.",5.1,,,
jca_android,G-ORDER,CipherSpec,order,"G-ORDER reports `g1 i1 u1` accepted by the specification and rejected by the api30 ORDER: the `ere` accepts an unfinalised Cipher. The witness exists only because task 7.1 repaired the gate's precedence parser -- `CrySL.xtext:103-120` binds `,` weaker than `|`, and `Cipher` is the one api30 rule whose language the two parses tell apart. It is a genuine slack of the specification, and closing it is a behavioural change: it would make the monitor accuse a program that updates and never finalises, which nothing in the corpus does today. Recorded in `data/gh105/evidence/f1-order-gate-precedence.md`. D-16 (2026-08-25), task 11.4: the reason above was written against MetaCrySL/generated/api30/, withdrawn as an oracle of every dimension; the citation is kept as history and is not an authority. Re-anchored on the expert rule: the expert ORDER is `Get, Init+, AADUpdate*, WKB+ | (FINWOU | (Update+, DoFinal))+` (Cipher.crysl:85), and the precedence finding of task 7.1 holds over it unchanged: `CrySL.xtext:103-120` binds `,` weaker than `|`, and `Cipher` is the rule of either catalogue whose language the two parses tell apart. The witness `g1 i1 u1` is accepted by the specification and rejected by the expert ORDER for the same reason it was rejected by the generated one -- an unfinalised Cipher -- so the row is re-cited and not re-keyed. `data/gh105/evidence/f1-order-gate-precedence.md` stands. THE WITNESS MOVED AT TASK 11.5(e), and the decision it records did not. That task declares `alias match3 = s2` so that `generatedCipher[this] after Init` (Cipher.crysl:144) is written at the states `Init` leads to, as INV-INS-134 reads every `after L`. G-ORDER derives the accepted language from the automaton's match categories, so `s2` becoming one makes `g1 i1` -- an initialised Cipher that is never used -- the shortest sequence the specification accepts and the expert ORDER rejects, where the shortest used to be `g1 i1 u1`. It is the same slack seen one step earlier: the specification does not require a Final, and `g1 i1 u1` remains a divergence covered by this same decision. What did NOT change is what the monitor accuses -- a match category adds no `fail` transition -- and the harness pair of that task measures it: the `generatedCipher` commit introduces five NOBS reports and not one CIPHER-ORDER-00 (data/gh105/evidence/harness/f8e-*.md). Closing the slack is still a behavioural change and still nobody's task in this group.",7.6,,,g1 i1
jca_android,G-ORDER,KeyGeneratorSpec,order,"G-ORDER reports `g1 g1 gk` accepted by the specification and rejected by the api30 ORDER: a benign slack of the `g1+`/`g2+` repetition. The specification is inherited unchanged from the frozen `jca` set, whose measurements are published and whose files task 8.2 has to prove untouched. Repairing it here would edit a divergence that belongs to the frozen control, not to this change. D-16 (2026-08-25), task 11.4: the reason above was written against MetaCrySL/generated/api30/, withdrawn as an oracle of every dimension; the citation is kept as history and is not an authority. Re-anchored on the expert rule: the expert ORDER is `Get, Init?, GenKey` (KeyGenerator.crysl:26), and `Get` is not a repetition, so a second `getInstance` on one binding is refused by the rule and accepted by the `ere`. The witness gains the rule's own spelling of the generating event, `gk1`. The decision does not move: the specification is inherited unchanged from the frozen `jca`, whose measurements are published and whose files task 8.2 has to prove untouched, so repairing it here would edit a divergence that belongs to the frozen control.",7.6,,,g1 g1 gk1
jca_android,G-ORDER,KeyStoreSpec,order,"The row this one replaces was about `g2 l1` -- a conforming program that used the provider overload was unobserved at `getInstance`, so its `load` fell into `@fail`. Its own reason said ""adding the overload is a change of the set's alphabet and belongs to whoever revisits the freeze""; task 9.16 is that revisit, and the divergence is REPAIRED, measured on the harness (`KeyStoreSpec-provider-object.txt`, one KEYSTORE-ORDER-00 row before and none after). What stands here now is the divergence that repair unmasked, and the unmasking is the finding: G-ORDER reports the first counterexample it finds, so while `g2 l1` was in the language this one was never reached. `g1 l1 g1 l1` is accepted by the specification and rejected by the api30 ORDER `Gets, Loads, ((gE?, gk) | (sE, Stores))*` (KeyStore.cryptsl:79), which opens once: the `ere` `(g2* (g1 | g3) load (...)*)+` carries an outer `+` that lets a second `getInstance; load` cycle reopen the word. That `+` is the frozen seed's own and predates every task of this change -- neither 9.14 nor 9.16 touched it -- and removing it would refuse a program the specification accepts today, which is a behavioural change nobody has decided. It is kept, deliberately, and recorded here rather than left as a gate failure. D-16 (2026-08-25), task 11.4: the reason above was written against MetaCrySL/generated/api30/, withdrawn as an oracle of every dimension; the citation is kept as history and is not an authority. Re-anchored on the expert rule: the expert ORDER is `Get, Load, ((GetEntry?, GetKey) | (SetEntry, Store))*` (KeyStore.crysl:49). Task 11.2 diffed the pair and found them structurally identical -- the aggregate labels differ (`Get, Load, GetEntry` against `Gets, Loads, gE`) and nothing else -- so `g1 l1 g1 l1` is rejected by the expert ORDER exactly as it was by the generated one, and for the same reason: the ORDER opens once and the `ere`'s outer `+` lets a second `getInstance; load` cycle reopen the word. The `+` is the frozen seed's own and the decision to keep it does not move.",7.6;9.16,,,g1 l1 g1 l1
jca_android,G-ORDER,SSLContextSpec,order,"G-ORDER reports `g1 Init se1 se1` accepted by the specification and rejected by the api30 ORDER: the `end` state admits a second `engine` against the rule's `Gets, Init, Engine?`. The specification's own comment at `SSLContextSpec.mop:186-189` records the slack. It is the same shape as the KeyManagerFactory/TrustManagerFactory pair task 7.1 repaired, but the opposite direction -- there the specification was too strict and the repair silenced nothing; here it is too permissive and a repair would start accusing a second `createSSLEngine()`, which is a behavioural change with no measurement yet. D-16 (2026-08-25), task 11.4: the reason above was written against MetaCrySL/generated/api30/, withdrawn as an oracle of every dimension; the citation is kept as history and is not an authority. Re-anchored on the expert rule: the expert ORDER is `Get, Init, Engine?` (SSLContext.crysl:26), where `Engine?` admits at most one `createSSLEngine`, so the `end` state's second `engine` is refused by the rule and accepted by the `ere`. The witness names the rule's `i1` where the api30 word named the aggregate `Init`. The decision does not move: a repair would start accusing a second `createSSLEngine()`, a behavioural change with no measurement yet -- and one that would land on the event task 9.1 has only just made live.",7.6,,,g1 i1 se1 se1
jca_android,G-ORDER,SecretKeySpec,order,"G-ORDER reports `d` accepted by the api30 ORDER and rejected by the specification. The excess is on the rule's side: `d` is `destroy()`, which the `.mop` deliberately does not observe because it throws `DestroyFailedException` in both implementations this set sees, so an `after returning` advice would have no execution path (INV-INS-137). As with CipherInputStreamSpec, the mapping format has no disposition for a symbol of the rule -- `order-unmapped` erases an event of the `.mop` -- so the row is the only place this decision can be written down. D-16 (2026-08-25), task 11.4: the reason above was written against MetaCrySL/generated/api30/, withdrawn as an oracle of every dimension; the citation is kept as history and is not an authority. Re-anchored on the expert rule: the expert ORDER is `GetEnc*, Destroy?` (SecretKey.crysl:14), so `d1` -- `destroy()` -- is accepted by the rule and rejected by the specification, which deliberately does not observe it: it throws `DestroyFailedException` in both implementations this set sees, so an `after returning` advice would have no execution path (INV-INS-137). The witness is the rule's symbol `d1` where the api30 rule spelled it `d`. The mapping format still has no disposition for a symbol of the RULE -- `order-unmapped` erases an event of the `.mop` -- so this row remains the only place the decision can be written down.",7.6,,,d1
jca_android,G-ORDER,SecureRandomSpec,order,"G-ORDER reports `c1 c1` accepted by the specification and rejected by the api30 ORDER: a self-loop of `init` over the constructor, which the rule's `Ins` does not repeat. The specification's comment at `SecureRandomSpec.mop:253-262` records it, and `data/gh105/evidence/f2-SecureRandomSpec.md` carries the measurement. Removing the self-loop would accuse a program that constructs a SecureRandom twice on one binding, which is a behavioural change of its own. D-16 (2026-08-25), task 11.4: the reason above was written against MetaCrySL/generated/api30/, withdrawn as an oracle of every dimension; the citation is kept as history and is not an authority. Re-anchored on the expert rule: the expert ORDER is `Ins, (Seed?, End*)*` (SecureRandom.crysl:39), where `Ins := Get | Con` is not a repetition, so `c1 c1` is rejected by the rule and accepted by the `ere` under the oracle as it was under the generated rule. The two ORDERs are not identical -- the oracle lets the seed/next group repeat where the generated one wrote `Ins, Seeds?, Ends*` -- and that difference is recorded on the SecureRandomSpec rows of `divergence_record.csv`; it does not reach this witness. `data/gh105/evidence/f2-SecureRandomSpec.md` stands.",7.6,,,c1 c1
jca,G-SIG,SSLContextSpec,engine,"`call(public void SSLContext.createSSLEngine(..))` where android-30 declares `SSLEngine createSSLEngine()`: the advice is generated and has never fired. The finding is real and the file is frozen. `jca` is the seed that produced the published measurements and is byte-frozen (INV-INS-109/118); the successor set repaired this same site, which is what the row's task column names. Reporting it here rather than deleting the check is the point: it is the evidence that the gate sees the defect class on an artefact that still carries it. The successor carries the identical defect and repairing it is task 9.1, which is a behavioural change under decision 7 and waits on the researcher.",9.7,,,createSSLEngine
jca,G-SIG,SignatureSpec,s1,"`call(public byte Signature.sign())` where android-30 declares `byte[] sign()` -- the array brackets are missing, so the advice never weaves and `SIGNED` is never written from this event. The finding is real and the file is frozen. `jca` is the seed that produced the published measurements and is byte-frozen (INV-INS-109/118); the successor set repaired this same site, which is what the row's task column names. Reporting it here rather than deleting the check is the point: it is the evidence that the gate sees the defect class on an artefact that still carries it. `jca_android/SignatureSpec.mop:215` writes `byte[]`, repaired before this gate existed.",9.7,,,sign()
jca,G-SIG,SignatureSpec,s2,"The three-argument twin of the row above: `call(public byte Signature.sign(byte[], int, int))` where android-30 declares `int sign(byte[], int, int)`. The finding is real and the file is frozen. `jca` is the seed that produced the published measurements and is byte-frozen (INV-INS-109/118); the successor set repaired this same site, which is what the row's task column names. Reporting it here rather than deleting the check is the point: it is the evidence that the gate sees the defect class on an artefact that still carries it. `jca_android/SignatureSpec.mop:222` writes `int`.",9.7,,,"sign(byte[],int,int)"
jca,G-SIG,TrustManagerFactorySpec,gtm1,"`call(public KeyManager[] TrustManagerFactory.getTrustManagers())` where android-30 declares `TrustManager[]` -- the wrong family entirely, and the same event binds `returning(TrustManager[][] trustManager)` and writes `Property.GENERATED_KEY_MANAGERS`. The finding is real and the file is frozen. `jca` is the seed that produced the published measurements and is byte-frozen (INV-INS-109/118); the successor set repaired this same site, which is what the row's task column names. Reporting it here rather than deleting the check is the point: it is the evidence that the gate sees the defect class on an artefact that still carries it. This is the pointwise defect the proposal names under F4; `jca_android/TrustManagerFactorySpec.mop` declares `TrustManager[]` at all three places.",9.7,,,getTrustManagers
jca_android_bug_predicate,G-SIG,SSLContextSpec,engine,"The `createSSLEngine` return-type defect, inherited from the seed. The finding is real and the set is archived. `jca_android_bug_predicate` is the derived set the 2026-08-08 predicate audit reproved (divergence_record.csv, task 2.1); it is kept only so the published measurements can be reproduced and is never edited. Same defect, same repair, in the live successor.",9.7,,,createSSLEngine
jca_android_bug_predicate,G-SIG,SignatureSpec,s1,"The `byte`-for-`byte[]` defect of `Signature.sign()`, inherited from the seed. The finding is real and the set is archived. `jca_android_bug_predicate` is the derived set the 2026-08-08 predicate audit reproved (divergence_record.csv, task 2.1); it is kept only so the published measurements can be reproduced and is never edited. Same defect, same repair, in the live successor.",9.7,,,sign()
jca_android_bug_predicate,G-SIG,SignatureSpec,s2,"The three-argument twin of the row above, inherited from the seed. The finding is real and the set is archived. `jca_android_bug_predicate` is the derived set the 2026-08-08 predicate audit reproved (divergence_record.csv, task 2.1); it is kept only so the published measurements can be reproduced and is never edited. Same defect, same repair, in the live successor.",9.7,,,"sign(byte[],int,int)"
jca,G-BIND,PBEKeySpecSpec,*,"`f1` and `f2` bind `char[] password` and no `PBEKeySpec`, so the generator dispatches them to the whole monitor set and each runs its body on the root monitor and every live monitor of the specification. The finding is real and the file is frozen. `jca` is the seed that produced the published measurements and is byte-frozen (INV-INS-109/118); the successor set repaired this same site, which is what the row's task column names. Reporting it here rather than deleting the check is the point: it is the evidence that the gate sees the defect class on an artefact that still carries it. Repaired in the successor by task 9.3, which added `returning(PBEKeySpec s)` to both -- the binding the archived `jca_android_bug_predicate` already carried and the reseeding from the frozen seed lost. One row for both events, because the reason is one reason.",9.7,,,f1 f2
jca,G-BIND,SSLContextSpec,unsafe_protocol,"`unsafe_protocol` binds a `String` and no `SSLContext`, so its accusation broadcasts to every live monitor of the specification. The finding is real and the file is frozen. `jca` is the seed that produced the published measurements and is byte-frozen (INV-INS-109/118); the successor set repaired this same site, which is what the row's task column names. Reporting it here rather than deleting the check is the point: it is the evidence that the gate sees the defect class on an artefact that still carries it. The successor does not carry the event at all: task 3.6 removed it when it moved the protocol check off the `getInstance` guard, so there is nothing left here to bind.",9.7,,,unsafe_protocol
jca,G-FORB,PBEKeySpecSpec,*,"Both oracles state FORBIDDEN on `PBEKeySpec(char[])` and `PBEKeySpec(char[], byte[], int)`; the seed declares `f1` and `f2` over exactly those two constructors and their bodies raise `InvalidSequenceOfMethodCalls`, so a forbidden construction is reported as a wrong call sequence and never as a forbidden method. The finding is real and the file is frozen (INV-INS-109/118). The successor raises `ErrorType.ForbiddenMethod` with `PBEKEYSPEC-FORB-00`/`-01` at both events, which is where this gate is green. One row for both clauses and both oracles, because the reason is one reason.",9.7,,,f1 f2
jca,G-FORB,SSLContextSpec,getDefault,"The oracle forbids `SSLContext.getDefault()` (`SSLContext.crysl:10-11`) and and the seed declares no event for it, so `SSLContext.getDefault().createSSLEngine()` is silent from end to end. The finding is real and the file is frozen: `jca` carries the omission because every published measurement was taken against it, and repairing a frozen set is not available. The successor no longer shares it. Task 9.9 landed (2026-08-25): `jca_android` declares the event with its own `SSLCONTEXT-FORB-00` code, entering the `fsm` as a self-loop at every state so that the repair does not trade the false negative for an ordering false positive, and this set therefore has no G-FORB row of its own to allow. Restated by task 10.5, which found this row still promising 9.9 in the future tense. D-16 (2026-08-25), task 11.4: before the substitution of oracle this reason cited `SSLContext.cryptsl:18`, which forbade it too -- the sentence read `both oracles` and there is one. The decision the row records does not move; the anchor does, matched by shape and never by name.",9.7;10.5,,,getDefault
jca_android_bug_predicate,G-FORB,PBEKeySpecSpec,*,"The seed's `InvalidSequenceOfMethodCalls`-for-`ForbiddenMethod` defect, inherited. The set is the derived one the 2026-08-08 predicate audit reproved (task 2.1); it is kept only to reproduce the published measurements and is never edited.",9.7,,,f1 f2
jca_android_bug_predicate,G-FORB,SSLContextSpec,getDefault,"The seed's missing `getDefault()` event, inherited. Archived set, never edited -- see the row above.",9.7,,,getDefault
jca,G-BIND,*,*,"G-BIND compares the NAME an event binds against the specification's declared parameter, because that is what the generator keys the monitor on -- a `returning(...)`/`target(...)` of the right type under a different name binds nothing and the event broadcasts over the whole monitor set. The extended check was written at task 9.11, after that task's own repair exposed the class at `KeyPairSpec.c1`, and the strongest evidence that it works is what it finds HERE, unprompted: the frozen seed's `KeyStoreSpec` declares `ks` and binds `k` at all seven events -- exactly the defect task 9.14 repaired in the successor, rediscovered without anyone pointing at it -- plus `KeyPairSpec.c1` (repaired at 9.11), `HMACParameterSpecSpec.c`, `RandomStringPassword.vo`/`gb` and `TrustManagerFactorySpec.g3`/`gtm1` (repaired since). The set is byte-frozen (INV-INS-109/118), so every finding here is allow-listed by freeze with the successor's repair named. One row for the set, because the reason is one reason.",9.11,,,
jca_android_bug_predicate,G-BIND,*,*,"The archived derived set inherits the frozen seed's binding-by-name defects verbatim -- see the `jca` row of this gate for the class and for what finding it there proves. The set is archived and nothing selects it (no mapping entry), so it is allow-listed as a whole rather than repaired.",9.11,,,
jca_android,G-BIND,HMACParameterSpecSpec,*,"`HMACParameterSpecSpec(HMACParameterSpec hmacParameterSpec)` and `event c ... returning(HMACParameterSpec s)`: the name binds nothing, so the single event broadcasts. Inert and recorded rather than repaired, for a reason the tree already carries: `javax.xml.crypto.dsig.spec.HMACParameterSpec` is ABSENT from android-30 -- read from the jar's own zip entries, which is the guard task 9.7 built into G-SIG precisely because `javap` resolves it from the JDK's modules and reports it present (conformance_record.csv:73). An event over a class the platform does not have cannot fire, so the broadcast has no program. Repairing the name would change the generated monitor's map for a specification that can never run, which is not a change this group was approved to make.",9.11,,,
jca_android,G-BIND,RandomStringPassword,*,"`RandomStringPassword(String str)` and neither `vo` nor `gb` binds `str` -- `vo` binds `obj`/`s` and `gb` binds `s`. Inert, and measured to be: this specification has NO `@fail` handler and its `@match` is empty, so it raises nothing at all. Commit `5f64c8de` gutted the bridge that used to stamp `randomized` on a heap address, and what is left declares an ordering nobody is accused against -- so process-wide dispatch and per-string dispatch produce the same observable behaviour, which is none. Repairing the name would parametrise a specification that accuses nothing, and that is a behavioural change nobody has decided; it belongs with whoever decides what is left of this junction.",9.11,,,
jca_android,G-2a,PBEKeySpecSpec,f1,"`f1` accuses a constructor the rule FORBIDS outright -- `PBEKeySpec(char[])`, code PBEKEYSPEC-FORB-00 -- so the report is a claim of its own and not a position in the ordering. Task 3.5 absorbed it through the Kleene groups of `ere : (f1 | f2)* c1 (f1 | f2)* c2 (f1 | f2)*`, at every position, because the ordering has nothing to say about a call the rule turns down, and that is what makes the transition row the identity over the four states. Left outside the automaton the event carries an all-`fail` row instead, so one forbidden construction anywhere in a program pushed every live PBEKeySpec monitor into `fail`, accusing objects that had done nothing wrong: the ordering false positive the absorption exists to remove. Task 9.3 then bound the event to the constructed object (`returning(PBEKeySpec s)`), which moved the dispatch and not the row. Same reading as the IvChainJunction rows above -- the automaton is not what accuses, and a row that stopped being the identity here would mean a typestate claim had been added by accident.",3.5;9.3;10.1,,,
jca_android,G-2a,PBEKeySpecSpec,f2,"The three-argument twin of the row above: `PBEKeySpec(char[], byte[], int)`, code PBEKEYSPEC-FORB-01, forbidden by the same clause of the rule for the same reason (the iteration count and key length are missing, so the specification cannot check them). Absorbed by task 3.5 into the same Kleene groups and bound by task 9.3 in the same edit, so it carries the identity row for the identical reason and is read the same way.",3.5;9.3;10.1,,,
