rule,disposition,api30_line,api30_clause,expert_line,expert_clause,note
Cipher,values-differ,141,"part(0,""/"",transformation) in {""DESede"", ""AES""} && part(1,""/"",transformation) in {""CBC""} => part(2,""/"",transformation) in {""PKCS5Padding"", ""PKCS7Padding"", ""ISO10126Padding""}",112,"alg(transformation) in {""AES""} && mode(transformation) in {""CBC"", ""PCBC""} => pad(transformation) in {""PKCS5Padding"", ""ISO10126Padding""}","AES with CBC to padding, in both. api30 states the clause over `{DESede, AES}` because its catalogue carries a DESede family the expert rule does not; the AES half is the same clause, and the expert rule widens the mode side to `{CBC, PCBC}` and narrows the padding side by dropping PKCS7Padding"
Cipher,values-differ,143,"part(0,""/"",transformation) in {""AES"", ""DESede""} && part(1,""/"",transformation) in {""OFB"", ""CTR"", ""CFB""} => part(2,""/"",transformation) in {""NoPadding""}",113,"alg(transformation) in {""AES""} && mode(transformation) in {""CCM"", ""GCM"", ""CTR"", ""CTS"", ""CFB"", ""OFB""} => pad(transformation) in {""NoPadding""}","AES with a streaming mode to NoPadding, in both. Same DESede asymmetry as :141; the expert rule states the mode side as `{CCM, GCM, CTR, CTS, CFB, OFB}`, which is api30's `{OFB, CTR, CFB}` plus the three api30 states at :149 and nowhere"
Cipher,identical,145,"part(0,""/"",transformation) in {""RSA""} => part(1,""/"",transformation) in {"""", ""ECB""}",101,"alg(transformation) in {""RSA""} => mode(transformation) in {"""", ""ECB""}",
Cipher,split,147,"part(0,""/"",transformation) in {""RSA""} => part(2,""/"",transformation) in {""OAEPwithSHA-512andMGF1Padding"", ""OAEPwithSHA-224andMGF1Padding"", ""PKCS1Padding"", ""OAEPwithSHA-256andMGF1Padding"", ""OAEPwithSHA-1andMGF1Padding"", ""OAEPPadding"", ""OAEPwithSHA-384andMGF1Padding"", ""NoPadding""}",107,"alg(transformation) in {""RSA""} && mode(transformation) in {""ECB""} => pad(transformation) in {""NoPadding"", ""PKCS1Padding"", ""OAEPWithMD5AndMGF1Padding"", ""OAEPWithSHA-224AndMGF1Padding"", ""OAEPWithSHA-256AndMGF1Padding"", ""OAEPWithSHA-384AndMGF1Padding"", ""OAEPWithSHA-512AndMGF1Padding""}","RSA to padding. api30 states it once, unconditional on the mode; the expert rule states it twice, split by mode -- `:106` for the empty mode and `:107` for ECB -- and :107 is the one that carries the OAEP list this row is about. The split is the pair: one api30 clause against two expert clauses is not a withdrawal"
Cipher,merged,149,"part(0,""/"",transformation) in {""AES""} && part(1,""/"",transformation) in {""GCM""} => part(2,""/"",transformation) in {""NoPadding""}",-,-,"AES with GCM to NoPadding. The expert rule states it inside `:113`, whose mode list is `{CCM, GCM, CTR, CTS, CFB, OFB}`, and `:143` already pairs with that clause. Nothing was dropped -- api30 needed two clauses where the expert rule needs one -- so this is a merge and not a withdrawal"
Cipher,withdrawn,151,"part(0,""/"",transformation) in {""BLOWFISH""} => part(1,""/"",transformation) in {""CTS"", ""CTR"", ""CFB"", ""OFB"", ""ECB"", ""CBC""}",-,-,
Cipher,withdrawn,153,"part(0,""/"",transformation) in {""BLOWFISH""} && part(1,""/"",transformation) in {""CBC""} => part(2,""/"",transformation) in {""PKCS5Padding"", ""PKCS7Padding"", ""ISO10126Padding""}",-,-,
Cipher,withdrawn,155,"part(0,""/"",transformation) in {""BLOWFISH""} && part(1,""/"",transformation) in {""OFB"", ""CTR"", ""CFB""} => part(2,""/"",transformation) in {""NoPadding""}",-,-,
Cipher,withdrawn,157,"part(0,""/"",transformation) in {""ARC4""} => part(1,""/"",transformation) in {""ECB""}",-,-,
Cipher,withdrawn,159,"part(0,""/"",transformation) in {""ARC4""} => part(2,""/"",transformation) in {""NoPadding""}",-,-,
Cipher,withdrawn,161,"part(0,""/"",transformation) in {""AES_256"", ""AES_128""} => part(1,""/"",transformation) in {""GCM"", ""ECB"", ""CBC""}",-,-,
Cipher,withdrawn,163,"part(0,""/"",transformation) in {""AES_256"", ""AES_128""} && part(1,""/"",transformation) in {""ECB"", ""CBC""} => part(2,""/"",transformation) in {""PKCS5Padding"", ""NoPadding""}",-,-,
Cipher,withdrawn,165,"part(0,""/"",transformation) in {""AES_128"", ""AES_256""} && part(1,""/"",transformation) in {""GCM""} => part(2,""/"",transformation) in {""NoPadding""}",-,-,
Cipher,withdrawn,167,"part(0,""/"",transformation) in {""ChaCha20""} => part(1,""/"",transformation) in {""Poly1305"", """"}",-,-,
Cipher,withdrawn,169,"part(0,""/"",transformation) in {""ChaCha20""} => part(2,""/"",transformation) in {""NoPadding""}",-,-,
Cipher,restored,-,-,88,"instanceOf[key, java.security.PublicKey] || instanceOf[key, java.security.PrivateKey] || instanceOf[certificate, java.security.cert.Certificate] || encmode in {3, 4} => alg(transformation) in {""RSA""}",
Cipher,restored,-,-,90,"instanceOf[key, javax.crypto.SecretKey] => alg(transformation) in {""AES"", ""PBEWithHmacSHA224AndAES_128"", ""PBEWithHmacSHA256AndAES_128"", ""PBEWithHmacSHA384AndAES_128"", ""PBEWithHmacSHA512AndAES_128"", ""PBEWithHmacSHA224AndAES_256"", ""PBEWithHmacSHA256AndAES_256"", ""PBEWithHmacSHA384AndAES_256"", ""PBEWithHmacSHA512AndAES_256""}",
Cipher,restored,-,-,94,"noCallTo[Init] => alg(transformation) in {""AES"", ""RSA"", ""PBEWithHmacSHA224AndAES_128"", ""PBEWithHmacSHA256AndAES_128"", ""PBEWithHmacSHA384AndAES_128"", ""PBEWithHmacSHA512AndAES_128"", ""PBEWithHmacSHA224AndAES_256"", ""PBEWithHmacSHA256AndAES_256"", ""PBEWithHmacSHA384AndAES_256"", ""PBEWithHmacSHA512AndAES_256""}",
Cipher,restored,-,-,98,"alg(transformation) in {""PBEWithHmacSHA224AndAES_128"", ""PBEWithHmacSHA256AndAES_128"", ""PBEWithHmacSHA384AndAES_128"", ""PBEWithHmacSHA512AndAES_128"", ""PBEWithHmacSHA224AndAES_256"", ""PBEWithHmacSHA256AndAES_256"", ""PBEWithHmacSHA384AndAES_256"", ""PBEWithHmacSHA512AndAES_256""} => mode(transformation) in {""CBC""}",
Cipher,restored,-,-,103,"alg(transformation) in {""PBEWithHmacSHA224AndAES_128"", ""PBEWithHmacSHA256AndAES_128"", ""PBEWithHmacSHA384AndAES_128"", ""PBEWithHmacSHA512AndAES_128"", ""PBEWithHmacSHA224AndAES_256"", ""PBEWithHmacSHA256AndAES_256"", ""PBEWithHmacSHA384AndAES_256"", ""PBEWithHmacSHA512AndAES_256""} => pad(transformation) in {""PKCS5Padding""}",
Cipher,restored,-,-,106,"alg(transformation) in {""RSA""} && mode(transformation) in {""""} => pad(transformation) in {""""}",
Cipher,restored,-,-,118,"mode(transformation) in {""CBC"", ""PCBC"", ""CTR"", ""CTS"", ""CFB"", ""ECB"", ""OFB""} => noCallTo[AADUpdate]",
Cipher,restored,-,-,124,prePlainTextOffset >= 0,
Cipher,restored,-,-,125,prePlainTextLen > 0,
Cipher,restored,-,-,126,preCipherTextOffset >= 0,
Cipher,restored,-,-,129,plainTextOffset >= 0,
Cipher,restored,-,-,130,plainTextLen > 0,
Cipher,restored,-,-,131,cipherTextOffset >= 0,
CipherInputStream,withdrawn,41,len > off,-,-,
CipherInputStream,restored,-,-,26,length[data] >= offset + len,
CipherInputStream,restored,-,-,27,offset >= 0,
CipherInputStream,restored,-,-,28,len > 0,
CipherOutputStream,withdrawn,43,len > off,-,-,
CipherOutputStream,restored,-,-,27,length[data] >= offset + len,
CipherOutputStream,restored,-,-,28,offset >= 0,
CipherOutputStream,restored,-,-,29,len > 0,
DHGenParameterSpec,restored,-,-,15,exponentSize < primeSize,
GCMParameterSpec,renamed,29,"tLen in {128, 120, 96, 112, 104}",18,"tagLen in {96, 104, 112, 120, 128}",
GCMParameterSpec,restored,-,-,19,length[src] >= offset + len,
GCMParameterSpec,restored,-,-,20,offset >= 0,
GCMParameterSpec,restored,-,-,21,len > 0,
IvParameterSpec,restored,-,-,17,length[iv] >= offset + len,
IvParameterSpec,restored,-,-,18,offset >= 0,
IvParameterSpec,restored,-,-,19,len > 0,
KeyGenerator,renamed+values,45,"alg in {""ChaCha20"", ""ARC4"", ""HmacSHA224"", ""DESede"", ""HmacSHA256"", ""HmacMD5"", ""HmacSHA1"", ""HmacSHA512"", ""AES"", ""BLOWFISH"", ""HmacSHA384""}",29,"algorithm in {""AES"", ""HmacSHA256"", ""HmacSHA384"", ""HmacSHA512""}",
KeyGenerator,renamed,47,"alg in {""AES""} => keySize in {128, 192, 256}",30,"algorithm in {""AES""} => keysize in {128, 192, 256}",
KeyManagerFactory,identical,39,"neverTypeOf(password, java.lang.String)",26,"neverTypeOf[password, java.lang.String]",
KeyManagerFactory,renamed+values,41,"algo in {""PKIX""}",28,"algorithm in {""PKIX"", ""SunX509""}",
KeyManagerFactory,restored,-,-,27,notHardCoded[password],
KeyPairGenerator,renamed+values,45,"alg in {""DSA"", ""DH"", ""RSA""}",28,"algorithm in {""RSA"", ""EC"", ""DSA"", ""DiffieHellman"", ""DH""}",
KeyPairGenerator,values-differ,47,"alg in {""DH""} => keySize in {2048}",31,"algorithm in {""DiffieHellman"", ""DH""} => keysize in {2048}","DiffieHellman to key size. api30 names the algorithm `DH` and the expert rule names it `{DiffieHellman, DH}`; both bound it to 2048. The stages cannot pair them because the objects are renamed (`alg`/`keySize` against `algorithm`/`keysize`) *and* the values differ, and the last stage sees two clauses of that shape unpaired on each side"
KeyPairGenerator,renamed,49,"alg in {""DSA""} => keySize in {2048}",30,"algorithm in {""DSA""} => keysize in {2048}",
KeyPairGenerator,values-differ,51,"alg in {""RSA""} => keySize in {4096, 2048}",29,"algorithm in {""RSA""} => keysize in {4096, 3072, 2048}","RSA to key size, the same double ambiguity as :47. The expert rule admits `{4096, 3072, 2048}` where api30 admits `{4096, 2048}`: 3072 is a key size the generated catalogue dropped, and the `.mop` carries it -- task 10.6 re-anchored this message on the expert clause for exactly this reason"
KeyPairGenerator,renamed,53,"alg in {""EC""} => keySize in {256}",32,"algorithm in {""EC""} => keysize in {256}",
KeyStore,identical,83,"neverTypeOf(passwordIn, java.lang.String)",53,"neverTypeOf[passwordIn, java.lang.String]",
KeyStore,identical,85,"neverTypeOf(passwordOut, java.lang.String)",54,"neverTypeOf[passwordOut, java.lang.String]",
KeyStore,identical,87,"neverTypeOf(passwordKey, java.lang.String)",55,"neverTypeOf[passwordKey, java.lang.String]",
KeyStore,renamed+values,89,"keyStoreAlg in {""AndroidKeyStore"", ""PKCS12"", ""BKS"", ""BouncyCastle"", ""AndroidCAStore""}",52,"type in {""JCEKS"", ""JKS"", ""DKS"", ""PKCS11"", ""PKCS12""}",
KeyStore,restored,-,-,56,notHardCoded[passwordIn],
Mac,renamed+values,71,"macAlg in {""PBEwithHmacSHA256"", ""PBEwithHmacSHA1"", ""HmacSHA224"", ""HmacSHA256"", ""HmacMD5"", ""HmacSHA512"", ""PBEwithHmacSHA512"", ""HmacSHA384"", ""PBEwithHmacSHA384"", ""PBEwithHmacSHA224"", ""PBEwithHmacSHA"", ""HmacSHA1""}",44,"algorithm in {""HmacSHA256"", ""HmacSHA384"", ""HmacSHA512"", ""HmacPBESHA1"", ""PBEWithHmacSHA1"", ""PBEWithHmacSHA224"", ""PBEWithHmacSHA256"", ""PBEWithHmacSHA384"", ""PBEWithHmacSHA512""}",
Mac,withdrawn,73,offset < len,-,-,
Mac,identical,75,length(output1) > outOffset,45,length[output1] > outOffset,
Mac,restored,-,-,46,length[preInput] >= offset + len,
Mac,restored,-,-,47,offset >= 0,
Mac,restored,-,-,48,len > 0,
MessageDigest,renamed+values,63,"digestAlg in {""MD5"", ""SHA-224"", ""SHA-256"", ""SHA-1"", ""SHA-512"", ""SHA-384""}",37,"algorithm in {""SHA-256"", ""SHA-384"", ""SHA-512""}",
MessageDigest,withdrawn,65,pre_len > pre_off,-,-,
MessageDigest,withdrawn,67,len > off,-,-,
MessageDigest,restored,-,-,38,length[preInput] >= preLen + preOffset,
MessageDigest,restored,-,-,39,preOffset >= 0,
MessageDigest,restored,-,-,40,preLen > 0,
MessageDigest,restored,-,-,41,length[output] >= len + offset,
MessageDigest,restored,-,-,42,offset >= 0,
MessageDigest,restored,-,-,43,len > 0,
PBEKeySpec,identical,33,iterationCount >= 10000,24,iterationCount >= 10000,
PBEKeySpec,identical,35,"neverTypeOf(password, java.lang.String)",25,"neverTypeOf[password, java.lang.String]",
PBEKeySpec,restored,-,-,26,notHardCoded[password],
PBEParameterSpec,identical,27,iterationCount >= 10000,17,iterationCount >= 10000,
SSLContext,values-differ,43,"protocol in {""Default"", ""TLSv1.2"", ""TLSv1.1"", ""SSL"", ""TLSv1"", ""TLS"", ""TLSv1.3""}",29,"protocol in {""TLSv1.2"", ""TLSv1.3""}",
SecretKeySpec,renamed,29,length(keyMaterial) >= off + len,19,length[keyMaterial] >= offset + len,
SecretKeySpec,restored,-,-,18,"keyAlgorithm in {""AES"", ""HmacSHA256"", ""HmacSHA384"", ""HmacSHA512""}",
SecretKeySpec,restored,-,-,20,"neverTypeOf[keyMaterial, java.lang.String]",
SecureRandom,renamed+values,61,"randAlg in {""SHA1PRNG""}",42,"algorithm in {""SHA1PRNG"", ""Windows-PRNG"", ""NativePRNG"", ""NativePRNGBlocking"", ""NativePRNGNonBlocking"", ""PKCS11""}",
Signature,renamed+values,75,"alg in {""NONEwithRSA"", ""SHA1withDSA"", ""SHA224withECDSA"", ""MD5withRSA"", ""SHA256withDSA"", ""SHA384withRSA/PSS"", ""DSAwithSHA1"", ""SHA384withRSA"", ""SHA512withRSA/PSS"", ""SHA1withRSA/PSS"", ""SHA512withRSA"", ""SHA1withRSA"", ""NONEwithDSA"", ""SHA256withRSA/PSS"", ""SHA224withRSA/PSS"", ""SHA256withRSA"", ""DSA"", ""SHA224withRSA"", ""SHA224withDSA"", ""DSS""}",48,"algorithm in {""SHA256withRSA"", ""SHA256withECDSA"", ""SHA256withDSA"", ""SHA384withRSA"", ""SHA512withRSA"", ""SHA384withECDSA"", ""SHA512withECDSA""}",
Signature,restored,-,-,49,length[input] >= offset + len,
Signature,restored,-,-,50,offset >= 0,
Signature,restored,-,-,51,len > 0,
TrustManagerFactory,renamed+values,37,"algo in {""PKIX""}",25,"algorithm in {""PKIX"", ""SunX509""}",
