section,consumer,predicate,arity,negated,guarded,kind,expert_disposition,api30_disposition,expert_line,api30_line,note
ENSURES,MessageDigest,generatedMessageDigest,1,no,no,expert-only,producible,-,MessageDigest.crysl:46,-,the api30 rule does not declare the clause
ENSURES,OAEPParameterSpec,preparedOAEP,1,no,no,expert-only,producible,-,OAEPParameterSpec.crysl:25,-,the api30 rule does not declare the clause
ENSURES,PBEParameterSpec,preparedPBE,1,no,no,changed,producible,unread,PBEParameterSpec.crysl:23,PBEParameterSpec.cryptsl:37,disposition unread -> producible
ENSURES,PasswordAuthentication,generatedPasswordAuthentication,1,no,no,expert-only,unmonitored-producer-side,-,PasswordAuthentication.crysl:26,-,the api30 rule does not declare the clause
ENSURES,SSLEngine,generatedSSLEngine,1,no,no,expert-only,unread,-,SSLEngine.crysl:46,-,the api30 rule does not declare the clause
ENSURES,SSLParameters,generatedSSLParameters,1,no,no,expert-only,unread,-,SSLParameters.crysl:48,-,the api30 rule does not declare the clause
ENSURES,Signature,verified,2,no,no,reshaped,unread,unread,Signature.crysl:61,Signature.cryptsl:93,arity api30=1 expert=2
ENSURES,TrustAnchor,generatedTrustAnchor,1,no,no,expert-only,unread,-,TrustAnchor.crysl:21,-,the api30 rule does not declare the clause
ENSURES,X509EncodedKeySpec,speccedKey,2,no,no,expert-only,producible,-,X509EncodedKeySpec.crysl:17,-,the api30 rule does not declare the clause
REQUIRES,AlgorithmParameterGenerator,randomized,1,no,no,expert-only,wireable,-,AlgorithmParameterGenerator.crysl:32,-,the api30 rule does not declare the clause
REQUIRES,AlgorithmParameters,preparedAlg,2,no,no,reshaped,wireable,wireable,AlgorithmParameters.crysl:34,AlgorithmParameters.cryptsl:52,arity api30=1 expert=2
REQUIRES,AlgorithmParameters,preparedOAEP,1,no,yes,expert-only,wireable,-,AlgorithmParameters.crysl:40,-,the api30 rule does not declare the clause
REQUIRES,AlgorithmParameters,preparedPBE,1,no,yes,expert-only,wireable,-,AlgorithmParameters.crysl:37,-,the api30 rule does not declare the clause
REQUIRES,Cipher,preparedOAEP,1,no,yes,expert-only,wireable,-,Cipher.crysl:140,-,the api30 rule does not declare the clause
REQUIRES,CipherInputStream,generatedCipher,1,no,no,expert-only,wireable,-,CipherInputStream.crysl:31,-,the api30 rule does not declare the clause
REQUIRES,CipherOutputStream,generatedCipher,1,no,no,expert-only,wireable,-,CipherOutputStream.crysl:32,-,the api30 rule does not declare the clause
REQUIRES,DigestInputStream,generatedMessageDigest,1,no,no,expert-only,wireable,-,DigestInputStream.crysl:33,-,the api30 rule does not declare the clause
REQUIRES,DigestOutputStream,generatedMessageDigest,1,no,no,expert-only,wireable,-,DigestOutputStream.crysl:34,-,the api30 rule does not declare the clause
REQUIRES,KeyAgreement,generatedPrivkey,1,no,no,expert-only,wireable,-,KeyAgreement.crysl:45,-,the api30 rule does not declare the clause
REQUIRES,KeyAgreement,generatedPubkey,1,no,no,expert-only,wireable,-,KeyAgreement.crysl:46,-,the api30 rule does not declare the clause
REQUIRES,KeyAgreement,preparedDH,1,no,yes,expert-only,wireable,-,KeyAgreement.crysl:47,-,the api30 rule does not declare the clause
REQUIRES,KeyAgreement,preparedEC,1,no,yes,expert-only,wireable,-,KeyAgreement.crysl:48,-,the api30 rule does not declare the clause
REQUIRES,KeyAgreement,randomized,1,no,no,expert-only,wireable,-,KeyAgreement.crysl:44,-,the api30 rule does not declare the clause
REQUIRES,KeyFactory,speccedKey,2,no,no,expert-only,wireable,-,KeyFactory.crysl:27,-,the api30 rule does not declare the clause
REQUIRES,KeyManagerFactory,generatedManagerFactoryParameters,1,no,no,expert-only,wireable,-,KeyManagerFactory.crysl:32,-,the api30 rule does not declare the clause
REQUIRES,KeyPairGenerator,preparedDSA,1,no,yes,changed,wireable,unmonitored-producer,KeyPairGenerator.crysl:36,KeyPairGenerator.cryptsl:60,disposition unmonitored-producer -> wireable
REQUIRES,KeyPairGenerator,preparedEC,1,no,yes,changed,wireable,unclosable,KeyPairGenerator.crysl:38,KeyPairGenerator.cryptsl:64,disposition unclosable -> wireable
REQUIRES,Mac,generatedKey,2,no,no,expert-only,wireable,-,Mac.crysl:54,-,the api30 rule does not declare the clause
REQUIRES,OAEPParameterSpec,preparedMGF1,2,no,no,expert-only,wireable,-,OAEPParameterSpec.crysl:22,-,the api30 rule does not declare the clause
REQUIRES,SSLContext,randomized,1,no,no,changed,wireable,vacuous,SSLContext.crysl:34,SSLContext.cryptsl:52,bindable expert=True api30=False; disposition vacuous -> wireable
REQUIRES,SecureRandom,randomized,1,no,no,changed,vacuous,wireable,SecureRandom.crysl:46,SecureRandom.cryptsl:66,disposition wireable -> vacuous
REQUIRES,TrustAnchor,generatedPubkey,1,no,no,expert-only,wireable,-,TrustAnchor.crysl:18,-,the api30 rule does not declare the clause
REQUIRES,TrustManagerFactory,generatedManagerFactoryParameters,1,no,no,expert-only,wireable,-,TrustManagerFactory.crysl:29,-,the api30 rule does not declare the clause
REQUIRES,X509EncodedKeySpec,preparedKeyMaterial,1,no,no,expert-only,wireable,-,X509EncodedKeySpec.crysl:14,-,the api30 rule does not declare the clause
