# What re-anchoring `order_alphabet_map.csv` on the expert catalogue costs, row by row
# (task 11.2, D-16). Derived by `scripts/gh105_expert_alphabet.py --emit delta`.
#
# `klass` reads:
#   same-name                the expert rule names the same call by the same symbol
#   renamed                  same call, same grouping, different symbol
#   regrouped                same call, and a differently shaped aggregate holds it
#   narrowed                 the api30 symbol stood for calls the expert rule splits apart
#   unpaired                 the api30 symbol names a call the expert rule does not
#   order-unmapped           the row erases the event from both languages (INV-INS-138)
#   restored-under-expert    the api30 map erases the event and a task reopened it against
#                            the expert symbol the erasure could not know about
#   uncovered-expert-symbol  the expert rule declares it and no `.mop` event of the set
#                            observes it -- the KeyStore setter case, generalised
#   withdrawn-api30-symbol   api30 declared it and the expert rule does not
#
# An `order-unmapped` row whose erasure rested on the api30 alphabet is never reopened by
# derivation: the row keeps its disposition and the delta records that the expert rule does
# name the call. Reopening one is a decision, and a decided row leaves this table as
# `restored-under-expert` with the deciding task's reason attached -- `MacSpec.updateBuffer`
# at task 11.6, the only one so far.
spec,mop_event,api30_symbol,expert_symbol,klass,signature,note
KeyGeneratorSpec,initRandom,i5,i5,same-name,init(ranGen),
KeyGeneratorSpec,initRandomSize,i2,i2,same-name,"init(keySize, ranGen)",
KeyGeneratorSpec,initRandomSpec,i4,i4,same-name,"init(params, ranGen)",
KeyGeneratorSpec,gk1,gk,GenKey,renamed,key = generateKey(),
KeyManagerFactorySpec,g1,g1,g1,same-name,getInstance(algo),
KeyManagerFactorySpec,g2,g2,g2,same-name,"getInstance(algo, _)",
KeyManagerFactorySpec,g3,,,order-unmapped,,order-unmapped
KeyManagerFactorySpec,init,Init,Init,same-name,"init(keyStore, password); init(params)",
KeyManagerFactorySpec,gkm1,gkm,GetKeyMng,renamed,kms = getKeyManagers(),
KeyPairSpec,c1,co,Con,renamed,"KeyPair(consPub, consPriv)",
KeyPairSpec,gpu,pu,GetPubl,renamed,retPub = getPublic(),
KeyPairSpec,gpr,pr,GetPriv,renamed,retPriv = getPrivate(),
KeyStoreSpec,g1,g1,g1,same-name,getInstance(keyStoreAlg),
KeyStoreSpec,g2,,,order-unmapped,,order-unmapped
KeyStoreSpec,load,Loads,Load,renamed,"load(fileinput, passwordIn); load(paramLoad)",
KeyStoreSpec,store,Stores,Store,renamed,"store(paramStore); store(fileoutput, passwordOut)",
KeyStoreSpec,ge1,gE,GetEntry,renamed,"getEntry(aliasGet, protParamGet)",
KeyStoreSpec,se1,sE,SetEntry,renamed,"setEntry(aliasSet, entry, protParamSet)",
KeyStoreSpec,gk1,gk,GetKey,renamed,"key = getKey(alias, passwordKey)",
KeyStoreSpec,g3,g2,g2,same-name,"getInstance(keyStoreAlg, _)",
MacSpec,g1,g1,g1,duplicate-settled,getInstance(macAlg),"`getInstance(String)`; api30 declares this signature as both g1 and g2, and the expert rule writes it once, as g1"
MacSpec,g2,g2,g2,duplicate-settled,getInstance(macAlg),"the provider overload the `.mop` event observes, `getInstance(String, String)`. api30's g2 repeats g1's one-argument signature; the expert rule writes the overload as `g2: getInstance(algorithm, _)`"
MacSpec,g3,,,order-unmapped,,order-unmapped
MacSpec,i1,i1,i1,same-name,init(key),
MacSpec,i2,i2,i2,same-name,"init(key, params)",
MacSpec,update,u1,u1,same-name,update(inp),
MacSpec,updateBytes,u2,u2,duplicate-settled,update(pre_input),"`update(byte[])`; api30 declares this signature as both u2 and u4, and the expert rule writes it once, as u2"
MacSpec,updateBytes,u4,,withdrawn-duplicate,update(pre_input),"api30's u4 is its second declaration of `update(byte[])`, and the map carries a row for it only so that no symbol of the rule goes unclaimed. The expert rule writes `u4: update(ByteBuffer)` -- a different call, which this set observes at `MacSpec.updateBuffer` -- so the duplicate has no expert counterpart and the row that held it is withdrawn"
MacSpec,updateRange,u3,u3,same-name,"update(pre_input, offset, len)",
MacSpec,updateBuffer,,u4,restored-under-expert,update(preInputByteBuffer),"`update(ByteBuffer)`, the rule's `u4: update(preInputByteBuffer)` (`Mac.crysl:9,30`), held by `Update` (`:31`). The row was erased under api30, correctly: that rule declared no such overload, and its `u4` was a second declaration of `update(byte[])`. Restored at task 11.6 against the sole oracle, and the restoration is load-bearing rather than decorative, which measurement settled against the expectation the task was written with. Against the `ere` as it stood the restoration is verdict-neutral -- that `ere` accepted zero updates through `(update | ... | updateBuffer)*`, so the witness `g1 i1 f1` stands whether or not `updateBuffer` carries a symbol. Against the repaired `ere`, which writes `+` where the rule writes `Update+`, it is what makes the repair hold: G-ORDER erases an unmapped event as an epsilon move, so an erased symbol inside a `+` satisfies the `+` with no call at all, and `g1 i1 f1` survives the repair unchanged. Measured both ways on 2026-08-26. The two changes are separate commits because one moves an accusation and the other does not, and this one goes first: a record whose effect appears only once the automaton catches up is still a record"
MacSpec,f1,f1,f1,same-name,output1 = doFinal(),
MacSpec,f1Input,f2,FinalWU,renamed,output2 = doFinal(input),
MacSpec,f2,f3,f3,same-name,"doFinal(output1, outOffset)",
MessageDigestSpec,g1,g1,g1,same-name,getInstance(digestAlg),
MessageDigestSpec,g2,g2,g2,same-name,"getInstance(digestAlg, _)",
MessageDigestSpec,g3,g2,g2,same-name,"getInstance(digestAlg, _)",
MessageDigestSpec,g4,,,order-unmapped,,order-unmapped
MessageDigestSpec,update,Updates,Update,renamed,"update(pre_inbyte); update(pre_inbytearr); update(pre_inbytearr, pre_off, pre_len); update(pre_inpBuf)",
MessageDigestSpec,d1,d1,d1,same-name,out = digest(),
MessageDigestSpec,d2,d2,DWOU,renamed,out = digest(inbytearr),
MessageDigestSpec,d3,d3,d3,same-name,"digest(out, off, len)",
SecretKeySpec,e1,ge,GetEnc,renamed,keyMaterial = getEncoded(),
CertPathTrustManagerParametersSpec,c1,,c1,expert-native,CertPathTrustManagerParameters(params),decided under the expert oracle; api30 never carried this association
DHParameterSpecSpec,c1,,c1,expert-native,"DHParameterSpec(p, g)",decided under the expert oracle; api30 never carried this association
DHParameterSpecSpec,c2,,c2,expert-native,"DHParameterSpec(p, g, l)",decided under the expert oracle; api30 never carried this association
DSAParameterSpecSpec,c1,,c1,expert-native,"DSAParameterSpec(p, q, g)",decided under the expert oracle; api30 never carried this association
ECGenParameterSpecSpec,c1,,c1,expert-native,ECGenParameterSpec(stdName),decided under the expert oracle; api30 never carried this association
ECParameterSpecSpec,c1,,c1,expert-native,"ECParameterSpec(curve, g, n, h)",decided under the expert oracle; api30 never carried this association
KeySpec,ge1,,ge1,expert-native,keyMaterial = getEncoded(),decided under the expert oracle; api30 never carried this association
KeyStoreBuilderParametersSpec,c1,,c1,expert-native,KeyStoreBuilderParameters(builder),decided under the expert oracle; api30 never carried this association
MGF1ParameterSpecSpec,c1,,c1,expert-native,MGF1ParameterSpec(mdName),decided under the expert oracle; api30 never carried this association
OAEPParameterSpecSpec,c1,,c1,expert-native,"OAEPParameterSpec(mdName, mgfName, mgfSpec, pSrc)",decided under the expert oracle; api30 never carried this association
PKIXParametersSpec,c1,,c1,expert-native,PKIXParameters(keyStore),decided under the expert oracle; api30 never carried this association
PKIXParametersSpec,c2,,c2,expert-native,PKIXParameters(_),decided under the expert oracle; api30 never carried this association
PKIXBuilderParametersSpec,c1,,c1,expert-native,"PKIXBuilderParameters(keystore, targetConstraints)",decided under the expert oracle; api30 never carried this association
PKIXBuilderParametersSpec,c2,,c2,expert-native,"PKIXBuilderParameters(trustAnchors, targetConstraints)",decided under the expert oracle; api30 never carried this association
RSAKeyGenParameterSpecSpec,c1,,c1,expert-native,"RSAKeyGenParameterSpec(keysize, publicExponent)",decided under the expert oracle; api30 never carried this association
TrustAnchorSpec,c1,,c1,expert-native,"TrustAnchor(_, publicKey, _)",decided under the expert oracle; api30 never carried this association
TrustAnchorSpec,c2,,c2,expert-native,"TrustAnchor(trustedCert, _)",decided under the expert oracle; api30 never carried this association
TrustAnchorSpec,c3,,c3,expert-native,"TrustAnchor(caPrincipal, publicKey, _)",decided under the expert oracle; api30 never carried this association
X509EncodedKeySpecSpec,c1,,c1,expert-native,X509EncodedKeySpec(encodedKey),decided under the expert oracle; api30 never carried this association
,,,Cipher.crysl:ua1,uncovered-expert-symbol,updateAAD(aadBytes),named by the expert ORDER
,,,Cipher.crysl:ua2,uncovered-expert-symbol,"updateAAD(aadBytes, aadOffset, aadLen)",named by the expert ORDER
,,,Cipher.crysl:ua3,uncovered-expert-symbol,updateAAD(aadByteBuffer),named by the expert ORDER
,,iv,Cipher.crysl:iv1,uncovered-expert-symbol,getIV(),declared and never used by the expert ORDER
,,CipherInputStream.cryptsl:c1,,withdrawn-api30-symbol,CipherInputStream(is),named by the api30 ORDER
,,CipherOutputStream.cryptsl:c1,,withdrawn-api30-symbol,CipherOutputStream(os),named by the api30 ORDER
,,KeyStore.cryptsl:scE,,withdrawn-api30-symbol,"setCertificateEntry(alias, cert)",declared and never used by the api30 ORDER
,,KeyStore.cryptsl:skE1,,withdrawn-api30-symbol,"setKeyEntry(alias, byteKey, chain)",declared and never used by the api30 ORDER
,,KeyStore.cryptsl:skE2,,withdrawn-api30-symbol,"setKeyEntry(alias, key, passwordKey, chain)",declared and never used by the api30 ORDER
,,d,SecretKey.crysl:d1,uncovered-expert-symbol,destroy(),named by the expert ORDER
,,,SecureRandom.crysl:nI,uncovered-expert-symbol,randInt = nextInt(),named by the expert ORDER
,,,SecureRandom.crysl:nIR,uncovered-expert-symbol,randIntInRange = nextInt(range),named by the expert ORDER
,,SecureRandom.cryptsl:ne,,withdrawn-api30-symbol,next(numB),named by the api30 ORDER
