admissibilidade (colunas, nao filtro): {'admissivel': 15653, 'inadmissivel': 22, 'estrutural': 171, 'parada_ferramenta': 246, 'lancamento_externo': 45}
unidades (apk, timeout) pareadas: 489 | timeouts: [60, 180, 300] | tasks: 16137 | tools: ['monkey', 'droidbot:dfs_greedy', 'droidbot:bfs_greedy', 'droidbot:dfs_naive', 'droidbot:bfs_naive', 'ape', 'droidmate', 'humanoid', 'ares', 'fastbot', 'qtesting']
CSVs em: /pedro/desenvolvimento/workspaces/workspaces-doutorado/workspace-rv/rvsec/rv-android/data/results/estudo02-20260916_consolidado

   T A                      B                      metric        medA    medB  A>B  A<B        p sig
 180 monkey                 droidbot:dfs_naive     cov_method  20.322   17.34  123   39      0.0 sim
 180 monkey                 droidbot:dfs_naive     mop_total        0       0   37   15  0.00295 sim
 180 monkey                 droidbot:bfs_naive     cov_mop     16.971  14.186  110   30      0.0 sim
 180 monkey                 droidbot:bfs_naive     mop_unique       0       0   27   14  0.01549 sim
 180 monkey                 droidbot:bfs_naive     mop_unique4       0       0   27   11  0.00199 sim
 180 monkey                 droidbot:bfs_naive     cov_method  20.322  17.828  126   36      0.0 sim
 180 monkey                 droidbot:bfs_naive     mop_total        0       0   36   16  0.00933 sim
 180 monkey                 ape                    cov_mop     16.971   24.79   26  114      0.0 sim
 180 monkey                 ape                    mop_unique       0       0   11   28  0.00542 sim
 180 monkey                 ape                    mop_unique4       0       0   12   24  0.03057 sim
 180 monkey                 ape                    cov_method  20.322  25.378   25  137      0.0 sim
 180 monkey                 ape                    mop_total        0       0   14   53      0.0 sim
 180 monkey                 droidmate              cov_mop     16.971  16.667   69   72  0.63523 nao
 180 monkey                 droidmate              mop_unique       0       0   23   19  0.75896 nao
 180 monkey                 droidmate              mop_unique4       0       0   21   17  0.26038 nao
 180 monkey                 droidmate              cov_method  20.322  20.337   80   82  0.98466 nao
 180 monkey                 droidmate              mop_total        0       0   29   32   0.0626 nao
 180 monkey                 humanoid               cov_mop     16.971  14.952   88   50  0.00011 sim
 180 monkey                 humanoid               mop_unique       0       0   20   19  0.44106 nao
 180 monkey                 humanoid               mop_unique4       0       0   20   16   0.2479 nao
 180 monkey                 humanoid               cov_method  20.322  18.587  103   59  0.00016 sim
 180 monkey                 humanoid               mop_total        0       0   31   23  0.48987 nao
 180 monkey                 ares                   cov_mop     16.971  16.335   87   55  0.00053 sim
 180 monkey                 ares                   mop_unique       0       0   24   16  0.15529 nao
 180 monkey                 ares                   mop_unique4       0       0   23   15  0.05532 nao
 180 monkey                 ares                   cov_method  20.322  18.775  103   59    5e-05 sim
 180 monkey                 ares                   mop_total        0       0   22   50    7e-05 sim
 180 monkey                 fastbot                cov_mop     16.971  15.603   83   58  0.00931 sim
 180 monkey                 fastbot                mop_unique       0       0   23   19  0.39433 nao
 180 monkey                 fastbot                mop_unique4       0       0   23   17  0.15988 nao
 180 monkey                 fastbot                cov_method  20.322  18.859   88   74  0.03606 sim
 180 monkey                 fastbot                mop_total        0       0   31   27  0.65565 nao
 180 monkey                 qtesting               cov_mop     16.971  12.145  112   26      0.0 sim
 180 monkey                 qtesting               mop_unique       0       0   28   17  0.02554 sim
 180 monkey                 qtesting               mop_unique4       0       0   27   16  0.00535 sim
 180 monkey                 qtesting               cov_method  20.322  16.477  119   43      0.0 sim
 180 monkey                 qtesting               mop_total        0       0   25   54      0.0 sim
 180 droidbot:dfs_greedy    droidbot:bfs_greedy    cov_mop     15.578  15.618   74   51   0.3613 nao
