"id","spec_clausula","dimensao","fenomeno_id","posicao","classificacao","tipo","evidencia_primaria","resultado","contraevidencia_procurada","ameaca_validade","impacto_fp_fn","severidade","confianca","resolucao_juiz","classificacao_final","severidade_final","fenomeno_id_final","justificativa_curta"
"ALFA-KGN-11","KGN formal-only ORDER divergences (g1+ repetition; g3* before g2+)","linguagem_formal","","PASS","DIVERGENCIA_EQUIVALENTE_COMPROVADA","verificacao_algoritmica","alfa_language_results.txt formal event-level: g1 g1 gk1 and g3 g2 gk1 accepted by effective automaton, outside L(CrySL)","effective language strictly larger at event level; every extra word needs two getInstance returns aliased to one object — unrealizable by identity","searched for a JCA path returning the same KeyGenerator twice: none (factory always constructs)","object realizability argument is API-semantic, not proven over all providers","none on realizable traces","minor","0.85","PASS","DIVERGENCIA_EQUIVALENTE_COMPROVADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
"ALFA-KGN-12","KGN diagnostics (@fail message and labels)","diagnostico","FEN-C-CARRIER-SEQFAIL","FAIL","INCORRETA","medicao","alfa_harnessC_rep1.txt KGN-T2/T3: expecting=unknown on InvalidSequence rows; 'expecting one ofAES...' missing space (KeyGeneratorSpec.mop:111); empty 'but found .' on the suppressed-g2 path","sequence accusations carry no expected-set; specific error accompanied by spurious @fail (G9 gate breach); ErrorSummary drops expecting (batch B carry-over)","looked for state/event context in ErrorDescription: only type+spec+loc survive","","diagnostic misattribution","major","0.9","FAIL","INCORRETA","major","FEN-C-CARRIER-SEQFAIL","CONFIRMADO: judge S4 records show unknown labels + list-dump message; diagnostics facet of the carrier phenomenon."
"ALFA-KGN-13","KGN folding x JCA (D-piloto-2 a)","bindings_clausulas","","PASS","FIDELIDADE_DEMONSTRADA","harness","alfa_foldingC_rep1.txt KeyGenerator section: 'aes'/'Aes'/'hmacsha256' resolve on JDK, guard and raw literal set both reject","case variants: spec verdict (unsafe) agrees with raw constraint (literal mismatch) — categories consistent","searched for a case variant where spec and raw disagree: only the 6 aliases (ALFA-KGN-04)","JDK-vs-Android provider divergence declared; carrier FP (ALFA-KGN-02) still fires on these variants","none beyond registered claims","minor","0.85","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: folding outputs conferred; case variants flagged by both sides for KGN (exact-contains guard)."
"ALFA-KGN-14","KGN part() over absent component (D-piloto-2 b)","bindings_clausulas","","PASS","FIDELIDADE_DEMONSTRADA","leitura_normativa","KeyGenerator.cryptsl:43-48 constraints use plain membership and one implication; no part()","N/A — declared explicitly per round rules","rule re-read for hidden part() usage: none","","none","minor","0.95","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
"ALFA-KMF-01","KMF ORDER Gets,Init,gkm? — safe paths incl. i1/i2 split","linguagem_formal","","PASS","FIDELIDADE_DEMONSTRADA","verificacao_algoritmica+harness","product over KeyManagerFactorySpecRuntimeMonitor.java:192-197 tables; alfa_harnessC_rep1.txt CHAIN-T1/KMF-T2: 0 errors on g1 i1 gkm1","safe words accepted without accusation; i1/i2 take exactly the fused event's transition","product BFS: no safe-path fail","","none","minor","0.95","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
"ALFA-KMF-02","KMF unsafe-algorithm carrier then mandatory init","linguagem_formal","FEN-C-CARRIER-SEQFAIL","FAIL","INCORRETA","contraexemplo_executado","separating trace G1u I1 (alfa_language_results.txt); alfa_harnessC_rep1.txt KMF-T1: getInstance(""SunX509"");init;getKeyManagers -> UnsafeAlgorithm + 2x InvalidSequence","unsafeAlg state (KeyManagerFactorySpec.mop:107-111) has no i-transition, so constraint-only misuse becomes double sequence FP","checked fsm for i1/i2 out of unsafeAlg: absent by design comment","SunX509 resolves on JDK (folding harness); Android realizability via any non-PKIX resolvable name","FP x2 + spurious @fail beside UnsafeAlgorithm","critica","0.95","FAIL","INCORRETA","critica","FEN-C-CARRIER-SEQFAIL","CONFIRMADO: judge S2 + W; same-__LOC pairing at i1; registered only partially (3b.11b names the delayed accusation, not the same-call pairing)."
"ALFA-KMF-03","KMF 2-arg unsafe getInstance suppressed","captura_eventos","FEN-C-GETS-INVISIVEL","FAIL","INCORRETA","verificacao_algoritmica","KeyManagerFactorySpec.mop:42-48 (g2 condition, no unsafe twin); witness G2u I1 in alfa_language_results.txt; mechanism identical to measured KGN-T3/CHAIN-T2","Gets invisible -> monitor created at init -> immediate fail on rule-conformant ORDER","grep for 2-arg unsafe counterpart event: absent","not separately driven (same monitor mechanics as measured KGN/KST cases)","FP","critica","0.9","FAIL","INCORRETA","critica","FEN-C-GETS-INVISIVEL","CONFIRMADO: same mechanism; i1[0]=fail walked (W)."
"ALFA-KMF-04","KMF acceptance at end of trace (gkm1 -> start)","linguagem_formal","FEN-C-ACCEPT-END","FAIL","INCORRETA","verificacao_algoritmica+harness","gkm1 row {3,3,0,3} (RuntimeMonitor.java:197): from match state 2 to non-match 0; alfa_harnessC_rep1.txt KMF-T2","CrySL-complete word g1 i1 gkm1 ends outside the match category; accepting mark persists only because gkm1 fires no handler","looked for an unset of the accepting mark on that path: none, so no observable error","re-entry words enabled from state 0 are object-unrealizable","none demonstrated (table-level divergence)","minor","0.9","FAIL","INCORRETA","minor","FEN-C-ACCEPT-END","CONFIRMADO: complete rule word ends outside match1 (W); no realizable FP/FN found — minor, table-level."
"ALFA-KMF-05","KMF REQUIRES generatedKeyStore[keyStore] at i1","predicados_composicao","","PASS","FIDELIDADE_DEMONSTRADA","harness","KeyManagerFactorySpec.mop:76-79; alfa_harnessC_rep1.txt CHAIN-T1 (marked ks validates) and CHAIN-T2 (unmarked ks -> UnsatisfiedConstraint)","reader bound to the rule's object, both directions of the KST->KMF edge exercised","null-guard residue noted (init(null,pw) skips read)","","none in monitored path","minor","0.95","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
"ALFA-KMF-06","KMF ENSURES generatedKeyManager[this]/[kms]","predicados_composicao","","PASS","FIDELIDADE_DEMONSTRADA","harness+inspecao","writes at .mop:80/91/98 (one constant, two objects); SSL reader consumes the array (CHAIN-T1)","both ENSURES written; array route feeds SSLContext.init as the rule chains it","factory-object reader search across 23 specs: none (array is the consumed route, consistent with rules)","","none","minor","0.9","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
"ALFA-KMF-07","KMF @fail remove cascade after granted ENSURES","predicados_composicao","FEN-C-REMOVE-CASCADE","FAIL","INCORRETA","contraexemplo_executado","alfa_harnessC_rep1.txt CHAIN-T3: second getKeyManagers -> fail -> remove(GENERATED_KEY_MANAGERS,kms) -> SSLContext.init reports UnsatisfiedConstraint on previously-validated managers","a later misuse revokes an ENSURES the rule granted unconditionally; KMF/TMF/KGN/KST/SSL rules carry zero NEGATES (grep count 0)","searched the five api30 rules for NEGATES justifying revocation: none","second getKeyManagers is itself a raw-rule violation — the FP lands on the innocent SSLContext, not the offender","FP on downstream spec after any upstream sequence violation","critica","0.9","FAIL","INCORRETA","critica","FEN-C-REMOVE-CASCADE","CONFIRMADO: judge S10 — granted mark of the handed-out array revoked at a later fail; SSL init(kms2) FP; zero NEGATES in the five rules (judge grep)."
"ALFA-KMF-08","KMF CONSTRAINT neverTypeOf(password, String)","bindings_clausulas","","PASS","LIMITACAO_INEVITAVEL_DOCUMENTADA","leitura_normativa+registro","KeyManagerFactory.cryptsl:39; registered out of scope in openspec gh101 tasks.md:117 and data/gh101/README.md:695","static type-provenance constraint unobservable by a dynamic monitor over a char[] signature; registration on file","checked register text names KMF explicitly: yes","registration blocks total-adherence claims (modelo_semantico §7) — no researcher countersignature on file","FN on the static pattern the clause targets","minor","0.9","PASS","LIMITACAO_INEVITAVEL_DOCUMENTADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
"ALFA-KMF-09","KMF CONSTRAINT algo in {PKIX} whitelist","bindings_clausulas","","PASS","FIDELIDADE_DEMONSTRADA","harness+registro","safeAlgorithms == raw set (conformance_record.csv:10); alfa_foldingC_rep1.txt: pkix/Pkix variants rejected by both","whitelist literal-identical to raw api30 set; folding consistent","searched for extra members: none","carrier FP on rejected names is ALFA-KMF-02","none","minor","0.95","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
"ALFA-KMF-10","KMF parametric binding all events","bindings_clausulas","","PASS","FIDELIDADE_DEMONSTRADA","inspecao_artefato","all 6 events bind k (.mop:34-99); indexing tree KeyManagerFactorySpec_k_Map","parameterless/unbound shapes absent","grep AbstractSynchronizedMonitor: not this spec (AbstractAtomicMonitor per-object)","","none","minor","0.9","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
"ALFA-TMF-01","TMF ORDER Gets,Init,gtm? — safe paths + gtm1 four-defect repair","linguagem_formal","","PASS","FIDELIDADE_DEMONSTRADA","verificacao_algoritmica+harness","tables TrustManagerFactorySpecRuntimeMonitor.java:193-198 isomorphic to KMF; gtm1 binds mf, returns TrustManager[], writes GENERATED_TRUST_MANAGERS (.mop:105-110); CHAIN-T1 0 errors","safe path clean; the four jca defects (k-binding, TrustManager[][], KeyManager[] return, wrong constant) verified repaired in the round artifact","diffed against jca twin: defects present there, absent here","","none","minor","0.95","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
"ALFA-TMF-02","TMF unsafe-algorithm carrier then mandatory init","linguagem_formal","FEN-C-CARRIER-SEQFAIL","FAIL","INCORRETA","contraexemplo_executado","alfa_harnessC_rep1.txt TMF-T1: getInstance(""X509"");init;getTrustManagers -> UnsafeAlgorithm + 2x InvalidSequence; X509 resolves on host JDK (folding)","the campaign shape (frozen_set_debt.md:172 8371 UnsafeAlgorithm events at MemorizingTrustManager) now also carries a double sequence FP","fsm re-read: unsafeAlg has no i-transition (TrustManagerFactorySpec.mop:124-128)","gh101 task 3.1 moved the accusation from getInstance to init but the sequence FP remains","FP x2 + spurious @fail","critica","0.95","FAIL","INCORRETA","critica","FEN-C-CARRIER-SEQFAIL","CONFIRMADO: judge S1 executed the campaign fingerprint shape ('but found X509.')."
"ALFA-TMF-03","TMF 2-arg unsafe getInstance suppressed","captura_eventos","FEN-C-GETS-INVISIVEL","FAIL","INCORRETA","verificacao_algoritmica","witness G2u I1 (alfa_language_results.txt); mechanism identical to measured cases","Gets invisible -> immediate fail at init","grep for unsafe 2-arg twin: absent","not separately driven","FP","critica","0.9","FAIL","INCORRETA","critica","FEN-C-GETS-INVISIVEL","CONFIRMADO: executed by Gama (tmf_c: empty-label UnsafeAlgorithm + InvalidSeq at first-event i1)."
"ALFA-TMF-04","TMF acceptance at end of trace (gtm1 -> start)","linguagem_formal","FEN-C-ACCEPT-END","FAIL","INCORRETA","verificacao_algoritmica","gtm1 row {3,3,0,3}; same shape as ALFA-KMF-04","CrySL-complete g1 i1 gtm1 ends non-match; mark persists","same as KMF","re-entry unrealizable","none demonstrated","minor","0.9","FAIL","INCORRETA","minor","FEN-C-ACCEPT-END","CONFIRMADO: same (W)."
"ALFA-TMF-05","TMF REQUIRES generatedKeyStore[keyStore] at i1","predicados_composicao","","PASS","FIDELIDADE_DEMONSTRADA","harness",".mop:79-82; CHAIN-T1 marked-ks path clean","reader on the rule's object; KST->TMF edge closed","null-guard residue noted","","none","minor","0.95","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
"ALFA-TMF-06","TMF ENSURES generatedTrustManager[this]/[tms] via two constants","predicados_composicao","","PASS","DIVERGENCIA_EQUIVALENTE_COMPROVADA","inspecao+registro","factory write GENERATED_TRUST_MANAGER (.mop:83/94) reader-less, registered predicate_omissions.csv:5; array write GENERATED_TRUST_MANAGERS (.mop:109) read by SSL (CHAIN-T1)","one CrySL predicate name split over two constants; the consumed route (array) is correct; the factory mark is a registered terminal write","reader search for GENERATED_TRUST_MANAGER across 23 specs: none","","none","minor","0.9","PASS","DIVERGENCIA_EQUIVALENTE_COMPROVADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
"ALFA-TMF-07","TMF @fail remove cascade","predicados_composicao","FEN-C-REMOVE-CASCADE","FAIL","INCORRETA","verificacao_algoritmica","@fail removes GENERATED_TRUST_MANAGERS(trustManagers) (.mop:145); code path symmetric to measured CHAIN-T3","second getTrustManagers revokes the granted ENSURES and poisons any later SSLContext.init on those managers","NEGATES search in TrustManagerFactory.cryptsl: none","by symmetry with measured KMF path, not separately driven","FP downstream","critica","0.85","FAIL","INCORRETA","critica","FEN-C-REMOVE-CASCADE","CONFIRMADO e fechada a rota unica: judge S11 executed the TMF twin directly (was symmetry-only, confidence 0.85)."
"ALFA-TMF-08","TMF CONSTRAINT algo in {PKIX}","bindings_clausulas","","PASS","FIDELIDADE_DEMONSTRADA","harness+registro","conformance_record.csv:24; folding X509/SunX509 rejected by both sides","literal-identical whitelist","extra members: none","carrier FP is ALFA-TMF-02","none","minor","0.95","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
"ALFA-SSL-01","SSL ORDER Gets,Init — safe 1-arg and (String,String) paths","linguagem_formal","","PASS","FIDELIDADE_DEMONSTRADA","verificacao_algoritmica+harness","tables SSLContextSpecRuntimeMonitor.java:170-174; CHAIN-T1 g1 init clean (single extra-oracle randomized report aside)","safe captured paths accepted","product BFS no safe-path fail on captured overloads","","none","minor","0.95","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
"ALFA-SSL-02","SSL unsafe-protocol carrier then mandatory init","linguagem_formal","FEN-C-CARRIER-SEQFAIL","FAIL","INCORRETA","contraexemplo_executado","alfa_harnessC_rep1.txt SSL-T1: unsafe getInstance;init -> UnsafeProtocol + InvalidSequence; SSLv3/DTLS resolve on JDK (folding)","constraint-only misuse doubles as sequence FP; unsafeProtocol state (mop:108-112) has no init transition","fsm re-read: confirmed absent","protocol names outside the folded 7-list that resolve on Android 30 exist (e.g. SSLv3 via Conscrypt) — declared, not device-verified","FP + spurious @fail","critica","0.9","FAIL","INCORRETA","critica","FEN-C-CARRIER-SEQFAIL","CONFIRMADO: judge S3 (UnsafeProtocol + InvalidSeq, same call)."
"ALFA-SSL-03","SSL CrySL g2 coverage: (String,Provider) overload uncaptured; 2-arg unsafe suppressed","captura_eventos","FEN-C-GETS-INVISIVEL","FAIL","INCORRETA","verificacao_algoritmica+javap","alfa_javap_android30.txt: three getInstance overloads; g2 pointcut is (String,String) only (SSLContextSpecMonitorAspect.aj); witnesses G2sP INIT and G2u INIT (alfa_language_results.txt)","a SAFE protocol via getInstance(String,Provider) is invisible -> init FPs; KGN(Object+)/KMF(String,..) cover the same overload, SSL does not","searched aspect for a Provider-matching disjunct: none","ajc matching semantics applied statically; woven execution not run","FP even on fully conformant safe usage","critica","0.9","FAIL","INCORRETA","critica","FEN-C-GETS-INVISIVEL","CONFIRMADO: judge S14 — real getInstance(TLS, Provider) + init => 2 records on fully conformant trace, 'but found .' label."
"ALFA-SSL-04","SSL Engine events se1/se2 — pointcut declares void return","captura_eventos","FEN-SSL-ENGINE-VOID","FAIL","INCORRETA","inspecao_artefato+javap+harness","aspect: call(public void SSLContext.createSSLEngine(..)) with after-returning(SSLEngine); alfa_javap_android30.txt: both overloads return SSLEngine; alfa_harnessC_rep1.txt SSL-T2: real createSSLEngine leaves GENERATE_SSL_ENGINE unset, 0 events","AspectJ return-type pattern void cannot match a method returning SSLEngine -> zero-capture of the whole Engine channel; ENSURES generatedSSLEngine[eng] unestablishable","searched for any other engine pointcut: none; predicate_edges.csv:63 marks the edge 'present' — register asserts a writer that can never fire","no ajc weave executed on host (no aspectjtools): matching verdict from documented AspectJ semantics + javap types; G6 pendency declared","FN for the whole Engine dimension + downstream starvation of any generatedSSLEngine reader","critica","0.9","FAIL","INCORRETA","critica","FEN-SSL-ENGINE-VOID","CONFIRMADO: void-return pointcut vs SSLEngine return verified on android-30 class bytes (judge javap); both weave halves blind (Beta capture matrix + weave outputs conferred)."
"ALFA-SSL-05","SSL ORDER Engine? cardinality (engine loop at end state)","linguagem_formal","FEN-SSL-ENGINE-VOID","FAIL","INCORRETA","verificacao_algoritmica","engine row {3,1,3,3}: end->end loop vs raw Engine? (at most one); moot at runtime because the event never fires (ALFA-SSL-04)","effective table accepts engine*, raw language accepts at most one Engine","table re-read confirmed","second-engine FN witness realizable only after the pointcut is repaired","latent FN (masked by zero-capture)","major","0.85","FAIL","INCORRETA","critica","FEN-SSL-ENGINE-LOOP","CONFIRMADO; FEN remapped to FEN-SSL-ENGINE-LOOP; harmonized ->critica: judge S15b executed the FN (2nd engine silent); oracle-bias note recorded (Engine? strictness), oracle stands raw."
"ALFA-SSL-06","SSL FORBIDDEN getDefault() => Gets","captura_eventos","FEN-SSL-GETDEFAULT-OMITIDA","FAIL","OMITIDA","inspecao_artefato","SSLContext.cryptsl:16-18; no getDefault pointcut in .mop or .aj; alfa_javap_android30.txt: member exists on android-30","FORBIDDEN clause untranslated -> SSLContext.getDefault() usage invisible","grep getDefault over data/gh101 registers and openspec gh101: not registered as deliberate omission","forbidden-event semantics (CogniCrypt ForbiddenMethodError) taken from CrySL docs","FN realizable (getDefault is a common API)","critica","0.9","FAIL","OMITIDA","critica","FEN-SSL-GETDEFAULT-OMITIDA","CONFIRMADO: getDefault() exists on android-30 (judge javap); no event, no register row (0 hits); pilot CIP-17 precedent."
"ALFA-SSL-07","SSL REQUIRES randomized[sr] — sr unbound in the raw rule","predicados_composicao","FEN-SSL-RANDOMIZED-EXTRA","FAIL","INCORRETA","contraexemplo_executado","SSLContext.cryptsl:29 Init: init(kms,tms,_) — third arg anonymous; :52 randomized[sr] never bound by any event; spec reads RANDOMIZED on the argument (.mop:82-85); alfa_harnessC_rep1.txt CHAIN-T1: fresh SecureRandom in fully monitored chain -> UnsatisfiedConstraint","the raw api30 rule cannot attach randomized to the third argument (sr is bound by no event); the spec enforces it anyway — extra-oracle read, batch B PBK-RANDOMIZED family","searched the rule for any event binding sr: none; jca twin read nothing (gh101-introduced)","CogniCrypt semantics of REQUIRES over never-bound objects inferred from rule text (vacuous edge); plausible intent-repair but oracle is the raw rule","FP on every init whose SecureRandom was not marked by SecureRandomSpec","critica","0.8","FAIL","INCORRETA","critica","FEN-SSL-RANDOMIZED-EXTRA","CONFIRMADO: rule binds '_' and sr is bound by no event (rule read); judge S12 executed the FP on a fully conformant trace; SecureRandom rule ENSURES randomized[this] after Ins narrows production realizability to capture gaps — noted, does not license the read vs the raw oracle; pending researcher scope reduction (batch B PBK precedent)."
"ALFA-SSL-08","SSL REQUIRES generatedKeyManager[kms]/generatedTrustManager[tms]","predicados_composicao","","PASS","FIDELIDADE_DEMONSTRADA","harness",".mop:74-81 reads on the bound arrays; CHAIN-T1 both validate; CHAIN-T2/T3 starved reads accuse","both rule-bound REQUIRES read on the correct objects and constants; both edge directions exercised","null-guard residue (init(null,null,_) skips) noted","","none in monitored path","minor","0.95","PASS","FIDELIDADE_DEMONSTRADA","minor","","CONFIRMADO: evidencia primaria conferida pelo juiz; sem contraevidencia."
