apk,rep,timeout,tool,cov_act,cov_method,cov_rv_method,errors
com.allansimon.verbisteandroid_2.apk,1,300,fastbot,66.67,24.0,29.73,2
com.allansimon.verbisteandroid_2.apk,2,300,fastbot,66.67,24.0,29.73,2
com.allansimon.verbisteandroid_2.apk,3,300,fastbot,66.67,24.0,29.73,2
com.allansimon.verbisteandroid_2.apk,1,300,rvagent:pure_algorithm,100.0,32.0,40.54,2
com.allansimon.verbisteandroid_2.apk,2,300,rvagent:pure_algorithm,100.0,32.0,40.54,2
com.allansimon.verbisteandroid_2.apk,3,300,rvagent:pure_algorithm,100.0,32.0,40.54,2
com.andybotting.tramhunter_1300.apk,1,300,ape,75.0,22.14,28.77,0
com.andybotting.tramhunter_1300.apk,2,300,ape,91.67,25.66,33.8,0
com.andybotting.tramhunter_1300.apk,3,300,ape,58.33,20.93,27.04,0
com.andybotting.tramhunter_1300.apk,1,300,fastbot,83.33,24.67,32.41,0
com.andybotting.tramhunter_1300.apk,2,300,fastbot,58.33,14.98,21.32,0
com.andybotting.tramhunter_1300.apk,3,300,fastbot,83.33,23.9,31.89,0
com.andybotting.tramhunter_1300.apk,1,300,rvagent:pure_algorithm,25.0,3.52,5.03,0
com.andybotting.tramhunter_1300.apk,2,300,rvagent:pure_algorithm,25.0,6.72,10.05,0
com.andybotting.tramhunter_1300.apk,3,300,rvagent:pure_algorithm,33.33,10.79,15.42,0
com.aptasystems.dicewarepasswordgenerator_8.apk,1,300,ape,100.0,38.62,0.0,2
com.aptasystems.dicewarepasswordgenerator_8.apk,2,300,ape,100.0,33.79,0.0,0
com.aptasystems.dicewarepasswordgenerator_8.apk,3,300,ape,100.0,37.93,0.0,2
com.aptasystems.dicewarepasswordgenerator_8.apk,1,300,fastbot,100.0,40.0,0.0,2
com.aptasystems.dicewarepasswordgenerator_8.apk,2,300,fastbot,100.0,38.62,0.0,2
com.aptasystems.dicewarepasswordgenerator_8.apk,3,300,fastbot,100.0,42.07,0.0,2
com.aptasystems.dicewarepasswordgenerator_8.apk,1,300,rvagent:pure_algorithm,66.67,33.1,0.0,2
com.aptasystems.dicewarepasswordgenerator_8.apk,2,300,rvagent:pure_algorithm,66.67,35.86,0.0,2
com.aptasystems.dicewarepasswordgenerator_8.apk,3,300,rvagent:pure_algorithm,66.67,35.17,0.0,2
com.blippex.app_5.apk,1,300,ape,100.0,24.54,34.23,3
com.blippex.app_5.apk,2,300,ape,100.0,24.54,34.23,3
com.blippex.app_5.apk,3,300,ape,100.0,24.54,34.23,3
com.blippex.app_5.apk,1,300,fastbot,100.0,20.86,28.83,0
com.blippex.app_5.apk,2,300,fastbot,100.0,12.27,16.22,0
com.blippex.app_5.apk,3,300,fastbot,100.0,12.27,16.22,0
com.blippex.app_5.apk,1,300,rvagent:pure_algorithm,100.0,31.9,45.05,3
com.blippex.app_5.apk,2,300,rvagent:pure_algorithm,100.0,28.83,40.54,3
com.blippex.app_5.apk,3,300,rvagent:pure_algorithm,100.0,12.27,16.22,0
com.crazyhitty.chdev.ks.munch_14.apk,1,300,ape,20.0,1.7,0.0,0
com.crazyhitty.chdev.ks.munch_14.apk,2,300,ape,20.0,1.7,0.0,0
com.crazyhitty.chdev.ks.munch_14.apk,3,300,ape,20.0,1.7,0.0,0
com.crazyhitty.chdev.ks.munch_14.apk,1,300,fastbot,40.0,9.33,0.0,0
com.crazyhitty.chdev.ks.munch_14.apk,2,300,fastbot,40.0,9.33,0.0,0
com.crazyhitty.chdev.ks.munch_14.apk,3,300,fastbot,60.0,11.35,0.0,0
com.crazyhitty.chdev.ks.munch_14.apk,1,300,rvagent:pure_algorithm,20.0,1.7,0.0,0
com.crazyhitty.chdev.ks.munch_14.apk,2,300,rvagent:pure_algorithm,20.0,1.7,0.0,0
com.crazyhitty.chdev.ks.munch_14.apk,3,300,rvagent:pure_algorithm,20.0,1.7,0.0,0
com.example.openpass_1.apk,1,300,ape,80.0,40.58,52.34,5
com.example.openpass_1.apk,2,300,ape,60.0,28.26,35.51,2
com.example.openpass_1.apk,3,300,ape,60.0,26.81,33.64,2
com.example.openpass_1.apk,1,300,fastbot,100.0,40.58,52.34,5
com.example.openpass_1.apk,2,300,fastbot,100.0,38.41,49.53,5
com.example.openpass_1.apk,3,300,fastbot,100.0,39.13,50.47,5
com.example.openpass_1.apk,1,300,rvagent:pure_algorithm,100.0,39.86,51.4,5
com.example.openpass_1.apk,2,300,rvagent:pure_algorithm,100.0,39.86,51.4,5
com.example.openpass_1.apk,3,300,rvagent:pure_algorithm,80.0,37.68,48.6,5
com.example.root.analyticaltranslator_6.apk,1,300,ape,100.0,16.28,0.0,2
com.example.root.analyticaltranslator_6.apk,2,300,ape,100.0,16.28,0.0,2
com.example.root.analyticaltranslator_6.apk,3,300,ape,100.0,16.28,0.0,2
com.example.root.analyticaltranslator_6.apk,1,300,fastbot,100.0,16.28,0.0,2
com.example.root.analyticaltranslator_6.apk,2,300,fastbot,100.0,16.28,0.0,2
com.example.root.analyticaltranslator_6.apk,3,300,fastbot,100.0,16.28,0.0,2
com.example.root.analyticaltranslator_6.apk,1,300,rvagent:pure_algorithm,100.0,16.28,0.0,2
com.example.root.analyticaltranslator_6.apk,2,300,rvagent:pure_algorithm,100.0,16.28,0.0,2
com.example.root.analyticaltranslator_6.apk,3,300,rvagent:pure_algorithm,100.0,16.28,0.0,2
com.freezingwind.animereleasenotifier_9.apk,1,300,ape,100.0,26.32,0.0,2
com.freezingwind.animereleasenotifier_9.apk,2,300,ape,100.0,26.32,0.0,2
com.freezingwind.animereleasenotifier_9.apk,3,300,ape,100.0,26.32,0.0,2
com.freezingwind.animereleasenotifier_9.apk,1,300,fastbot,100.0,26.32,0.0,2
com.freezingwind.animereleasenotifier_9.apk,2,300,fastbot,100.0,26.32,0.0,2
com.freezingwind.animereleasenotifier_9.apk,3,300,fastbot,100.0,26.32,0.0,2
com.freezingwind.animereleasenotifier_9.apk,1,300,rvagent:pure_algorithm,100.0,23.03,0.0,2
com.freezingwind.animereleasenotifier_9.apk,2,300,rvagent:pure_algorithm,100.0,23.03,0.0,2
com.freezingwind.animereleasenotifier_9.apk,3,300,rvagent:pure_algorithm,100.0,23.03,0.0,2
com.github.axet.darknessimmunity_28.apk,1,300,ape,100.0,42.57,0.0,0
com.github.axet.darknessimmunity_28.apk,2,300,ape,100.0,40.54,0.0,0
com.github.axet.darknessimmunity_28.apk,3,300,ape,100.0,42.57,0.0,0
com.github.axet.darknessimmunity_28.apk,1,300,fastbot,100.0,37.16,0.0,0
com.github.axet.darknessimmunity_28.apk,2,300,fastbot,100.0,38.51,0.0,0
com.github.axet.darknessimmunity_28.apk,3,300,fastbot,100.0,35.81,0.0,0
com.github.axet.darknessimmunity_28.apk,1,300,rvagent:pure_algorithm,50.0,30.41,0.0,0
com.github.axet.darknessimmunity_28.apk,2,300,rvagent:pure_algorithm,50.0,31.76,0.0,0
com.github.axet.darknessimmunity_28.apk,3,300,rvagent:pure_algorithm,50.0,31.76,0.0,0
com.koushikdutta.superuser_1030.apk,1,300,ape,25.0,21.76,17.89,0
com.koushikdutta.superuser_1030.apk,2,300,ape,25.0,21.76,17.89,0
com.koushikdutta.superuser_1030.apk,3,300,ape,25.0,22.12,17.89,0
com.koushikdutta.superuser_1030.apk,1,300,fastbot,25.0,10.61,10.53,0
com.koushikdutta.superuser_1030.apk,2,300,fastbot,25.0,10.43,10.53,0
com.koushikdutta.superuser_1030.apk,3,300,fastbot,25.0,10.61,10.53,0
com.koushikdutta.superuser_1030.apk,1,300,rvagent:pure_algorithm,25.0,17.63,18.95,0
com.koushikdutta.superuser_1030.apk,2,300,rvagent:pure_algorithm,25.0,15.11,16.84,0
com.koushikdutta.superuser_1030.apk,3,300,rvagent:pure_algorithm,25.0,19.24,17.37,0
com.linuxcounter.lico_update_003_8.apk,1,300,ape,100.0,33.33,0.0,2
com.linuxcounter.lico_update_003_8.apk,2,300,ape,100.0,33.33,0.0,2
com.linuxcounter.lico_update_003_8.apk,3,300,ape,100.0,33.33,0.0,2
com.linuxcounter.lico_update_003_8.apk,1,300,fastbot,75.0,12.12,0.0,0
com.linuxcounter.lico_update_003_8.apk,2,300,fastbot,75.0,12.12,0.0,0
com.linuxcounter.lico_update_003_8.apk,3,300,fastbot,75.0,12.12,0.0,0
com.linuxcounter.lico_update_003_8.apk,1,300,rvagent:pure_algorithm,75.0,13.13,0.0,0
com.linuxcounter.lico_update_003_8.apk,2,300,rvagent:pure_algorithm,75.0,13.13,0.0,0
com.linuxcounter.lico_update_003_8.apk,3,300,rvagent:pure_algorithm,75.0,13.13,0.0,0
